Round,Date,Time,Timezone,Team 1,FT,Team 2,UTC
1,Sat Aug 11 2001,15:00,BST/+0100,Bristol Rovers,1-0,Torquay United,2001-08-11T14:00Z
1,Sat Aug 11 2001,15:00,BST/+0100,Carlisle United,0-2,Luton Town,2001-08-11T14:00Z
1,Sat Aug 11 2001,15:00,BST/+0100,Cheltenham Town,1-1,Leyton Orient,2001-08-11T14:00Z
1,Sat Aug 11 2001,15:00,BST/+0100,Exeter City,1-3,Hull City,2001-08-11T14:00Z
1,Sat Aug 11 2001,15:00,BST/+0100,Hartlepool United,1-1,Mansfield Town,2001-08-11T14:00Z
1,Sat Aug 11 2001,15:00,BST/+0100,Kidderminster Harriers,1-0,Scunthorpe United,2001-08-11T14:00Z
1,Sat Aug 11 2001,15:00,BST/+0100,Lincoln City,1-2,Halifax Town,2001-08-11T14:00Z
1,Sat Aug 11 2001,15:00,BST/+0100,Macclesfield Town,1-3,Swansea City,2001-08-11T14:00Z
1,Sat Aug 11 2001,15:00,BST/+0100,Oxford United,1-2,Rochdale AFC,2001-08-11T14:00Z
1,Sat Aug 11 2001,15:00,BST/+0100,Plymouth Argyle,0-1,Shrewsbury Town,2001-08-11T14:00Z
1,Sat Aug 11 2001,15:00,BST/+0100,Southend United,1-0,Darlington FC,2001-08-11T14:00Z
1,Sat Aug 11 2001,15:00,BST/+0100,York City,0-1,Rushden & Diamonds FC,2001-08-11T14:00Z
2,Thu Aug 16 2001,19:45,BST/+0100,Rushden & Diamonds FC,0-0,Lincoln City,2001-08-16T18:45Z
2,Sat Aug 18 2001,15:00,BST/+0100,Darlington FC,2-0,Kidderminster Harriers,2001-08-18T14:00Z
2,Sat Aug 18 2001,15:00,BST/+0100,Halifax Town,1-1,Exeter City,2001-08-18T14:00Z
2,Sat Aug 18 2001,15:00,BST/+0100,Hull City,0-0,Plymouth Argyle,2001-08-18T14:00Z
2,Sat Aug 18 2001,15:00,BST/+0100,Leyton Orient,0-0,Carlisle United,2001-08-18T14:00Z
2,Sat Aug 18 2001,15:00,BST/+0100,Luton Town,2-1,Cheltenham Town,2001-08-18T14:00Z
2,Sat Aug 18 2001,15:00,BST/+0100,Mansfield Town,0-0,Southend United,2001-08-18T14:00Z
2,Sat Aug 18 2001,15:00,BST/+0100,Rochdale AFC,1-1,Macclesfield Town,2001-08-18T14:00Z
2,Sat Aug 18 2001,15:00,BST/+0100,Scunthorpe United,1-2,Bristol Rovers,2001-08-18T14:00Z
2,Sat Aug 18 2001,15:00,BST/+0100,Shrewsbury Town,1-3,Hartlepool United,2001-08-18T14:00Z
2,Sat Aug 18 2001,15:00,BST/+0100,Swansea City,0-0,Oxford United,2001-08-18T14:00Z
2,Sat Aug 18 2001,15:00,BST/+0100,Torquay United,0-3,York City,2001-08-18T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,Bristol Rovers,3-2,Luton Town,2001-08-25T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,Carlisle United,0-0,Hull City,2001-08-25T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,Cheltenham Town,2-3,Mansfield Town,2001-08-25T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,Exeter City,0-4,Scunthorpe United,2001-08-25T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,Hartlepool United,1-2,Darlington FC,2001-08-25T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,Kidderminster Harriers,1-0,Torquay United,2001-08-25T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,Lincoln City,3-0,Swansea City,2001-08-25T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,Macclesfield Town,0-0,Rushden & Diamonds FC,2001-08-25T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,Oxford United,0-1,Shrewsbury Town,2001-08-25T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,Plymouth Argyle,1-2,Rochdale AFC,2001-08-25T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,Southend United,4-1,Halifax Town,2001-08-25T14:00Z
3,Sat Aug 25 2001,15:00,BST/+0100,York City,2-1,Leyton Orient,2001-08-25T14:00Z
4,Mon Aug 27 2001,15:00,BST/+0100,Darlington FC,1-0,Bristol Rovers,2001-08-27T14:00Z
4,Mon Aug 27 2001,15:00,BST/+0100,Halifax Town,0-2,Oxford United,2001-08-27T14:00Z
4,Mon Aug 27 2001,15:00,BST/+0100,Hull City,2-1,Kidderminster Harriers,2001-08-27T14:00Z
4,Mon Aug 27 2001,15:00,BST/+0100,Leyton Orient,2-0,Hartlepool United,2001-08-27T14:00Z
4,Mon Aug 27 2001,15:00,BST/+0100,Luton Town,2-0,Southend United,2001-08-27T14:00Z
4,Mon Aug 27 2001,15:00,BST/+0100,Mansfield Town,4-0,Macclesfield Town,2001-08-27T14:00Z
4,Mon Aug 27 2001,15:00,BST/+0100,Rochdale AFC,2-0,Exeter City,2001-08-27T14:00Z
4,Mon Aug 27 2001,15:00,BST/+0100,Rushden & Diamonds FC,2-3,Plymouth Argyle,2001-08-27T14:00Z
4,Mon Aug 27 2001,15:00,BST/+0100,Scunthorpe United,1-1,Lincoln City,2001-08-27T14:00Z
4,Mon Aug 27 2001,15:00,BST/+0100,Swansea City,2-2,Cheltenham Town,2001-08-27T14:00Z
4,Mon Aug 27 2001,15:00,BST/+0100,Torquay United,2-1,Carlisle United,2001-08-27T14:00Z
4,Tue Aug 28 2001,19:45,BST/+0100,Shrewsbury Town,3-2,York City,2001-08-28T18:45Z
5,Sat Sep 1 2001,12:00,BST/+0100,Carlisle United,1-2,Rochdale AFC,2001-09-01T11:00Z
5,Sat Sep 1 2001,13:00,BST/+0100,Southend United,1-2,Leyton Orient,2001-09-01T12:00Z
5,Sat Sep 1 2001,15:00,BST/+0100,Bristol Rovers,0-0,Shrewsbury Town,2001-09-01T14:00Z
5,Sat Sep 1 2001,15:00,BST/+0100,Cheltenham Town,2-2,Torquay United,2001-09-01T14:00Z
5,Sat Sep 1 2001,15:00,BST/+0100,Exeter City,2-2,Luton Town,2001-09-01T14:00Z
5,Sat Sep 1 2001,15:00,BST/+0100,Kidderminster Harriers,1-1,Mansfield Town,2001-09-01T14:00Z
5,Sat Sep 1 2001,15:00,BST/+0100,Lincoln City,1-1,Darlington FC,2001-09-01T14:00Z
5,Sat Sep 1 2001,15:00,BST/+0100,Macclesfield Town,4-3,Scunthorpe United,2001-09-01T14:00Z
5,Sat Sep 1 2001,15:00,BST/+0100,Oxford United,3-2,Rushden & Diamonds FC,2001-09-01T14:00Z
5,Sat Sep 1 2001,15:00,BST/+0100,York City,1-0,Halifax Town,2001-09-01T14:00Z
6,Sat Sep 8 2001,15:00,BST/+0100,Swansea City,4-2,Exeter City,2001-09-08T14:00Z
6,Sat Sep 8 2001,15:00,BST/+0100,Shrewsbury Town,2-1,Cheltenham Town,2001-09-08T14:00Z
6,Sat Sep 8 2001,12:00,BST/+0100,Torquay United,0-1,Plymouth Argyle,2001-09-08T11:00Z
6,Sat Sep 8 2001,15:00,BST/+0100,Darlington FC,2-2,Carlisle United,2001-09-08T14:00Z
6,Sat Sep 8 2001,15:00,BST/+0100,Halifax Town,0-0,Macclesfield Town,2001-09-08T14:00Z
6,Sat Sep 8 2001,15:00,BST/+0100,Hull City,4-0,York City,2001-09-08T14:00Z
6,Sat Sep 8 2001,15:00,BST/+0100,Leyton Orient,3-1,Bristol Rovers,2001-09-08T14:00Z
6,Sat Sep 8 2001,15:00,BST/+0100,Luton Town,1-1,Oxford United,2001-09-08T14:00Z
6,Sat Sep 8 2001,15:00,BST/+0100,Mansfield Town,2-1,Lincoln City,2001-09-08T14:00Z
6,Sat Sep 8 2001,15:00,BST/+0100,Rochdale AFC,2-0,Kidderminster Harriers,2001-09-08T14:00Z
6,Sat Sep 8 2001,15:00,BST/+0100,Rushden & Diamonds FC,0-1,Southend United,2001-09-08T14:00Z
6,Sat Sep 8 2001,15:00,BST/+0100,Scunthorpe United,1-0,Hartlepool United,2001-09-08T14:00Z
5,Tue Sep 11 2001,19:45,BST/+0100,Plymouth Argyle,3-1,Swansea City,2001-09-11T18:45Z
7,Fri Sep 14 2001,19:45,BST/+0100,Mansfield Town,2-1,Shrewsbury Town,2001-09-14T18:45Z
7,Sat Sep 15 2001,15:00,BST/+0100,Torquay United,2-1,Darlington FC,2001-09-15T14:00Z
7,Sat Sep 15 2001,15:00,BST/+0100,Cheltenham Town,2-0,Carlisle United,2001-09-15T14:00Z
7,Sat Sep 15 2001,15:00,BST/+0100,Exeter City,3-2,Oxford United,2001-09-15T14:00Z
7,Sat Sep 15 2001,15:00,BST/+0100,Kidderminster Harriers,0-0,Plymouth Argyle,2001-09-15T14:00Z
7,Sat Sep 15 2001,15:00,BST/+0100,Leyton Orient,2-1,Rushden & Diamonds FC,2001-09-15T14:00Z
7,Sat Sep 15 2001,15:00,BST/+0100,Lincoln City,0-1,Bristol Rovers,2001-09-15T14:00Z
7,Sat Sep 15 2001,15:00,BST/+0100,Macclesfield Town,0-0,Hull City,2001-09-15T14:00Z
7,Sat Sep 15 2001,15:00,BST/+0100,Rochdale AFC,2-2,Scunthorpe United,2001-09-15T14:00Z
7,Sat Sep 15 2001,15:00,BST/+0100,Southend United,0-0,Hartlepool United,2001-09-15T14:00Z
