Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Thu Jul 12 2012,19:00,CEST/+0200,FAC Team für Wien,0-1,0-1,SCR Altach,,,2012-07-12T17:00Z
Round 1,Fri Jul 13 2012,18:30,CEST/+0200,FC Hard,1-0,0-0,SC Schwaz,,,2012-07-13T16:30Z
Round 1,Fri Jul 13 2012,19:00,CEST/+0200,SC/ESV Parndorf,0-3,0-1,FC Admira Wacker,,,2012-07-13T17:00Z
Round 1,Fri Jul 13 2012,19:00,CEST/+0200,WSG Wattens,0-1,0-0,Sturm Graz,,,2012-07-13T17:00Z
Round 1,Fri Jul 13 2012,19:00,CEST/+0200,Union Vöcklamarkt,3-4,2-3,FC Lustenau,,,2012-07-13T17:00Z
Round 1,Fri Jul 13 2012,19:00,CEST/+0200,Deutschlandsberger SC,1-2,0-2,TSV Hartberg,,,2012-07-13T17:00Z
Round 1,Fri Jul 13 2012,19:00,CEST/+0200,FC Gratkorn,0-0,0-0,FC Wacker Innsbruck,0-0,4-5,2012-07-13T17:00Z
Round 1,Fri Jul 13 2012,19:00,CEST/+0200,Villacher SV,4-2,1-0,SC Rohrendorf/Gedersdorf,,,2012-07-13T17:00Z
Round 1,Fri Jul 13 2012,19:00,CEST/+0200,FC Pasching,2-1,2-0,Austria Salzburg,,,2012-07-13T17:00Z
Round 1,Fri Jul 13 2012,19:00,CEST/+0200,SC Kalsdorf,3-1,1-1,SV Wallern,,,2012-07-13T17:00Z
Round 1,Fri Jul 13 2012,19:15,CEST/+0200,FC Pinzgau Saalfelden,0-4,0-3,SV Grödig,,,2012-07-13T17:15Z
Round 1,Fri Jul 13 2012,19:30,CEST/+0200,Union St. Florian,2-1,1-0,FC Blau Weiß Linz,,,2012-07-13T17:30Z
Round 1,Fri Jul 13 2012,19:30,CEST/+0200,SK Austria Klagenfurt,3-2,1-2,SV Horn,,,2012-07-13T17:30Z
Round 1,Fri Jul 13 2012,19:30,CEST/+0200,Salzburger AK 1914,0-5,0-3,USV Allerheiligen,,,2012-07-13T17:30Z
Round 1,Fri Jul 13 2012,19:30,CEST/+0200,SKU Amstetten,0-1,0-0,SV Schwechat,,,2012-07-13T17:30Z
Round 1,Fri Jul 13 2012,20:00,CEST/+0200,Grazer AK,2-2,0-1,First Vienna FC,3-2,,2012-07-13T18:00Z
Round 1,Fri Jul 13 2012,20:30,CEST/+0200,Wiener Sportklub,0-2,0-1,RB Salzburg,,,2012-07-13T18:30Z
Round 1,Sat Jul 14 2012,17:00,CEST/+0200,ASK Bad Vöslau,1-0,1-0,SKN St. Pölten,,,2012-07-14T15:00Z
Round 1,Sat Jul 14 2012,17:00,CEST/+0200,SV Stegersbach,2-2,1-1,SV Reutte,3-2,,2012-07-14T15:00Z
Round 1,Sat Jul 14 2012,17:00,CEST/+0200,SAK Klagenfurt,1-2,0-0,TSV St. Johann,,,2012-07-14T15:00Z
Round 1,Sat Jul 14 2012,17:00,CEST/+0200,SV Grün-Weiß Micheldorf,0-1,0-1,SC Wiener Viktoria,,,2012-07-14T15:00Z
Round 1,Sat Jul 14 2012,18:00,CEST/+0200,SV Oberwart,1-3,0-1,Austria Wien,,,2012-07-14T16:00Z
Round 1,Sat Jul 14 2012,18:00,CEST/+0200,DSV Leoben,1-3,0-1,SV Mattersburg,,,2012-07-14T16:00Z
Round 1,Sat Jul 14 2012,18:00,CEST/+0200,SC Retz,1-7,0-1,Austria Lustenau,,,2012-07-14T16:00Z
Round 1,Sat Jul 14 2012,18:00,CEST/+0200,SC Ostbahn XI,1-8,0-5,Wolfsberger AC,,,2012-07-14T16:00Z
Round 1,Sat Jul 14 2012,18:00,CEST/+0200,LASK Linz,7-0,3-0,SV Spittal/Drau,,,2012-07-14T16:00Z
Round 1,Sat Jul 14 2012,18:00,CEST/+0200,SV Gaflenz,1-2,0-1,SC Sollenau,,,2012-07-14T16:00Z
Round 1,Sat Jul 14 2012,18:30,CEST/+0200,SC Bregenz,1-2,0-1,Kapfenberger SV 1919,,,2012-07-14T16:30Z
Round 1,Sat Jul 14 2012,19:00,CEST/+0200,FC Kufstein,1-4,0-1,SV Ried,,,2012-07-14T17:00Z
Round 1,Sat Jul 14 2012,19:00,CEST/+0200,SCU Ardagger,2-2,0-1,FC Dornbirn,2-3,,2012-07-14T17:00Z
Round 1,Sun Jul 15 2012,10:30,CEST/+0200,FC Wolfurt,2-2,0-1,1. Wiener Neustädter SC,2-4,,2012-07-15T08:30Z
Round 1,Sun Jul 15 2012,18:00,CEST/+0200,SV Heiligenkreuz,0-5,0-1,Rapid Wien,,,2012-07-15T16:00Z
Round 2,Mon Sep 24 2012,19:00,CEST/+0200,SC Kalsdorf,3-0,2-0,TSV Hartberg,,,2012-09-24T17:00Z
Round 2,Tue Sep 25 2012,16:00,CEST/+0200,SC Wiener Viktoria,2-2,2-0,Kapfenberger SV 1919,3-3,4-1,2012-09-25T14:00Z
Round 2,Tue Sep 25 2012,16:30,CEST/+0200,FC Hard,0-3,0-1,SCR Altach,,,2012-09-25T14:30Z
