Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Aug 18 2012,15:00,BST/+0100,Southend United,0-1,0-0,Accrington Stanley,2012-08-18T14:00Z
1,Sat Aug 18 2012,15:00,BST/+0100,Bristol Rovers,0-2,0-2,Oxford United,2012-08-18T14:00Z
1,Sat Aug 18 2012,15:00,BST/+0100,AFC Wimbledon,1-0,1-0,Chesterfield FC,2012-08-18T14:00Z
1,Sat Aug 18 2012,15:00,BST/+0100,Port Vale FC,3-0,2-0,Barnet FC,2012-08-18T14:00Z
1,Sat Aug 18 2012,15:00,BST/+0100,York City,1-3,0-2,Wycombe Wanderers,2012-08-18T14:00Z
1,Sat Aug 18 2012,15:00,BST/+0100,Rochdale AFC,0-0,0-0,Northampton Town,2012-08-18T14:00Z
1,Sat Aug 18 2012,15:00,BST/+0100,Gillingham FC,3-1,1-0,Bradford City,2012-08-18T14:00Z
1,Sat Aug 18 2012,15:00,BST/+0100,Fleetwood Town,0-0,0-0,Torquay United,2012-08-18T14:00Z
1,Sat Aug 18 2012,15:00,BST/+0100,Cheltenham Town,2-0,1-0,Dagenham & Redbridge,2012-08-18T14:00Z
1,Sat Aug 18 2012,15:00,BST/+0100,Plymouth Argyle,0-2,0-1,Aldershot Town,2012-08-18T14:00Z
1,Sat Aug 18 2012,15:00,BST/+0100,Exeter City,0-3,0-3,Morecambe FC,2012-08-18T14:00Z
1,Sat Aug 18 2012,15:00,BST/+0100,Rotherham United,3-0,2-0,Burton Albion,2012-08-18T14:00Z
2,Tue Aug 21 2012,19:45,BST/+0100,Northampton Town,2-1,1-1,Rotherham United,2012-08-21T18:45Z
2,Tue Aug 21 2012,19:45,BST/+0100,Accrington Stanley,2-0,1-0,Port Vale FC,2012-08-21T18:45Z
2,Tue Aug 21 2012,19:45,BST/+0100,Chesterfield FC,1-1,0-0,Rochdale AFC,2012-08-21T18:45Z
2,Tue Aug 21 2012,19:45,BST/+0100,Wycombe Wanderers,0-1,0-0,Gillingham FC,2012-08-21T18:45Z
2,Tue Aug 21 2012,19:45,BST/+0100,Oxford United,2-0,0-0,Southend United,2012-08-21T18:45Z
