Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Sat Jul 21 2012,18:30,CEST/+0200,Rapid Wien,4-0,2-0,FC Wacker Innsbruck,,2012-07-21T16:30Z
1,Sat Jul 21 2012,18:30,CEST/+0200,SV Mattersburg,2-0,1-0,1. Wiener Neustädter SC,,2012-07-21T16:30Z
1,Sat Jul 21 2012,16:00,CEST/+0200,Sturm Graz,0-2,0-2,RB Salzburg,,2012-07-21T14:00Z
1,Sun Jul 22 2012,16:00,CEST/+0200,FC Admira Wacker,0-2,0-2,SV Ried,,2012-07-22T14:00Z
1,Wed Jul 25 2012,18:30,CEST/+0200,Wolfsberger AC,0-1,0-0,Austria Wien,,2012-07-25T16:30Z
2,Sat Jul 28 2012,18:30,CEST/+0200,1. Wiener Neustädter SC,0-1,0-0,Rapid Wien,,2012-07-28T16:30Z
2,Sat Jul 28 2012,18:30,CEST/+0200,RB Salzburg,3-2,2-1,SV Mattersburg,,2012-07-28T16:30Z
2,Sat Jul 28 2012,18:30,CEST/+0200,Austria Wien,0-1,0-1,Sturm Graz,,2012-07-28T16:30Z
2,Sun Jul 29 2012,18:30,CEST/+0200,SV Ried,0-2,0-0,Wolfsberger AC,,2012-07-29T16:30Z
2,Sun Jul 29 2012,16:00,CEST/+0200,FC Wacker Innsbruck,1-2,1-1,FC Admira Wacker,,2012-07-29T14:00Z
3,Sat Aug 4 2012,18:30,CEST/+0200,SV Mattersburg,3-1,0-1,Sturm Graz,,2012-08-04T16:30Z
3,Sat Aug 4 2012,18:30,CEST/+0200,Wolfsberger AC,0-2,0-1,RB Salzburg,,2012-08-04T16:30Z
3,Sun Aug 5 2012,16:00,CEST/+0200,Rapid Wien,0-3,0-1,Austria Wien,,2012-08-05T14:00Z
3,Sun Aug 5 2012,18:30,CEST/+0200,FC Admira Wacker,4-0,2-0,1. Wiener Neustädter SC,,2012-08-05T16:30Z
3,Sun Aug 5 2012,16:00,CEST/+0200,SV Ried,2-0,0-0,FC Wacker Innsbruck,,2012-08-05T14:00Z
