Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Fri Aug 17 2012,19:00,SG Sonnenhof Großaspach,1-2,1-2,FSV Frankfurt,,
1. Runde,Fri Aug 17 2012,19:00,VfB Lübeck,0-3,0-1,Eintracht Braunschweig,,
1. Runde,Fri Aug 17 2012,20:00,SV Wilhelmshaven,0-2,0-1,FC Augsburg,,
1. Runde,Sat Aug 18 2012,15:30,Hallescher FC,0-1,0-1,MSV Duisburg,,
1. Runde,Sat Aug 18 2012,15:30,FC Oberneuland,0-3,0-2,Borussia Dortmund,,
1. Runde,Sat Aug 18 2012,15:30,Victoria Hamburg,1-2,1-1,SC Freiburg,,
1. Runde,Sat Aug 18 2012,15:30,SpVgg Unterhaching,1-2,0-2,1. FC Köln,,
1. Runde,Sat Aug 18 2012,15:30,SV Falkensee-Finkenkrug,0-5,0-2,VfB Stuttgart,,
1. Runde,Sat Aug 18 2012,15:30,Offenburger FV,0-3,0-1,FC St. Pauli,,
1. Runde,Sat Aug 18 2012,15:30,Alemannia Aachen,0-2,0-0,Bor. Mönchengladbach,,
1. Runde,Sat Aug 18 2012,15:30,FC Carl Zeiss Jena,0-4,0-2,Bayer Leverkusen,,
1. Runde,Sat Aug 18 2012,15:30,Berliner AK 07,4-0,3-0,1899 Hoffenheim,,
1. Runde,Sat Aug 18 2012,18:00,1. FC Heidenheim 1846,0-2,0-2,VfL Bochum,,
1. Runde,Sat Aug 18 2012,20:30,FC Schönberg 95,0-5,0-3,VfL Wolfsburg,,
1. Runde,Sat Aug 18 2012,20:30,Kickers Offenbach,2-0,1-0,SpVgg Greuther Fürth,,
1. Runde,Sun Aug 19 2012,14:30,FC Nöttingen,1-6,0-2,Hannover 96,,
1. Runde,Sun Aug 19 2012,14:30,Wormatia Worms,2-1,1-0,Hertha BSC,,
1. Runde,Sun Aug 19 2012,14:30,Karlsruher SC,4-2,1-2,Hamburger SV,,
1. Runde,Sun Aug 19 2012,14:30,FC Hennef 05,0-6,0-2,TSV 1860 München,,
1. Runde,Sun Aug 19 2012,14:30,TSV Havelse,2-2,1-1,1. FC Nürnberg,3-2,
1. Runde,Sun Aug 19 2012,16:00,VfR Aalen,3-0,2-0,FC Ingolstadt 04,,
1. Runde,Sun Aug 19 2012,16:00,Arminia Bielefeld,3-1,0-1,SC Paderborn 07,,
1. Runde,Sun Aug 19 2012,16:00,1. FC Saarbrücken,0-5,0-2,FC Schalke 04,,
1. Runde,Sun Aug 19 2012,16:00,Erzgebirge Aue,3-0,1-0,Eintracht Frankfurt,,
1. Runde,Sun Aug 19 2012,16:00,Preußen Münster,2-2,0-1,Werder Bremen,4-2,
1. Runde,Sun Aug 19 2012,18:30,Hansa Rostock,1-3,0-0,1. FC Kaiserslautern,,
1. Runde,Sun Aug 19 2012,18:30,Wacker Burghausen,0-1,0-0,Fortuna Düsseldorf,,
1. Runde,Sun Aug 19 2012,20:30,SV Roßbach,0-4,0-2,1. FSV Mainz 05,,
1. Runde,Mon Aug 20 2012,18:30,SV Sandhausen,3-0,2-0,Energie Cottbus,,
1. Runde,Mon Aug 20 2012,18:30,Rot-Weiss Essen,0-0,0-0,1. FC Union Berlin,0-1,
1. Runde,Mon Aug 20 2012,18:30,Chemnitzer FC,0-3,0-2,Dynamo Dresden,,
1. Runde,Mon Aug 20 2012,20:30,Jahn Regensburg,0-4,0-1,Bayern München,,
