Round,Date,Time,Team 1,FT,HT,Team 2
1,Sat Sep 5 2015,20:30,AC Cesena,2-0,2-0,Brescia Calcio
1,Sun Sep 6 2015,15:00,AC Perugia Calcio,2-0,1-0,Calcio Como
1,Sun Sep 6 2015,15:00,Modena FC,0-1,0-0,Vicenza Calcio
1,Sun Sep 6 2015,15:00,Novara Calcio,1-1,1-0,Latina Calcio
1,Sun Sep 6 2015,15:00,AS Livorno,4-0,3-0,Pescara Calcio
1,Sun Sep 6 2015,15:00,Pro Vercelli,2-1,1-0,Virtus Lanciano
1,Sun Sep 6 2015,15:00,US Salernitana 1919,3-1,1-1,US Avellino
1,Sun Sep 6 2015,15:00,Trapani Calcio,3-0,1-0,Ternana Calcio
1,Sun Sep 6 2015,17:30,FC Bari 1908,4-3,2-2,Spezia Calcio
1,Mon Sep 7 2015,20:30,Cagliari Calcio,4-0,1-0,FC Crotone
2,Fri Sep 11 2015,20:30,Pescara Calcio,2-1,1-0,AC Perugia Calcio
2,Sat Sep 12 2015,15:00,Calcio Como,1-2,1-1,AS Livorno
2,Sat Sep 12 2015,15:00,US Avellino,2-0,0-0,Modena FC
2,Sat Sep 12 2015,15:00,Brescia Calcio,2-2,0-1,US Salernitana 1919
2,Sat Sep 12 2015,15:00,Virtus Entella,2-1,1-1,AC Cesena
2,Sat Sep 12 2015,15:00,FC Crotone,2-1,0-1,Novara Calcio
2,Sat Sep 12 2015,15:00,Vicenza Calcio,0-0,0-0,FC Bari 1908
2,Sat Sep 12 2015,15:00,Virtus Lanciano,2-0,1-0,Ascoli Picchio FC
2,Sat Sep 12 2015,15:00,Ternana Calcio,1-1,0-1,Cagliari Calcio
2,Sun Sep 13 2015,17:30,Spezia Calcio,1-1,1-1,Pro Vercelli
2,Mon Sep 14 2015,20:30,Latina Calcio,1-1,0-0,Trapani Calcio
1,Tue Sep 15 2015,18:00,Ascoli Picchio FC,1-0,1-0,Virtus Entella
3,Fri Sep 18 2015,19:00,Modena FC,1-0,0-0,Ternana Calcio
