Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 31 2015,20:00,AC Ajaccio,0-0,0-0,Dijon FCO
1,Fri Jul 31 2015,20:00,AJ Auxerre,0-0,0-0,Stade Brest
1,Fri Jul 31 2015,20:00,Chamois Niortais,0-1,0-1,Valenciennes FC
1,Fri Jul 31 2015,20:00,Clermont Foot,0-0,0-0,FC Sochaux
1,Fri Jul 31 2015,20:00,FC Bourg-Péronnas,1-3,1-1,Le Havre AC
1,Fri Jul 31 2015,20:00,Nîmes Olympique,0-0,0-0,Évian Thonon Gaillard
1,Fri Jul 31 2015,20:00,Paris FC,1-1,0-0,Stade Laval
1,Fri Jul 31 2015,20:00,Red Star FC,0-1,0-0,US Créteil-Lusitanos
1,Sat Aug 1 2015,14:00,FC Metz,0-0,0-0,RC Lens
1,Mon Aug 3 2015,20:30,AS Nancy,0-0,0-0,Tours FC
2,Fri Aug 7 2015,20:00,Dijon FCO,3-0,1-0,Chamois Niortais
2,Fri Aug 7 2015,20:00,Évian Thonon Gaillard,2-2,1-1,Clermont Foot
2,Fri Aug 7 2015,20:00,FC Sochaux,0-1,0-1,FC Metz
2,Fri Aug 7 2015,20:00,Le Havre AC,1-0,0-0,AC Ajaccio
2,Fri Aug 7 2015,20:00,Stade Brest,2-0,1-0,Nîmes Olympique
2,Fri Aug 7 2015,20:00,Stade Laval,0-1,0-0,AS Nancy
2,Fri Aug 7 2015,20:00,Tours FC,0-0,0-0,Paris FC
2,Fri Aug 7 2015,20:00,US Créteil-Lusitanos,2-1,1-0,FC Bourg-Péronnas
2,Fri Aug 7 2015,20:00,Valenciennes FC,0-0,0-0,AJ Auxerre
2,Sat Aug 8 2015,14:00,RC Lens,1-1,0-1,Red Star FC
3,Fri Aug 14 2015,20:00,AC Ajaccio,1-1,1-1,Évian Thonon Gaillard
3,Fri Aug 14 2015,20:00,AJ Auxerre,2-3,0-0,Stade Laval
3,Fri Aug 14 2015,20:00,Chamois Niortais,1-1,0-1,FC Sochaux
3,Fri Aug 14 2015,20:00,Clermont Foot,1-0,0-0,Nîmes Olympique
3,Fri Aug 14 2015,20:00,FC Bourg-Péronnas,2-1,1-0,Dijon FCO
3,Fri Aug 14 2015,20:00,Paris FC,3-0,1-0,Le Havre AC
3,Fri Aug 14 2015,20:00,RC Lens,1-1,1-0,US Créteil-Lusitanos
3,Fri Aug 14 2015,20:00,Red Star FC,1-1,1-0,Tours FC
3,Sat Aug 15 2015,14:00,AS Nancy,3-0,3-0,Stade Brest
3,Mon Aug 17 2015,20:30,FC Metz,2-0,0-0,Valenciennes FC
