Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
18,Sat Mar 12 2016,15:30,CET/+0100,SKN St. Pölten II,1-0,0-0,SC Sollenau,2016-03-12T14:30Z
18,Sun Mar 13 2016,18:00,CET/+0100,Rapid Wien II,4-2,1-0,FC Stadlau,2016-03-13T17:00Z
19,Fri Mar 18 2016,19:00,CET/+0100,Austria Wien II,0-1,0-0,SKU Amstetten,2016-03-18T18:00Z
19,Fri Mar 18 2016,19:00,CET/+0100,SC/ESV Parndorf,3-0,2-0,ASK Ebreichsdorf,2016-03-18T18:00Z
19,Fri Mar 18 2016,19:00,CET/+0100,SC Sollenau,2-1,1-1,SV Schwechat,2016-03-18T18:00Z
19,Fri Mar 18 2016,19:30,CET/+0100,SV Horn,2-0,1-0,First Vienna FC,2016-03-18T18:30Z
19,Fri Mar 18 2016,19:30,CET/+0100,Wiener Sportklub,1-1,0-0,Rapid Wien II,2016-03-18T18:30Z
19,Sat Mar 19 2016,17:00,CET/+0100,SC Ritzing,4-0,3-0,SKN St. Pölten II,2016-03-19T16:00Z
19,Sat Mar 19 2016,16:00,CET/+0100,FC Stadlau,1-1,0-1,SV Oberwart,2016-03-19T15:00Z
19,Sun Mar 20 2016,15:30,CET/+0100,FC Admira Wacker II,4-1,2-0,SC Neusiedl/See 1919,2016-03-20T14:30Z
20,Fri Mar 25 2016,19:00,CET/+0100,First Vienna FC,1-0,0-0,FC Stadlau,2016-03-25T18:00Z
20,Fri Mar 25 2016,19:30,CET/+0100,SKU Amstetten,1-1,1-0,SV Horn,2016-03-25T18:30Z
20,Fri Mar 25 2016,19:30,CET/+0100,SV Schwechat,0-2,0-1,SC Ritzing,2016-03-25T18:30Z
20,Fri Mar 25 2016,19:30,CET/+0100,ASK Ebreichsdorf,1-0,0-0,FC Admira Wacker II,2016-03-25T18:30Z
20,Fri Mar 25 2016,19:30,CET/+0100,SV Oberwart,0-1,0-0,Wiener Sportklub,2016-03-25T18:30Z
20,Sat Mar 26 2016,15:30,CET/+0100,Rapid Wien II,3-2,1-2,SC Sollenau,2016-03-26T14:30Z
20,Sat Mar 26 2016,15:30,CET/+0100,SKN St. Pölten II,0-2,0-2,SC/ESV Parndorf,2016-03-26T14:30Z
21,Fri Apr 1 2016,19:30,CEST/+0200,SV Horn,4-0,2-0,SC Neusiedl/See 1919,2016-04-01T17:30Z
21,Fri Apr 1 2016,19:00,CEST/+0200,Austria Wien II,3-3,0-1,FC Admira Wacker II,2016-04-01T17:00Z
21,Fri Apr 1 2016,19:00,CEST/+0200,SC/ESV Parndorf,4-0,2-0,SV Schwechat,2016-04-01T17:00Z
21,Sat Apr 2 2016,16:00,CEST/+0200,SC Sollenau,5-1,1-0,SV Oberwart,2016-04-02T14:00Z
21,Sat Apr 2 2016,16:00,CEST/+0200,FC Stadlau,1-1,0-1,SKU Amstetten,2016-04-02T14:00Z
21,Sat Apr 2 2016,16:30,CEST/+0200,SKN St. Pölten II,2-0,0-0,ASK Ebreichsdorf,2016-04-02T14:30Z
21,Sat Apr 2 2016,17:00,CEST/+0200,SC Ritzing,3-1,1-1,Rapid Wien II,2016-04-02T15:00Z
21,Sat Apr 2 2016,19:30,CEST/+0200,Wiener Sportklub,0-2,0-2,First Vienna FC,2016-04-02T17:30Z
20,Tue Apr 5 2016,19:30,CEST/+0200,SC Neusiedl/See 1919,2-2,2-1,Austria Wien II,2016-04-05T17:30Z
22,Fri Apr 8 2016,19:00,CEST/+0200,SC Neusiedl/See 1919,2-3,2-2,FC Stadlau,2016-04-08T17:00Z
22,Fri Apr 8 2016,19:00,CEST/+0200,First Vienna FC,1-0,1-0,SC Sollenau,2016-04-08T17:00Z
22,Fri Apr 8 2016,19:30,CEST/+0200,SKU Amstetten,2-0,0-0,Wiener Sportklub,2016-04-08T17:30Z
22,Fri Apr 8 2016,19:30,CEST/+0200,SV Oberwart,0-0,0-0,SC Ritzing,2016-04-08T17:30Z
22,Fri Apr 8 2016,19:30,CEST/+0200,SV Schwechat,2-1,1-0,SKN St. Pölten II,2016-04-08T17:30Z
22,Fri Apr 8 2016,19:30,CEST/+0200,ASK Ebreichsdorf,1-1,1-0,Austria Wien II,2016-04-08T17:30Z
22,Sat Apr 9 2016,18:00,CEST/+0200,Rapid Wien II,3-8,2-5,SC/ESV Parndorf,2016-04-09T16:00Z
22,Sun Apr 10 2016,15:30,CEST/+0200,FC Admira Wacker II,3-3,2-0,SV Horn,2016-04-10T13:30Z
23,Fri Apr 15 2016,19:00,CEST/+0200,SC/ESV Parndorf,3-2,0-1,SV Oberwart,2016-04-15T17:00Z
23,Fri Apr 15 2016,19:00,CEST/+0200,SC Sollenau,1-1,0-1,SKU Amstetten,2016-04-15T17:00Z
23,Fri Apr 15 2016,19:30,CEST/+0200,SV Horn,2-0,0-0,Austria Wien II,2016-04-15T17:30Z
23,Fri Apr 15 2016,19:30,CEST/+0200,SV Schwechat,0-1,0-0,ASK Ebreichsdorf,2016-04-15T17:30Z
23,Fri Apr 15 2016,19:30,CEST/+0200,Wiener Sportklub,1-3,1-2,SC Neusiedl/See 1919,2016-04-15T17:30Z
23,Sat Apr 16 2016,16:30,CEST/+0200,SKN St. Pölten II,2-0,0-0,Rapid Wien II,2016-04-16T14:30Z
23,Sat Apr 16 2016,17:00,CEST/+0200,SC Ritzing,2-1,1-0,First Vienna FC,2016-04-16T15:00Z
23,Sat Apr 16 2016,16:00,CEST/+0200,FC Stadlau,3-0,2-0,FC Admira Wacker II,2016-04-16T14:00Z
24,Fri Apr 22 2016,19:00,CEST/+0200,First Vienna FC,3-1,0-1,SC/ESV Parndorf,2016-04-22T17:00Z
24,Fri Apr 22 2016,19:00,CEST/+0200,Austria Wien II,3-2,0-0,FC Stadlau,2016-04-22T17:00Z
24,Fri Apr 22 2016,19:00,CEST/+0200,SC Neusiedl/See 1919,2-2,1-1,SC Sollenau,2016-04-22T17:00Z
24,Fri Apr 22 2016,19:30,CEST/+0200,ASK Ebreichsdorf,0-2,0-1,SV Horn,2016-04-22T17:30Z
24,Fri Apr 22 2016,19:30,CEST/+0200,SKU Amstetten,0-0,0-0,SC Ritzing,2016-04-22T17:30Z
24,Fri Apr 22 2016,19:30,CEST/+0200,SV Oberwart,0-3,0-1,SKN St. Pölten II,2016-04-22T17:30Z
24,Sat Apr 23 2016,18:00,CEST/+0200,Rapid Wien II,1-2,0-2,SV Schwechat,2016-04-23T16:00Z
24,Sun Apr 24 2016,15:30,CEST/+0200,FC Admira Wacker II,2-2,1-2,Wiener Sportklub,2016-04-24T13:30Z
25,Fri Apr 29 2016,19:00,CEST/+0200,SC/ESV Parndorf,1-1,0-0,SKU Amstetten,2016-04-29T17:00Z
25,Fri Apr 29 2016,19:30,CEST/+0200,Wiener Sportklub,1-3,0-1,Austria Wien II,2016-04-29T17:30Z
25,Fri Apr 29 2016,19:30,CEST/+0200,SV Schwechat,0-3,0-1,SV Oberwart,2016-04-29T17:30Z
25,Sat Apr 30 2016,16:00,CEST/+0200,FC Stadlau,2-3,2-3,SV Horn,2016-04-30T14:00Z
25,Sat Apr 30 2016,17:00,CEST/+0200,SC Ritzing,0-0,0-0,SC Neusiedl/See 1919,2016-04-30T15:00Z
25,Sat Apr 30 2016,16:00,CEST/+0200,SC Sollenau,1-1,1-0,FC Admira Wacker II,2016-04-30T14:00Z
25,Sun May 1 2016,18:30,CEST/+0200,Rapid Wien II,5-3,3-1,ASK Ebreichsdorf,2016-05-01T16:30Z
25,Sun May 1 2016,14:00,CEST/+0200,SKN St. Pölten II,0-1,0-1,First Vienna FC,2016-05-01T12:00Z
26,Thu May 5 2016,16:00,CEST/+0200,ASK Ebreichsdorf,3-1,2-1,FC Stadlau,2016-05-05T14:00Z
26,Fri May 6 2016,19:00,CEST/+0200,First Vienna FC,2-2,0-0,SV Schwechat,2016-05-06T17:00Z
26,Fri May 6 2016,19:00,CEST/+0200,Austria Wien II,0-1,0-1,SC Sollenau,2016-05-06T17:00Z
26,Fri May 6 2016,19:00,CEST/+0200,SC Neusiedl/See 1919,2-2,1-0,SC/ESV Parndorf,2016-05-06T17:00Z
26,Fri May 6 2016,19:30,CEST/+0200,SKU Amstetten,4-0,0-0,SKN St. Pölten II,2016-05-06T17:30Z
26,Fri May 6 2016,19:30,CEST/+0200,SV Oberwart,0-0,0-0,Rapid Wien II,2016-05-06T17:30Z
26,Fri May 6 2016,19:30,CEST/+0200,SV Horn,4-1,3-0,Wiener Sportklub,2016-05-06T17:30Z
26,Sun May 8 2016,15:30,CEST/+0200,FC Admira Wacker II,1-4,1-2,SC Ritzing,2016-05-08T13:30Z
27,Fri May 13 2016,19:00,CEST/+0200,SC/ESV Parndorf,2-3,2-2,FC Admira Wacker II,2016-05-13T17:00Z
27,Fri May 13 2016,19:30,CEST/+0200,SV Oberwart,2-2,1-1,ASK Ebreichsdorf,2016-05-13T17:30Z
27,Fri May 13 2016,19:30,CEST/+0200,Wiener Sportklub,1-2,0-1,FC Stadlau,2016-05-13T17:30Z
27,Fri May 13 2016,19:30,CEST/+0200,SV Schwechat,0-4,0-2,SKU Amstetten,2016-05-13T17:30Z
27,Sat May 14 2016,16:30,CEST/+0200,SKN St. Pölten II,2-1,0-0,SC Neusiedl/See 1919,2016-05-14T14:30Z
27,Sat May 14 2016,17:00,CEST/+0200,SC Ritzing,2-0,0-0,Austria Wien II,2016-05-14T15:00Z
27,Sat May 14 2016,18:00,CEST/+0200,Rapid Wien II,0-3,0-1,First Vienna FC,2016-05-14T16:00Z
27,Sat May 14 2016,16:00,CEST/+0200,SC Sollenau,1-4,0-3,SV Horn,2016-05-14T14:00Z
28,Fri May 20 2016,19:00,CEST/+0200,First Vienna FC,3-0,0-0,SV Oberwart,2016-05-20T17:00Z
28,Fri May 20 2016,19:00,CEST/+0200,SC Neusiedl/See 1919,4-0,1-0,SV Schwechat,2016-05-20T17:00Z
28,Fri May 20 2016,19:00,CEST/+0200,Austria Wien II,2-1,1-0,SC/ESV Parndorf,2016-05-20T17:00Z
28,Fri May 20 2016,19:00,CEST/+0200,FC Admira Wacker II,1-1,0-0,SKN St. Pölten II,2016-05-20T17:00Z
28,Fri May 20 2016,19:30,CEST/+0200,ASK Ebreichsdorf,2-1,1-0,Wiener Sportklub,2016-05-20T17:30Z
28,Fri May 20 2016,19:30,CEST/+0200,SV Horn,2-2,1-0,SC Ritzing,2016-05-20T17:30Z
28,Fri May 20 2016,19:30,CEST/+0200,SKU Amstetten,1-1,1-1,Rapid Wien II,2016-05-20T17:30Z
28,Sat May 21 2016,16:00,CEST/+0200,FC Stadlau,0-1,0-1,SC Sollenau,2016-05-21T14:00Z
29,Fri May 27 2016,18:30,CEST/+0200,SC Ritzing,3-0,1-0,FC Stadlau,2016-05-27T16:30Z
29,Fri May 27 2016,18:30,CEST/+0200,SV Schwechat,2-0,1-0,FC Admira Wacker II,2016-05-27T16:30Z
29,Fri May 27 2016,18:30,CEST/+0200,SV Oberwart,0-3,0-1,SKU Amstetten,2016-05-27T16:30Z
29,Fri May 27 2016,18:30,CEST/+0200,SC Sollenau,0-0,0-0,Wiener Sportklub,2016-05-27T16:30Z
29,Fri May 27 2016,18:30,CEST/+0200,SKN St. Pölten II,1-0,0-0,Austria Wien II,2016-05-27T16:30Z
29,Fri May 27 2016,18:30,CEST/+0200,Rapid Wien II,2-2,0-1,SC Neusiedl/See 1919,2016-05-27T16:30Z
29,Fri May 27 2016,19:00,CEST/+0200,SC/ESV Parndorf,0-3,0-1,SV Horn,2016-05-27T17:00Z
29,Fri May 27 2016,19:00,CEST/+0200,First Vienna FC,4-1,1-0,ASK Ebreichsdorf,2016-05-27T17:00Z
30,Fri Jun 3 2016,18:30,CEST/+0200,SC Neusiedl/See 1919,6-1,4-0,SV Oberwart,2016-06-03T16:30Z
30,Fri Jun 3 2016,18:30,CEST/+0200,ASK Ebreichsdorf,4-1,1-1,SC Sollenau,2016-06-03T16:30Z
30,Fri Jun 3 2016,18:30,CEST/+0200,SV Horn,5-1,4-0,SKN St. Pölten II,2016-06-03T16:30Z
30,Fri Jun 3 2016,18:30,CEST/+0200,Wiener Sportklub,2-2,0-1,SC Ritzing,2016-06-03T16:30Z
30,Fri Jun 3 2016,18:30,CEST/+0200,SKU Amstetten,1-1,1-0,First Vienna FC,2016-06-03T16:30Z
30,Fri Jun 3 2016,18:30,CEST/+0200,FC Stadlau,1-1,1-0,SC/ESV Parndorf,2016-06-03T16:30Z
30,Fri Jun 3 2016,18:30,CEST/+0200,FC Admira Wacker II,1-1,0-0,Rapid Wien II,2016-06-03T16:30Z
30,Fri Jun 3 2016,18:30,CEST/+0200,Austria Wien II,4-1,2-1,SV Schwechat,2016-06-03T16:30Z
