Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
Round 1,Wed Apr 20 2016,21:30,-0300,Galvez AC,1-0,,Rio Branco AC,,,2016-04-21T00:30Z
Round 1,Wed Apr 20 2016,19:30,-0300,Red Bull Brasil SP,1-1,,América MG,,,2016-04-20T22:30Z
Round 1,Wed Apr 20 2016,21:45,-0300,Campinense PB,0-0,,Cruzeiro,,,2016-04-21T00:45Z
Round 1,Wed Apr 20 2016,21:30,-0300,Comercial MS,1-1,,Joinville SC,,,2016-04-21T00:30Z
Round 1,Wed Apr 20 2016,21:45,-0300,Flamengo RJ,3-0,,Confiança SE,,,2016-04-21T00:45Z
Round 1,Wed Apr 20 2016,20:30,-0300,ABC RN,3-2,,Goianésia GO,,,2016-04-20T23:30Z
Round 1,Thu Apr 21 2016,19:15,-0300,Paraná Clube,2-0,,Estanciano SE,,,2016-04-21T22:15Z
Round 1,Thu Apr 21 2016,19:15,-0300,Operário MT,1-0,,Avaí SC,,,2016-04-21T22:15Z
Round 1,Thu Apr 21 2016,21:30,-0300,Santos AP,1-1,,Santos FC,,,2016-04-22T00:30Z
Round 1,Fri Apr 22 2016,,,Figueirense SC,(*),,Lajeadense RS,,cancelled,
Round 1,Tue Apr 26 2016,19:15,-0300,Ceará CE,1-1,,Resende FC RJ,,,2016-04-26T22:15Z
Round 1,Tue Apr 26 2016,21:30,-0300,Portuguesa SP,1-0,,Parnahyba PI,,,2016-04-27T00:30Z
Round 1,Wed Apr 27 2016,,,CA Bragantino,(*),,Brasília FC DF,,cancelled,
Round 1,Wed Apr 27 2016,20:30,-0300,Independente PA,1-2,,Paysandu PA,,,2016-04-27T23:30Z
Round 1,Wed Apr 27 2016,21:45,-0300,Vasco da Gama RJ,2-1,,Remo PA,,,2016-04-28T00:45Z
Round 1,Wed Apr 27 2016,21:45,-0300,Vitória BA,3-1,,Náutico RR,,,2016-04-28T00:45Z
Round 1,Wed Apr 27 2016,21:30,-0300,Nacional AM,1-1,,Dom Bosco MT,,,2016-04-28T00:30Z
Round 1,Wed Apr 27 2016,19:30,-0300,Goiás GO,,,River PI,4-8,,2016-04-27T22:30Z
Round 1,Wed Apr 27 2016,21:15,-0300,Rio Branco AC,2-1,,Galvez AC,,,2016-04-28T00:15Z
Round 1,Wed Apr 27 2016,21:30,-0300,Cuiabá MT,,,Juazeirense BA,4-5,,2016-04-28T00:30Z
Round 1,Thu Apr 28 2016,,,Coritiba PR,(*),,Guarany de Sobral CE,,cancelled,
Round 1,Thu Apr 28 2016,,,Fluminense RJ,(*),,Tombense MG,,cancelled,
Round 1,Thu Apr 28 2016,21:30,-0300,Santos FC,3-0,1-0,Santos AP,,,2016-04-29T00:30Z
Round 1,Thu Apr 28 2016,21:30,-0300,ASA AL,2-1,1-1,Genus RO,,,2016-04-29T00:30Z
