Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Sat Feb 27 2021,17:15,-0300,Cianorte PR,1-0,0-0,Athletico Paranaense,,2021-02-27T20:15Z
,1,Sun Feb 28 2021,16:00,-0300,Operário Ferroviário PR,1-1,0-0,Azuriz PR,,2021-02-28T19:00Z
,1,Thu Mar 11 2021,17:15,-0300,Toledo Esporte Clube,0-1,0-0,Rio Branco PR,,2021-03-11T20:15Z
,2,Thu Mar 11 2021,16:00,-0300,Azuriz PR,0-1,0-0,Cascavel FC PR,,2021-03-11T19:00Z
,1,Thu Mar 11 2021,16:00,-0300,Londrina PR,1-1,0-0,Maringá PR,,2021-03-11T19:00Z
,1,Sun Mar 14 2021,17:15,-0300,Cascavel FC PR,1-0,1-0,Paraná Clube,,2021-03-14T20:15Z
,3,Wed Mar 17 2021,16:00,-0300,Londrina PR,1-1,1-0,Azuriz PR,,2021-03-17T19:00Z
,4,Wed Mar 17 2021,16:00,-0300,Toledo Esporte Clube,0-2,0-1,Paraná Clube,,2021-03-17T19:00Z
,3,Thu Mar 18 2021,16:00,-0300,Cianorte PR,2-0,0-0,Cascavel CR PR,,2021-03-18T19:00Z
,4,Sun Mar 21 2021,16:00,-0300,Londrina PR,3-3,1-2,Cianorte PR,,2021-03-21T19:00Z
,2,Sun Mar 21 2021,16:00,-0300,Cascavel CR PR,0-1,0-0,Toledo Esporte Clube,,2021-03-21T19:00Z
,2,Tue Mar 23 2021,16:45,-0300,Maringá PR,0-1,0-0,Coritiba PR,,2021-03-23T19:45Z
,4,Wed Mar 24 2021,16:00,-0300,Cascavel FC PR,1-0,0-0,Operário Ferroviário PR,,2021-03-24T19:00Z
,1,Sat Mar 27 2021,12:00,-0300,Coritiba PR,2-1,1-0,Cascavel CR PR,,2021-03-27T15:00Z
,4,Sun Mar 28 2021,16:00,-0300,Maringá PR,0-0,0-0,Rio Branco PR,,2021-03-28T19:00Z
,5,Wed Mar 31 2021,16:00,-0300,Cianorte PR,1-0,1-0,Toledo Esporte Clube,,2021-03-31T19:00Z
,3,Wed Mar 31 2021,16:00,-0300,Operário Ferroviário PR,1-0,0-0,Rio Branco PR,,2021-03-31T19:00Z
,5,Thu Apr 1 2021,16:00,-0300,Cascavel CR PR,3-3,2-1,Cascavel FC PR,,2021-04-01T19:00Z
,5,Thu Apr 1 2021,16:00,-0300,Azuriz PR,3-0,1-0,Maringá PR,,2021-04-01T19:00Z
,5,Sat Apr 3 2021,16:00,-0300,Operário Ferroviário PR,1-0,0-0,Coritiba PR,,2021-04-03T19:00Z
,3,Sun Apr 4 2021,16:00,-0300,Cascavel FC PR,2-1,1-0,Athletico Paranaense,,2021-04-04T19:00Z
,6,Wed Apr 7 2021,16:00,-0300,Azuriz PR,1-0,1-0,Cascavel CR PR,,2021-04-07T19:00Z
,5,Wed Apr 14 2021,16:00,-0300,Rio Branco PR,1-1,0-1,Londrina PR,,2021-04-14T19:00Z
,2,Sat Apr 17 2021,15:30,-0300,Rio Branco PR,0-0,0-0,Cianorte PR,,2021-04-17T18:30Z
,2,Sat Apr 17 2021,16:00,-0300,Athletico Paranaense,0-4,0-0,Operário Ferroviário PR,,2021-04-17T19:00Z
,3,Sun Apr 18 2021,16:00,-0300,Coritiba PR,5-1,1-1,Toledo Esporte Clube,,2021-04-18T19:00Z
,2,Sun Apr 18 2021,11:00,-0300,Paraná Clube,1-1,0-1,Londrina PR,,2021-04-18T14:00Z
,4,Wed Apr 21 2021,17:40,-0300,Coritiba PR,1-1,0-1,Azuriz PR,,2021-04-21T20:40Z
,3,Wed Apr 21 2021,16:00,-0300,Paraná Clube,2-2,0-0,Maringá PR,,2021-04-21T19:00Z
,6,Wed Apr 21 2021,16:00,-0300,Londrina PR,0-0,0-0,Toledo Esporte Clube,,2021-04-21T19:00Z
,6,Thu Apr 22 2021,16:00,-0300,Cascavel FC PR,1-1,1-1,Cianorte PR,,2021-04-22T19:00Z
,4,Thu Apr 22 2021,16:00,-0300,Athletico Paranaense,3-1,2-1,Cascavel CR PR,,2021-04-22T19:00Z
,6,Sat Apr 24 2021,16:00,-0300,Coritiba PR,5-0,1-0,Paraná Clube,,2021-04-24T19:00Z
,6,Sun Apr 25 2021,16:00,-0300,Athletico Paranaense,2-0,0-0,Rio Branco PR,,2021-04-25T19:00Z
,6,Sun Apr 25 2021,16:00,-0300,Maringá PR,0-0,0-0,Operário Ferroviário PR,,2021-04-25T19:00Z
,7,Tue Apr 27 2021,16:00,-0300,Toledo Esporte Clube,1-1,1-1,Azuriz PR,,2021-04-27T19:00Z
,7,Tue Apr 27 2021,18:00,-0300,Cianorte PR,0-1,0-0,Paraná Clube,,2021-04-27T21:00Z
,7,Thu Apr 29 2021,18:00,-0300,Maringá PR,1-1,0-0,Cascavel FC PR,,2021-04-29T21:00Z
,7,Thu Apr 29 2021,15:30,-0300,Rio Branco PR,2-4,1-1,Cascavel CR PR,,2021-04-29T18:30Z
,7,Thu Apr 29 2021,18:00,-0300,Operário Ferroviário PR,1-0,1-0,Londrina PR,,2021-04-29T21:00Z
,5,Fri Apr 30 2021,16:00,-0300,Paraná Clube,0-1,0-0,Athletico Paranaense,,2021-04-30T19:00Z
,8,Sun May 2 2021,16:00,-0300,Toledo Esporte Clube,1-0,1-0,Operário Ferroviário PR,,2021-05-02T19:00Z
,8,Sun May 2 2021,18:00,-0300,Cianorte PR,0-1,0-0,Maringá PR,,2021-05-02T21:00Z
,8,Mon May 3 2021,20:00,-0300,Coritiba PR,3-2,0-1,Cascavel FC PR,,2021-05-03T23:00Z
,8,Mon May 3 2021,16:00,-0300,Paraná Clube,2-0,1-0,Rio Branco PR,,2021-05-03T19:00Z
,8,Mon May 3 2021,16:00,-0300,Azuriz PR,1-0,1-0,Athletico Paranaense,,2021-05-03T19:00Z
,8,Mon May 3 2021,18:00,-0300,Cascavel CR PR,0-4,0-1,Londrina PR,,2021-05-03T21:00Z
,7,Thu May 6 2021,17:40,-0300,Athletico Paranaense,2-1,0-0,Coritiba PR,,2021-05-06T20:40Z
,9,Fri May 7 2021,18:00,-0300,Cascavel FC PR,3-1,3-0,Toledo Esporte Clube,,2021-05-07T21:00Z
,9,Fri May 7 2021,16:00,-0300,Rio Branco PR,0-0,0-0,Azuriz PR,,2021-05-07T19:00Z
,9,Sat May 8 2021,16:00,-0300,Cascavel CR PR,1-2,0-1,Paraná Clube,,2021-05-08T19:00Z
