Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Fase Preliminar,1,Sat Jan 16 2021,15:00,-0300,Nova Iguaçu RJ,1-0,1-0,Friburguense RJ,,2021-01-16T18:00Z
Fase Preliminar,1,Sat Jan 16 2021,15:00,-0300,Americano RJ,3-2,2-2,Cabofriense RJ,,2021-01-16T18:00Z
Fase Preliminar,1,Sat Jan 16 2021,15:00,-0300,América RJ,1-1,1-1,Sampaio Corrêa RJ,,2021-01-16T18:00Z
Fase Preliminar,2,Wed Jan 20 2021,15:00,-0300,Friburguense RJ,1-1,1-1,Americano RJ,,2021-01-20T18:00Z
Fase Preliminar,2,Wed Jan 20 2021,15:00,-0300,Cabofriense RJ,0-0,0-0,América RJ,,2021-01-20T18:00Z
Fase Preliminar,2,Wed Jan 20 2021,15:00,-0300,Sampaio Corrêa RJ,1-2,0-1,Nova Iguaçu RJ,,2021-01-20T18:00Z
Fase Preliminar,3,Sat Jan 23 2021,15:30,-0300,Americano RJ,1-2,1-1,Sampaio Corrêa RJ,,2021-01-23T18:30Z
Fase Preliminar,3,Sat Jan 23 2021,15:30,-0300,Cabofriense RJ,2-1,1-1,Friburguense RJ,,2021-01-23T18:30Z
Fase Preliminar,3,Sat Jan 23 2021,15:30,-0300,América RJ,1-1,1-1,Nova Iguaçu RJ,,2021-01-23T18:30Z
Fase Preliminar,4,Wed Jan 27 2021,15:30,-0300,Friburguense RJ,1-2,0-0,América RJ,,2021-01-27T18:30Z
Fase Preliminar,4,Wed Jan 27 2021,15:30,-0300,Nova Iguaçu RJ,1-0,1-0,Americano RJ,,2021-01-27T18:30Z
Fase Preliminar,4,Wed Jan 27 2021,15:30,-0300,Sampaio Corrêa RJ,0-1,0-0,Cabofriense RJ,,2021-01-27T18:30Z
Fase Preliminar,5,Sat Jan 30 2021,15:30,-0300,Friburguense RJ,1-2,0-1,Sampaio Corrêa RJ,,2021-01-30T18:30Z
