Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Jul 16 2021,21:15,-0300,Sarmiento de Junín,0-3,0-0,Estudiantes,2021-07-17T00:15Z
1,Fri Jul 16 2021,19:00,-0300,Unión de Santa Fe,1-1,0-1,Boca Juniors,2021-07-16T22:00Z
1,Sat Jul 17 2021,15:45,-0300,Lanús,4-2,2-1,Atlético Tucumán,2021-07-17T18:45Z
1,Sat Jul 17 2021,15:45,-0300,Newell's Old Boys,3-2,0-2,Talleres de Córdoba,2021-07-17T18:45Z
1,Sat Jul 17 2021,18:00,-0300,Gimnasia de La Plata,2-2,0-2,Platense,2021-07-17T21:00Z
1,Sat Jul 17 2021,20:15,-0300,Vélez Sarsfield,0-0,0-0,Racing Club,2021-07-17T23:15Z
1,Sat Jul 17 2021,13:30,-0300,Aldosivi,0-2,0-1,Patronato de Paraná,2021-07-17T16:30Z
1,Sun Jul 18 2021,13:30,-0300,Huracán,2-1,1-1,Defensa y Justicia,2021-07-18T16:30Z
1,Sun Jul 18 2021,15:45,-0300,Arsenal de Sarandí,1-1,0-1,San Lorenzo,2021-07-18T18:45Z
1,Sun Jul 18 2021,18:00,-0300,River Plate,1-2,0-2,Colón de Santa Fe,2021-07-18T21:00Z
1,Sun Jul 18 2021,20:15,-0300,Independiente,0-0,0-0,Argentinos Juniors,2021-07-18T23:15Z
1,Mon Jul 19 2021,20:15,-0300,Godoy Cruz,2-1,0-0,Rosario Central,2021-07-19T23:15Z
1,Mon Jul 19 2021,18:00,-0300,Central Córdoba SdE,1-1,1-1,Banfield,2021-07-19T21:00Z
2,Fri Jul 23 2021,21:15,-0300,Platense,0-1,0-0,Aldosivi,2021-07-24T00:15Z
2,Fri Jul 23 2021,19:00,-0300,Atlético Tucumán,1-0,1-0,Huracán,2021-07-23T22:00Z
2,Sat Jul 24 2021,15:45,-0300,San Lorenzo,1-0,1-0,Central Córdoba SdE,2021-07-24T18:45Z
2,Sat Jul 24 2021,18:00,-0300,Racing Club,0-0,0-0,Gimnasia de La Plata,2021-07-24T21:00Z
2,Sat Jul 24 2021,20:15,-0300,Banfield,0-0,0-0,Boca Juniors,2021-07-24T23:15Z
2,Sat Jul 24 2021,13:30,-0300,Colón de Santa Fe,1-4,1-1,Lanús,2021-07-24T16:30Z
2,Sun Jul 25 2021,13:30,-0300,Patronato de Paraná,2-0,1-0,Sarmiento de Junín,2021-07-25T16:30Z
2,Sun Jul 25 2021,13:30,-0300,Defensa y Justicia,1-2,1-0,Godoy Cruz,2021-07-25T16:30Z
2,Sun Jul 25 2021,15:45,-0300,Rosario Central,1-0,0-0,Vélez Sarsfield,2021-07-25T18:45Z
2,Sun Jul 25 2021,18:00,-0300,River Plate,4-0,2-0,Unión de Santa Fe,2021-07-25T21:00Z
