Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
,11,Sun Apr 11 2021,20:00,-0300,Guarani SP,0-1,0-1,Corinthians SP,,,2021-04-11T23:00Z
,7,Mon Apr 12 2021,20:00,-0300,São Paulo FC,1-0,1-0,Red Bull Bragantino,,,2021-04-12T23:00Z
,5,Tue Apr 13 2021,20:00,-0300,Santo André SP,0-0,0-0,São Bento SP,,,2021-04-13T23:00Z
,9,Tue Apr 13 2021,20:00,-0300,Ferroviária SP,2-1,0-1,Corinthians SP,,,2021-04-13T23:00Z
,9,Wed Apr 14 2021,21:30,-0300,São Paulo FC,3-2,1-1,Guarani SP,,,2021-04-15T00:30Z
,5,Wed Apr 14 2021,22:00,-0300,Ituano SP,1-2,0-0,Botafogo SP,,,2021-04-15T01:00Z
,5,Wed Apr 14 2021,20:00,-0300,São Caetano SP,0-2,0-0,Grêmio Novorizontino SP,,,2021-04-14T23:00Z
,5,Thu Apr 15 2021,20:00,-0300,Inter de Limeira SP,0-2,0-0,Red Bull Bragantino,,,2021-04-15T23:00Z
,5,Fri Apr 16 2021,20:00,-0300,Ponte Preta,3-0,3-0,Santos FC,,,2021-04-16T23:00Z
,7,Fri Apr 16 2021,20:00,-0300,Corinthians SP,1-1,0-1,São Bento SP,,,2021-04-16T23:00Z
,5,Fri Apr 16 2021,22:00,-0300,Palmeiras,0-1,0-0,São Paulo FC,,,2021-04-17T01:00Z
,6,Sat Apr 17 2021,20:00,-0300,Red Bull Bragantino,2-1,1-1,Mirassol SP,,,2021-04-17T23:00Z
,6,Sat Apr 17 2021,22:15,-0300,Grêmio Novorizontino SP,3-1,2-1,Ferroviária SP,,,2021-04-18T01:15Z
,6,Sun Apr 18 2021,22:00,-0300,Corinthians SP,2-0,1-0,Ituano SP,,,2021-04-19T01:00Z
,6,Sun Apr 18 2021,20:00,-0300,Botafogo SP,0-0,0-0,Palmeiras,,,2021-04-18T23:00Z
,6,Sun Apr 18 2021,20:00,-0300,Santos FC,2-1,1-1,Inter de Limeira SP,,,2021-04-18T23:00Z
,6,Mon Apr 19 2021,22:15,-0300,São Bento SP,1-1,1-1,São Caetano SP,,,2021-04-20T01:15Z
,11,Mon Apr 19 2021,20:00,-0300,Red Bull Bragantino,2-0,1-0,Ponte Preta,,,2021-04-19T23:00Z
,5,Tue Apr 20 2021,21:30,-0300,Ferroviária SP,1-2,1-1,Guarani SP,,,2021-04-21T00:30Z
,9,Tue Apr 20 2021,20:00,-0300,Grêmio Novorizontino SP,2-0,0-0,Santo André SP,,,2021-04-20T23:00Z
,7,Wed Apr 21 2021,22:15,-0300,Mirassol SP,2-1,1-1,Botafogo SP,,,2021-04-22T01:15Z
,7,Wed Apr 21 2021,21:00,-0300,Inter de Limeira SP,1-0,1-0,Ituano SP,,,2021-04-22T00:00Z
,7,Thu Apr 22 2021,22:15,-0300,São Caetano SP,1-2,1-2,Ponte Preta,,,2021-04-23T01:15Z
,7,Fri Apr 23 2021,22:15,-0300,Grêmio Novorizontino SP,1-0,0-0,Santos FC,,,2021-04-24T01:15Z
,7,Fri Apr 23 2021,20:00,-0300,Guarani SP,1-2,1-1,Palmeiras,,,2021-04-23T23:00Z
,6,Fri Apr 23 2021,20:00,-0300,São Paulo FC,2-0,2-0,Santo André SP,,,2021-04-23T23:00Z
,8,Sun Apr 25 2021,20:00,-0300,Red Bull Bragantino,0-0,0-0,Ferroviária SP,,,2021-04-25T23:00Z
,8,Sun Apr 25 2021,20:00,-0300,Palmeiras,1-2,0-1,Mirassol SP,,,2021-04-25T23:00Z
,8,Sun Apr 25 2021,20:00,-0300,Santos FC,0-2,0-2,Corinthians SP,,,2021-04-25T23:00Z
,8,Sun Apr 25 2021,22:15,-0300,Ituano SP,0-3,0-2,São Paulo FC,,,2021-04-26T01:15Z
,8,Sun Apr 25 2021,22:15,-0300,Botafogo SP,1-1,1-1,São Caetano SP,,,2021-04-26T01:15Z
,8,Mon Apr 26 2021,22:15,-0300,Santo André SP,0-1,0-1,Guarani SP,,,2021-04-27T01:15Z
,8,Mon Apr 26 2021,20:00,-0300,Ponte Preta,0-1,0-1,Inter de Limeira SP,,,2021-04-26T23:00Z
,8,Tue Apr 27 2021,21:30,-0300,São Bento SP,1-1,0-0,Grêmio Novorizontino SP,,,2021-04-28T00:30Z
,9,Wed Apr 28 2021,21:00,-0300,São Caetano SP,0-1,0-0,Ituano SP,,,2021-04-29T00:00Z
,9,Thu Apr 29 2021,22:00,-0300,Palmeiras,0-1,0-0,Inter de Limeira SP,,,2021-04-30T01:00Z
,7,Thu Apr 29 2021,22:15,-0300,Ferroviária SP,2-2,1-0,Santo André SP,,,2021-04-30T01:15Z
,9,Thu Apr 29 2021,21:00,-0300,Ponte Preta,1-2,0-1,Mirassol SP,,,2021-04-30T00:00Z
,10,Sat May 1 2021,20:00,-0300,Red Bull Bragantino,1-1,1-1,Santos FC,,,2021-05-01T23:00Z
,10,Sun May 2 2021,22:15,-0300,Ituano SP,2-1,1-1,Ponte Preta,,,2021-05-03T01:15Z
,10,Sun May 2 2021,20:00,-0300,Guarani SP,2-1,1-0,Grêmio Novorizontino SP,,,2021-05-02T23:00Z
,10,Sun May 2 2021,20:00,-0300,Santo André SP,0-1,0-1,Palmeiras,,,2021-05-02T23:00Z
,10,Sun May 2 2021,22:15,-0300,Corinthians SP,2-2,1-1,São Paulo FC,,,2021-05-03T01:15Z
,10,Mon May 3 2021,22:15,-0300,Botafogo SP,2-0,1-0,São Bento SP,,,2021-05-04T01:15Z
,10,Mon May 3 2021,20:00,-0300,Mirassol SP,1-3,1-2,Ferroviária SP,,,2021-05-03T23:00Z
,10,Mon May 3 2021,20:00,-0300,Inter de Limeira SP,1-0,0-0,São Caetano SP,,,2021-05-03T23:00Z
,6,Wed May 5 2021,21:00,-0300,Ponte Preta,3-1,1-0,Guarani SP,,,2021-05-06T00:00Z
,11,Thu May 6 2021,20:00,-0300,Grêmio Novorizontino SP,2-2,1-0,Botafogo SP,,,2021-05-06T23:00Z
,11,Thu May 6 2021,20:00,-0300,São Bento SP,2-1,1-1,Inter de Limeira SP,,,2021-05-06T23:00Z
,11,Thu May 6 2021,21:00,-0300,Palmeiras,3-2,2-1,Santos FC,,,2021-05-07T00:00Z
,11,Thu May 6 2021,21:00,-0300,Santo André SP,2-1,0-1,Mirassol SP,,,2021-05-07T00:00Z
,11,Thu May 6 2021,22:15,-0300,Ferroviária SP,1-0,0-0,Ituano SP,,,2021-05-07T01:15Z
,12,Sun May 9 2021,16:00,-0300,Botafogo SP,1-1,0-1,Red Bull Bragantino,,,2021-05-09T19:00Z
,12,Sun May 9 2021,16:00,-0300,Corinthians SP,2-1,1-0,Grêmio Novorizontino SP,,,2021-05-09T19:00Z
,12,Sun May 9 2021,16:00,-0300,Inter de Limeira SP,1-0,0-0,Guarani SP,,,2021-05-09T19:00Z
,12,Sun May 9 2021,16:00,-0300,Ituano SP,0-1,0-0,Santo André SP,,,2021-05-09T19:00Z
,12,Sun May 9 2021,16:00,-0300,Mirassol SP,1-1,1-1,São Paulo FC,,,2021-05-09T19:00Z
,12,Sun May 9 2021,16:00,-0300,Ponte Preta,0-3,0-2,Palmeiras,,,2021-05-09T19:00Z
,12,Sun May 9 2021,16:00,-0300,Santos FC,2-0,2-0,São Bento SP,,,2021-05-09T19:00Z
,12,Sun May 9 2021,16:00,-0300,São Caetano SP,0-3,0-3,Ferroviária SP,,,2021-05-09T19:00Z
Playoffs,Quarterfinals,Tue May 11 2021,16:00,-0300,Corinthians SP,4-1,1-0,Inter de Limeira SP,,,2021-05-11T19:00Z
Playoffs,Quarterfinals,Wed May 12 2021,21:00,-0300,Mirassol SP,0-0,0-0,Guarani SP,,4-3,2021-05-13T00:00Z
Campeão do Interior,Quarterfinals,Wed May 12 2021,18:45,-0300,Ituano SP,5-1,4-0,Santo André SP,,,2021-05-12T21:45Z
Campeão do Interior,Quarterfinals,Thu May 13 2021,21:00,-0300,Ponte Preta,0-0,0-0,Botafogo SP,0-0,14-13,2021-05-14T00:00Z
Playoffs,Quarterfinals,Fri May 14 2021,19:30,-0300,Red Bull Bragantino,0-1,0-0,Palmeiras,,,2021-05-14T22:30Z
Playoffs,Quarterfinals,Fri May 14 2021,21:30,-0300,São Paulo FC,4-2,2-1,Ferroviária SP,,,2021-05-15T00:30Z
Campeão do Interior,Semifinals,Sun May 16 2021,18:15,-0300,Red Bull Bragantino,1-1,1-0,Ponte Preta,1-1,2-4,2021-05-16T21:15Z
Playoffs,Semifinals,Sun May 16 2021,16:00,-0300,Corinthians SP,0-2,0-1,Palmeiras,,,2021-05-16T19:00Z
Playoffs,Semifinals,Sun May 16 2021,20:30,-0300,São Paulo FC,4-0,1-0,Mirassol SP,,,2021-05-16T23:30Z
Campeão do Interior,Semifinals,Mon May 17 2021,20:00,-0300,Grêmio Novorizontino SP,4-0,2-0,Ituano SP,,,2021-05-17T23:00Z
Playoffs,Final,Thu May 20 2021,22:00,-0300,Palmeiras,0-0,0-0,São Paulo FC,,,2021-05-21T01:00Z
Campeão do Interior,Final,Thu May 20 2021,19:15,-0300,Grêmio Novorizontino SP,2-0,1-0,Ponte Preta,,,2021-05-20T22:15Z
Playoffs,Final,Sun May 23 2021,16:00,-0300,São Paulo FC,2-0,1-0,Palmeiras,,,2021-05-23T19:00Z
