Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Round 1,Tue Mar 9 2021,21:30,-0300,Campinense PB,1-7,1-3,Bahia BA,,2021-03-10T00:30Z
Round 1,Tue Mar 9 2021,19:15,-0300,Águia Negra MS,0-1,0-1,Vitória BA,,2021-03-09T22:15Z
Round 1,Wed Mar 10 2021,15:30,-0300,Gama DF,1-2,1-0,Ponte Preta,,2021-03-10T18:30Z
Round 1,Wed Mar 10 2021,15:30,-0300,Madureira RJ,0-1,0-1,Paysandu PA,,2021-03-10T18:30Z
Round 1,Wed Mar 10 2021,16:00,-0300,4 de Julho PI,1-0,0-0,Confiança SE,,2021-03-10T19:00Z
Round 1,Wed Mar 10 2021,18:00,-0300,Rio Branco ES,2-1,0-0,Sampaio Corrêa MA,,2021-03-10T21:00Z
Round 1,Wed Mar 10 2021,18:00,-0300,Cianorte PR,1-0,0-0,Paraná Clube,,2021-03-10T21:00Z
Round 1,Wed Mar 10 2021,19:15,-0300,Juazeirense BA,3-2,1-2,Sport Recife PE,,2021-03-10T22:15Z
Round 1,Wed Mar 10 2021,21:30,-0300,Moto Club MA,0-5,0-2,Botafogo RJ,,2021-03-11T00:30Z
Round 1,Thu Mar 11 2021,17:00,-0300,Uberlândia MG,1-1,1-1,Luverdense MT,,2021-03-11T20:00Z
Round 1,Thu Mar 11 2021,19:15,-0300,São Raimundo RR,1-1,1-1,Cruzeiro,,2021-03-11T22:15Z
Round 1,Thu Mar 11 2021,21:30,-0300,Boavista RJ,3-1,2-0,Goiás GO,,2021-03-12T00:30Z
Round 1,Thu Mar 11 2021,15:30,-0300,Real Brasilia DF,0-2,0-2,América RN,,2021-03-11T18:30Z
Round 1,Tue Mar 16 2021,19:15,-0300,Sergipe SE,0-0,0-0,Cuiabá MT,,2021-03-16T22:15Z
Round 1,Tue Mar 16 2021,21:30,-0300,Murici AL,0-3,0-1,Juventude RS,,2021-03-17T00:30Z
Round 1,Wed Mar 17 2021,15:30,-0300,Rio Branco VN ES,1-1,1-1,ABC RN,,2021-03-17T18:30Z
Round 1,Wed Mar 17 2021,15:30,-0300,Guarany de Sobral CE,1-5,0-4,CSA AL,,2021-03-17T18:30Z
Round 1,Wed Mar 17 2021,15:30,-0300,Castanhal PA,0-3,0-1,Volta Redonda RJ,,2021-03-17T18:30Z
Round 1,Wed Mar 17 2021,15:30,-0300,Juventude MA,0-2,0-2,Operário Ferroviário PR,,2021-03-17T18:30Z
Round 1,Wed Mar 17 2021,16:00,-0300,Picos PI,1-0,0-0,Atlético Acreano AC,,2021-03-17T19:00Z
Round 1,Wed Mar 17 2021,16:30,-0300,Nova Mutum MT,0-0,0-0,Tombense MG,,2021-03-17T19:30Z
Round 1,Wed Mar 17 2021,17:00,-0300,Atlético de Alagoinhas BA,0-3,0-0,Vila Nova GO,,2021-03-17T20:00Z
Round 1,Wed Mar 17 2021,17:00,-0300,Galvez AC,1-3,0-1,Atlético Goianiense,,2021-03-17T20:00Z
Round 1,Wed Mar 17 2021,18:00,-0300,Retrô PE,1-0,1-0,Brusque SC,,2021-03-17T21:00Z
Round 1,Wed Mar 17 2021,20:00,-0300,Esportivo RS,0-2,0-1,Remo PA,,2021-03-17T23:00Z
Round 1,Wed Mar 17 2021,20:00,-0300,Santa Cruz RS,0-0,0-0,Joinville SC,,2021-03-17T23:00Z
Round 1,Wed Mar 17 2021,20:00,-0300,S.E.R. Caxias RS,0-1,0-1,Fortaleza CE,,2021-03-17T23:00Z
Round 1,Wed Mar 17 2021,21:30,-0300,Salgueiro PE,0-3,0-1,Corinthians SP,,2021-03-18T00:30Z
Round 1,Thu Mar 18 2021,15:30,-0300,Marília SP,0-0,0-0,Criciúma SC,,2021-03-18T18:30Z
Round 1,Thu Mar 18 2021,17:30,-0300,Caldense MG,1-1,0-1,Vasco da Gama RJ,,2021-03-18T20:30Z
Round 1,Thu Mar 18 2021,17:30,-0300,União Rondonópolis MT,0-1,0-1,Coritiba PR,,2021-03-18T20:30Z
Round 1,Thu Mar 18 2021,18:00,-0300,Treze PB,0-1,0-0,América MG,,2021-03-18T21:00Z
Round 1,Thu Mar 18 2021,18:00,-0300,Cascavel FC PR,2-1,1-1,Figueirense SC,,2021-03-18T21:00Z
Round 1,Thu Mar 18 2021,20:00,-0300,Penarol AM,1-1,1-1,Ypiranga RS,,2021-03-18T23:00Z
Round 1,Thu Mar 18 2021,20:00,-0300,Mirassol SP,2-3,2-1,Red Bull Bragantino,,2021-03-18T23:00Z
Round 1,Thu Mar 25 2021,15:30,-0300,Palmas TO,0-1,0-0,Avaí SC,,2021-03-25T18:30Z
Round 1,Thu Mar 25 2021,15:30,-0300,Porto Velho EC RO,0-1,0-0,Ferroviário CE,,2021-03-25T18:30Z
Round 1,Fri Mar 26 2021,15:30,-0300,Ypiranga AP,0-4,0-2,Santa Cruz PE,,2021-03-26T18:30Z
Round 2,Fri Mar 26 2021,21:30,-0300,Corinthians SP,1-1,1-0,Retrô PE,5-3,2021-03-27T00:30Z
Round 1,Fri Mar 26 2021,15:30,-0300,Jaraguá GO,1-4,1-2,Manaus AM,,2021-03-26T18:30Z
Round 1,Sat Mar 27 2021,15:30,-0300,Goianésia GO,2-3,2-3,CR Brasil AL,,2021-03-27T18:30Z
Round 2,Thu Apr 1 2021,17:00,-0300,Luverdense MT,1-2,1-1,Red Bull Bragantino,,2021-04-01T20:00Z
Round 2,Tue Apr 6 2021,21:30,-0300,Fortaleza CE,1-0,0-0,Ypiranga RS,,2021-04-07T00:30Z
Round 2,Tue Apr 6 2021,19:00,-0300,Coritiba PR,3-2,1-1,Operário Ferroviário PR,,2021-04-06T22:00Z
Round 2,Wed Apr 7 2021,16:00,-0300,Picos PI,0-1,0-1,Boavista RJ,,2021-04-07T19:00Z
Round 2,Wed Apr 7 2021,16:00,-0300,Juazeirense BA,3-3,0-3,Volta Redonda RJ,4-2,2021-04-07T19:00Z
Round 2,Wed Apr 7 2021,19:00,-0300,Vitória BA,2-0,0-0,Rio Branco ES,,2021-04-07T22:00Z
Round 2,Wed Apr 7 2021,21:30,-0300,Bahia BA,4-1,2-1,Manaus AM,,2021-04-08T00:30Z
Round 2,Wed Apr 7 2021,21:30,-0300,Tombense MG,1-2,0-1,Vasco da Gama RJ,,2021-04-08T00:30Z
Round 2,Thu Apr 8 2021,21:30,-0300,Vila Nova GO,1-1,4-3,Juventude RS,4-3,2021-04-09T00:30Z
Round 2,Thu Apr 8 2021,19:00,-0300,Criciúma SC,1-1,0-0,Ponte Preta,5-4,2021-04-08T22:00Z
Round 2,Tue Apr 13 2021,19:00,-0300,Cianorte PR,1-0,1-0,Santa Cruz PE,,2021-04-13T22:00Z
Round 2,Tue Apr 13 2021,21:30,-0300,CSA AL,1-1,1-0,Remo PA,5-6,2021-04-14T00:30Z
Round 2,Tue Apr 13 2021,16:45,-0300,Paysandu PA,1-2,1-1,CR Brasil AL,,2021-04-13T19:45Z
Round 2,Wed Apr 14 2021,19:00,-0300,América MG,1-1,3-2,Ferroviário CE,3-2,2021-04-14T22:00Z
Round 2,Wed Apr 14 2021,21:30,-0300,ABC RN,4-1,4-1,Botafogo RJ,4-1,2021-04-15T00:30Z
Round 2,Wed Apr 14 2021,21:30,-0300,América RN,0-1,0-1,Cruzeiro,,2021-04-15T00:30Z
Round 2,Thu Apr 15 2021,19:00,-0300,Avaí SC,2-0,2-0,Cascavel FC PR,,2021-04-15T22:00Z
Round 2,Thu Apr 15 2021,21:30,-0300,Joinville SC,0-2,0-2,Atlético Goianiense,,2021-04-16T00:30Z
Round 2,Thu Apr 15 2021,19:00,-0300,4 de Julho PI,0-0,0-0,Cuiabá MT,5-4,2021-04-15T22:00Z
Round 3,Tue Jun 1 2021,16:30,-0300,Vila Nova GO,0-1,0-0,Bahia BA,,2021-06-01T19:30Z
Round 3,Tue Jun 1 2021,19:00,-0300,Cianorte PR,0-2,0-1,Santos FC,,2021-06-01T22:00Z
Round 3,Tue Jun 1 2021,21:30,-0300,4 de Julho PI,3-2,2-2,São Paulo FC,,2021-06-02T00:30Z
Round 3,Tue Jun 1 2021,21:30,-0300,Boavista RJ,0-1,0-1,Vasco da Gama RJ,,2021-06-02T00:30Z
Round 3,Wed Jun 2 2021,16:30,-0300,Chapecoense,3-1,2-0,ABC RN,,2021-06-02T19:30Z
