Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Sat Feb 27 2021,20:00,-0300,Novo Hamburgo RS,1-1,1-1,Pelotas RS,2021-02-27T23:00Z
,1,Sat Feb 27 2021,20:00,-0300,Esportivo RS,1-0,0-0,São José RS,2021-02-27T23:00Z
,1,Sat Feb 27 2021,22:00,-0300,Brasil de Pelotas RS,0-1,0-0,Aimoré RS,2021-02-28T01:00Z
,1,Sat Feb 27 2021,15:30,-0300,São Luiz RS,0-3,0-2,Ypiranga RS,2021-02-27T18:30Z
,1,Mon Mar 1 2021,20:00,-0300,Internacional,1-0,1-0,Juventude RS,2021-03-01T23:00Z
,2,Wed Mar 3 2021,20:00,-0300,Grêmio Porto Alegre,4-1,4-1,Brasil de Pelotas RS,2021-03-03T23:00Z
,2,Wed Mar 3 2021,20:00,-0300,Ypiranga RS,3-3,2-2,Novo Hamburgo RS,2021-03-03T23:00Z
,2,Wed Mar 3 2021,20:00,-0300,Aimoré RS,2-0,0-0,Esportivo RS,2021-03-03T23:00Z
,2,Thu Mar 4 2021,20:00,-0300,Pelotas RS,2-2,1-1,Internacional,2021-03-04T23:00Z
,2,Thu Mar 4 2021,20:00,-0300,São José RS,0-1,0-1,S.E.R. Caxias RS,2021-03-04T23:00Z
,2,Thu Mar 4 2021,21:30,-0300,Juventude RS,1-2,0-2,São Luiz RS,2021-03-05T00:30Z
,3,Sat Mar 6 2021,20:00,-0300,Esportivo RS,0-1,0-1,Brasil de Pelotas RS,2021-03-06T23:00Z
,3,Mon Mar 8 2021,22:00,-0300,S.E.R. Caxias RS,3-2,2-1,Aimoré RS,2021-03-09T01:00Z
,3,Mon Mar 8 2021,20:00,-0300,Internacional,1-2,0-1,São Luiz RS,2021-03-08T23:00Z
,3,Mon Mar 8 2021,20:00,-0300,Pelotas RS,0-2,0-1,Ypiranga RS,2021-03-08T23:00Z
,3,Mon Mar 8 2021,22:00,-0300,Novo Hamburgo RS,1-3,0-2,Juventude RS,2021-03-09T01:00Z
,4,Fri Mar 12 2021,21:00,-0300,Juventude RS,2-3,1-1,Pelotas RS,2021-03-13T00:00Z
,4,Sat Mar 13 2021,20:00,-0300,Brasil de Pelotas RS,0-0,0-0,S.E.R. Caxias RS,2021-03-13T23:00Z
,4,Sat Mar 13 2021,20:00,-0300,Esportivo RS,0-2,0-1,Grêmio Porto Alegre,2021-03-13T23:00Z
,4,Sun Mar 14 2021,20:00,-0300,Internacional,4-2,1-1,Ypiranga RS,2021-03-14T23:00Z
,4,Sun Mar 14 2021,20:00,-0300,Aimoré RS,0-1,0-1,São José RS,2021-03-14T23:00Z
,4,Sun Mar 14 2021,20:00,-0300,São Luiz RS,2-0,0-0,Novo Hamburgo RS,2021-03-14T23:00Z
,5,Fri Mar 19 2021,20:00,-0300,São José RS,1-2,1-2,Brasil de Pelotas RS,2021-03-19T23:00Z
,5,Fri Mar 19 2021,20:00,-0300,Grêmio Porto Alegre,2-0,2-0,Aimoré RS,2021-03-19T23:00Z
,5,Sun Mar 21 2021,20:00,-0300,Pelotas RS,1-1,0-1,São Luiz RS,2021-03-21T23:00Z
,5,Sun Mar 21 2021,20:00,-0300,Novo Hamburgo RS,0-1,0-0,Internacional,2021-03-21T23:00Z
,5,Sun Mar 21 2021,20:00,-0300,S.E.R. Caxias RS,2-1,1-0,Esportivo RS,2021-03-21T23:00Z
,5,Mon Mar 22 2021,22:00,-0300,Ypiranga RS,0-1,0-1,Juventude RS,2021-03-23T01:00Z
,3,Mon Mar 22 2021,20:00,-0300,São José RS,1-1,0-0,Grêmio Porto Alegre,2021-03-22T23:00Z
,6,Wed Mar 24 2021,20:00,-0300,Novo Hamburgo RS,1-1,0-0,Brasil de Pelotas RS,2021-03-24T23:00Z
,6,Wed Mar 24 2021,22:00,-0300,Internacional,2-0,0-0,S.E.R. Caxias RS,2021-03-25T01:00Z
,6,Thu Mar 25 2021,20:00,-0300,São Luiz RS,1-1,0-1,Esportivo RS,2021-03-25T23:00Z
,6,Thu Mar 25 2021,20:00,-0300,Ypiranga RS,4-1,2-0,São José RS,2021-03-25T23:00Z
,6,Thu Mar 25 2021,21:30,-0300,Juventude RS,2-1,0-1,Grêmio Porto Alegre,2021-03-26T00:30Z
,6,Thu Mar 25 2021,22:00,-0300,Pelotas RS,1-2,0-2,Aimoré RS,2021-03-26T01:00Z
,7,Sat Mar 27 2021,20:00,-0300,Brasil de Pelotas RS,1-2,1-2,Internacional,2021-03-27T23:00Z
,7,Sun Mar 28 2021,20:00,-0300,São José RS,1-0,1-0,Juventude RS,2021-03-28T23:00Z
,7,Sun Mar 28 2021,20:00,-0300,S.E.R. Caxias RS,4-0,4-0,São Luiz RS,2021-03-28T23:00Z
,7,Sun Mar 28 2021,20:00,-0300,Aimoré RS,0-0,0-0,Ypiranga RS,2021-03-28T23:00Z
,7,Sun Mar 28 2021,21:00,-0300,Grêmio Porto Alegre,4-0,4-0,Pelotas RS,2021-03-29T00:00Z
,7,Mon Mar 29 2021,20:00,-0300,Esportivo RS,1-2,1-2,Novo Hamburgo RS,2021-03-29T23:00Z
,8,Wed Mar 31 2021,20:00,-0300,Ypiranga RS,1-0,1-0,Brasil de Pelotas RS,2021-03-31T23:00Z
,8,Wed Mar 31 2021,20:00,-0300,Internacional,0-0,0-0,São José RS,2021-03-31T23:00Z
,8,Wed Mar 31 2021,22:00,-0300,São Luiz RS,2-2,1-1,Grêmio Porto Alegre,2021-04-01T01:00Z
,8,Thu Apr 1 2021,20:00,-0300,Pelotas RS,0-2,0-2,Esportivo RS,2021-04-01T23:00Z
,8,Thu Apr 1 2021,20:00,-0300,Juventude RS,1-0,1-0,Aimoré RS,2021-04-01T23:00Z
,8,Thu Apr 1 2021,20:00,-0300,Novo Hamburgo RS,3-0,1-0,S.E.R. Caxias RS,2021-04-01T23:00Z
,9,Sat Apr 3 2021,22:15,-0300,Grêmio Porto Alegre,1-0,0-0,Internacional,2021-04-04T01:15Z
,9,Sun Apr 4 2021,20:00,-0300,São José RS,1-0,1-0,São Luiz RS,2021-04-04T23:00Z
,9,Mon Apr 5 2021,20:00,-0300,Brasil de Pelotas RS,0-0,0-0,Pelotas RS,2021-04-05T23:00Z
,9,Mon Apr 5 2021,20:00,-0300,S.E.R. Caxias RS,0-0,0-0,Juventude RS,2021-04-05T23:00Z
,9,Mon Apr 5 2021,20:00,-0300,Aimoré RS,2-0,2-0,Novo Hamburgo RS,2021-04-05T23:00Z
,9,Fri Apr 9 2021,20:00,-0300,Esportivo RS,1-1,0-0,Ypiranga RS,2021-04-09T23:00Z
,10,Wed Apr 14 2021,21:30,-0300,Aimoré RS,1-6,0-2,Internacional,2021-04-15T00:30Z
,1,Fri Apr 16 2021,20:00,-0300,S.E.R. Caxias RS,0-0,0-0,Grêmio Porto Alegre,2021-04-16T23:00Z
,10,Sun Apr 18 2021,20:00,-0300,Brasil de Pelotas RS,1-0,1-0,São Luiz RS,2021-04-18T23:00Z
,10,Sun Apr 18 2021,20:00,-0300,Grêmio Porto Alegre,3-1,2-0,Novo Hamburgo RS,2021-04-18T23:00Z
,10,Mon Apr 19 2021,20:00,-0300,Esportivo RS,2-2,2-2,Juventude RS,2021-04-19T23:00Z
,10,Mon Apr 19 2021,20:00,-0300,São José RS,1-1,1-0,Pelotas RS,2021-04-19T23:00Z
,10,Tue Apr 20 2021,20:00,-0300,S.E.R. Caxias RS,2-2,1-1,Ypiranga RS,2021-04-20T23:00Z
,11,Sat Apr 24 2021,21:00,-0300,Ypiranga RS,2-3,0-3,Grêmio Porto Alegre,2021-04-25T00:00Z
,11,Sat Apr 24 2021,21:00,-0300,Internacional,5-0,3-0,Esportivo RS,2021-04-25T00:00Z
,11,Sat Apr 24 2021,21:00,-0300,São Luiz RS,0-0,0-0,Aimoré RS,2021-04-25T00:00Z
,11,Sat Apr 24 2021,21:00,-0300,Novo Hamburgo RS,1-3,0-2,São José RS,2021-04-25T00:00Z
,11,Sat Apr 24 2021,21:00,-0300,Juventude RS,2-1,2-0,Brasil de Pelotas RS,2021-04-25T00:00Z
,11,Sat Apr 24 2021,21:00,-0300,Pelotas RS,1-1,1-1,S.E.R. Caxias RS,2021-04-25T00:00Z
Playoffs,Semifinals,Sun May 2 2021,19:00,-0300,S.E.R. Caxias RS,1-2,1-1,Grêmio Porto Alegre,2021-05-02T22:00Z
Playoffs,Semifinals,Sun May 2 2021,16:00,-0300,Juventude RS,1-0,0-0,Internacional,2021-05-02T19:00Z
