Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Qualifikation,Wed May 26 2021,16:00,-0300,Tocantinópolis TO,2-0,1-0,Picos PI,,,2021-05-26T19:00Z
Qualifikation,Wed May 26 2021,16:00,-0300,Real Ariquemes RO,0-2,0-0,Brasiliense DF,,,2021-05-26T19:00Z
Qualifikation,Wed May 26 2021,16:00,-0300,Aquidauanense MS,1-4,1-3,Rio Branco ES,,,2021-05-26T19:00Z
Qualifikation,Wed May 26 2021,15:00,-0300,Santana AP,1-2,1-0,GA Sampaio RR,,,2021-05-26T18:00Z
Qualifikation,Sun May 30 2021,16:00,-0300,Picos PI,3-1,1-0,Tocantinópolis TO,3-1,1-4,2021-05-30T19:00Z
Qualifikation,Sun May 30 2021,17:00,-0300,GA Sampaio RR,3-0,2-0,Santana AP,,,2021-05-30T20:00Z
Qualifikation,Sun May 30 2021,18:00,-0300,Rio Branco ES,2-0,0-0,Aquidauanense MS,,,2021-05-30T21:00Z
Qualifikation,Sun May 30 2021,15:00,-0300,Brasiliense DF,3-1,1-0,Real Ariquemes RO,,,2021-05-30T18:00Z
Gruppe A,Sat Jun 5 2021,17:00,-0300,Fast Clube AM,3-3,2-3,Ypiranga AP,,,2021-06-05T20:00Z
Gruppe E,Sat Jun 5 2021,15:30,-0300,Jaraguá GO,1-3,1-2,Gama DF,,,2021-06-05T18:30Z
Gruppe D,Sat Jun 5 2021,16:00,-0300,Bahia de Feira BA,1-1,1-1,Sergipe SE,,,2021-06-05T19:00Z
Gruppe F,Sat Jun 5 2021,17:00,-0300,Boa Esporte MG,4-0,2-0,Águia Negra MS,,,2021-06-05T20:00Z
Gruppe F,Sat Jun 5 2021,17:00,-0300,Ferroviária SP,0-3,0-2,Uberlândia MG,,,2021-06-05T20:00Z
Gruppe C,Sat Jun 5 2021,16:00,-0300,Sousa PB,2-1,1-1,Atlético Cearense CE,,,2021-06-05T19:00Z
Gruppe C,Sat Jun 5 2021,15:00,-0300,América RN,1-0,0-0,Central PE,,,2021-06-05T18:00Z
Gruppe G,Sat Jun 5 2021,15:00,-0300,Bangu RJ,1-2,1-1,Santo André SP,,,2021-06-05T18:00Z
Gruppe G,Sat Jun 5 2021,19:00,-0300,Portuguesa SP,2-2,2-1,Cianorte PR,,,2021-06-05T22:00Z
Gruppe E,Sat Jun 5 2021,15:00,-0300,Brasiliense DF,1-1,1-0,Goianésia GO,,,2021-06-05T18:00Z
Gruppe B,Sat Jun 5 2021,15:00,-0300,Juventude MA,0-0,0-0,4 de Julho PI,,,2021-06-05T18:00Z
Gruppe B,Sat Jun 5 2021,15:00,-0300,Guarany de Sobral CE,1-0,1-0,Paragominas PA,,,2021-06-05T18:00Z
Gruppe H,Sat Jun 5 2021,16:00,-0300,Cascavel FC PR,3-3,2-0,Joinville SC,,,2021-06-05T19:00Z
Gruppe A,Sun Jun 6 2021,17:00,-0300,GA Sampaio RR,0-1,0-0,Penarol AM,,,2021-06-06T20:00Z
Gruppe A,Sun Jun 6 2021,15:00,-0300,Castanhal PA,4-1,1-1,Galvez AC,,,2021-06-06T18:00Z
Gruppe E,Sun Jun 6 2021,16:00,-0300,União Rondonópolis MT,1-1,0-1,Porto Velho EC RO,,,2021-06-06T19:00Z
Gruppe E,Sun Jun 6 2021,16:00,-0300,Aparecidense GO,3-1,1-0,Nova Mutum MT,,,2021-06-06T19:00Z
Gruppe G,Sun Jun 6 2021,18:00,-0300,Boavista RJ,0-0,0-0,São Bento SP,,,2021-06-06T21:00Z
Gruppe C,Sun Jun 6 2021,16:00,-0300,Treze PB,0-1,0-0,ABC RN,,,2021-06-06T19:00Z
Gruppe C,Sun Jun 6 2021,16:00,-0300,Caucaia CE,3-3,0-1,Campinense PB,,,2021-06-06T19:00Z
Gruppe B,Sun Jun 6 2021,16:00,-0300,Imperatriz MA,3-2,1-1,Palmas TO,,,2021-06-06T19:00Z
Gruppe B,Sun Jun 6 2021,16:00,-0300,Tocantinópolis TO,1-1,1-1,Moto Club MA,,,2021-06-06T19:00Z
