Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Sat Feb 27 2021,19:00,-0300,Caldense MG,1-1,0-0,Tombense MG,,2021-02-27T22:00Z
,1,Sat Feb 27 2021,19:00,-0300,América MG,1-0,0-0,Boa Esporte MG,,2021-02-27T22:00Z
,1,Sat Feb 27 2021,16:30,-0300,Uberlândia MG,1-1,1-0,Cruzeiro,,2021-02-27T19:30Z
,1,Sun Feb 28 2021,16:00,-0300,Atlético Patrocinense MG,0-2,0-0,Athletic MG,,2021-02-28T19:00Z
,1,Sun Feb 28 2021,18:15,-0300,Atlético Mineiro,3-0,1-0,U.R.T. MG,,2021-02-28T21:15Z
,1,Sun Feb 28 2021,15:30,-0300,Pouso Alegre MG,0-0,0-0,Coimbra MG,,2021-02-28T18:30Z
,2,Wed Mar 3 2021,19:00,-0300,Boa Esporte MG,0-0,0-0,Pouso Alegre MG,,2021-03-03T22:00Z
,2,Wed Mar 3 2021,19:00,-0300,Coimbra MG,0-1,0-1,Atlético Patrocinense MG,,2021-03-03T22:00Z
,2,Wed Mar 3 2021,19:15,-0300,Athletic MG,0-1,0-0,América MG,,2021-03-03T22:15Z
,2,Wed Mar 3 2021,20:00,-0300,U.R.T. MG,1-0,1-0,Uberlândia MG,,2021-03-03T23:00Z
,2,Wed Mar 3 2021,21:30,-0300,Cruzeiro,0-1,0-1,Caldense MG,,2021-03-04T00:30Z
,2,Thu Mar 4 2021,21:00,-0300,Tombense MG,1-2,1-1,Atlético Mineiro,,2021-03-05T00:00Z
,3,Sat Mar 6 2021,19:00,-0300,Pouso Alegre MG,1-2,1-1,América MG,,2021-03-06T22:00Z
,3,Sat Mar 6 2021,21:00,-0300,U.R.T. MG,0-2,0-0,Cruzeiro,,2021-03-07T00:00Z
,3,Sat Mar 6 2021,19:00,-0300,Caldense MG,0-0,0-0,Atlético Patrocinense MG,,2021-03-06T22:00Z
,3,Sun Mar 7 2021,15:00,-0300,Athletic MG,1-0,1-0,Boa Esporte MG,,2021-03-07T18:00Z
,3,Sun Mar 7 2021,20:30,-0300,Atlético Mineiro,4-0,1-0,Uberlândia MG,,2021-03-07T23:30Z
,3,Sun Mar 7 2021,10:00,-0300,Coimbra MG,0-0,0-0,Tombense MG,,2021-03-07T13:00Z
,4,Fri Mar 12 2021,19:00,-0300,Boa Esporte MG,2-1,1-1,Coimbra MG,,2021-03-12T22:00Z
,4,Sat Mar 13 2021,16:30,-0300,Atlético Patrocinense MG,1-3,0-1,Atlético Mineiro,,2021-03-13T19:30Z
,4,Sat Mar 13 2021,21:00,-0300,América MG,0-1,0-1,Caldense MG,,2021-03-14T00:00Z
,4,Sat Mar 13 2021,16:00,-0300,Tombense MG,1-0,1-0,U.R.T. MG,,2021-03-13T19:00Z
