Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri May 24 2013,19:30,-0300,São Caetano SP,0-0,0-0,Ceará CE,2013-05-24T22:30Z
1,Fri May 24 2013,21:50,-0300,Boa Esporte MG,1-4,0-1,Chapecoense,2013-05-25T00:50Z
1,Fri May 24 2013,21:50,-0300,Paysandu PA,1-1,1-1,ASA AL,2013-05-25T00:50Z
1,Fri May 24 2013,19:30,-0300,Oeste SP,1-1,0-1,Avaí SC,2013-05-24T22:30Z
1,Sat May 25 2013,16:20,-0300,Figueirense SC,3-2,2-1,América RN,2013-05-25T19:20Z
1,Sat May 25 2013,16:20,-0300,Joinville SC,3-0,2-0,CA Bragantino,2013-05-25T19:20Z
1,Sat May 25 2013,16:20,-0300,Icasa CE,2-1,1-0,Sport Recife PE,2013-05-25T19:20Z
1,Sat May 25 2013,16:20,-0300,Palmeiras,1-0,0-0,Atlético Goianiense,2013-05-25T19:20Z
1,Sat May 25 2013,21:00,-0300,ABC RN,0-2,0-2,Paraná Clube,2013-05-26T00:00Z
1,Sat May 25 2013,21:00,-0300,Guaratinguetá Futebol SP,1-0,1-0,América MG,2013-05-26T00:00Z
2,Tue May 28 2013,15:00,-0300,Paraná Clube,0-0,0-0,São Caetano SP,2013-05-28T18:00Z
2,Tue May 28 2013,19:30,-0300,Avaí SC,2-1,2-0,Guaratinguetá Futebol SP,2013-05-28T22:30Z
2,Tue May 28 2013,19:30,-0300,Ceará CE,1-0,0-0,Paysandu PA,2013-05-28T22:30Z
2,Tue May 28 2013,19:30,-0300,América RN,1-1,1-1,Icasa CE,2013-05-28T22:30Z
2,Tue May 28 2013,19:30,-0300,Sport Recife PE,1-0,0-0,ABC RN,2013-05-28T22:30Z
2,Tue May 28 2013,21:50,-0300,ASA AL,0-3,0-3,Palmeiras,2013-05-29T00:50Z
2,Tue May 28 2013,21:50,-0300,América MG,2-4,1-2,Figueirense SC,2013-05-29T00:50Z
2,Tue May 28 2013,21:50,-0300,Chapecoense,1-1,1-0,Oeste SP,2013-05-29T00:50Z
2,Tue May 28 2013,21:50,-0300,Atlético Goianiense,2-1,0-0,Joinville SC,2013-05-29T00:50Z
2,Tue May 28 2013,21:50,-0300,CA Bragantino,0-1,0-0,Boa Esporte MG,2013-05-29T00:50Z
3,Fri May 31 2013,19:30,-0300,Joinville SC,2-0,2-0,ASA AL,2013-05-31T22:30Z
3,Fri May 31 2013,19:30,-0300,Icasa CE,3-4,2-1,Avaí SC,2013-05-31T22:30Z
3,Fri May 31 2013,19:30,-0300,Paysandu PA,1-1,1-1,América RN,2013-05-31T22:30Z
3,Fri May 31 2013,21:50,-0300,Oeste SP,1-0,1-0,Paraná Clube,2013-06-01T00:50Z
3,Fri May 31 2013,21:50,-0300,Figueirense SC,3-2,2-0,Sport Recife PE,2013-06-01T00:50Z
3,Fri May 31 2013,21:50,-0300,ABC RN,1-1,1-1,Ceará CE,2013-06-01T00:50Z
3,Sat Jun 1 2013,16:20,-0300,CA Bragantino,2-0,2-0,Guaratinguetá Futebol SP,2013-06-01T19:20Z
3,Sat Jun 1 2013,21:00,-0300,Boa Esporte MG,0-0,0-0,Atlético Goianiense,2013-06-02T00:00Z
3,Sat Jun 1 2013,21:00,-0300,São Caetano SP,0-1,0-0,Chapecoense,2013-06-02T00:00Z
3,Sat Jun 1 2013,16:20,-0300,Palmeiras,0-1,0-1,América MG,2013-06-01T19:20Z
4,Tue Jun 4 2013,19:30,-0300,Oeste SP,2-1,1-1,Ceará CE,2013-06-04T22:30Z
4,Tue Jun 4 2013,19:30,-0300,Boa Esporte MG,1-2,0-0,ASA AL,2013-06-04T22:30Z
