Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Fri Jul 26 2019,20:45,CEST/+0200,Rapid Wien,0-2,0-1,RB Salzburg,2019-07-26T18:45Z
,1,Sat Jul 27 2019,17:00,CEST/+0200,WSG Tirol,3-1,1-0,Austria Wien,2019-07-27T15:00Z
,1,Sat Jul 27 2019,17:00,CEST/+0200,FC Admira Wacker,0-3,0-1,Wolfsberger AC,2019-07-27T15:00Z
,1,Sun Jul 28 2019,17:00,CEST/+0200,Sturm Graz,3-0,2-0,SKN St. Pölten,2019-07-28T15:00Z
,1,Sun Jul 28 2019,17:00,CEST/+0200,LASK,2-0,1-0,SCR Altach,2019-07-28T15:00Z
,1,Sun Jul 28 2019,17:00,CEST/+0200,SV Mattersburg,2-1,1-0,TSV Hartberg,2019-07-28T15:00Z
,2,Sat Aug 3 2019,17:00,CEST/+0200,Austria Wien,0-3,0-1,LASK,2019-08-03T15:00Z
,2,Sat Aug 3 2019,17:00,CEST/+0200,SCR Altach,3-2,2-2,WSG Tirol,2019-08-03T15:00Z
,2,Sat Aug 3 2019,17:00,CEST/+0200,TSV Hartberg,4-1,2-0,FC Admira Wacker,2019-08-03T15:00Z
,2,Sun Aug 4 2019,17:00,CEST/+0200,Wolfsberger AC,0-1,0-1,Sturm Graz,2019-08-04T15:00Z
,2,Sun Aug 4 2019,17:00,CEST/+0200,SKN St. Pölten,2-2,1-1,Rapid Wien,2019-08-04T15:00Z
,2,Sun Aug 4 2019,17:00,CEST/+0200,RB Salzburg,4-1,3-0,SV Mattersburg,2019-08-04T15:00Z
,3,Sat Aug 10 2019,17:00,CEST/+0200,RB Salzburg,5-2,2-1,Wolfsberger AC,2019-08-10T15:00Z
,3,Sat Aug 10 2019,17:00,CEST/+0200,Rapid Wien,2-1,2-1,SCR Altach,2019-08-10T15:00Z
,3,Sat Aug 10 2019,17:00,CEST/+0200,FC Admira Wacker,0-1,0-1,LASK,2019-08-10T15:00Z
,3,Sun Aug 11 2019,17:00,CEST/+0200,TSV Hartberg,1-0,0-0,Sturm Graz,2019-08-11T15:00Z
,3,Sun Aug 11 2019,17:00,CEST/+0200,WSG Tirol,1-1,1-0,SKN St. Pölten,2019-08-11T15:00Z
,3,Sun Aug 11 2019,17:00,CEST/+0200,SV Mattersburg,1-5,0-2,Austria Wien,2019-08-11T15:00Z
,4,Sat Aug 17 2019,17:00,CEST/+0200,LASK,1-1,0-1,WSG Tirol,2019-08-17T15:00Z
,4,Sat Aug 17 2019,17:00,CEST/+0200,Wolfsberger AC,5-0,2-0,SV Mattersburg,2019-08-17T15:00Z
,4,Sat Aug 17 2019,17:00,CEST/+0200,SKN St. Pölten,0-6,0-2,RB Salzburg,2019-08-17T15:00Z
,4,Sun Aug 18 2019,17:00,CEST/+0200,Sturm Graz,0-1,0-1,Rapid Wien,2019-08-18T15:00Z
,4,Sun Aug 18 2019,17:00,CEST/+0200,SCR Altach,3-3,0-3,TSV Hartberg,2019-08-18T15:00Z
,4,Sun Aug 18 2019,17:00,CEST/+0200,Austria Wien,1-1,1-0,FC Admira Wacker,2019-08-18T15:00Z
,5,Sat Aug 24 2019,17:00,CEST/+0200,Rapid Wien,1-2,0-1,LASK,2019-08-24T15:00Z
,5,Sat Aug 24 2019,17:00,CEST/+0200,Wolfsberger AC,5-2,3-1,SCR Altach,2019-08-24T15:00Z
,5,Sat Aug 24 2019,17:00,CEST/+0200,SV Mattersburg,0-1,0-1,SKN St. Pölten,2019-08-24T15:00Z
,5,Sun Aug 25 2019,17:00,CEST/+0200,RB Salzburg,5-0,3-0,FC Admira Wacker,2019-08-25T15:00Z
,5,Sun Aug 25 2019,17:00,CEST/+0200,TSV Hartberg,2-2,1-0,Austria Wien,2019-08-25T15:00Z
,5,Sun Aug 25 2019,17:00,CEST/+0200,Sturm Graz,2-0,1-0,WSG Tirol,2019-08-25T15:00Z
,6,Sat Aug 31 2019,17:00,CEST/+0200,LASK,0-1,0-0,Wolfsberger AC,2019-08-31T15:00Z
,6,Sat Aug 31 2019,17:00,CEST/+0200,FC Admira Wacker,1-3,1-2,SV Mattersburg,2019-08-31T15:00Z
,6,Sat Aug 31 2019,17:00,CEST/+0200,WSG Tirol,1-5,0-3,RB Salzburg,2019-08-31T15:00Z
,6,Sun Sep 1 2019,17:00,CEST/+0200,SKN St. Pölten,1-3,0-2,TSV Hartberg,2019-09-01T15:00Z
,6,Sun Sep 1 2019,17:00,CEST/+0200,SCR Altach,1-2,0-1,Sturm Graz,2019-09-01T15:00Z
,6,Sun Sep 1 2019,17:00,CEST/+0200,Austria Wien,1-3,1-1,Rapid Wien,2019-09-01T15:00Z
,7,Sat Sep 14 2019,17:00,CEST/+0200,RB Salzburg,7-2,2-1,TSV Hartberg,2019-09-14T15:00Z
,7,Sat Sep 14 2019,17:00,CEST/+0200,Sturm Graz,0-2,0-0,LASK,2019-09-14T15:00Z
,7,Sat Sep 14 2019,17:00,CEST/+0200,SV Mattersburg,0-2,0-1,WSG Tirol,2019-09-14T15:00Z
,7,Sun Sep 15 2019,14:30,CEST/+0200,SCR Altach,6-0,3-0,SKN St. Pölten,2019-09-15T12:30Z
,7,Sun Sep 15 2019,17:00,CEST/+0200,Wolfsberger AC,3-0,0-0,Austria Wien,2019-09-15T15:00Z
,7,Sun Sep 15 2019,14:30,CEST/+0200,Rapid Wien,5-0,1-0,FC Admira Wacker,2019-09-15T12:30Z
