Stage,Round,Date,Time,Team 1,FT,HT,Team 2,Comments
Regular Season,6,Sat Aug 31 2019,20:30,Waasland-Beveren,0-4,0-1,Sporting Charleroi,
Regular Season,6,Sat Aug 31 2019,20:00,KV Kortrijk,2-2,0-1,KV Oostende,
Regular Season,6,Sat Aug 31 2019,18:00,AS Eupen,0-2,0-1,Sint-Truidense VV,
Regular Season,6,Sun Sep 1 2019,20:00,SV Zulte Waregem,2-0,2-0,Royal Antwerp FC,
Regular Season,6,Sun Sep 1 2019,20:00,KAA Gent,3-2,3-1,Cercle Brugge,
Regular Season,6,Sun Sep 1 2019,18:00,RSC Anderlecht,1-0,1-0,Standard Liège,
Regular Season,6,Sun Sep 1 2019,14:30,Club Brugge KV,1-1,1-0,KRC Genk,
Regular Season,7,Fri Sep 13 2019,20:30,Sporting Charleroi,2-1,2-0,KRC Genk,
Regular Season,7,Sat Sep 14 2019,20:30,Cercle Brugge,0-2,0-1,Club Brugge KV,
Regular Season,7,Sat Sep 14 2019,20:00,Sint-Truidense VV,1-1,0-0,Waasland-Beveren,
Regular Season,7,Sat Sep 14 2019,18:00,KV Oostende,1-4,1-1,Standard Liège,
Regular Season,7,Sat Sep 14 2019,20:00,AS Eupen,1-1,0-1,SV Zulte Waregem,
Regular Season,7,Sun Sep 15 2019,18:00,KAA Gent,3-0,3-0,KV Mechelen,
Regular Season,7,Sun Sep 15 2019,20:30,Royal Excel Mouscron,2-0,1-0,KV Kortrijk,
Regular Season,7,Sun Sep 15 2019,14:30,RSC Anderlecht,1-2,0-0,Royal Antwerp FC,
Regular Season,8,Fri Sep 20 2019,20:30,KV Kortrijk,2-3,1-0,KV Mechelen,
Regular Season,8,Sat Sep 21 2019,20:00,Royal Antwerp FC,3-1,1-1,Cercle Brugge,
Regular Season,8,Sat Sep 21 2019,20:30,KRC Genk,3-1,2-1,KV Oostende,
Regular Season,8,Sat Sep 21 2019,18:00,Sporting Charleroi,0-3,0-1,Sint-Truidense VV,
Regular Season,8,Sat Sep 21 2019,20:00,Waasland-Beveren,1-1,0-1,Royal Excel Mouscron,
Regular Season,8,Sun Sep 22 2019,20:00,SV Zulte Waregem,2-2,1-1,KAA Gent,
Regular Season,8,Sun Sep 22 2019,18:00,Club Brugge KV,2-1,1-1,RSC Anderlecht,
Regular Season,8,Sun Sep 22 2019,14:30,Standard Liège,3-0,2-0,AS Eupen,
Regular Season,9,Sat Sep 28 2019,20:00,KAA Gent,2-0,0-0,KV Kortrijk,
Regular Season,9,Sat Sep 28 2019,20:30,Sint-Truidense VV,3-3,0-1,KRC Genk,
Regular Season,9,Sat Sep 28 2019,18:00,KV Mechelen,0-5,0-1,Club Brugge KV,
Regular Season,9,Sat Sep 28 2019,20:00,Cercle Brugge,1-2,1-0,AS Eupen,
Regular Season,9,Sat Sep 28 2019,20:00,Royal Excel Mouscron,2-2,1-0,SV Zulte Waregem,
Regular Season,9,Sun Sep 29 2019,20:00,KV Oostende,1-1,0-1,Royal Antwerp FC,
Regular Season,9,Sun Sep 29 2019,18:00,Standard Liège,1-1,0-1,Sporting Charleroi,
Regular Season,9,Sun Sep 29 2019,14:30,RSC Anderlecht,0-0,0-0,Waasland-Beveren,
Regular Season,10,Fri Oct 4 2019,20:30,Sporting Charleroi,1-2,1-1,RSC Anderlecht,
Regular Season,10,Sat Oct 5 2019,18:00,AS Eupen,0-2,0-1,KV Mechelen,
Regular Season,10,Sat Oct 5 2019,20:00,Waasland-Beveren,3-1,2-1,KV Oostende,
Regular Season,10,Sat Oct 5 2019,20:30,KV Kortrijk,4-0,3-0,Sint-Truidense VV,
Regular Season,10,Sat Oct 5 2019,20:00,SV Zulte Waregem,6-0,2-0,Cercle Brugge,
Regular Season,10,Sun Oct 6 2019,14:30,Club Brugge KV,4-0,2-0,KAA Gent,
Regular Season,10,Sun Oct 6 2019,18:00,Royal Antwerp FC,2-2,1-0,Standard Liège,
Regular Season,10,Sun Oct 6 2019,20:00,KRC Genk,2-1,0-0,Royal Excel Mouscron,
Regular Season,11,Fri Oct 18 2019,20:30,Royal Excel Mouscron,0-1,0-1,Club Brugge KV,
Regular Season,11,Sat Oct 19 2019,20:30,KAA Gent,2-0,1-0,Waasland-Beveren,
Regular Season,11,Sat Oct 19 2019,20:00,KV Oostende,2-3,2-1,AS Eupen,
Regular Season,11,Sat Oct 19 2019,18:00,Standard Liège,1-0,0-0,KRC Genk,
Regular Season,11,Sat Oct 19 2019,20:00,KV Kortrijk,2-0,1-0,SV Zulte Waregem,
Regular Season,11,Sun Oct 20 2019,20:00,Cercle Brugge,0-3,0-3,Sporting Charleroi,
Regular Season,11,Sun Oct 20 2019,18:00,RSC Anderlecht,4-1,2-0,Sint-Truidense VV,
Regular Season,11,Sun Oct 20 2019,14:30,KV Mechelen,3-1,2-1,Royal Antwerp FC,
Regular Season,12,Fri Oct 25 2019,20:30,AS Eupen,0-0,0-0,RSC Anderlecht,
Regular Season,12,Sat Oct 26 2019,18:00,Sporting Charleroi,1-0,0-0,Royal Excel Mouscron,
Regular Season,12,Sat Oct 26 2019,20:30,KRC Genk,1-0,1-0,Cercle Brugge,
Regular Season,12,Sat Oct 26 2019,20:00,Royal Antwerp FC,3-1,1-0,KV Kortrijk,
Regular Season,12,Sat Oct 26 2019,20:00,SV Zulte Waregem,2-0,0-0,KV Oostende,
Regular Season,12,Sun Oct 27 2019,18:00,Sint-Truidense VV,0-0,0-0,KAA Gent,
Regular Season,12,Sun Oct 27 2019,14:30,Club Brugge KV,1-1,0-1,Standard Liège,
Regular Season,12,Sun Oct 27 2019,20:00,Waasland-Beveren,1-3,0-1,KV Mechelen,
Regular Season,13,Tue Oct 29 2019,20:30,KV Oostende,0-1,0-0,Sporting Charleroi,
Regular Season,13,Tue Oct 29 2019,20:30,Cercle Brugge,2-2,1-1,Royal Excel Mouscron,
Regular Season,13,Tue Oct 29 2019,20:30,KV Kortrijk,1-2,0-2,AS Eupen,
Regular Season,13,Wed Oct 30 2019,20:30,SV Zulte Waregem,0-2,0-1,Club Brugge KV,
Regular Season,13,Wed Oct 30 2019,20:30,KV Mechelen,1-2,1-0,Sint-Truidense VV,
Regular Season,13,Wed Oct 30 2019,20:30,KRC Genk,2-2,0-1,Royal Antwerp FC,
Regular Season,13,Wed Oct 30 2019,20:30,Standard Liège,2-0,1-0,Waasland-Beveren,
Regular Season,13,Thu Oct 31 2019,20:30,RSC Anderlecht,3-3,1-1,KAA Gent,
Regular Season,14,Sat Nov 2 2019,18:00,AS Eupen,2-0,2-0,KRC Genk,
Regular Season,14,Sat Nov 2 2019,20:00,Waasland-Beveren,1-2,0-1,SV Zulte Waregem,
Regular Season,14,Sat Nov 2 2019,20:30,Club Brugge KV,3-0,2-0,KV Kortrijk,
Regular Season,14,Sat Nov 2 2019,20:00,Royal Excel Mouscron,3-1,0-1,Royal Antwerp FC,
Regular Season,14,Sat Nov 2 2019,20:00,Sint-Truidense VV,1-0,0-0,KV Oostende,
Regular Season,14,Sun Nov 3 2019,20:00,KV Mechelen,2-2,2-2,Sporting Charleroi,
Regular Season,14,Sun Nov 3 2019,18:00,KAA Gent,3-1,0-1,Standard Liège,
Regular Season,14,Sun Nov 3 2019,14:30,RSC Anderlecht,2-1,2-1,Cercle Brugge,
Regular Season,15,Fri Nov 8 2019,20:30,SV Zulte Waregem,1-2,0-1,RSC Anderlecht,
Regular Season,15,Sat Nov 9 2019,20:30,KV Oostende,2-2,1-0,Royal Excel Mouscron,
Regular Season,15,Sat Nov 9 2019,20:00,Cercle Brugge,2-1,1-0,Sint-Truidense VV,
Regular Season,15,Sat Nov 9 2019,18:00,Sporting Charleroi,1-0,0-0,AS Eupen,
Regular Season,15,Sat Nov 9 2019,20:00,KV Kortrijk,1-3,0-2,Waasland-Beveren,
Regular Season,15,Sun Nov 10 2019,20:00,Standard Liège,1-2,0-1,KV Mechelen,
Regular Season,15,Sun Nov 10 2019,18:00,KRC Genk,0-2,0-1,KAA Gent,
Regular Season,15,Sun Nov 10 2019,14:30,Royal Antwerp FC,2-1,0-1,Club Brugge KV,
Regular Season,5,Thu Nov 21 2019,20:30,Royal Antwerp FC,3-2,2-1,KAA Gent,
Regular Season,16,Fri Nov 22 2019,20:30,Club Brugge KV,2-0,1-0,KV Oostende,
Regular Season,16,Sat Nov 23 2019,20:00,Waasland-Beveren,1-1,1-0,Cercle Brugge,
Regular Season,16,Sat Nov 23 2019,18:00,AS Eupen,1-2,0-1,Standard Liège,
Regular Season,16,Sat Nov 23 2019,20:00,KV Mechelen,0-2,0-1,SV Zulte Waregem,
Regular Season,16,Sat Nov 23 2019,20:30,Royal Excel Mouscron,2-2,1-1,KRC Genk,
Regular Season,16,Sun Nov 24 2019,20:00,Sint-Truidense VV,1-3,0-0,Sporting Charleroi,
Regular Season,16,Sun Nov 24 2019,14:30,KAA Gent,1-1,1-0,Royal Antwerp FC,
Regular Season,16,Sun Nov 24 2019,18:00,RSC Anderlecht,0-0,0-0,KV Kortrijk,
Regular Season,17,Fri Nov 29 2019,20:30,Royal Antwerp FC,1-0,0-0,KV Mechelen,
Regular Season,17,Sat Nov 30 2019,18:00,Club Brugge KV,1-0,1-0,Royal Excel Mouscron,
Regular Season,17,Sat Nov 30 2019,20:30,KRC Genk,1-2,1-2,Sint-Truidense VV,
Regular Season,17,Sat Nov 30 2019,20:00,SV Zulte Waregem,1-0,1-0,AS Eupen,
Regular Season,17,Sat Nov 30 2019,20:00,Sporting Charleroi,2-0,2-0,Waasland-Beveren,
Regular Season,17,Sun Dec 1 2019,20:00,KV Kortrijk,0-2,0-1,KAA Gent,
Regular Season,17,Sun Dec 1 2019,14:30,KV Oostende,3-2,2-0,RSC Anderlecht,
Regular Season,17,Sun Dec 1 2019,18:00,Standard Liège,2-1,1-0,Cercle Brugge,
Regular Season,18,Fri Dec 6 2019,20:30,Waasland-Beveren,0-4,0-1,Royal Antwerp FC,
Regular Season,18,Sat Dec 7 2019,18:00,KV Mechelen,1-1,0-0,KV Kortrijk,
Regular Season,18,Sat Dec 7 2019,20:00,Cercle Brugge,1-2,0-1,KRC Genk,
Regular Season,18,Sat Dec 7 2019,20:00,KAA Gent,2-0,2-0,SV Zulte Waregem,
Regular Season,18,Sat Dec 7 2019,20:30,Sint-Truidense VV,1-2,1-1,Club Brugge KV,
Regular Season,18,Sun Dec 8 2019,14:30,Royal Excel Mouscron,2-2,1-1,Standard Liège,
Regular Season,18,Sun Dec 8 2019,20:00,AS Eupen,1-0,0-0,KV Oostende,
Regular Season,18,Sun Dec 8 2019,18:00,RSC Anderlecht,0-0,0-0,Sporting Charleroi,
Regular Season,19,Fri Dec 13 2019,20:30,KV Kortrijk,1-2,1-0,Royal Excel Mouscron,
Regular Season,19,Sat Dec 14 2019,20:30,KRC Genk,4-1,3-0,Waasland-Beveren,
Regular Season,19,Sat Dec 14 2019,18:00,Royal Antwerp FC,1-0,0-0,AS Eupen,
Regular Season,19,Sat Dec 14 2019,20:00,SV Zulte Waregem,5-1,2-1,Sint-Truidense VV,
Regular Season,19,Sat Dec 14 2019,20:00,Sporting Charleroi,3-0,1-0,Cercle Brugge,
Regular Season,19,Sun Dec 15 2019,20:00,KV Oostende,2-1,1-1,KAA Gent,
Regular Season,19,Sun Dec 15 2019,18:00,Club Brugge KV,3-0,2-0,KV Mechelen,
