Round,Date,Time,Team 1,FT,HT,Team 2,Comments
1,Fri Aug 16 2019,19:00,Giresunspor,0-2,0-1,Menemen Belediyespor,
1,Sat Aug 17 2019,18:15,Fatih Karagümrük SK,3-1,1-0,Bursaspor,
1,Sat Aug 17 2019,20:45,Adana Demirspor,2-0,0-0,Balıkesirspor,
1,Sat Aug 17 2019,20:45,Osmanlıspor FK,2-1,0-0,Boluspor,
1,Sun Aug 18 2019,15:30,Hatayspor,1-0,0-0,Altınordu FSG,
1,Sun Aug 18 2019,18:15,BB Erzurumspor,2-2,0-2,Istanbulspor,
1,Sun Aug 18 2019,20:45,Altay Izmir,1-3,0-1,Ümraniyespor,
1,Sun Aug 18 2019,20:45,Akhisar Belediyespor,1-0,0-0,Adanaspor,
1,Mon Aug 19 2019,19:00,Eskişehirspor,1-1,0-0,Keçiörengücü,
2,Fri Aug 23 2019,19:00,Boluspor,0-0,0-0,Adana Demirspor,
2,Sat Aug 24 2019,15:30,Keçiörengücü,1-0,0-0,Osmanlıspor FK,
2,Sat Aug 24 2019,20:45,Balıkesirspor,2-1,1-0,BB Erzurumspor,
2,Sat Aug 24 2019,20:45,Altınordu FSG,1-2,0-1,Fatih Karagümrük SK,
2,Sun Aug 25 2019,16:00,Ümraniyespor,4-1,2-0,Giresunspor,
2,Sun Aug 25 2019,18:15,Menemen Belediyespor,0-4,0-1,Hatayspor,
2,Sun Aug 25 2019,20:45,Adanaspor,3-2,1-1,Eskişehirspor,
2,Sun Aug 25 2019,20:45,Bursaspor,2-1,1-0,Akhisar Belediyespor,
2,Mon Aug 26 2019,19:00,Istanbulspor,2-2,1-2,Altay Izmir,
3,Fri Aug 30 2019,19:00,Osmanlıspor FK,2-2,1-0,Adanaspor,
3,Sat Aug 31 2019,20:45,Altay Izmir,1-0,0-0,Balıkesirspor,
3,Sat Aug 31 2019,16:00,Ümraniyespor,2-1,0-1,Istanbulspor,
3,Sat Aug 31 2019,20:45,Akhisar Belediyespor,0-0,0-0,Altınordu FSG,
3,Sat Aug 31 2019,18:15,BB Erzurumspor,1-0,0-0,Boluspor,
3,Sun Sep 1 2019,18:15,Giresunspor,2-2,1-0,Hatayspor,
3,Sun Sep 1 2019,18:15,Fatih Karagümrük SK,1-1,0-0,Menemen Belediyespor,
3,Sun Sep 1 2019,20:45,Adana Demirspor,0-0,0-0,Keçiörengücü,
3,Sun Sep 1 2019,20:45,Eskişehirspor,0-2,0-0,Bursaspor,
4,Fri Sep 13 2019,18:00,Balıkesirspor,2-0,2-0,Ümraniyespor,
4,Sat Sep 14 2019,18:00,Boluspor,0-2,0-1,Altay Izmir,
4,Sat Sep 14 2019,18:00,Altınordu FSG,4-1,1-0,Eskişehirspor,
4,Sat Sep 14 2019,14:30,Keçiörengücü,1-0,0-0,BB Erzurumspor,
4,Sun Sep 15 2019,15:30,Bursaspor,3-1,2-0,Osmanlıspor FK,
4,Sun Sep 15 2019,18:00,Menemen Belediyespor,0-1,0-0,Akhisar Belediyespor,
4,Sun Sep 15 2019,18:00,Adanaspor,0-0,0-0,Adana Demirspor,
4,Sun Sep 15 2019,15:30,Istanbulspor,2-1,0-0,Giresunspor,
4,Mon Sep 16 2019,18:00,Hatayspor,0-0,0-0,Fatih Karagümrük SK,
5,Fri Sep 20 2019,18:00,BB Erzurumspor,2-1,1-1,Adanaspor,
5,Fri Sep 20 2019,18:00,Istanbulspor,2-2,0-2,Balıkesirspor,
