Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 16 2019,19:30,Denizlispor,2-0,0-0,Galatasaray
1,Sat Aug 17 2019,18:15,Gençlerbirliği,0-1,0-0,Çaykur Rizespor
1,Sat Aug 17 2019,20:45,Kayserispor,0-1,0-0,Alanyaspor
1,Sat Aug 17 2019,20:45,Sivasspor,3-0,1-0,Beşiktaş
1,Sun Aug 18 2019,20:45,Yeni Malatyaspor,3-0,0-0,İstanbul Başakşehir F.K.
1,Sun Aug 18 2019,20:45,Göztepe,0-1,0-1,Antalyaspor
1,Sun Aug 18 2019,20:45,Kasımpaşa SK,1-1,1-1,Trabzonspor
1,Sun Aug 18 2019,18:15,Atiker Konyaspor,0-0,0-0,MKE Ankaragücü
1,Mon Aug 19 2019,19:00,Fenerbahçe,5-0,3-0,Gazişehir Gaziantep FK
2,Fri Aug 23 2019,19:30,Beşiktaş,3-0,1-0,Göztepe
2,Sat Aug 24 2019,18:15,MKE Ankaragücü,1-1,0-0,Kayserispor
2,Sat Aug 24 2019,20:45,Alanyaspor,4-1,1-1,Kasımpaşa SK
2,Sat Aug 24 2019,20:45,İstanbul Başakşehir F.K.,1-2,1-0,Fenerbahçe
2,Sun Aug 25 2019,18:15,Çaykur Rizespor,2-1,0-0,Sivasspor
2,Sun Aug 25 2019,20:45,Galatasaray,1-1,0-0,Atiker Konyaspor
2,Sun Aug 25 2019,20:45,Antalyaspor,0-2,0-1,Denizlispor
2,Sun Aug 25 2019,18:15,Trabzonspor,2-1,1-0,Yeni Malatyaspor
2,Mon Aug 26 2019,19:00,Gazişehir Gaziantep FK,4-1,2-0,Gençlerbirliği
3,Fri Aug 30 2019,19:30,Kasımpaşa SK,0-1,0-1,MKE Ankaragücü
3,Fri Aug 30 2019,19:30,Kayserispor,2-3,1-0,Galatasaray
3,Sat Aug 31 2019,18:15,Atiker Konyaspor,2-2,0-1,Antalyaspor
3,Sat Aug 31 2019,20:45,Beşiktaş,1-1,0-1,Çaykur Rizespor
3,Sat Aug 31 2019,20:45,Göztepe,0-0,0-0,Denizlispor
3,Sun Sep 1 2019,18:15,Gençlerbirliği,1-2,1-0,İstanbul Başakşehir F.K.
3,Sun Sep 1 2019,18:15,Sivasspor,1-1,0-1,Gazişehir Gaziantep FK
3,Sun Sep 1 2019,20:45,Yeni Malatyaspor,2-3,0-3,Alanyaspor
3,Sun Sep 1 2019,20:45,Fenerbahçe,1-1,1-1,Trabzonspor
4,Fri Sep 13 2019,19:30,Galatasaray,1-0,1-0,Kasımpaşa SK
4,Sat Sep 14 2019,16:00,İstanbul Başakşehir F.K.,1-1,0-1,Sivasspor
4,Sat Sep 14 2019,19:00,Gazişehir Gaziantep FK,3-2,1-0,Beşiktaş
4,Sat Sep 14 2019,19:00,Antalyaspor,2-2,1-1,Kayserispor
4,Sun Sep 15 2019,16:00,MKE Ankaragücü,0-4,0-3,Yeni Malatyaspor
4,Sun Sep 15 2019,16:00,Çaykur Rizespor,0-0,0-0,Göztepe
4,Sun Sep 15 2019,19:00,Denizlispor,0-1,0-0,Atiker Konyaspor
4,Sun Sep 15 2019,19:00,Trabzonspor,2-2,1-1,Gençlerbirliği
4,Mon Sep 16 2019,19:00,Alanyaspor,3-1,1-1,Fenerbahçe
5,Fri Sep 20 2019,19:30,Göztepe,1-0,0-0,Atiker Konyaspor
5,Sat Sep 21 2019,14:00,Kasımpaşa SK,3-0,0-0,Antalyaspor
5,Sat Sep 21 2019,16:30,Kayserispor,1-1,1-0,Denizlispor
5,Sat Sep 21 2019,19:00,Fenerbahçe,2-1,1-1,MKE Ankaragücü
5,Sun Sep 22 2019,13:00,Çaykur Rizespor,1-2,0-2,Gazişehir Gaziantep FK
5,Sun Sep 22 2019,15:30,Gençlerbirliği,1-1,1-0,Alanyaspor
5,Sun Sep 22 2019,18:00,Yeni Malatyaspor,1-1,0-1,Galatasaray
5,Mon Sep 23 2019,19:00,Beşiktaş,1-1,0-0,İstanbul Başakşehir F.K.
5,Mon Sep 23 2019,19:00,Sivasspor,2-1,1-1,Trabzonspor
6,Fri Sep 27 2019,19:30,İstanbul Başakşehir F.K.,5-0,2-0,Çaykur Rizespor
6,Sat Sep 28 2019,19:00,Galatasaray,0-0,0-0,Fenerbahçe
6,Sat Sep 28 2019,16:30,Alanyaspor,1-1,0-1,Sivasspor
6,Sat Sep 28 2019,14:00,Denizlispor,0-1,0-0,Kasımpaşa SK
6,Sun Sep 29 2019,13:00,Atiker Konyaspor,2-1,1-1,Kayserispor
