Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Fri Jul 19 2019,17:30,CEST/+0200,USK Maximarkt Anif,1-4,1-2,Sturm Graz,,,2019-07-19T15:30Z
Round 1,Fri Jul 19 2019,18:30,CEST/+0200,SK Treibach,1-2,0-0,WSG Tirol,,,2019-07-19T16:30Z
Round 1,Fri Jul 19 2019,18:30,CEST/+0200,FC Langenegg,1-4,1-1,SK Austria Klagenfurt,,,2019-07-19T16:30Z
Round 1,Fri Jul 19 2019,18:30,CEST/+0200,ASK-BSC Bruck/Leitha,0-4,0-3,SV Ried,,,2019-07-19T16:30Z
Round 1,Fri Jul 19 2019,19:00,CEST/+0200,ATSV Wolfsberg,4-1,3-0,AS Koma Elektra,,,2019-07-19T17:00Z
Round 1,Fri Jul 19 2019,19:00,CEST/+0200,FC Kitzbühel,0-7,0-1,FC Wacker Innsbruck,,,2019-07-19T17:00Z
Round 1,Fri Jul 19 2019,19:00,CEST/+0200,SV Hall,1-5,0-2,FC Juniors OÖ,,,2019-07-19T17:00Z
Round 1,Fri Jul 19 2019,19:00,CEST/+0200,ASK Ebreichsdorf,1-1,1-0,SV Lafnitz,2-1,,2019-07-19T17:00Z
Round 1,Fri Jul 19 2019,19:00,CEST/+0200,TuS Bad Gleichenberg,2-3,1-1,Vorwärts Steyr,,,2019-07-19T17:00Z
Round 1,Fri Jul 19 2019,19:30,CEST/+0200,FC Gleisdorf 09,4-0,1-0,ASV Draßburg,,,2019-07-19T17:30Z
Round 1,Fri Jul 19 2019,19:30,CEST/+0200,Union Gurten,1-0,1-0,FC Zell am See,,,2019-07-19T17:30Z
Round 1,Fri Jul 19 2019,19:30,CEST/+0200,SV Seekirchen,1-4,1-1,SKU Amstetten,,,2019-07-19T17:30Z
Round 1,Fri Jul 19 2019,19:30,CEST/+0200,Wiener Sport-Club,2-6,0-2,FC Dornbirn,,,2019-07-19T17:30Z
Round 1,Fri Jul 19 2019,20:00,CEST/+0200,FC Mauerwerk,1-2,0-1,FC Marchfeld Donauauen,,,2019-07-19T18:00Z
Round 1,Fri Jul 19 2019,20:30,CEST/+0200,SC/ESV Parndorf,1-7,0-3,RB Salzburg,,,2019-07-19T18:30Z
Round 1,Sat Jul 20 2019,17:00,CEST/+0200,FC Wolfurt,0-3,0-2,Floridsdorfer AC,,,2019-07-20T15:00Z
Round 1,Sat Jul 20 2019,17:30,CEST/+0200,SC Wiener Viktoria,2-2,0-1,TSV Hartberg,2-2,5-3,2019-07-20T15:30Z
Round 1,Sat Jul 20 2019,17:30,CEST/+0200,SV Gloggnitz,1-2,0-1,SKN St. Pölten,,,2019-07-20T15:30Z
Round 1,Sat Jul 20 2019,17:30,CEST/+0200,ASKÖ Köttmannsdorf,0-9,0-4,Austria Wien,,,2019-07-20T15:30Z
Round 1,Sat Jul 20 2019,17:30,CEST/+0200,SC Pinkafeld,0-10,0-3,SV Mattersburg,,,2019-07-20T15:30Z
