Round,Date,Time,Team 1,FT,HT,Team 2,Comments
1,Fri Jul 12 2019,19:00,Arsenal Tula,1-1,0-1,Dinamo Moskva,
1,Sat Jul 13 2019,15:30,FC Ural,3-2,1-0,FK Ufa,
1,Sat Jul 13 2019,18:00,Spartak Moskva,1-0,0-0,PFC Sochi,
1,Sat Jul 13 2019,20:30,FK Rostov,2-1,2-0,FK Orenburg,
1,Sun Jul 14 2019,15:30,Krylia Sovetov,2-0,0-0,CSKA Moskva,
1,Sun Jul 14 2019,18:00,Zenit St. Petersburg,2-1,0-0,FK Tambov,
1,Sun Jul 14 2019,20:30,Akhmat Grozny,1-0,1-0,FK Krasnodar,
1,Mon Jul 15 2019,19:00,Lokomotiv Moskva,1-1,0-0,Rubin Kazan,
2,Sat Jul 20 2019,13:00,FK Ufa,2-3,2-0,FK Krasnodar,
2,Sat Jul 20 2019,15:30,Krylia Sovetov,2-3,1-2,Arsenal Tula,
2,Sat Jul 20 2019,18:00,CSKA Moskva,2-1,2-1,FK Orenburg,
2,Sat Jul 20 2019,20:30,FK Rostov,2-2,1-1,Spartak Moskva,
2,Sun Jul 21 2019,13:00,FC Ural,3-0,1-0,Akhmat Grozny,
2,Sun Jul 21 2019,15:30,Lokomotiv Moskva,2-1,2-1,FK Tambov,
2,Sun Jul 21 2019,18:00,Dinamo Moskva,0-1,0-0,Rubin Kazan,
2,Sun Jul 21 2019,20:30,PFC Sochi,0-2,0-1,Zenit St. Petersburg,
3,Fri Jul 26 2019,19:00,Dinamo Moskva,2-0,2-0,FC Ural,
3,Sat Jul 27 2019,13:00,FK Ufa,2-1,2-1,Krylia Sovetov,
3,Sat Jul 27 2019,15:30,FK Tambov,2-0,1-0,Spartak Moskva,
3,Sat Jul 27 2019,18:00,FK Krasnodar,3-0,2-0,PFC Sochi,
3,Sun Jul 28 2019,13:00,FK Orenburg,0-2,0-1,Zenit St. Petersburg,
3,Sun Jul 28 2019,15:30,Arsenal Tula,2-3,0-1,FK Rostov,
3,Sun Jul 28 2019,18:00,CSKA Moskva,1-0,1-0,Lokomotiv Moskva,
3,Mon Jul 29 2019,19:00,Rubin Kazan,1-0,0-0,Akhmat Grozny,
4,Sat Aug 3 2019,13:00,FC Ural,2-2,1-0,FK Rostov,
4,Sat Aug 3 2019,15:30,Krylia Sovetov,1-2,0-1,Lokomotiv Moskva,
4,Sat Aug 3 2019,18:00,Spartak Moskva,0-0,0-0,Dinamo Moskva,
4,Sat Aug 3 2019,20:30,Zenit St. Petersburg,1-1,0-0,FK Krasnodar,
4,Sun Aug 4 2019,15:30,FK Tambov,0-1,0-1,Arsenal Tula,
4,Sun Aug 4 2019,18:00,Rubin Kazan,0-1,0-1,CSKA Moskva,
4,Sun Aug 4 2019,20:30,PFC Sochi,0-0,0-0,FK Ufa,
4,Mon Aug 5 2019,19:00,Akhmat Grozny,2-1,0-0,FK Orenburg,
5,Sat Aug 10 2019,13:00,FK Orenburg,2-2,0-1,FK Tambov,
5,Sat Aug 10 2019,18:00,FK Krasnodar,1-0,1-0,Rubin Kazan,
5,Sat Aug 10 2019,18:00,Dinamo Moskva,0-2,0-1,Zenit St. Petersburg,
5,Sun Aug 11 2019,13:00,Arsenal Tula,1-0,1-0,FK Ufa,
5,Sun Aug 11 2019,15:30,Lokomotiv Moskva,4-0,2-0,FC Ural,
5,Sun Aug 11 2019,18:00,CSKA Moskva,0-0,0-0,PFC Sochi,
5,Sun Aug 11 2019,20:30,Akhmat Grozny,1-3,0-2,Spartak Moskva,
5,Mon Aug 12 2019,19:00,FK Rostov,1-0,1-0,Krylia Sovetov,
6,Fri Aug 16 2019,17:00,FK Orenburg,1-1,0-0,PFC Sochi,
6,Sat Aug 17 2019,13:00,FC Ural,1-3,0-1,Krylia Sovetov,
6,Sat Aug 17 2019,18:00,Zenit St. Petersburg,0-0,0-0,Akhmat Grozny,
6,Sat Aug 17 2019,15:30,FK Tambov,0-2,0-1,FK Krasnodar,
6,Sun Aug 18 2019,13:00,Rubin Kazan,1-0,0-0,Arsenal Tula,
6,Sun Aug 18 2019,18:00,Dinamo Moskva,1-2,1-1,Lokomotiv Moskva,
6,Sun Aug 18 2019,15:30,FK Ufa,2-0,1-0,FK Rostov,
6,Mon Aug 19 2019,19:00,Spartak Moskva,2-1,0-0,CSKA Moskva,
7,Sat Aug 24 2019,13:00,FK Tambov,0-2,0-1,Dinamo Moskva,
7,Sat Aug 24 2019,15:30,FK Ufa,1-0,0-0,Zenit St. Petersburg,
7,Sat Aug 24 2019,18:00,FK Krasnodar,1-1,1-1,Lokomotiv Moskva,
7,Sun Aug 25 2019,15:30,CSKA Moskva,3-0,1-0,Akhmat Grozny,
7,Sun Aug 25 2019,18:00,FK Rostov,2-1,1-1,Rubin Kazan,
7,Sun Aug 25 2019,20:30,Arsenal Tula,2-1,1-0,FK Orenburg,
7,Sun Aug 25 2019,18:00,Krylia Sovetov,1-2,1-0,Spartak Moskva,
7,Mon Aug 26 2019,17:00,FC Ural,3-1,1-1,PFC Sochi,
8,Fri Aug 30 2019,19:00,Krylia Sovetov,0-0,0-0,Dinamo Moskva,
8,Sat Aug 31 2019,10:30,FK Ufa,1-2,0-1,FK Orenburg,
8,Sat Aug 31 2019,13:00,Rubin Kazan,0-3,0-1,PFC Sochi,
8,Sat Aug 31 2019,15:30,Lokomotiv Moskva,1-2,0-1,FK Rostov,
8,Sat Aug 31 2019,18:00,Akhmat Grozny,1-1,0-1,FK Tambov,
8,Sun Sep 1 2019,13:00,FC Ural,2-4,1-2,FK Krasnodar,
8,Sun Sep 1 2019,15:30,Arsenal Tula,1-2,1-1,CSKA Moskva,
8,Sun Sep 1 2019,18:00,Spartak Moskva,0-1,0-1,Zenit St. Petersburg,
9,Fri Sep 13 2019,19:00,Zenit St. Petersburg,3-1,1-0,Arsenal Tula,
9,Sat Sep 14 2019,15:30,Spartak Moskva,1-2,1-0,FC Ural,
9,Sat Sep 14 2019,18:00,PFC Sochi,0-1,0-1,Lokomotiv Moskva,
9,Sun Sep 15 2019,13:00,FK Orenburg,2-1,0-0,Rubin Kazan,
9,Sun Sep 15 2019,15:30,FK Tambov,0-2,0-0,CSKA Moskva,
9,Sun Sep 15 2019,18:00,FK Krasnodar,4-2,1-1,Krylia Sovetov,
9,Mon Sep 16 2019,19:30,FK Rostov,2-1,0-1,Akhmat Grozny,
9,Mon Sep 16 2019,19:00,Dinamo Moskva,0-0,0-0,FK Ufa,
10,Fri Sep 20 2019,16:30,FK Ufa,1-0,1-0,Spartak Moskva,
10,Sat Sep 21 2019,13:00,Akhmat Grozny,1-1,1-0,Krylia Sovetov,
10,Sat Sep 21 2019,18:00,Zenit St. Petersburg,5-0,0-0,Rubin Kazan,
10,Sat Sep 21 2019,18:00,FK Tambov,2-1,1-1,FK Rostov,
10,Sun Sep 22 2019,18:00,CSKA Moskva,3-2,3-0,FK Krasnodar,
