Stage,Round,Date,Time,Team 1,FT,HT,Team 2,ET,P,Comments
Clausura,10,Sun Mar 15 2020,04:00,Deportivo Guadalajara,1-1,1-0,CF Monterrey,,,
Clausura,10,Sun Mar 15 2020,00:00,Atlético San Luis,0-1,0-1,Puebla FC,,,
Clausura,10,Mon Mar 16 2020,01:00,Santos Laguna,2-1,1-1,Club Necaxa,,,
Clausura,10,Mon Mar 16 2020,03:15,CF América,0-1,0-0,Cruz Azul,,,
Clausura,11,Sat Mar 21 2020,,Monarcas Morelia,(*),,Atlético San Luis,,,cancelled
Clausura,11,Sun Mar 22 2020,,Pumas UNAM,(*),,Club Tijuana,,,cancelled
Clausura,11,Sun Mar 22 2020,,Puebla FC,(*),,Cruz Azul,,,cancelled
Clausura,11,Sun Mar 22 2020,,CF América,(*),,Club León,,,cancelled
Clausura,11,Sun Mar 22 2020,,CF Pachuca,(*),,Deportivo Toluca,,,cancelled
Clausura,11,Sun Mar 22 2020,,Club Necaxa,(*),,UANL Tigres,,,cancelled
Clausura,11,Sun Mar 22 2020,,CF Monterrey,(*),,Santos Laguna,,,cancelled
Clausura,11,Mon Mar 23 2020,,Gallos Blancos,(*),,Deportivo Guadalajara,,,cancelled
Clausura,11,Mon Mar 23 2020,,FC Juárez,(*),,Atlas Guadalajara,,,cancelled
Clausura,12,Sat Apr 4 2020,,Atlético San Luis,(*),,CF Pachuca,,,cancelled
Clausura,12,Sat Apr 4 2020,,Atlas Guadalajara,(*),,CF Monterrey,,,cancelled
Clausura,12,Sun Apr 5 2020,,Cruz Azul,(*),,Pumas UNAM,,,cancelled
Clausura,12,Sun Apr 5 2020,,UANL Tigres,(*),,Gallos Blancos,,,cancelled
Clausura,12,Sun Apr 5 2020,,Club León,(*),,Puebla FC,,,cancelled
Clausura,12,Sun Apr 5 2020,,Deportivo Guadalajara,(*),,Monarcas Morelia,,,cancelled
Clausura,12,Sun Apr 5 2020,,Deportivo Toluca,(*),,FC Juárez,,,cancelled
Clausura,12,Mon Apr 6 2020,,Santos Laguna,(*),,CF América,,,cancelled
Clausura,12,Mon Apr 6 2020,,Club Tijuana,(*),,Club Necaxa,,,cancelled
Clausura,13,Sat Apr 11 2020,,Atlético San Luis,(*),,Atlas Guadalajara,,,cancelled
Clausura,13,Sat Apr 11 2020,,Monarcas Morelia,(*),,UANL Tigres,,,cancelled
Clausura,13,Sun Apr 12 2020,,CF América,(*),,Deportivo Toluca,,,cancelled
Clausura,13,Sun Apr 12 2020,,Pumas UNAM,(*),,Puebla FC,,,cancelled
Clausura,13,Sun Apr 12 2020,,Club Necaxa,(*),,Deportivo Guadalajara,,,cancelled
Clausura,13,Sun Apr 12 2020,,CF Monterrey,(*),,Club Tijuana,,,cancelled
Clausura,13,Sun Apr 12 2020,,Club León,(*),,Cruz Azul,,,cancelled
Clausura,13,Mon Apr 13 2020,,Gallos Blancos,(*),,Santos Laguna,,,cancelled
Clausura,13,Mon Apr 13 2020,,FC Juárez,(*),,CF Pachuca,,,cancelled
Clausura,14,Fri Apr 17 2020,,Club Tijuana,(*),,FC Juárez,,,cancelled
Clausura,14,Sat Apr 18 2020,,Puebla FC,(*),,Monarcas Morelia,,,cancelled
Clausura,14,Sat Apr 18 2020,,Atlas Guadalajara,(*),,Pumas UNAM,,,cancelled
Clausura,14,Sun Apr 19 2020,,Deportivo Toluca,(*),,Club León,,,cancelled
Clausura,14,Sun Apr 19 2020,,CF Pachuca,(*),,Club Necaxa,,,cancelled
Clausura,14,Sun Apr 19 2020,,UANL Tigres,(*),,CF Monterrey,,,cancelled
Clausura,14,Sun Apr 19 2020,,Cruz Azul,(*),,Gallos Blancos,,,cancelled
Clausura,14,Mon Apr 20 2020,,Deportivo Guadalajara,(*),,CF América,,,cancelled
Clausura,14,Mon Apr 20 2020,,Santos Laguna,(*),,Atlético San Luis,,,cancelled
Clausura,15,Sat Apr 25 2020,,Gallos Blancos,(*),,Atlas Guadalajara,,,cancelled
Clausura,15,Sat Apr 25 2020,,Monarcas Morelia,(*),,CF Pachuca,,,cancelled
Clausura,15,Sun Apr 26 2020,,CF Monterrey,(*),,Cruz Azul,,,cancelled
Clausura,15,Sun Apr 26 2020,,CF América,(*),,Atlético San Luis,,,cancelled
Clausura,15,Sun Apr 26 2020,,Deportivo Toluca,(*),,UANL Tigres,,,cancelled
Clausura,15,Sun Apr 26 2020,,Deportivo Guadalajara,(*),,Santos Laguna,,,cancelled
Clausura,15,Sun Apr 26 2020,,Club León,(*),,Club Tijuana,,,cancelled
Clausura,15,Mon Apr 27 2020,,Club Necaxa,(*),,Pumas UNAM,,,cancelled
Clausura,15,Mon Apr 27 2020,,FC Juárez,(*),,Puebla FC,,,cancelled
Clausura,16,Fri May 1 2020,,Atlético San Luis,(*),,Deportivo Toluca,,,cancelled
Clausura,16,Sat May 2 2020,,Puebla FC,(*),,CF Monterrey,,,cancelled
Clausura,16,Sat May 2 2020,,Atlas Guadalajara,(*),,Club León,,,cancelled
Clausura,16,Sun May 3 2020,,Cruz Azul,(*),,Club Necaxa,,,cancelled
Clausura,16,Sun May 3 2020,,UANL Tigres,(*),,Club Tijuana,,,cancelled
Clausura,16,Sun May 3 2020,,Gallos Blancos,(*),,FC Juárez,,,cancelled
Clausura,16,Sun May 3 2020,,Pumas UNAM,(*),,Deportivo Guadalajara,,,cancelled
Clausura,16,Sun May 3 2020,,CF Pachuca,(*),,CF América,,,cancelled
Clausura,16,Mon May 4 2020,,Santos Laguna,(*),,Monarcas Morelia,,,cancelled
Clausura,17,Sat May 9 2020,,Club Tijuana,(*),,Atlético San Luis,,,cancelled
Clausura,17,Sat May 9 2020,,Santos Laguna,(*),,Deportivo Toluca,,,cancelled
Clausura,17,Sun May 10 2020,,Club León,(*),,UANL Tigres,,,cancelled
Clausura,17,Sun May 10 2020,,Club Necaxa,(*),,Atlas Guadalajara,,,cancelled
Clausura,17,Sun May 10 2020,,CF Monterrey,(*),,CF Pachuca,,,cancelled
Clausura,17,Sun May 10 2020,,Deportivo Guadalajara,(*),,Puebla FC,,,cancelled
Clausura,17,Sun May 10 2020,,Pumas UNAM,(*),,Gallos Blancos,,,cancelled
Clausura,17,Mon May 11 2020,,FC Juárez,(*),,Cruz Azul,,,cancelled
Clausura,17,Mon May 11 2020,,Monarcas Morelia,(*),,CF América,,,cancelled
