Stage,Round,Date,Time,Team 1,FT,HT,Team 2,ET,P,Comments
Apertura,4,Sat Aug 10 2019,02:00,Monarcas Morelia,0-1,0-0,CF Monterrey,,,
Apertura,4,Sat Aug 10 2019,04:06,Club Tijuana,1-0,1-0,Pumas UNAM,,,
Apertura,4,Sun Aug 11 2019,00:00,Gallos Blancos,2-1,0-1,CF Pachuca,,,
Apertura,4,Sun Aug 11 2019,00:00,Cruz Azul,2-0,0-0,FC Juárez,,,
Apertura,4,Sun Aug 11 2019,02:00,UANL Tigres,3-1,3-1,Club Necaxa,,,
Apertura,4,Sun Aug 11 2019,04:05,Deportivo Guadalajara,3-0,1-0,Atlético San Luis,,,
Apertura,4,Sun Aug 11 2019,19:00,Deportivo Toluca,0-1,0-0,CF América,,,
Apertura,4,Mon Aug 12 2019,01:45,Santos Laguna,4-1,2-1,Puebla FC,,,
Apertura,5,Sat Aug 17 2019,02:00,Puebla FC,0-4,0-2,CF Pachuca,,,
Apertura,5,Sat Aug 17 2019,04:00,Atlas Guadalajara,1-3,0-2,Cruz Azul,,,
Apertura,5,Sun Aug 18 2019,02:00,Club León,4-3,2-1,Deportivo Guadalajara,,,
Apertura,5,Sun Aug 18 2019,00:00,Atlético San Luis,1-1,0-0,UANL Tigres,,,
Apertura,5,Sun Aug 18 2019,19:00,Pumas UNAM,2-0,0-0,CD Veracruz,,,
Apertura,5,Sun Aug 18 2019,04:06,CF Monterrey,2-0,1-0,Deportivo Toluca,,,
Apertura,5,Sun Aug 18 2019,04:05,CF América,1-0,0-0,Monarcas Morelia,,,
Apertura,5,Mon Aug 19 2019,00:00,Club Necaxa,3-0,0-0,Santos Laguna,,,
Apertura,5,Mon Aug 19 2019,02:00,FC Juárez,0-2,0-0,Gallos Blancos,,,
Apertura,6,Sat Aug 24 2019,02:00,CD Veracruz,1-2,1-1,Atlético San Luis,,,
Apertura,6,Sat Aug 24 2019,04:00,Monarcas Morelia,2-0,1-0,Pumas UNAM,,,
Apertura,6,Sat Aug 24 2019,04:00,Santos Laguna,2-1,2-0,CF Monterrey,,,
Apertura,6,Sun Aug 25 2019,00:00,Gallos Blancos,0-4,0-1,Club León,,,
Apertura,6,Sun Aug 25 2019,02:00,CF Pachuca,3-1,2-0,Atlas Guadalajara,,,
Apertura,6,Sun Aug 25 2019,02:00,Cruz Azul,1-1,0-0,Puebla FC,,,
Apertura,6,Sun Aug 25 2019,19:00,Deportivo Toluca,2-0,1-0,Club Tijuana,,,
Apertura,6,Sun Aug 25 2019,04:05,UANL Tigres,1-1,1-0,CF América,,,
Apertura,6,Mon Aug 26 2019,00:00,Deportivo Guadalajara,1-2,0-2,Club Necaxa,,,
Apertura,7,Wed Aug 28 2019,02:00,Atlético San Luis,1-1,1-0,Monarcas Morelia,,,
Apertura,7,Wed Aug 28 2019,02:00,CD Veracruz,0-5,0-3,Gallos Blancos,,,
Apertura,7,Wed Aug 28 2019,02:00,Atlas Guadalajara,1-1,0-0,UANL Tigres,,,
Apertura,7,Wed Aug 28 2019,04:00,CF América,1-1,0-0,CF Pachuca,,,
Apertura,7,Thu Aug 29 2019,02:00,Club León,2-2,1-1,Santos Laguna,,,
Apertura,7,Thu Aug 29 2019,04:00,Club Necaxa,1-1,1-1,Deportivo Toluca,,,
Apertura,7,Thu Aug 29 2019,04:06,Club Tijuana,3-2,1-2,Cruz Azul,,,
Apertura,7,Fri Aug 30 2019,04:00,CF Monterrey,2-0,1-0,Pumas UNAM,,,
Apertura,7,Fri Aug 30 2019,02:00,Puebla FC,2-1,0-1,FC Juárez,,,
Apertura,8,Sat Aug 31 2019,04:10,Atlas Guadalajara,3-0,1-0,CF América,,,
Apertura,8,Sat Aug 31 2019,02:00,Monarcas Morelia,1-0,0-0,CD Veracruz,,,
Apertura,8,Sun Sep 1 2019,00:00,Club Necaxa,3-2,1-2,Club Tijuana,,,
Apertura,8,Sun Sep 1 2019,19:00,Pumas UNAM,2-1,0-0,Deportivo Toluca,,,
Apertura,8,Sun Sep 1 2019,02:00,CF Pachuca,0-2,0-0,Atlético San Luis,,,
Apertura,8,Sun Sep 1 2019,04:05,Cruz Azul,1-1,1-1,Deportivo Guadalajara,,,
Apertura,8,Sun Sep 1 2019,02:00,UANL Tigres,1-1,0-1,Club León,,,
Apertura,8,Mon Sep 2 2019,00:00,Gallos Blancos,1-1,1-0,Puebla FC,,,
Apertura,8,Mon Sep 2 2019,02:00,FC Juárez,1-0,1-0,CF Monterrey,,,
Apertura,9,Sat Sep 14 2019,02:00,Puebla FC,1-3,1-2,Atlético San Luis,,,
Apertura,9,Sat Sep 14 2019,04:00,CD Veracruz,0-0,0-0,Cruz Azul,,,
Apertura,9,Sat Sep 14 2019,04:06,Club Tijuana,1-1,0-1,UANL Tigres,,,
Apertura,9,Sun Sep 15 2019,00:00,CF Monterrey,0-2,0-1,Club Necaxa,,,
Apertura,9,Sun Sep 15 2019,02:00,Club León,3-1,0-1,FC Juárez,,,
Apertura,9,Sun Sep 15 2019,02:00,Deportivo Guadalajara,1-0,0-0,Atlas Guadalajara,,,
Apertura,9,Sun Sep 15 2019,04:06,CF América,1-1,0-0,Pumas UNAM,,,
Apertura,9,Sun Sep 15 2019,19:00,Deportivo Toluca,0-2,0-0,Monarcas Morelia,,,
Apertura,9,Mon Sep 16 2019,01:45,Santos Laguna,2-2,1-2,CF Pachuca,,,
Apertura,10,Sat Sep 21 2019,04:00,Monarcas Morelia,1-0,1-0,Deportivo Guadalajara,,,
Apertura,10,Sat Sep 21 2019,04:00,Atlas Guadalajara,0-1,0-1,Deportivo Toluca,,,
Apertura,10,Sun Sep 22 2019,19:00,Pumas UNAM,1-1,0-0,Cruz Azul,,,
Apertura,10,Sun Sep 22 2019,00:00,Atlético San Luis,2-3,2-2,Santos Laguna,,,
Apertura,10,Sun Sep 22 2019,00:00,CF Monterrey,3-2,2-0,Puebla FC,,,
Apertura,10,Sun Sep 22 2019,02:00,CF Pachuca,4-1,3-0,Club Tijuana,,,
Apertura,10,Sun Sep 22 2019,04:00,CF América,2-2,1-1,Gallos Blancos,,,
Apertura,10,Sun Sep 22 2019,00:00,Club Necaxa,2-4,0-1,Club León,,,
Apertura,10,Mon Sep 23 2019,02:00,FC Juárez,2-0,2-0,CD Veracruz,,,
Apertura,11,Wed Sep 25 2019,02:00,Gallos Blancos,1-2,0-0,Club Necaxa,,,
Apertura,11,Wed Sep 25 2019,02:00,UANL Tigres,0-1,0-0,Puebla FC,,,
Apertura,11,Wed Sep 25 2019,04:00,Deportivo Guadalajara,2-4,1-1,CF Pachuca,,,
Apertura,11,Wed Sep 25 2019,04:00,Club León,1-1,0-1,Atlas Guadalajara,,,
Apertura,11,Thu Sep 26 2019,02:00,FC Juárez,1-1,1-0,CF América,,,
Apertura,11,Thu Sep 26 2019,02:00,Santos Laguna,5-0,1-0,CD Veracruz,,,
Apertura,11,Thu Sep 26 2019,04:05,Cruz Azul,1-1,0-0,CF Monterrey,,,
Apertura,11,Thu Sep 26 2019,04:06,Club Tijuana,3-2,2-1,Monarcas Morelia,,,
Apertura,11,Fri Sep 27 2019,03:00,Deportivo Toluca,3-1,1-0,Atlético San Luis,,,
Apertura,12,Sat Sep 28 2019,02:00,Puebla FC,2-1,1-0,Club León,,,
Apertura,12,Sat Sep 28 2019,04:00,Atlas Guadalajara,2-0,1-0,Gallos Blancos,,,
Apertura,12,Sun Sep 29 2019,19:00,Pumas UNAM,2-0,0-0,Santos Laguna,,,
Apertura,12,Sun Sep 29 2019,02:00,Club Necaxa,0-0,0-0,FC Juárez,,,
Apertura,12,Sun Sep 29 2019,02:06,CF Monterrey,0-2,0-0,UANL Tigres,,,
Apertura,12,Sun Sep 29 2019,04:05,CF América,4-1,2-0,Deportivo Guadalajara,,,
Apertura,12,Sun Sep 29 2019,00:00,CF Pachuca,2-0,1-0,Cruz Azul,,,
Apertura,12,Mon Sep 30 2019,00:00,Atlético San Luis,2-3,0-0,Club Tijuana,,,
Apertura,12,Mon Sep 30 2019,02:00,CD Veracruz,1-1,0-0,Deportivo Toluca,,,
Apertura,13,Sat Oct 5 2019,04:00,Monarcas Morelia,2-3,2-0,Club Necaxa,,,
Apertura,13,Sun Oct 6 2019,02:00,Cruz Azul,5-2,1-2,CF América,,,
Apertura,13,Sun Oct 6 2019,00:00,Club León,1-1,0-0,CD Veracruz,,,
Apertura,13,Sun Oct 6 2019,19:00,Deportivo Toluca,1-1,0-0,Puebla FC,,,
Apertura,13,Sun Oct 6 2019,04:05,Deportivo Guadalajara,1-1,1-0,Pumas UNAM,,,
Apertura,13,Sun Oct 6 2019,04:06,Club Tijuana,2-2,1-1,Atlas Guadalajara,,,
Apertura,13,Sun Oct 6 2019,02:00,UANL Tigres,4-0,2-0,Santos Laguna,,,
Apertura,13,Mon Oct 7 2019,01:00,FC Juárez,1-2,1-1,Atlético San Luis,,,
Apertura,13,Mon Oct 7 2019,03:00,Gallos Blancos,2-1,2-1,CF Monterrey,,,
Apertura,14,Sat Oct 19 2019,02:00,Puebla FC,0-1,0-0,Atlas Guadalajara,,,
Apertura,14,Sat Oct 19 2019,04:00,CD Veracruz,1-3,0-3,UANL Tigres,,,
Apertura,14,Sat Oct 19 2019,04:06,Santos Laguna,4-1,3-0,Club Tijuana,,,
Apertura,14,Sun Oct 20 2019,19:00,Pumas UNAM,1-2,1-1,Club León,,,
Apertura,14,Sun Oct 20 2019,02:00,CF Pachuca,0-1,0-0,FC Juárez,,,
Apertura,14,Sun Oct 20 2019,04:00,Club Necaxa,2-2,0-0,CF América,,,
Apertura,14,Sun Oct 20 2019,00:00,Cruz Azul,2-3,1-1,Monarcas Morelia,,,
Apertura,14,Mon Oct 21 2019,02:00,CF Monterrey,1-1,1-1,Deportivo Guadalajara,,,
Apertura,14,Mon Oct 21 2019,00:00,Atlético San Luis,0-2,0-2,Gallos Blancos,,,
Apertura,15,Sat Oct 26 2019,02:00,Monarcas Morelia,2-2,2-1,Santos Laguna,,,
Apertura,15,Sat Oct 26 2019,04:00,Club Tijuana,2-0,0-0,CD Veracruz,,,
Apertura,15,Sat Oct 26 2019,04:00,Atlas Guadalajara,0-2,0-0,Club Necaxa,,,
Apertura,15,Sun Oct 27 2019,19:00,Deportivo Toluca,2-0,0-0,CF Pachuca,,,
Apertura,15,Sun Oct 27 2019,02:00,CF América,2-0,0-0,Puebla FC,,,
Apertura,15,Sun Oct 27 2019,02:00,Club León,3-2,1-2,Atlético San Luis,,,
Apertura,15,Sun Oct 27 2019,03:05,UANL Tigres,1-1,0-1,Cruz Azul,,,
Apertura,15,Sun Oct 27 2019,00:00,Gallos Blancos,3-0,2-0,Pumas UNAM,,,
Apertura,15,Mon Oct 28 2019,02:00,FC Juárez,1-2,1-0,Deportivo Guadalajara,,,
Apertura,16,Wed Oct 30 2019,02:00,Santos Laguna,1-0,1-0,Gallos Blancos,,,
Apertura,16,Wed Oct 30 2019,02:00,CD Veracruz,1-0,0-0,Puebla FC,,,
Apertura,16,Wed Oct 30 2019,02:00,Atlético San Luis,0-1,0-0,CF América,,,
Apertura,16,Wed Oct 30 2019,04:00,Pumas UNAM,5-1,1-1,Atlas Guadalajara,,,
Apertura,16,Thu Oct 31 2019,02:00,CF Pachuca,2-3,1-2,CF Monterrey,,,
Apertura,16,Thu Oct 31 2019,04:00,Deportivo Guadalajara,0-1,0-1,Club Tijuana,,,
Apertura,16,Thu Oct 31 2019,04:00,UANL Tigres,1-0,0-0,Deportivo Toluca,,,
Apertura,16,Fri Nov 1 2019,02:00,Monarcas Morelia,6-1,2-0,FC Juárez,,,
Apertura,16,Fri Nov 1 2019,04:00,Cruz Azul,1-0,0-0,Club León,,,
Apertura,17,Sat Nov 2 2019,02:00,Puebla FC,1-1,0-0,Pumas UNAM,,,
