Round,Date,Time,Team 1,FT,HT,Team 2,Comments
1,Fri Jul 26 2019,20:00,AC Ajaccio,2-2,1-0,Le Havre AC,
1,Fri Jul 26 2019,20:00,AS Nancy,0-0,0-0,US Orléans,
1,Fri Jul 26 2019,20:00,Clermont Foot,3-0,1-0,LB Châteauroux,
1,Fri Jul 26 2019,20:00,EA Guingamp,3-3,2-0,Grenoble Foot 38,
1,Fri Jul 26 2019,20:00,FC Chambly,1-0,0-0,Valenciennes FC,
1,Fri Jul 26 2019,20:00,Chamois Niortais,0-2,0-1,ESTAC Troyes,
1,Fri Jul 26 2019,20:00,FC Sochaux,0-0,0-0,SM Caen,
1,Fri Jul 26 2019,20:00,Rodez AF,2-0,2-0,AJ Auxerre,
1,Sat Jul 27 2019,15:00,Le Mans FC,1-2,1-0,RC Lens,
1,Mon Jul 29 2019,20:45,FC Lorient,3-0,1-0,Paris FC,
2,Fri Aug 2 2019,20:00,Le Havre AC,1-1,0-1,Chamois Niortais,
2,Fri Aug 2 2019,20:00,AJ Auxerre,2-0,0-0,Le Mans FC,
2,Fri Aug 2 2019,20:00,ESTAC Troyes,1-2,1-0,Clermont Foot,
2,Fri Aug 2 2019,20:00,Paris FC,1-1,1-0,FC Sochaux,
2,Fri Aug 2 2019,20:00,Valenciennes FC,1-1,1-0,AS Nancy,
2,Fri Aug 2 2019,20:00,Grenoble Foot 38,0-1,0-0,AC Ajaccio,
2,Fri Aug 2 2019,20:00,LB Châteauroux,0-0,0-0,Rodez AF,
2,Fri Aug 2 2019,20:00,US Orléans,0-1,0-1,FC Chambly,
2,Sat Aug 3 2019,16:30,RC Lens,2-0,0-0,EA Guingamp,
2,Mon Aug 5 2019,20:45,SM Caen,1-2,0-2,FC Lorient,
3,Fri Aug 9 2019,20:00,AC Ajaccio,1-2,0-2,SM Caen,
3,Fri Aug 9 2019,20:00,AS Nancy,1-1,0-0,FC Lorient,
3,Fri Aug 9 2019,20:00,EA Guingamp,1-0,1-0,US Orléans,
3,Fri Aug 9 2019,20:00,ESTAC Troyes,1-2,0-1,Le Havre AC,
3,Fri Aug 9 2019,20:00,FC Chambly,0-0,0-0,Grenoble Foot 38,
3,Fri Aug 9 2019,20:00,Chamois Niortais,3-0,1-0,LB Châteauroux,
3,Fri Aug 9 2019,20:00,FC Sochaux,1-0,0-0,AJ Auxerre,
3,Fri Aug 9 2019,20:00,Le Mans FC,1-2,0-0,Valenciennes FC,
3,Fri Aug 9 2019,20:00,Rodez AF,2-1,1-1,Paris FC,
3,Sat Aug 10 2019,15:00,Clermont Foot,1-1,0-0,RC Lens,
4,Fri Aug 16 2019,20:00,AS Nancy,2-1,1-0,Le Mans FC,
4,Fri Aug 16 2019,20:00,FC Lorient,1-0,0-0,FC Sochaux,
