Round,Date,Time,Team 1,FT,HT,Team 2,Comments
1,Sun Jul 7 2019,09:00,SKA-Energia Khabarovsk,1-2,1-1,Shinnik Yaroslavl,
1,Sun Jul 7 2019,09:00,Luch-Energia,2-5,0-3,FK Khimki,
1,Sun Jul 7 2019,14:00,FK Nizhny Novgorod,0-2,0-0,FK Tom Tomsk,
1,Sun Jul 7 2019,15:00,Tekstilshchik Ivanovo,0-1,0-0,Enisey Krasnoyarsk,
1,Sun Jul 7 2019,16:00,Mordovia Saransk,0-1,0-1,FC Neftekhimik,
1,Sun Jul 7 2019,17:00,Avangard Kursk,0-3,0-1,Rotor Volgograd,
1,Sun Jul 7 2019,18:00,Chayka Peschanokopskoye,0-1,0-0,FK Chertanovo Moskva,
1,Sun Jul 7 2019,18:00,Fakel Voronezh,0-1,0-0,Torpedo Moskva,
1,Sun Jul 7 2019,19:54,Baltika Kaliningrad,0-1,0-1,Spartak Moskva 2,
1,Tue Jul 9 2019,18:00,FK Torpedo Armavir,2-1,0-1,FK Krasnodar 2,
2,Sat Jul 13 2019,12:00,Spartak Moskva 2,2-2,2-1,SKA-Energia Khabarovsk,
2,Sat Jul 13 2019,14:00,FK Tom Tomsk,2-0,1-0,FK Torpedo Armavir,
2,Sat Jul 13 2019,16:00,Fakel Voronezh,0-0,0-0,Chayka Peschanokopskoye,
2,Sat Jul 13 2019,16:00,Torpedo Moskva,2-0,1-0,Baltika Kaliningrad,
2,Sat Jul 13 2019,16:00,Shinnik Yaroslavl,1-0,0-0,Mordovia Saransk,
2,Sat Jul 13 2019,16:00,FK Khimki,3-0,1-0,Avangard Kursk,
2,Sat Jul 13 2019,17:00,FC Neftekhimik,1-1,0-0,FK Nizhny Novgorod,
2,Sat Jul 13 2019,17:00,FK Krasnodar 2,1-2,0-0,Luch-Energia,
2,Sat Jul 13 2019,17:00,Rotor Volgograd,3-2,1-0,Tekstilshchik Ivanovo,
2,Sat Jul 13 2019,17:00,FK Chertanovo Moskva,2-1,2-1,Enisey Krasnoyarsk,
3,Fri Jul 19 2019,18:00,FK Nizhny Novgorod,1-3,1-2,Shinnik Yaroslavl,
3,Sat Jul 20 2019,09:00,Luch-Energia,1-1,0-0,FK Tom Tomsk,
3,Sat Jul 20 2019,10:00,SKA-Energia Khabarovsk,0-1,0-1,Torpedo Moskva,
3,Sat Jul 20 2019,10:00,Enisey Krasnoyarsk,0-3,0-1,Rotor Volgograd,
3,Sat Jul 20 2019,15:00,Tekstilshchik Ivanovo,1-4,0-0,FK Khimki,
