Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
Round 4,Sat Jan 25 2020,16:00,Southampton FC,1-1,0-0,Tottenham Hotspur,,
Round 4,Sat Jan 25 2020,16:00,Millwall FC,0-2,0-0,Sheffield United,,
Round 4,Sat Jan 25 2020,16:00,Reading FC,1-1,1-1,Cardiff City,,
Round 4,Sat Jan 25 2020,16:00,West Ham United,0-1,0-1,West Bromwich Albion,,
Round 4,Sat Jan 25 2020,16:00,Burnley FC,1-2,0-0,Norwich City,,
Round 4,Sat Jan 25 2020,16:00,Coventry City,0-0,0-0,Birmingham City,,
Round 4,Sat Jan 25 2020,16:00,Newcastle United,0-0,0-0,Oxford United,,
Round 4,Sat Jan 25 2020,16:00,Portsmouth FC,4-2,2-0,Barnsley FC,,
Round 4,Sat Jan 25 2020,18:30,Hull City,1-2,0-1,Chelsea FC,,
Round 4,Sun Jan 26 2020,14:00,Manchester City,4-0,2-0,Fulham FC,,
Round 4,Sun Jan 26 2020,16:00,Tranmere Rovers,0-6,0-5,Manchester United,,
Round 4,Sun Jan 26 2020,18:00,Shrewsbury Town,2-2,0-1,Liverpool FC,,
Round 4,Mon Jan 27 2020,21:00,AFC Bournemouth,1-2,0-2,Arsenal FC,,
Round 4,Tue Feb 4 2020,20:45,Cardiff City,2-2,1-0,Reading FC,3-3,1-4
Round 4,Tue Feb 4 2020,20:45,Derby County,4-2,2-0,Northampton Town,,
Round 4,Tue Feb 4 2020,20:45,Birmingham City,1-1,0-0,Coventry City,2-2,4-1
Round 4,Tue Feb 4 2020,20:45,Liverpool FC,1-0,0-0,Shrewsbury Town,,
Round 4,Tue Feb 4 2020,21:05,Oxford United,2-2,0-2,Newcastle United,2-3,
Round 4,Wed Feb 5 2020,20:45,Tottenham Hotspur,3-2,1-1,Southampton FC,,
Round of 16,Mon Mar 2 2020,20:45,Portsmouth FC,0-2,0-1,Arsenal FC,,
Round of 16,Tue Mar 3 2020,20:45,Chelsea FC,2-0,1-0,Liverpool FC,,
Round of 16,Tue Mar 3 2020,21:00,Reading FC,1-1,1-1,Sheffield United,1-2,
Round of 16,Tue Mar 3 2020,21:00,West Bromwich Albion,2-3,0-2,Newcastle United,,
Round of 16,Wed Mar 4 2020,20:45,Sheffield Wednesday,0-1,0-0,Manchester City,,
Round of 16,Wed Mar 4 2020,20:45,Leicester City,1-0,0-0,Birmingham City,,
Round of 16,Wed Mar 4 2020,20:45,Tottenham Hotspur,1-1,1-0,Norwich City,1-1,2-3
Round of 16,Thu Mar 5 2020,20:45,Derby County,0-3,0-2,Manchester United,,
Quarterfinals,Sat Jun 27 2020,18:30,Norwich City,1-1,0-0,Manchester United,1-2,
Quarterfinals,Sun Jun 28 2020,14:00,Sheffield United,1-2,0-1,Arsenal FC,,
Quarterfinals,Sun Jun 28 2020,17:00,Leicester City,0-1,0-0,Chelsea FC,,
Quarterfinals,Sun Jun 28 2020,19:30,Newcastle United,0-2,0-1,Manchester City,,
Semifinals,Sat Jul 18 2020,20:45,Arsenal FC,2-0,1-0,Manchester City,,
Semifinals,Sun Jul 19 2020,19:00,Manchester United,1-3,0-1,Chelsea FC,,
Final,Sat Aug 1 2020,19:00,Arsenal FC,,,Chelsea FC,,
