Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Sat Aug 3 2019,12:30,BST/+0100,Salford City,2-0,1-0,Stevenage FC,,2019-08-03T11:30Z
1,Sat Aug 3 2019,15:00,BST/+0100,Bradford City,0-0,0-0,Cambridge United,,2019-08-03T14:00Z
1,Sat Aug 3 2019,15:00,BST/+0100,Carlisle United,2-1,2-1,Crawley Town,,2019-08-03T14:00Z
1,Sat Aug 3 2019,15:00,BST/+0100,Colchester United,1-1,1-1,Port Vale FC,,2019-08-03T14:00Z
1,Sat Aug 3 2019,15:00,BST/+0100,Crewe Alexandra,0-3,0-2,Plymouth Argyle,,2019-08-03T14:00Z
1,Sat Aug 3 2019,15:00,BST/+0100,Exeter City,1-0,0-0,Macclesfield Town,,2019-08-03T14:00Z
1,Sat Aug 3 2019,15:00,BST/+0100,Forest Green Rovers,1-0,0-0,Oldham Athletic,,2019-08-03T14:00Z
1,Sat Aug 3 2019,15:00,BST/+0100,Leyton Orient,1-0,0-0,Cheltenham Town,,2019-08-03T14:00Z
1,Sat Aug 3 2019,15:00,BST/+0100,Morecambe FC,0-2,0-0,Grimsby Town,,2019-08-03T14:00Z
1,Sat Aug 3 2019,15:00,BST/+0100,Newport County,2-2,2-0,Mansfield Town,,2019-08-03T14:00Z
1,Sat Aug 3 2019,15:00,BST/+0100,Northampton Town,0-1,0-1,Walsall FC,,2019-08-03T14:00Z
1,Sat Aug 3 2019,15:00,BST/+0100,Scunthorpe United,0-2,0-0,Swindon Town,,2019-08-03T14:00Z
2,Sat Aug 10 2019,13:00,BST/+0100,Grimsby Town,1-1,0-0,Bradford City,,2019-08-10T12:00Z
2,Sat Aug 10 2019,15:00,BST/+0100,Cambridge United,0-0,0-0,Newport County,,2019-08-10T14:00Z
2,Sat Aug 10 2019,15:00,BST/+0100,Cheltenham Town,4-1,0-0,Scunthorpe United,,2019-08-10T14:00Z
2,Sat Aug 10 2019,15:00,BST/+0100,Crawley Town,2-0,1-0,Salford City,,2019-08-10T14:00Z
2,Sat Aug 10 2019,15:00,BST/+0100,Macclesfield Town,3-0,1-0,Leyton Orient,,2019-08-10T14:00Z
2,Sat Aug 10 2019,15:00,BST/+0100,Mansfield Town,2-2,1-2,Morecambe FC,,2019-08-10T14:00Z
2,Sat Aug 10 2019,15:00,BST/+0100,Oldham Athletic,1-2,1-2,Crewe Alexandra,,2019-08-10T14:00Z
2,Sat Aug 10 2019,15:00,BST/+0100,Plymouth Argyle,1-0,0-0,Colchester United,,2019-08-10T14:00Z
2,Sat Aug 10 2019,15:00,BST/+0100,Port Vale FC,1-1,1-1,Northampton Town,,2019-08-10T14:00Z
2,Sat Aug 10 2019,15:00,BST/+0100,Stevenage FC,0-1,0-0,Exeter City,,2019-08-10T14:00Z
2,Sat Aug 10 2019,15:00,BST/+0100,Swindon Town,3-2,0-0,Carlisle United,,2019-08-10T14:00Z
2,Sat Aug 10 2019,15:00,BST/+0100,Walsall FC,1-1,0-1,Forest Green Rovers,,2019-08-10T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Bradford City,3-0,2-0,Oldham Athletic,,2019-08-17T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Carlisle United,0-2,0-2,Mansfield Town,,2019-08-17T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Colchester United,1-2,1-0,Cambridge United,,2019-08-17T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Crewe Alexandra,1-0,0-0,Walsall FC,,2019-08-17T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Exeter City,1-1,0-0,Swindon Town,,2019-08-17T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Forest Green Rovers,1-0,0-0,Grimsby Town,,2019-08-17T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Leyton Orient,0-0,0-0,Stevenage FC,,2019-08-17T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Morecambe FC,0-0,0-0,Cheltenham Town,,2019-08-17T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Newport County,1-0,0-0,Plymouth Argyle,,2019-08-17T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Northampton Town,1-2,0-1,Macclesfield Town,,2019-08-17T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Salford City,1-1,0-0,Port Vale FC,,2019-08-17T14:00Z
3,Sat Aug 17 2019,15:00,BST/+0100,Scunthorpe United,2-2,1-1,Crawley Town,,2019-08-17T14:00Z
4,Tue Aug 20 2019,19:45,BST/+0100,Cambridge United,3-2,0-1,Scunthorpe United,,2019-08-20T18:45Z
4,Tue Aug 20 2019,19:45,BST/+0100,Cheltenham Town,2-0,2-0,Carlisle United,,2019-08-20T18:45Z
4,Tue Aug 20 2019,19:45,BST/+0100,Crawley Town,1-2,1-1,Crewe Alexandra,,2019-08-20T18:45Z
4,Tue Aug 20 2019,19:45,BST/+0100,Grimsby Town,2-2,0-2,Colchester United,,2019-08-20T18:45Z
4,Tue Aug 20 2019,19:45,BST/+0100,Macclesfield Town,0-1,0-0,Morecambe FC,,2019-08-20T18:45Z
4,Tue Aug 20 2019,19:45,BST/+0100,Mansfield Town,2-3,2-0,Leyton Orient,,2019-08-20T18:45Z
4,Tue Aug 20 2019,19:45,BST/+0100,Oldham Athletic,0-0,0-0,Exeter City,,2019-08-20T18:45Z
4,Tue Aug 20 2019,19:45,BST/+0100,Plymouth Argyle,2-2,1-1,Salford City,,2019-08-20T18:45Z
4,Tue Aug 20 2019,19:45,BST/+0100,Port Vale FC,2-1,2-1,Forest Green Rovers,,2019-08-20T18:45Z
4,Tue Aug 20 2019,19:45,BST/+0100,Stevenage FC,0-1,0-1,Bradford City,,2019-08-20T18:45Z
4,Tue Aug 20 2019,19:45,BST/+0100,Swindon Town,0-1,0-0,Northampton Town,,2019-08-20T18:45Z
4,Tue Aug 20 2019,19:45,BST/+0100,Walsall FC,0-0,0-0,Newport County,,2019-08-20T18:45Z
5,Sat Aug 24 2019,15:00,BST/+0100,Bradford City,0-1,0-0,Forest Green Rovers,,2019-08-24T14:00Z
5,Sat Aug 24 2019,15:00,BST/+0100,Cambridge United,1-2,1-1,Oldham Athletic,,2019-08-24T14:00Z
5,Sat Aug 24 2019,15:00,BST/+0100,Carlisle United,2-2,2-2,Salford City,,2019-08-24T14:00Z
5,Sat Aug 24 2019,15:00,BST/+0100,Cheltenham Town,2-2,2-2,Swindon Town,,2019-08-24T14:00Z
5,Sat Aug 24 2019,15:00,BST/+0100,Colchester United,1-0,0-0,Northampton Town,,2019-08-24T14:00Z
5,Sat Aug 24 2019,15:00,BST/+0100,Grimsby Town,5-2,1-1,Port Vale FC,,2019-08-24T14:00Z
5,Sat Aug 24 2019,15:00,BST/+0100,Leyton Orient,2-3,1-1,Crawley Town,,2019-08-24T14:00Z
5,Sat Aug 24 2019,15:00,BST/+0100,Macclesfield Town,1-0,0-0,Scunthorpe United,,2019-08-24T14:00Z
5,Sat Aug 24 2019,15:00,BST/+0100,Mansfield Town,0-0,0-0,Stevenage FC,,2019-08-24T14:00Z
5,Sat Aug 24 2019,15:00,BST/+0100,Morecambe FC,2-3,1-2,Exeter City,,2019-08-24T14:00Z
5,Sat Aug 24 2019,15:00,BST/+0100,Newport County,1-0,0-0,Crewe Alexandra,,2019-08-24T14:00Z
5,Sat Aug 24 2019,15:00,BST/+0100,Plymouth Argyle,3-0,1-0,Walsall FC,,2019-08-24T14:00Z
6,Sat Aug 31 2019,15:00,BST/+0100,Crawley Town,1-0,0-0,Cheltenham Town,,2019-08-31T14:00Z
6,Sat Aug 31 2019,15:00,BST/+0100,Crewe Alexandra,2-1,1-1,Bradford City,,2019-08-31T14:00Z
6,Sat Aug 31 2019,15:00,BST/+0100,Exeter City,1-0,1-0,Mansfield Town,,2019-08-31T14:00Z
6,Sat Aug 31 2019,15:00,BST/+0100,Forest Green Rovers,0-2,0-1,Newport County,,2019-08-31T14:00Z
6,Sat Aug 31 2019,15:00,BST/+0100,Northampton Town,3-1,3-1,Plymouth Argyle,,2019-08-31T14:00Z
6,Sat Aug 31 2019,15:00,BST/+0100,Oldham Athletic,0-1,0-1,Colchester United,,2019-08-31T14:00Z
