Stage,Round,Date,Time,Team 1,FT,HT,Team 2,Comments
Regular Season,1,Sat Aug 3 2019,16:00,Celtic FC,7-0,3-0,St. Johnstone FC,
Regular Season,1,Sat Aug 3 2019,16:00,Hibernian FC,1-0,0-0,St. Mirren FC,
Regular Season,1,Sat Aug 3 2019,16:00,Ross County FC,3-0,2-0,Hamilton Academical,
Regular Season,1,Sat Aug 3 2019,16:00,Livingston FC,0-0,0-0,Motherwell FC,
Regular Season,1,Sun Aug 4 2019,16:00,Aberdeen FC,3-2,1-0,Heart of Midlothian,
Regular Season,1,Sun Aug 4 2019,14:30,Kilmarnock FC,1-2,0-1,Rangers FC,
Regular Season,2,Sat Aug 10 2019,13:00,Motherwell FC,2-5,1-2,Celtic FC,
Regular Season,2,Sat Aug 10 2019,16:00,Heart of Midlothian,0-0,0-0,Ross County FC,
Regular Season,2,Sat Aug 10 2019,16:00,Hamilton Academical,2-0,1-0,Kilmarnock FC,
Regular Season,2,Sat Aug 10 2019,15:00,St. Johnstone FC,2-2,0-2,Livingston FC,
Regular Season,2,Sun Aug 11 2019,16:00,Rangers FC,6-1,2-1,Hibernian FC,
Regular Season,2,Sun Aug 11 2019,16:00,St. Mirren FC,1-0,1-0,Aberdeen FC,
Regular Season,3,Sat Aug 24 2019,16:00,Hamilton Academical,1-3,1-2,Motherwell FC,
Regular Season,3,Sat Aug 24 2019,16:00,Hibernian FC,2-2,1-0,St. Johnstone FC,
Regular Season,3,Sat Aug 24 2019,16:00,Ross County FC,1-4,1-3,Livingston FC,
Regular Season,3,Sat Aug 24 2019,16:00,Kilmarnock FC,0-0,0-0,Aberdeen FC,
Regular Season,3,Sun Aug 25 2019,13:15,St. Mirren FC,0-1,0-0,Rangers FC,
Regular Season,3,Sun Aug 25 2019,16:00,Celtic FC,3-1,1-0,Heart of Midlothian,
Regular Season,4,Sat Aug 31 2019,16:00,Heart of Midlothian,2-2,1-0,Hamilton Academical,
Regular Season,4,Sat Aug 31 2019,16:00,Aberdeen FC,3-0,2-0,Ross County FC,
Regular Season,4,Sat Aug 31 2019,16:00,Livingston FC,2-1,1-0,St. Mirren FC,
Regular Season,4,Sat Aug 31 2019,16:00,Motherwell FC,3-0,1-0,Hibernian FC,
Regular Season,4,Sat Aug 31 2019,16:00,St. Johnstone FC,0-1,0-1,Kilmarnock FC,
Regular Season,4,Sun Sep 1 2019,13:00,Rangers FC,0-2,0-1,Celtic FC,
Regular Season,5,Sat Sep 14 2019,16:00,Ross County FC,2-1,0-0,St. Mirren FC,
Regular Season,5,Sat Sep 14 2019,16:00,Aberdeen FC,1-1,1-1,St. Johnstone FC,
Regular Season,5,Sat Sep 14 2019,13:00,Hamilton Academical,0-1,0-1,Celtic FC,
Regular Season,5,Sat Sep 14 2019,16:00,Kilmarnock FC,2-0,0-0,Hibernian FC,
Regular Season,5,Sat Sep 14 2019,16:00,Rangers FC,3-1,0-0,Livingston FC,
Regular Season,5,Sat Sep 14 2019,16:00,Heart of Midlothian,2-3,0-1,Motherwell FC,
Regular Season,6,Sat Sep 21 2019,16:00,Livingston FC,0-2,0-1,Aberdeen FC,
Regular Season,6,Sat Sep 21 2019,16:00,Motherwell FC,1-2,0-0,Ross County FC,
Regular Season,6,Sat Sep 21 2019,16:00,St. Mirren FC,0-0,0-0,Hamilton Academical,
Regular Season,6,Sun Sep 22 2019,13:15,St. Johnstone FC,0-4,0-0,Rangers FC,
Regular Season,6,Sun Sep 22 2019,14:00,Celtic FC,3-1,1-1,Kilmarnock FC,
Regular Season,6,Sun Sep 22 2019,16:00,Hibernian FC,1-2,0-0,Heart of Midlothian,
Regular Season,7,Sat Sep 28 2019,13:30,Hibernian FC,1-1,1-1,Celtic FC,
Regular Season,7,Sat Sep 28 2019,16:00,Hamilton Academical,2-1,1-1,Livingston FC,
Regular Season,7,Sat Sep 28 2019,16:00,Kilmarnock FC,0-0,0-0,Ross County FC,
Regular Season,7,Sat Sep 28 2019,16:00,Rangers FC,5-0,2-0,Aberdeen FC,
Regular Season,7,Sat Sep 28 2019,16:00,St. Johnstone FC,0-1,0-1,Motherwell FC,
Regular Season,7,Sat Sep 28 2019,16:00,St. Mirren FC,0-0,0-0,Heart of Midlothian,
Regular Season,8,Sat Oct 5 2019,16:00,Aberdeen FC,1-1,0-0,Hibernian FC,
Regular Season,8,Sat Oct 5 2019,16:00,Heart of Midlothian,0-1,0-1,Kilmarnock FC,
Regular Season,8,Sat Oct 5 2019,16:00,Ross County FC,2-2,1-1,St. Johnstone FC,
Regular Season,8,Sat Oct 5 2019,16:00,Motherwell FC,2-0,1-0,St. Mirren FC,
Regular Season,8,Sun Oct 6 2019,13:00,Livingston FC,2-0,0-0,Celtic FC,
Regular Season,8,Sun Oct 6 2019,16:00,Rangers FC,5-0,2-0,Hamilton Academical,
Regular Season,9,Sat Oct 19 2019,16:00,Celtic FC,6-0,1-0,Ross County FC,
Regular Season,9,Sat Oct 19 2019,16:00,St. Mirren FC,2-0,1-0,St. Johnstone FC,
Regular Season,9,Sat Oct 19 2019,16:00,Kilmarnock FC,2-1,1-0,Livingston FC,
Regular Season,9,Sat Oct 19 2019,16:00,Motherwell FC,0-3,0-1,Aberdeen FC,
Regular Season,9,Sat Oct 19 2019,16:00,Hamilton Academical,1-1,0-1,Hibernian FC,
Regular Season,9,Sun Oct 20 2019,13:15,Heart of Midlothian,1-1,1-1,Rangers FC,
Regular Season,10,Sat Oct 26 2019,16:00,Hibernian FC,2-2,0-0,Ross County FC,
Regular Season,10,Sat Oct 26 2019,16:00,Kilmarnock FC,1-0,0-0,St. Mirren FC,
Regular Season,10,Sat Oct 26 2019,16:00,St. Johnstone FC,3-2,1-1,Hamilton Academical,
Regular Season,10,Sat Oct 26 2019,16:00,Livingston FC,0-0,0-0,Heart of Midlothian,
Regular Season,10,Sun Oct 27 2019,13:15,Aberdeen FC,0-4,0-4,Celtic FC,
Regular Season,10,Sun Oct 27 2019,16:00,Rangers FC,2-1,1-1,Motherwell FC,
Regular Season,11,Wed Oct 30 2019,20:45,Celtic FC,2-0,0-0,St. Mirren FC,
Regular Season,11,Wed Oct 30 2019,20:45,Hamilton Academical,0-1,0-1,Aberdeen FC,
Regular Season,11,Wed Oct 30 2019,20:45,Hibernian FC,2-2,0-2,Livingston FC,
Regular Season,11,Wed Oct 30 2019,20:45,St. Johnstone FC,1-0,0-0,Heart of Midlothian,
Regular Season,11,Wed Oct 30 2019,20:45,Ross County FC,0-4,0-3,Rangers FC,
Regular Season,11,Wed Oct 30 2019,20:45,Motherwell FC,2-1,1-1,Kilmarnock FC,
Regular Season,12,Sat Nov 2 2019,,Rangers FC,(*),,St. Johnstone FC,cancelled
Regular Season,12,Sat Nov 2 2019,16:00,Aberdeen FC,3-0,2-0,Kilmarnock FC,
Regular Season,12,Sat Nov 2 2019,16:00,Hamilton Academical,2-2,0-1,Ross County FC,
Regular Season,12,Sat Nov 2 2019,16:00,Motherwell FC,2-1,0-0,Livingston FC,
Regular Season,13,Sat Nov 9 2019,16:00,Kilmarnock FC,2-2,1-2,Hamilton Academical,
Regular Season,13,Sat Nov 9 2019,16:00,Ross County FC,1-3,1-1,Aberdeen FC,
Regular Season,13,Sat Nov 9 2019,16:00,Heart of Midlothian,5-2,3-2,St. Mirren FC,
Regular Season,13,Sat Nov 9 2019,16:00,St. Johnstone FC,1-4,0-2,Hibernian FC,
Regular Season,13,Sun Nov 10 2019,16:00,Celtic FC,2-0,1-0,Motherwell FC,
Regular Season,13,Sun Nov 10 2019,16:00,Livingston FC,0-2,0-1,Rangers FC,
Regular Season,14,Sat Nov 23 2019,16:00,Kilmarnock FC,3-0,3-0,Heart of Midlothian,
Regular Season,14,Sat Nov 23 2019,16:00,St. Mirren FC,2-1,1-1,Ross County FC,
Regular Season,14,Sat Nov 23 2019,16:00,Hibernian FC,3-1,2-1,Motherwell FC,
Regular Season,14,Sat Nov 23 2019,16:00,Celtic FC,4-0,1-0,Livingston FC,
Regular Season,14,Sun Nov 24 2019,16:00,St. Johnstone FC,1-1,0-1,Aberdeen FC,
Regular Season,14,Sun Nov 24 2019,13:15,Hamilton Academical,1-3,1-2,Rangers FC,
Regular Season,12,Tue Nov 26 2019,20:45,St. Mirren FC,1-2,0-1,Hibernian FC,
Regular Season,15,Sat Nov 30 2019,16:00,Livingston FC,0-0,0-0,Hamilton Academical,
Regular Season,15,Sat Nov 30 2019,16:00,Motherwell FC,4-0,1-0,St. Johnstone FC,
Regular Season,15,Sat Nov 30 2019,16:00,Hibernian FC,2-2,1-0,Kilmarnock FC,
Regular Season,15,Sat Nov 30 2019,16:00,Aberdeen FC,2-1,1-1,St. Mirren FC,
Regular Season,15,Sun Dec 1 2019,13:00,Ross County FC,1-4,1-2,Celtic FC,
Regular Season,15,Sun Dec 1 2019,16:00,Rangers FC,5-0,2-0,Heart of Midlothian,
Regular Season,16,Wed Dec 4 2019,20:45,Celtic FC,2-1,1-0,Hamilton Academical,
Regular Season,16,Wed Dec 4 2019,20:45,Aberdeen FC,2-2,1-2,Rangers FC,
Regular Season,16,Wed Dec 4 2019,20:45,St. Mirren FC,0-3,0-2,Motherwell FC,
Regular Season,16,Wed Dec 4 2019,20:45,Heart of Midlothian,1-1,0-1,Livingston FC,
Regular Season,16,Wed Dec 4 2019,20:45,Kilmarnock FC,0-0,0-0,St. Johnstone FC,
Regular Season,16,Wed Dec 4 2019,20:45,Ross County FC,2-1,0-1,Hibernian FC,
Regular Season,17,Sat Dec 7 2019,16:00,Livingston FC,3-0,0-0,Kilmarnock FC,
Regular Season,17,Sat Dec 7 2019,16:00,Hamilton Academical,0-1,0-0,St. Mirren FC,
Regular Season,17,Sat Dec 7 2019,16:00,Hibernian FC,3-0,0-0,Aberdeen FC,
Regular Season,17,Sat Dec 7 2019,16:00,Motherwell FC,1-0,1-0,Heart of Midlothian,
Regular Season,18,Sat Dec 14 2019,16:00,St. Mirren FC,3-3,1-2,Livingston FC,
Regular Season,18,Sat Dec 14 2019,16:00,Ross County FC,1-0,0-0,Kilmarnock FC,
Regular Season,18,Sat Dec 14 2019,16:00,Heart of Midlothian,0-1,0-0,St. Johnstone FC,
Regular Season,18,Sat Dec 14 2019,16:00,Aberdeen FC,1-0,0-0,Hamilton Academical,
Regular Season,18,Sun Dec 15 2019,13:00,Motherwell FC,0-2,0-1,Rangers FC,
Regular Season,18,Sun Dec 15 2019,16:00,Celtic FC,2-0,1-0,Hibernian FC,
Regular Season,12,Wed Dec 18 2019,20:45,Heart of Midlothian,0-2,0-2,Celtic FC,
Regular Season,19,Fri Dec 20 2019,20:45,Hibernian FC,0-3,0-2,Rangers FC,
Regular Season,19,Sat Dec 21 2019,16:00,Livingston FC,4-0,2-0,Ross County FC,
Regular Season,19,Sat Dec 21 2019,16:00,St. Johnstone FC,0-0,0-0,St. Mirren FC,
Regular Season,19,Sat Dec 21 2019,16:00,Celtic FC,2-1,1-1,Aberdeen FC,
Regular Season,19,Sat Dec 21 2019,16:00,Hamilton Academical,2-1,0-0,Heart of Midlothian,
Regular Season,19,Sat Dec 21 2019,16:00,Kilmarnock FC,0-1,0-0,Motherwell FC,
Regular Season,20,Thu Dec 26 2019,16:00,Rangers FC,1-0,0-0,Kilmarnock FC,
Regular Season,20,Thu Dec 26 2019,16:00,St. Mirren FC,1-2,0-2,Celtic FC,
Regular Season,20,Thu Dec 26 2019,13:30,Heart of Midlothian,0-2,0-2,Hibernian FC,
Regular Season,20,Thu Dec 26 2019,16:00,Aberdeen FC,2-1,1-0,Livingston FC,
Regular Season,20,Thu Dec 26 2019,16:00,Hamilton Academical,0-1,0-0,St. Johnstone FC,
Regular Season,20,Thu Dec 26 2019,16:00,Ross County FC,1-2,1-0,Motherwell FC,
Regular Season,21,Sun Dec 29 2019,16:00,Motherwell FC,1-2,1-0,Hamilton Academical,
Regular Season,21,Sun Dec 29 2019,16:00,St. Mirren FC,1-0,1-0,Kilmarnock FC,
Regular Season,21,Sun Dec 29 2019,13:30,Celtic FC,1-2,1-1,Rangers FC,
Regular Season,21,Sun Dec 29 2019,15:00,Heart of Midlothian,1-1,0-0,Aberdeen FC,
Regular Season,21,Sun Dec 29 2019,16:00,Livingston FC,2-0,0-0,Hibernian FC,
Regular Season,21,Sun Dec 29 2019,16:00,St. Johnstone FC,1-1,0-0,Ross County FC,
Regular Season,22,Wed Jan 22 2020,20:45,Rangers FC,1-0,1-0,St. Mirren FC,
Regular Season,22,Wed Jan 22 2020,20:45,Ross County FC,0-0,0-0,Heart of Midlothian,
Regular Season,22,Wed Jan 22 2020,20:45,Aberdeen FC,0-1,0-1,Motherwell FC,
Regular Season,22,Wed Jan 22 2020,20:45,Hibernian FC,2-1,0-1,Hamilton Academical,
Regular Season,22,Wed Jan 22 2020,20:45,Livingston FC,1-0,0-0,St. Johnstone FC,
Regular Season,22,Wed Jan 22 2020,20:45,Kilmarnock FC,1-3,0-1,Celtic FC,
Regular Season,23,Sat Jan 25 2020,16:00,Hamilton Academical,2-4,1-2,Livingston FC,
Regular Season,23,Sat Jan 25 2020,16:00,Motherwell FC,0-0,0-0,Hibernian FC,
Regular Season,23,Sat Jan 25 2020,16:00,Celtic FC,3-0,1-0,Ross County FC,
Regular Season,23,Sat Jan 25 2020,16:00,St. Johnstone FC,2-1,1-1,Kilmarnock FC,
Regular Season,23,Sun Jan 26 2020,16:00,Heart of Midlothian,2-1,0-0,Rangers FC,
Regular Season,23,Sun Jan 26 2020,13:30,St. Mirren FC,0-0,0-0,Aberdeen FC,
Regular Season,17,Wed Jan 29 2020,20:45,St. Johnstone FC,0-3,0-3,Celtic FC,
Regular Season,17,Wed Jan 29 2020,20:45,Rangers FC,2-0,1-0,Ross County FC,
Regular Season,24,Sat Feb 1 2020,16:00,Livingston FC,1-0,0-0,Motherwell FC,
Regular Season,24,Sat Feb 1 2020,16:00,Kilmarnock FC,3-1,0-1,Ross County FC,
Regular Season,24,Sat Feb 1 2020,16:00,Hibernian FC,2-2,2-2,St. Mirren FC,
Regular Season,24,Sat Feb 1 2020,16:00,Rangers FC,0-0,0-0,Aberdeen FC,
Regular Season,24,Sat Feb 1 2020,16:00,St. Johnstone FC,3-3,1-2,Heart of Midlothian,
Regular Season,24,Sun Feb 2 2020,13:30,Hamilton Academical,1-4,1-1,Celtic FC,
Regular Season,25,Wed Feb 5 2020,20:45,Aberdeen FC,0-1,0-1,St. Johnstone FC,
Regular Season,25,Wed Feb 5 2020,20:45,Heart of Midlothian,2-3,0-2,Kilmarnock FC,
Regular Season,25,Wed Feb 5 2020,20:45,Motherwell FC,0-4,0-1,Celtic FC,
Regular Season,25,Wed Feb 5 2020,20:45,Rangers FC,2-1,1-1,Hibernian FC,
Regular Season,25,Wed Feb 5 2020,20:45,St. Mirren FC,1-1,0-1,Hamilton Academical,
Regular Season,25,Wed Feb 5 2020,20:45,Ross County FC,2-0,1-0,Livingston FC,
Regular Season,26,Tue Feb 11 2020,20:45,Hamilton Academical,1-3,0-3,Aberdeen FC,
Regular Season,26,Wed Feb 12 2020,20:45,Celtic FC,5-0,1-0,Heart of Midlothian,
Regular Season,26,Wed Feb 12 2020,20:45,Hibernian FC,3-0,2-0,Ross County FC,
Regular Season,26,Wed Feb 12 2020,20:45,St. Johnstone FC,2-1,1-1,Motherwell FC,
Regular Season,26,Wed Feb 12 2020,20:45,Livingston FC,2-1,1-0,St. Mirren FC,
Regular Season,26,Wed Feb 12 2020,20:45,Kilmarnock FC,2-1,0-1,Rangers FC,
Regular Season,27,Sat Feb 15 2020,16:00,Ross County FC,1-1,0-1,St. Johnstone FC,
Regular Season,27,Sat Feb 15 2020,16:00,Heart of Midlothian,2-2,0-2,Hamilton Academical,
Regular Season,27,Sun Feb 16 2020,13:00,Aberdeen FC,1-2,1-1,Celtic FC,
Regular Season,27,Sun Feb 16 2020,16:00,Rangers FC,1-0,0-0,Livingston FC,
Regular Season,27,Sun Feb 16 2020,17:30,Kilmarnock FC,1-2,1-2,Hibernian FC,
Regular Season,28,Sat Feb 22 2020,16:00,Hibernian FC,1-1,0-0,Livingston FC,
Regular Season,28,Sat Feb 22 2020,16:00,Aberdeen FC,1-2,1-1,Ross County FC,
Regular Season,28,Sat Feb 22 2020,16:00,Hamilton Academical,0-0,0-0,Motherwell FC,
Regular Season,28,Sun Feb 23 2020,16:00,Celtic FC,3-1,2-1,Kilmarnock FC,
Regular Season,28,Sun Feb 23 2020,14:30,St. Johnstone FC,2-2,1-0,Rangers FC,
