Stage,Round,Date,Time,Team 1,FT,HT,Team 2,Comments
Regular Season,27,Tue Feb 25 2020,20:45,Motherwell FC,1-2,1-0,St. Mirren FC,
Regular Season,29,Tue Mar 3 2020,20:45,Hibernian FC,1-3,0-0,Heart of Midlothian,
Regular Season,29,Wed Mar 4 2020,20:45,St. Mirren FC,0-0,0-0,St. Johnstone FC,
Regular Season,29,Wed Mar 4 2020,20:45,Kilmarnock FC,2-2,2-1,Aberdeen FC,
Regular Season,29,Wed Mar 4 2020,20:45,Rangers FC,0-1,0-0,Hamilton Academical,
Regular Season,29,Wed Mar 4 2020,20:45,Motherwell FC,4-1,2-1,Ross County FC,
Regular Season,29,Wed Mar 4 2020,20:45,Livingston FC,2-2,1-1,Celtic FC,
Regular Season,30,Sat Mar 7 2020,16:00,St. Johnstone FC,1-0,0-0,Livingston FC,
Regular Season,30,Sat Mar 7 2020,16:00,Heart of Midlothian,1-1,0-1,Motherwell FC,
Regular Season,30,Sat Mar 7 2020,16:00,Celtic FC,5-0,2-0,St. Mirren FC,
Regular Season,30,Sat Mar 7 2020,16:00,Hamilton Academical,1-0,0-0,Kilmarnock FC,
Regular Season,30,Sat Mar 7 2020,16:00,Aberdeen FC,3-1,0-1,Hibernian FC,
Regular Season,30,Sun Mar 8 2020,13:00,Ross County FC,0-1,0-0,Rangers FC,
Regular Season,28,Wed Mar 11 2020,20:45,St. Mirren FC,1-0,0-0,Heart of Midlothian,
Regular Season,31,Fri Mar 13 2020,,Motherwell FC,(*),,Aberdeen FC,cancelled
Regular Season,31,Sat Mar 14 2020,,Ross County FC,(*),,Hamilton Academical,cancelled
Regular Season,31,Sat Mar 14 2020,,Kilmarnock FC,(*),,St. Mirren FC,cancelled
Regular Season,31,Sat Mar 14 2020,,Hibernian FC,(*),,St. Johnstone FC,cancelled
Regular Season,31,Sun Mar 15 2020,,Rangers FC,(*),,Celtic FC,cancelled
Regular Season,31,Sun Mar 15 2020,,Livingston FC,(*),,Heart of Midlothian,cancelled
Regular Season,32,Sat Mar 21 2020,,Celtic FC,(*),,St. Johnstone FC,cancelled
Regular Season,32,Sat Mar 21 2020,,Hamilton Academical,(*),,Hibernian FC,cancelled
Regular Season,32,Sat Mar 21 2020,,Motherwell FC,(*),,Kilmarnock FC,cancelled
Regular Season,32,Sat Mar 21 2020,,Livingston FC,(*),,Aberdeen FC,cancelled
Regular Season,32,Sat Mar 21 2020,,Heart of Midlothian,(*),,Ross County FC,cancelled
Regular Season,32,Sun Mar 22 2020,,St. Mirren FC,(*),,Rangers FC,cancelled
Regular Season,33,Fri Apr 3 2020,,Aberdeen FC,(*),,Heart of Midlothian,cancelled
Regular Season,33,Sat Apr 4 2020,,Kilmarnock FC,(*),,Livingston FC,cancelled
Regular Season,33,Sat Apr 4 2020,,St. Johnstone FC,(*),,Hamilton Academical,cancelled
Regular Season,33,Sat Apr 4 2020,,Ross County FC,(*),,St. Mirren FC,cancelled
Regular Season,33,Sat Apr 4 2020,,Rangers FC,(*),,Motherwell FC,cancelled
Regular Season,33,Sun Apr 5 2020,,Hibernian FC,(*),,Celtic FC,cancelled
