Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 23 2019,21:00,AC Pisa,0-0,0-0,Benevento Calcio
1,Sat Aug 24 2019,18:00,FC Crotone,0-0,0-0,Cosenza Calcio
1,Sat Aug 24 2019,18:00,US Salernitana 1919,3-1,1-0,Pescara Calcio
1,Sat Aug 24 2019,21:00,Ascoli Calcio,3-1,1-0,Trapani Calcio
1,Sat Aug 24 2019,21:00,Virtus Entella,1-0,1-0,AS Livorno
1,Sat Aug 24 2019,21:00,Venezia FC,1-2,0-0,US Cremonese
1,Sat Aug 24 2019,21:00,AS Cittadella,0-3,0-0,Spezia Calcio
1,Sun Aug 25 2019,18:00,Empoli FC,2-1,1-0,SS Juve Stabia
1,Sun Aug 25 2019,21:00,AC Perugia Calcio,2-1,1-1,Chievo Verona
1,Mon Aug 26 2019,21:00,Pordenone Calcio,3-0,1-0,Frosinone Calcio
2,Fri Aug 30 2019,21:00,Chievo Verona,1-1,1-1,Empoli FC
2,Sat Aug 31 2019,21:00,Trapani Calcio,0-1,0-1,Venezia FC
2,Sat Aug 31 2019,18:00,Benevento Calcio,4-1,1-0,AS Cittadella
2,Sat Aug 31 2019,21:00,Cosenza Calcio,0-1,0-0,US Salernitana 1919
2,Sat Aug 31 2019,21:00,US Cremonese,0-1,0-1,Virtus Entella
2,Sat Aug 31 2019,21:00,AS Livorno,0-1,0-0,AC Perugia Calcio
2,Sat Aug 31 2019,18:00,Spezia Calcio,1-2,1-2,FC Crotone
2,Sun Sep 1 2019,18:00,SS Juve Stabia,0-2,0-1,AC Pisa
2,Sun Sep 1 2019,18:00,Pescara Calcio,4-2,1-2,Pordenone Calcio
2,Sun Sep 1 2019,21:00,Frosinone Calcio,2-1,0-1,Ascoli Calcio
3,Fri Sep 13 2019,21:00,Pordenone Calcio,1-0,0-0,Spezia Calcio
3,Sat Sep 14 2019,15:00,Ascoli Calcio,2-0,1-0,AS Livorno
3,Sat Sep 14 2019,15:00,AS Cittadella,2-0,0-0,Trapani Calcio
3,Sat Sep 14 2019,15:00,AC Perugia Calcio,0-0,0-0,SS Juve Stabia
3,Sat Sep 14 2019,18:00,Venezia FC,0-2,0-1,Chievo Verona
3,Sat Sep 14 2019,15:00,Virtus Entella,1-0,0-0,Frosinone Calcio
3,Sun Sep 15 2019,15:00,Cosenza Calcio,1-2,0-1,Pescara Calcio
3,Sun Sep 15 2019,15:00,FC Crotone,0-0,0-0,Empoli FC
3,Sun Sep 15 2019,21:00,AC Pisa,4-1,1-0,US Cremonese
3,Mon Sep 16 2019,21:00,US Salernitana 1919,0-2,0-0,Benevento Calcio
4,Fri Sep 20 2019,21:00,Frosinone Calcio,1-1,0-0,Venezia FC
4,Sat Sep 21 2019,15:00,US Cremonese,2-1,2-1,FC Crotone
4,Sat Sep 21 2019,15:00,Benevento Calcio,1-0,0-0,Cosenza Calcio
4,Sat Sep 21 2019,15:00,Empoli FC,1-0,1-0,AS Cittadella
4,Sat Sep 21 2019,15:00,SS Juve Stabia,1-5,0-0,Ascoli Calcio
4,Sat Sep 21 2019,15:00,AS Livorno,2-1,1-0,Pordenone Calcio
4,Sat Sep 21 2019,15:00,Pescara Calcio,1-1,0-1,Virtus Entella
4,Sat Sep 21 2019,18:00,Chievo Verona,2-2,0-1,AC Pisa
4,Sat Sep 21 2019,15:00,Spezia Calcio,2-2,2-1,AC Perugia Calcio
4,Sun Sep 22 2019,21:00,Trapani Calcio,0-1,0-0,US Salernitana 1919
5,Tue Sep 24 2019,21:00,Ascoli Calcio,3-0,2-0,Spezia Calcio
5,Tue Sep 24 2019,21:00,AS Cittadella,2-1,1-0,Pescara Calcio
5,Tue Sep 24 2019,21:00,Cosenza Calcio,1-1,0-0,AS Livorno
5,Tue Sep 24 2019,21:00,FC Crotone,2-0,0-0,SS Juve Stabia
5,Tue Sep 24 2019,21:00,Virtus Entella,0-2,0-1,Venezia FC
