Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Fri Aug 9 2019,20:45,KFC Uerdingen 05,0-2,0-0,Borussia Dortmund,,
1. Runde,Fri Aug 9 2019,20:45,FC Ingolstadt 04,0-1,0-0,1. FC Nürnberg,,
1. Runde,Fri Aug 9 2019,21:30,SV Sandhausen,0-1,0-1,Bor. Mönchengladbach,,
1. Runde,Sat Aug 10 2019,15:30,1. FC Kaiserslautern,2-0,0-0,1. FSV Mainz 05,,
1. Runde,Sat Aug 10 2019,15:30,Alemannia Aachen,1-4,0-2,Bayer Leverkusen,,
1. Runde,Sat Aug 10 2019,15:30,TuS Dassendorf,0-3,0-1,Dynamo Dresden,,
1. Runde,Sat Aug 10 2019,15:30,FC 08 Villingen,1-1,1-0,Fortuna Düsseldorf,1-3,
1. Runde,Sat Aug 10 2019,15:30,SV Drochtersen/Assel,0-5,0-1,FC Schalke 04,,
1. Runde,Sat Aug 10 2019,15:30,FC Viktoria 1889 Berlin,0-1,0-1,Arminia Bielefeld,,
1. Runde,Sat Aug 10 2019,15:30,SC Verl,2-1,2-0,FC Augsburg,,
1. Runde,Sat Aug 10 2019,15:30,Wacker Nordhausen,1-4,1-1,Erzgebirge Aue,,
1. Runde,Sat Aug 10 2019,15:30,1. FC Magdeburg,0-0,0-0,SC Freiburg,0-1,
1. Runde,Sat Aug 10 2019,18:30,Würzburger Kickers,2-2,0-1,1899 Hoffenheim,3-3,4-5
1. Runde,Sat Aug 10 2019,18:30,KSV Baunatal,2-3,2-1,VfL Bochum,,
1. Runde,Sat Aug 10 2019,18:30,SSV Ulm 1846,0-2,0-1,1. FC Heidenheim 1846,,
1. Runde,Sat Aug 10 2019,20:45,Atlas Delmenhorst,1-6,1-4,Werder Bremen,,
1. Runde,Sun Aug 11 2019,15:30,FSV Salmrohr,0-6,0-1,Holstein Kiel,,
1. Runde,Sun Aug 11 2019,15:30,Germania Halberstadt,0-6,0-1,1. FC Union Berlin,,
1. Runde,Sun Aug 11 2019,15:30,SV Rödinghausen,3-3,0-2,SC Paderborn 07,3-3,2-4
1. Runde,Sun Aug 11 2019,15:30,Waldhof Mannheim,3-5,2-2,Eintracht Frankfurt,,
1. Runde,Sun Aug 11 2019,15:30,FC Oberneuland,1-6,0-3,SV Darmstadt 98,,
1. Runde,Sun Aug 11 2019,15:30,1. FC Saarbrücken,3-2,0-0,Jahn Regensburg,,
1. Runde,Sun Aug 11 2019,15:30,VfB Lübeck,2-2,1-0,FC St. Pauli,3-3,3-4
1. Runde,Sun Aug 11 2019,15:30,VfB Eichstätt,1-5,0-3,Hertha BSC,,
1. Runde,Sun Aug 11 2019,15:30,VfL Osnabrück,2-3,1-3,RB Leipzig,,
1. Runde,Sun Aug 11 2019,18:30,Chemnitzer FC,2-2,0-0,Hamburger SV,2-2,5-6
1. Runde,Sun Aug 11 2019,18:30,MSV Duisburg,2-0,2-0,SpVgg Greuther Fürth,,
1. Runde,Sun Aug 11 2019,18:30,SV Wehen Wiesbaden,2-2,0-2,1. FC Köln,3-3,2-3
1. Runde,Mon Aug 12 2019,18:30,Hallescher FC,3-3,1-1,VfL Wolfsburg,3-5,
1. Runde,Mon Aug 12 2019,18:30,Karlsruher SC,2-0,0-0,Hannover 96,,
1. Runde,Mon Aug 12 2019,18:30,Hansa Rostock,0-1,0-1,VfB Stuttgart,,
1. Runde,Mon Aug 12 2019,20:45,Energie Cottbus,1-3,0-1,Bayern München,,
2. Runde,Tue Oct 29 2019,18:30,MSV Duisburg,0-2,0-0,1899 Hoffenheim,,
2. Runde,Tue Oct 29 2019,18:30,1. FC Saarbrücken,3-2,0-0,1. FC Köln,,
2. Runde,Tue Oct 29 2019,18:30,SC Freiburg,1-3,1-1,1. FC Union Berlin,,
2. Runde,Tue Oct 29 2019,18:30,Hamburger SV,1-1,1-1,VfB Stuttgart,1-2,
2. Runde,Tue Oct 29 2019,20:00,VfL Bochum,1-2,1-0,Bayern München,,
2. Runde,Tue Oct 29 2019,20:45,SV Darmstadt 98,0-1,0-0,Karlsruher SC,,
2. Runde,Tue Oct 29 2019,20:45,Bayer Leverkusen,1-0,1-0,SC Paderborn 07,,
2. Runde,Tue Oct 29 2019,20:45,Arminia Bielefeld,2-3,0-3,FC Schalke 04,,
2. Runde,Wed Oct 30 2019,18:30,1. FC Kaiserslautern,2-2,1-1,1. FC Nürnberg,2-2,6-5
2. Runde,Wed Oct 30 2019,18:30,SC Verl,1-1,1-1,Holstein Kiel,1-1,8-7
2. Runde,Wed Oct 30 2019,18:30,VfL Wolfsburg,1-6,0-1,RB Leipzig,,
2. Runde,Wed Oct 30 2019,18:30,Werder Bremen,4-1,4-1,1. FC Heidenheim 1846,,
2. Runde,Wed Oct 30 2019,20:45,Fortuna Düsseldorf,2-1,1-1,Erzgebirge Aue,,
2. Runde,Wed Oct 30 2019,20:45,Borussia Dortmund,2-1,0-0,Bor. Mönchengladbach,,
2. Runde,Wed Oct 30 2019,20:45,Hertha BSC,2-2,0-1,Dynamo Dresden,3-3,5-4
2. Runde,Wed Oct 30 2019,20:45,FC St. Pauli,1-2,1-2,Eintracht Frankfurt,,
Achtelfinale,Tue Feb 4 2020,18:30,Eintracht Frankfurt,3-1,1-0,RB Leipzig,,
Achtelfinale,Tue Feb 4 2020,18:30,1. FC Kaiserslautern,2-5,2-1,Fortuna Düsseldorf,,
Achtelfinale,Tue Feb 4 2020,20:45,FC Schalke 04,2-2,0-2,Hertha BSC,3-2,
Achtelfinale,Tue Feb 4 2020,20:45,Werder Bremen,3-2,2-0,Borussia Dortmund,,
Achtelfinale,Wed Feb 5 2020,18:30,Bayer Leverkusen,2-1,0-0,VfB Stuttgart,,
Achtelfinale,Wed Feb 5 2020,18:30,SC Verl,0-1,0-0,1. FC Union Berlin,,
Achtelfinale,Wed Feb 5 2020,20:45,Bayern München,4-3,3-1,1899 Hoffenheim,,
Achtelfinale,Wed Feb 5 2020,20:45,1. FC Saarbrücken,0-0,0-0,Karlsruher SC,0-0,5-3
Viertelfinale,Tue Mar 3 2020,18:30,1. FC Saarbrücken,1-1,1-0,Fortuna Düsseldorf,1-1,7-6
Viertelfinale,Tue Mar 3 2020,20:45,FC Schalke 04,0-1,0-1,Bayern München,,
