Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Aug 2 2019,19:30,CEST/+0200,FC Mauerwerk,1-3,0-2,Wiener Sport-Club,,2019-08-02T17:30Z
1,Fri Aug 2 2019,19:30,CEST/+0200,ASK Ebreichsdorf,2-0,1-0,ASK-BSC Bruck/Leitha,,2019-08-02T17:30Z
1,Fri Aug 2 2019,19:30,CEST/+0200,FCM Traiskirchen,1-3,1-1,SC Wiener Viktoria,,2019-08-02T17:30Z
1,Fri Aug 2 2019,19:30,CEST/+0200,ASV Draßburg,0-5,0-3,SV Stripfing/Weiden,,2019-08-02T17:30Z
1,Fri Aug 2 2019,19:30,CEST/+0200,FC Marchfeld Donauauen,1-0,0-0,SV Mattersburg II,,2019-08-02T17:30Z
1,Fri Aug 2 2019,19:00,CEST/+0200,SC Neusiedl/See 1919,3-0,1-0,SV Leobendorf,,2019-08-02T17:00Z
1,Sat Aug 3 2019,17:30,CEST/+0200,1. Wiener Neustädter SC,3-1,0-1,SC Team Wiener Linien,,2019-08-03T15:30Z
2,Fri Aug 9 2019,19:30,CEST/+0200,Wiener Sport-Club,4-1,1-1,1. Wiener Neustädter SC,,2019-08-09T17:30Z
2,Fri Aug 9 2019,17:30,CEST/+0200,SC Team Wiener Linien,0-2,0-0,ASK Ebreichsdorf,,2019-08-09T15:30Z
2,Fri Aug 9 2019,19:00,CEST/+0200,SC Neusiedl/See 1919,2-0,1-0,SC Wiener Viktoria,,2019-08-09T17:00Z
2,Fri Aug 9 2019,19:00,CEST/+0200,SV Mattersburg II,0-2,0-2,ASV Draßburg,,2019-08-09T17:00Z
2,Fri Aug 9 2019,19:30,CEST/+0200,FCM Traiskirchen,2-2,2-2,Rapid Wien II,,2019-08-09T17:30Z
2,Sat Aug 10 2019,17:30,CEST/+0200,SV Stripfing/Weiden,1-1,0-1,FC Mauerwerk,,2019-08-10T15:30Z
2,Sat Aug 10 2019,19:00,CEST/+0200,SV Leobendorf,1-3,0-1,ASK-BSC Bruck/Leitha,,2019-08-10T17:00Z
2,Sun Aug 11 2019,16:00,CEST/+0200,FC Admira Wacker II,0-1,0-1,FC Marchfeld Donauauen,,2019-08-11T14:00Z
3,Fri Aug 16 2019,19:30,CEST/+0200,ASK Ebreichsdorf,3-1,0-0,Wiener Sport-Club,,2019-08-16T17:30Z
3,Fri Aug 16 2019,19:00,CEST/+0200,Rapid Wien II,1-0,0-0,SC Neusiedl/See 1919,,2019-08-16T17:00Z
3,Fri Aug 16 2019,19:00,CEST/+0200,ASK-BSC Bruck/Leitha,2-3,2-2,SC Team Wiener Linien,,2019-08-16T17:00Z
3,Fri Aug 16 2019,19:30,CEST/+0200,ASV Draßburg,1-0,1-0,FC Admira Wacker II,,2019-08-16T17:30Z
3,Fri Aug 16 2019,19:30,CEST/+0200,FC Marchfeld Donauauen,1-0,1-0,FCM Traiskirchen,,2019-08-16T17:30Z
3,Fri Aug 16 2019,19:30,CEST/+0200,FC Mauerwerk,0-2,0-1,SV Mattersburg II,,2019-08-16T17:30Z
3,Sat Aug 17 2019,19:00,CEST/+0200,SV Leobendorf,3-1,2-1,SC Wiener Viktoria,,2019-08-17T17:00Z
3,Sat Aug 17 2019,17:30,CEST/+0200,1. Wiener Neustädter SC,1-1,1-0,SV Stripfing/Weiden,,2019-08-17T15:30Z
4,Fri Aug 23 2019,19:30,CEST/+0200,FC Admira Wacker II,2-1,0-0,FC Mauerwerk,,2019-08-23T17:30Z
4,Fri Aug 23 2019,18:30,CEST/+0200,FCM Traiskirchen,3-2,0-1,ASV Draßburg,,2019-08-23T16:30Z
4,Fri Aug 23 2019,19:00,CEST/+0200,SV Mattersburg II,1-2,0-1,1. Wiener Neustädter SC,,2019-08-23T17:00Z
4,Fri Aug 23 2019,19:00,CEST/+0200,SC Neusiedl/See 1919,1-3,0-1,FC Marchfeld Donauauen,,2019-08-23T17:00Z
4,Fri Aug 23 2019,19:00,CEST/+0200,Rapid Wien II,3-0,1-0,SC Wiener Viktoria,,2019-08-23T17:00Z
4,Fri Aug 23 2019,19:30,CEST/+0200,Wiener Sport-Club,3-1,1-0,ASK-BSC Bruck/Leitha,,2019-08-23T17:30Z
