Round,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 17 2019,18:00,CD Lugo,0-0,0-0,Extremadura UD
1,Sat Aug 17 2019,18:00,Racing Santander,0-1,0-0,Málaga CF
1,Sat Aug 17 2019,19:00,UD Almería,3-0,0-0,Albacete
1,Sat Aug 17 2019,20:00,Elche CF,0-2,0-2,CF Fuenlabrada
1,Sat Aug 17 2019,21:00,Rayo Vallecano,2-2,2-1,CD Mirandés
1,Sat Aug 17 2019,21:00,Real Zaragoza,2-0,1-0,CD Tenerife
1,Sun Aug 18 2019,18:00,Deportivo La Coruña,3-2,1-0,Real Oviedo
1,Sun Aug 18 2019,18:00,CD Numancia,0-1,0-0,AD Alcorcón
1,Sun Aug 18 2019,20:00,UD Las Palmas,0-1,0-0,SD Huesca
1,Sun Aug 18 2019,20:00,Cádiz CF,3-1,0-1,SD Ponferradina
1,Sun Aug 18 2019,18:30,Girona FC,1-1,0-0,Sporting Gijón
2,Fri Aug 23 2019,22:00,Albacete,1-0,0-0,Girona FC
2,Sat Aug 24 2019,18:00,Racing Santander,1-1,1-0,UD Almería
2,Sat Aug 24 2019,18:00,Real Oviedo,1-1,1-0,CD Lugo
2,Sat Aug 24 2019,19:00,CD Mirandés,1-2,0-0,Cádiz CF
2,Sat Aug 24 2019,20:00,AD Alcorcón,1-2,1-0,Elche CF
2,Sat Aug 24 2019,21:00,Málaga CF,1-1,0-0,UD Las Palmas
2,Sun Aug 25 2019,18:00,SD Ponferradina,1-1,0-0,Real Zaragoza
2,Sun Aug 25 2019,18:00,Sporting Gijón,1-1,1-0,Rayo Vallecano
2,Sun Aug 25 2019,19:00,SD Huesca,3-1,2-0,Deportivo La Coruña
2,Sun Aug 25 2019,20:00,CD Tenerife,3-2,1-0,CD Numancia
2,Sun Aug 25 2019,21:00,Extremadura UD,1-2,0-1,CF Fuenlabrada
3,Fri Aug 30 2019,21:00,Real Zaragoza,1-0,0-0,Elche CF
3,Sat Aug 31 2019,21:00,UD Las Palmas,2-2,0-1,Racing Santander
3,Sat Aug 31 2019,18:00,CF Fuenlabrada,2-1,1-1,Real Oviedo
3,Sat Aug 31 2019,20:00,UD Almería,1-0,1-0,SD Huesca
3,Sat Aug 31 2019,18:00,CD Numancia,2-0,0-0,CD Mirandés
3,Sun Sep 1 2019,18:00,CD Lugo,2-4,1-2,AD Alcorcón
3,Sun Sep 1 2019,18:00,Rayo Vallecano,3-1,2-1,Deportivo La Coruña
3,Sun Sep 1 2019,21:00,Cádiz CF,2-1,1-0,Extremadura UD
3,Sun Sep 1 2019,19:00,Girona FC,1-0,1-0,Málaga CF
3,Sun Sep 1 2019,20:00,SD Ponferradina,4-0,1-0,CD Tenerife
3,Sun Sep 1 2019,18:00,Sporting Gijón,2-0,0-0,Albacete
4,Fri Sep 6 2019,21:00,Racing Santander,1-2,0-1,Cádiz CF
4,Sat Sep 7 2019,16:00,Deportivo La Coruña,0-1,0-0,Albacete
4,Sat Sep 7 2019,18:00,Málaga CF,0-1,0-1,UD Almería
4,Sat Sep 7 2019,20:00,Extremadura UD,0-0,0-0,CD Numancia
4,Sat Sep 7 2019,20:00,CF Fuenlabrada,1-1,0-1,SD Ponferradina
4,Sat Sep 7 2019,21:00,CD Tenerife,0-0,0-0,UD Las Palmas
4,Sun Sep 8 2019,12:00,SD Huesca,1-0,0-0,Sporting Gijón
4,Sun Sep 8 2019,16:00,Girona FC,3-1,1-0,Rayo Vallecano
4,Sun Sep 8 2019,18:30,AD Alcorcón,0-3,0-2,Real Zaragoza
4,Sun Sep 8 2019,18:00,CD Mirandés,2-1,1-1,Real Oviedo
4,Sun Sep 8 2019,18:00,Elche CF,1-1,1-0,CD Lugo
5,Fri Sep 13 2019,21:00,Rayo Vallecano,2-0,1-0,Racing Santander
5,Sat Sep 14 2019,16:00,CD Numancia,1-0,0-0,SD Huesca
5,Sat Sep 14 2019,20:30,SD Ponferradina,1-1,1-0,AD Alcorcón
5,Sat Sep 14 2019,18:30,UD Las Palmas,0-3,0-1,UD Almería
5,Sat Sep 14 2019,20:30,Cádiz CF,2-0,1-0,Girona FC
5,Sat Sep 14 2019,16:00,CD Mirandés,1-1,0-0,Málaga CF
5,Sun Sep 15 2019,12:00,Albacete,0-4,0-2,CD Tenerife
5,Sun Sep 15 2019,16:00,Real Oviedo,0-2,0-1,Elche CF
5,Sun Sep 15 2019,18:00,Real Zaragoza,3-1,1-0,Extremadura UD
