Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri May 12 2017,20:30,-0300,Guarani SP,2-0,1-0,Brasil de Pelotas RS,2017-05-12T23:30Z
1,Fri May 12 2017,20:30,-0300,Juventude RS,2-1,0-0,Luverdense MT,2017-05-12T23:30Z
1,Fri May 12 2017,21:30,-0300,Náutico PE,0-0,0-0,América MG,2017-05-13T00:30Z
1,Fri May 12 2017,19:15,-0300,CR Brasil AL,1-0,1-0,Ceará CE,2017-05-12T22:15Z
1,Sat May 13 2017,16:30,-0300,ABC RN,0-0,0-0,Paraná Clube,2017-05-13T19:30Z
1,Sat May 13 2017,16:30,-0300,Criciúma SC,1-2,1-0,Santa Cruz PE,2017-05-13T19:30Z
1,Sat May 13 2017,16:30,-0300,Londrina PR,0-3,0-2,Internacional,2017-05-13T19:30Z
1,Sat May 13 2017,16:30,-0300,Boa Esporte MG,0-1,0-1,Vila Nova GO,2017-05-13T19:30Z
1,Sat May 13 2017,19:00,-0300,Goiás GO,0-1,0-1,Figueirense SC,2017-05-13T22:00Z
1,Sat May 13 2017,21:00,-0300,Paysandu PA,2-0,0-0,Oeste SP,2017-05-14T00:00Z
2,Tue May 16 2017,19:15,-0300,Brasil de Pelotas RS,1-1,1-0,Londrina PR,2017-05-16T22:15Z
2,Tue May 16 2017,21:30,-0300,Ceará CE,0-0,0-0,Boa Esporte MG,2017-05-17T00:30Z
4,Tue May 16 2017,21:30,-0300,Paraná Clube,2-0,1-0,Goiás GO,2017-05-17T00:30Z
2,Fri May 19 2017,20:30,-0300,Vila Nova GO,0-0,0-0,Juventude RS,2017-05-19T23:30Z
2,Fri May 19 2017,21:30,-0300,América MG,1-1,0-0,Goiás GO,2017-05-20T00:30Z
2,Fri May 19 2017,19:15,-0300,Paraná Clube,0-0,0-0,Paysandu PA,2017-05-19T22:15Z
2,Sat May 20 2017,16:30,-0300,Santa Cruz PE,2-1,1-0,Guarani SP,2017-05-20T19:30Z
2,Sat May 20 2017,16:30,-0300,Luverdense MT,1-1,1-1,CR Brasil AL,2017-05-20T19:30Z
