Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Round 1,Wed Feb 8 2017,17:00,-0200,Murici AL,3-1,2-1,Juventude RS,,2017-02-08T19:00Z
Round 1,Wed Feb 8 2017,19:15,-0200,Vitória da Conquista BA,1-1,0-0,Coritiba PR,,2017-02-08T21:15Z
Round 1,Wed Feb 8 2017,19:30,-0200,Campinense PB,0-2,0-0,Ponte Preta,,2017-02-08T21:30Z
Round 1,Wed Feb 8 2017,19:30,-0200,Luziânia DF,0-2,0-1,Vitória BA,,2017-02-08T21:30Z
Round 1,Wed Feb 8 2017,20:30,-0200,Ferroviária SP,1-1,1-0,ASA AL,,2017-02-08T22:30Z
Round 1,Wed Feb 8 2017,20:30,-0200,São Bento SP,1-1,1-0,Paraná Clube,,2017-02-08T22:30Z
Round 1,Wed Feb 8 2017,20:30,-0200,PSTC PR,2-1,1-0,Ypiranga RS,,2017-02-08T22:30Z
Round 1,Wed Feb 8 2017,20:30,-0200,Audax SP,1-0,0-0,América RN,,2017-02-08T22:30Z
Round 1,Wed Feb 8 2017,21:30,-0200,Sete de Setembro MS,1-0,1-0,River PI,,2017-02-08T23:30Z
Round 1,Wed Feb 8 2017,21:30,-0200,Gurupi TO,2-1,2-1,Londrina PR,,2017-02-08T23:30Z
Round 1,Wed Feb 8 2017,21:30,-0200,São Francisco PA,3-0,1-0,Botafogo PB,,2017-02-08T23:30Z
Round 1,Wed Feb 8 2017,21:30,-0200,Altos PI,2-0,1-0,CR Brasil AL,,2017-02-08T23:30Z
Round 1,Wed Feb 8 2017,21:30,-0200,Rondoniense RO,0-2,0-0,Cuiabá MT,,2017-02-08T23:30Z
Round 1,Wed Feb 8 2017,21:30,-0200,São Raimundo RR,0-2,0-0,Boa Esporte MG,,2017-02-08T23:30Z
Round 1,Wed Feb 8 2017,21:45,-0200,Caldense MG,0-1,0-1,Corinthians SP,,2017-02-08T23:45Z
Round 1,Wed Feb 8 2017,22:30,-0200,CSA AL,1-4,1-1,Sport Recife PE,,2017-02-09T00:30Z
Round 1,Wed Feb 8 2017,23:30,-0200,Atlético Acreano AC,0-2,0-1,América MG,,2017-02-09T01:30Z
Round 1,Thu Feb 9 2017,21:00,-0200,Santos AP,0-2,0-1,Vasco da Gama RJ,,2017-02-09T23:00Z
Round 1,Thu Feb 9 2017,21:30,-0200,Moto Club MA,0-1,0-1,São Paulo FC,,2017-02-09T23:30Z
Round 1,Thu Feb 9 2017,19:15,-0200,São José SP,1-1,0-1,Sampaio Corrêa MA,,2017-02-09T21:15Z
Round 1,Wed Feb 15 2017,16:00,-0200,Boavista RJ,1-0,0-0,Ceará CE,,2017-02-15T18:00Z
Round 1,Wed Feb 15 2017,16:00,-0200,Ceilândia DF,1-1,0-1,ABC RN,,2017-02-15T18:00Z
Round 1,Wed Feb 15 2017,19:15,-0200,Desportiva Ferroviária ES,1-2,0-1,Avaí SC,,2017-02-15T21:15Z
Round 1,Wed Feb 15 2017,19:15,-0200,Anápolis FC GO,0-0,0-0,CA Bragantino,,2017-02-15T21:15Z
Round 1,Wed Feb 15 2017,20:30,-0200,Friburguense RJ,0-1,0-0,Oeste SP,,2017-02-15T22:30Z
Round 1,Wed Feb 15 2017,20:30,-0200,U.R.T. MG,1-2,0-1,Luverdense MT,,2017-02-15T22:30Z
Round 1,Wed Feb 15 2017,20:45,-0200,Comercial MS,0-1,0-0,Joinville SC,,2017-02-15T22:45Z
Round 1,Wed Feb 15 2017,21:30,-0200,Uniclinic,1-2,0-0,Portuguesa SP,,2017-02-15T23:30Z
Round 1,Wed Feb 15 2017,21:30,-0200,São Raimundo PA,2-1,1-1,Fortaleza CE,,2017-02-15T23:30Z
Round 1,Wed Feb 15 2017,21:30,-0200,Itabaiana SE,2-4,0-3,Goiás GO,,2017-02-15T23:30Z
Round 1,Wed Feb 15 2017,21:45,-0200,Volta Redonda RJ,1-2,0-1,Cruzeiro,,2017-02-15T23:45Z
Round 1,Wed Feb 15 2017,21:45,-0200,Globo RN,2-5,1-3,Fluminense RJ,,2017-02-15T23:45Z
Round 1,Wed Feb 15 2017,21:45,-0200,Princesa do Solimões AM,0-2,0-0,Internacional,,2017-02-15T23:45Z
Round 1,Wed Feb 15 2017,22:30,-0200,Guarani CE,1-0,0-0,Náutico PE,,2017-02-16T00:30Z
Round 1,Wed Feb 15 2017,23:30,-0200,Rio Branco AC,1-0,0-0,Figueirense SC,,2017-02-16T01:30Z
Round 1,Thu Feb 16 2017,19:15,-0200,Brusque SC,2-1,1-1,Remo PA,,2017-02-16T21:15Z
Round 1,Thu Feb 16 2017,21:30,-0200,Sinop MT,1-0,0-0,Salgueiro PE,,2017-02-16T23:30Z
Round 1,Thu Feb 16 2017,21:30,-0200,Sergipe SE,0-2,0-0,Bahia BA,,2017-02-16T23:30Z
