Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 19 2024,19:00,AC Sparta Praha,2-1,1-1,FK Pardubice
1,Sat Jul 20 2024,17:00,Dynamo České Budějovice,0-2,0-0,Sigma Olomouc
1,Sat Jul 20 2024,17:00,Bohemians Praha 1905,2-1,0-0,Baník Ostrava
1,Sat Jul 20 2024,20:00,FK Dukla Praha,1-3,0-2,Viktoria Plzeň
1,Sat Jul 20 2024,14:30,FK Jablonec,2-0,1-0,FK Mladá Boleslav
1,Sun Jul 21 2024,14:30,MFK Karviná,1-3,1-2,Slovan Liberec
1,Sun Jul 21 2024,17:00,1. FC Slovácko,0-0,0-0,Slavia Praha
1,Sun Jul 21 2024,20:00,FC Hradec Králové,1-0,0-0,FK Teplice
2,Sat Jul 27 2024,17:00,FK Teplice,1-4,0-0,AC Sparta Praha
2,Sat Jul 27 2024,17:00,FK Pardubice,0-1,0-1,MFK Karviná
2,Sat Jul 27 2024,20:00,Slavia Praha,4-0,2-0,Dynamo České Budějovice
2,Sat Jul 27 2024,14:30,FK Dukla Praha,1-0,0-0,Bohemians Praha 1905
2,Sun Jul 28 2024,14:30,Slovan Liberec,1-1,1-0,Sigma Olomouc
2,Sun Jul 28 2024,17:00,FK Mladá Boleslav,3-0,2-0,1. FC Slovácko
2,Sun Jul 28 2024,17:00,Baník Ostrava,1-0,0-0,FK Jablonec
2,Sun Jul 28 2024,20:00,Viktoria Plzeň,1-0,0-0,FC Hradec Králové
3,Fri Aug 2 2024,20:00,AC Sparta Praha,2-0,1-0,FK Dukla Praha
3,Fri Aug 2 2024,17:30,Slovan Liberec,0-1,0-1,Slavia Praha
3,Sat Aug 3 2024,17:00,FK Jablonec,0-0,0-0,Viktoria Plzeň
3,Sat Aug 3 2024,20:00,Sigma Olomouc,2-1,1-1,FK Teplice
3,Sat Aug 3 2024,14:30,1. FC Slovácko,0-0,0-0,Bohemians Praha 1905
3,Sun Aug 4 2024,14:30,Dynamo České Budějovice,1-3,0-3,FK Pardubice
3,Sun Aug 4 2024,17:00,FC Hradec Králové,2-1,1-1,FK Mladá Boleslav
4,Sat Aug 10 2024,14:30,FK Dukla Praha,0-2,0-1,FK Jablonec
4,Sat Aug 10 2024,17:00,FK Teplice,2-1,1-0,Slovan Liberec
4,Sat Aug 10 2024,17:00,Bohemians Praha 1905,1-2,1-1,AC Sparta Praha
4,Sat Aug 10 2024,20:00,Slavia Praha,2-0,1-0,Sigma Olomouc
4,Sun Aug 11 2024,20:00,Viktoria Plzeň,5-0,2-0,MFK Karviná
4,Sun Aug 11 2024,14:30,FK Pardubice,0-1,0-0,1. FC Slovácko
4,Sun Aug 11 2024,17:00,FK Mladá Boleslav,4-0,1-0,Dynamo České Budějovice
4,Sun Aug 11 2024,17:00,Baník Ostrava,1-0,0-0,FC Hradec Králové
5,Sat Aug 17 2024,14:30,FC Hradec Králové,1-0,1-0,FK Dukla Praha
5,Sat Aug 17 2024,17:00,Slavia Praha,2-1,0-0,FK Teplice
5,Sat Aug 17 2024,17:00,MFK Karviná,1-2,1-2,Bohemians Praha 1905
5,Sat Aug 17 2024,20:00,FK Jablonec,1-2,0-1,AC Sparta Praha
5,Sun Aug 18 2024,17:00,Dynamo České Budějovice,0-3,0-1,Viktoria Plzeň
5,Sun Aug 18 2024,14:30,Sigma Olomouc,3-2,2-1,FK Mladá Boleslav
5,Sun Aug 18 2024,17:00,Slovan Liberec,3-0,2-0,FK Pardubice
5,Sun Aug 18 2024,20:00,1. FC Slovácko,1-0,1-0,Baník Ostrava
6,Sat Aug 24 2024,20:00,FK Pardubice,2-1,0-0,FC Hradec Králové
6,Sat Aug 24 2024,14:30,Bohemians Praha 1905,1-2,1-1,FK Jablonec
6,Sat Aug 24 2024,17:00,FK Teplice,1-3,0-1,MFK Karviná
6,Sat Aug 24 2024,17:00,AC Sparta Praha,2-2,1-2,1. FC Slovácko
6,Sun Aug 25 2024,14:30,Baník Ostrava,2-0,0-0,Slovan Liberec
6,Sun Aug 25 2024,17:00,FK Dukla Praha,3-0,0-0,Dynamo České Budějovice
3,Wed Aug 28 2024,18:00,MFK Karviná,0-0,0-0,Baník Ostrava
7,Sat Aug 31 2024,17:00,1. FC Slovácko,0-0,0-0,FK Jablonec
7,Sat Aug 31 2024,14:30,Dynamo České Budějovice,0-0,0-0,Bohemians Praha 1905
7,Sat Aug 31 2024,20:00,FC Hradec Králové,0-2,0-2,AC Sparta Praha
7,Sun Sep 1 2024,17:00,FK Teplice,1-2,1-1,FK Mladá Boleslav
7,Sun Sep 1 2024,14:30,Sigma Olomouc,2-2,1-1,Baník Ostrava
7,Sun Sep 1 2024,20:00,Slovan Liberec,1-1,0-0,Viktoria Plzeň
7,Sun Sep 1 2024,14:30,MFK Karviná,0-0,0-0,FK Dukla Praha
7,Sun Sep 1 2024,17:00,Slavia Praha,2-0,1-0,FK Pardubice
8,Sat Sep 14 2024,19:00,AC Sparta Praha,,,MFK Karviná
8,Sat Sep 14 2024,16:00,Baník Ostrava,,,Slavia Praha
8,Sat Sep 14 2024,13:30,FK Mladá Boleslav,,,Slovan Liberec
8,Sat Sep 14 2024,13:30,Viktoria Plzeň,,,FK Teplice
8,Sat Sep 14 2024,16:00,FK Pardubice,,,Sigma Olomouc
8,Sun Sep 15 2024,15:30,FK Jablonec,,,Dynamo České Budějovice
8,Sun Sep 15 2024,13:00,FK Dukla Praha,,,1. FC Slovácko
8,Sun Sep 15 2024,18:30,Bohemians Praha 1905,,,FC Hradec Králové
6,Tue Sep 17 2024,17:00,Viktoria Plzeň,,,Sigma Olomouc
6,Tue Sep 17 2024,19:30,FK Mladá Boleslav,,,Slavia Praha
9,Sat Sep 21 2024,13:30,FC Hradec Králové,,,1. FC Slovácko
9,Sat Sep 21 2024,16:00,FK Teplice,,,Baník Ostrava
9,Sat Sep 21 2024,16:00,MFK Karviná,,,FK Jablonec
