Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
MSFL,1,Fri Aug 2 2024,18:00,CEST/+0200,FC Zlínsko,3-0,,FC Zlín B,,2024-08-02T16:00Z
MSFL,1,Sat Aug 3 2024,17:00,CEST/+0200,FK Hodonín,2-0,,1. FC Slovácko B,,2024-08-03T15:00Z
MSFL,1,Sat Aug 3 2024,17:00,CEST/+0200,ČSK Uherský Brod,0-2,,FC Zbrojovka Brno B,,2024-08-03T15:00Z
MSFL,1,Sat Aug 3 2024,17:00,CEST/+0200,TJ Unie Hlubina,4-0,,FC Slovan Rosice,,2024-08-03T15:00Z
MSFL,1,Sat Aug 3 2024,17:30,CEST/+0200,Hanácká Slávia Kroměříž,2-0,,TJ Start Brno,,2024-08-03T15:30Z
MSFL,1,Sat Aug 3 2024,10:15,CEST/+0200,FK Třinec,2-1,,FK Frýdek-Místek,,2024-08-03T08:15Z
MSFL,1,Sun Aug 4 2024,17:00,CEST/+0200,FC Strání,0-1,,FC Hlučín,,2024-08-04T15:00Z
MSFL,1,Sun Aug 4 2024,17:00,CEST/+0200,FK Blansko,3-0,,1. SC Znojmo,,2024-08-04T15:00Z
MSFL,1,Sun Aug 4 2024,17:00,CEST/+0200,SK Uničov,2-1,,MFK Karviná B,,2024-08-04T15:00Z
ČFL A,1,Fri Aug 9 2024,18:00,CEST/+0200,Sokol Hostouň,0-0,0-0,Dynamo České Budějovice B,,2024-08-09T16:00Z
ČFL A,1,Fri Aug 9 2024,18:30,CEST/+0200,FC Chomutov,3-3,2-2,Bohemians Praha 1905 B,,2024-08-09T16:30Z
MSFL,2,Fri Aug 9 2024,18:00,CEST/+0200,FC Hlučín,1-2,,Hanácká Slávia Kroměříž,,2024-08-09T16:00Z
ČFL A,1,Sat Aug 10 2024,10:15,CEST/+0200,FK Loko Vltavín,2-1,0-0,FC Písek,,2024-08-10T08:15Z
ČFL A,1,Sat Aug 10 2024,15:00,CEST/+0200,TJ Jiskra Domažlice,4-1,1-0,FK MAS Táborsko B,,2024-08-10T13:00Z
