Round,Date,Time,Team 1,FT,Team 2
Round 1,Fri Aug 16 2024,18:00,SV Wehen Wiesbaden,,1. FSV Mainz 05
Round 1,Fri Aug 16 2024,18:00,Hallescher FC,,FC St. Pauli
Round 1,Fri Aug 16 2024,20:45,SSV Ulm 1846,,Bayern München
Round 1,Fri Aug 16 2024,18:00,Würzburger Kickers,,1899 Hoffenheim
Round 1,Sat Aug 17 2024,13:00,Erzgebirge Aue,,Bor. Mönchengladbach
Round 1,Sat Aug 17 2024,13:00,TSV Schott Mainz,,SpVgg Greuther Fürth
Round 1,Sat Aug 17 2024,15:30,FC 08 Villingen,,1. FC Heidenheim 1846
Round 1,Sat Aug 17 2024,15:30,Rot-Weiss Essen,,RB Leipzig
Round 1,Sat Aug 17 2024,15:30,FC Ingolstadt 04,,1. FC Kaiserslautern
Round 1,Sat Aug 17 2024,15:30,VfR Aalen,,FC Schalke 04
Round 1,Sat Aug 17 2024,15:30,VfL Osnabrück,,SC Freiburg
Round 1,Sat Aug 17 2024,15:30,Greifswalder FC,,1. FC Union Berlin
Round 1,Sat Aug 17 2024,18:00,Arminia Bielefeld,,Hannover 96
Round 1,Sat Aug 17 2024,18:00,1. FC Phönix Lübeck,,Borussia Dortmund
Round 1,Sat Aug 17 2024,18:00,Alemannia Aachen,,Holstein Kiel
Round 1,Sun Aug 18 2024,13:00,1. FC Saarbrücken,,1. FC Nürnberg
Round 1,Sun Aug 18 2024,13:00,FC Viktoria 1889 Berlin,,FC Augsburg
Round 1,Sun Aug 18 2024,15:30,Bremer SV,,SC Paderborn 07
Round 1,Sun Aug 18 2024,15:30,Jahn Regensburg,,VfL Bochum
Round 1,Sun Aug 18 2024,15:30,VfV Hildesheim,,SV 07 Elversberg
Round 1,Sun Aug 18 2024,15:30,SV Sandhausen,,1. FC Köln
Round 1,Sun Aug 18 2024,15:30,Hansa Rostock,,Hertha BSC
Round 1,Sun Aug 18 2024,15:30,FC Teutonia 05,,SV Darmstadt 98
Round 1,Sun Aug 18 2024,18:00,Dynamo Dresden,,Fortuna Düsseldorf
Round 1,Sun Aug 18 2024,18:00,Sportfreunde Lotte,,Karlsruher SC
Round 1,Sun Aug 18 2024,18:00,SV Meppen,,Hamburger SV
Round 1,Mon Aug 19 2024,18:00,Energie Cottbus,,Werder Bremen
Round 1,Mon Aug 19 2024,18:00,Kickers Offenbach,,1. FC Magdeburg
Round 1,Mon Aug 19 2024,20:45,Eintracht Braunschweig,,Eintracht Frankfurt
Round 1,Mon Aug 19 2024,18:00,TuS Koblenz,,VfL Wolfsburg
Round 1,Tue Aug 27 2024,20:45,Preußen Münster,,VfB Stuttgart
Round 1,Wed Aug 28 2024,18:00,FC Carl Zeiss Jena,,Bayer Leverkusen
