Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Sat Aug 3 2024,21:00,CEST/+0200,Željezničar Sarajevo,0-1,0-1,Široki Brijeg,,2024-08-03T19:00Z
1,Sat Aug 3 2024,18:45,CEST/+0200,NK GOŠK Gabela,0-1,0-0,Radnik Bijeljina,,2024-08-03T16:45Z
1,Sun Aug 4 2024,21:00,CEST/+0200,FK Sarajevo,3-1,1-1,Sloboda Tuzla,,2024-08-04T19:00Z
1,Sun Aug 4 2024,17:30,CEST/+0200,HŠK Posušje,1-0,0-0,Igman Konjic,,2024-08-04T15:30Z
2,Sat Aug 10 2024,21:00,CEST/+0200,Velež Mostar,1-2,0-0,Željezničar Sarajevo,,2024-08-10T19:00Z
2,Sat Aug 10 2024,18:45,CEST/+0200,Sloboda Tuzla,0-2,0-1,HŠK Posušje,,2024-08-10T16:45Z
2,Sat Aug 10 2024,,,Igman Konjic,,,Borac Banja Luka,postponed,
2,Sun Aug 11 2024,21:00,CEST/+0200,NK GOŠK Gabela,1-4,1-1,Zrinjski Mostar,,2024-08-11T19:00Z
2,Sun Aug 11 2024,18:45,CEST/+0200,Radnik Bijeljina,1-1,0-1,Široki Brijeg,,2024-08-11T16:45Z
2,Mon Aug 12 2024,17:30,CEST/+0200,Sloga Doboj,1-3,1-3,FK Sarajevo,,2024-08-12T15:30Z
3,Sat Aug 17 2024,17:30,CEST/+0200,HŠK Posušje,1-1,1-1,Sloga Doboj,,2024-08-17T15:30Z
3,Sat Aug 17 2024,21:00,CEST/+0200,Željezničar Sarajevo,3-1,2-0,Igman Konjic,,2024-08-17T19:00Z
3,Sun Aug 18 2024,21:00,CEST/+0200,Borac Banja Luka,2-0,1-0,Sloboda Tuzla,,2024-08-18T19:00Z
3,Sun Aug 18 2024,18:45,CEST/+0200,Široki Brijeg,0-2,0-1,Velež Mostar,,2024-08-18T16:45Z
3,Mon Aug 19 2024,,,Zrinjski Mostar,,,Radnik Bijeljina,postponed,
3,Mon Aug 19 2024,21:00,CEST/+0200,FK Sarajevo,3-1,2-0,NK GOŠK Gabela,,2024-08-19T19:00Z
4,Fri Aug 23 2024,17:30,CEST/+0200,Igman Konjic,0-3,0-1,Široki Brijeg,,2024-08-23T15:30Z
4,Sat Aug 24 2024,21:00,CEST/+0200,Sloboda Tuzla,0-1,0-0,Željezničar Sarajevo,,2024-08-24T19:00Z
4,Sat Aug 24 2024,,,Sloga Doboj,,,Borac Banja Luka,postponed,
4,Sat Aug 24 2024,,,Zrinjski Mostar,,,FK Sarajevo,postponed,
4,Sat Aug 24 2024,18:45,CEST/+0200,Radnik Bijeljina,4-3,2-2,Velež Mostar,,2024-08-24T16:45Z
4,Mon Aug 26 2024,21:00,CEST/+0200,NK GOŠK Gabela,0-1,0-1,HŠK Posušje,,2024-08-26T19:00Z
5,Fri Aug 30 2024,21:00,CEST/+0200,FK Sarajevo,2-0,1-0,Radnik Bijeljina,,2024-08-30T19:00Z
