Round,Date,Time,Team 1,FT,Team 2
1. Runde,Fri Jul 26 2024,18:00,ASKÖ Köttmannsdorf,,SV Horn
1. Runde,Fri Jul 26 2024,18:00,Union Gurten,,LASK
1. Runde,Fri Jul 26 2024,18:00,ATUS Velden,,Grazer AK
1. Runde,Fri Jul 26 2024,18:00,SC Wiener Viktoria,,DSV Leoben
1. Runde,Fri Jul 26 2024,18:00,FC Dornbirn,,RB Salzburg
1. Runde,Fri Jul 26 2024,18:30,SK Treibach,,Kapfenberger SV
1. Runde,Fri Jul 26 2024,19:00,SV Wallern,,FC Kitzbühel
1. Runde,Fri Jul 26 2024,19:00,SC Weiz,,SV Lafnitz
1. Runde,Fri Jul 26 2024,19:00,FCM Traiskirchen,,SKU Amstetten
1. Runde,Fri Jul 26 2024,19:00,SV Wals-Grünau,,Austria Lustenau
1. Runde,Fri Jul 26 2024,19:00,SV Gloggnitz,,SK Austria Klagenfurt
1. Runde,Fri Jul 26 2024,19:00,SK Bischofshofen,,TSV Hartberg
1. Runde,Fri Jul 26 2024,19:00,ASV Draßburg,,Wolfsberger AC
1. Runde,Fri Jul 26 2024,19:30,Deutschlandsberger SC,,SC Korneuburg
1. Runde,Fri Jul 26 2024,19:30,FC Marchfeld Donauauen,,First Vienna FC
1. Runde,Fri Jul 26 2024,19:30,SV Oberwart,,SV Stripfing/Weiden
1. Runde,Sat Jul 27 2024,17:00,Austria Salzburg,,SVG Reichenau
1. Runde,Sat Jul 27 2024,17:30,Union Dietach,,WSC Hertha
1. Runde,Sat Jul 27 2024,17:30,SR Donaufeld,,SCR Altach
1. Runde,Sat Jul 27 2024,18:00,SV Wildon,,FC Blau Weiß Linz
1. Runde,Sat Jul 27 2024,18:00,VfB Hohenems,,ASKÖ Oedt
1. Runde,Sat Jul 27 2024,18:15,Kremser SC,,Sturm Graz
1. Runde,Sat Jul 27 2024,18:30,SV Donau Wien,,ASK Voitsberg
1. Runde,Sat Jul 27 2024,19:00,USV St. Anna,,FC Admira Wacker
1. Runde,Sat Jul 27 2024,19:00,SV Leobendorf,,SKN St. Pölten
1. Runde,Sat Jul 27 2024,19:30,ASV Siegendorf,,Floridsdorfer AC
1. Runde,Sun Jul 28 2024,10:30,SC Röthis,,SV Ried
1. Runde,Sun Jul 28 2024,16:00,FC Pinzgau Saalfelden,,Austria Wien
1. Runde,Sun Jul 28 2024,16:30,SC Imst,,WSG Tirol
1. Runde,Sun Jul 28 2024,17:00,SC Schwaz,,Schwarz-Weiß Bregenz
1. Runde,Sun Jul 28 2024,18:30,SC Neusiedl/See 1919,,Rapid Wien
1. Runde,Sun Jul 28 2024,10:30,ASK Klagenfurt,,Sportunion Mauer
