Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sun Aug 4 2024,20:30,CEST/+0200,FK Arsenal,2-1,0-0,Jedinstvo Bijelo Polje,2024-08-04T18:30Z
1,Sun Aug 4 2024,20:30,CEST/+0200,FK Mornar,0-1,0-1,FK Otrant Ulcinj,2024-08-04T18:30Z
1,Sun Aug 4 2024,21:00,CEST/+0200,FK Sutjeska,1-1,1-0,FK Dečić Tuzi,2024-08-04T19:00Z
1,Sun Aug 4 2024,20:30,CEST/+0200,FK Bokelj,2-0,1-0,FK Jezero,2024-08-04T18:30Z
1,Tue Aug 6 2024,20:00,CEST/+0200,FK Budućnost Podgorica,2-1,1-0,OFK Petrovac,2024-08-06T18:00Z
2,Sun Aug 11 2024,20:00,CEST/+0200,Jedinstvo Bijelo Polje,0-1,0-0,FK Bokelj,2024-08-11T18:00Z
2,Sun Aug 11 2024,20:45,CEST/+0200,OFK Petrovac,3-2,0-1,FK Otrant Ulcinj,2024-08-11T18:45Z
2,Sun Aug 11 2024,20:00,CEST/+0200,FK Budućnost Podgorica,1-1,0-1,FK Sutjeska,2024-08-11T18:00Z
3,Sat Aug 17 2024,20:00,CEST/+0200,FK Otrant Ulcinj,3-1,3-1,FK Jezero,2024-08-17T18:00Z
3,Sat Aug 17 2024,20:00,CEST/+0200,FK Mornar,1-2,0-1,Jedinstvo Bijelo Polje,2024-08-17T18:00Z
3,Sat Aug 17 2024,17:15,CEST/+0200,FK Arsenal,0-2,0-0,FK Budućnost Podgorica,2024-08-17T15:15Z
3,Sat Aug 17 2024,20:00,CEST/+0200,FK Sutjeska,0-2,0-1,OFK Petrovac,2024-08-17T18:00Z
3,Sun Aug 18 2024,20:00,CEST/+0200,FK Bokelj,0-1,0-0,FK Dečić Tuzi,2024-08-18T18:00Z
4,Wed Aug 21 2024,20:00,CEST/+0200,OFK Petrovac,1-1,0-0,FK Jezero,2024-08-21T18:00Z
4,Wed Aug 21 2024,20:00,CEST/+0200,FK Dečić Tuzi,1-0,1-0,FK Mornar,2024-08-21T18:00Z
4,Wed Aug 21 2024,20:00,CEST/+0200,FK Sutjeska,1-2,1-1,FK Arsenal,2024-08-21T18:00Z
4,Wed Aug 21 2024,20:00,CEST/+0200,Jedinstvo Bijelo Polje,1-0,0-0,FK Otrant Ulcinj,2024-08-21T18:00Z
4,Wed Aug 21 2024,20:45,CEST/+0200,FK Budućnost Podgorica,4-0,1-0,FK Bokelj,2024-08-21T18:45Z
5,Sun Aug 25 2024,20:45,CEST/+0200,FK Otrant Ulcinj,2-2,0-0,FK Dečić Tuzi,2024-08-25T18:45Z
5,Sun Aug 25 2024,20:00,CEST/+0200,FK Mornar,0-2,0-1,FK Budućnost Podgorica,2024-08-25T18:00Z
5,Sun Aug 25 2024,17:00,CEST/+0200,FK Arsenal,1-1,1-1,OFK Petrovac,2024-08-25T15:00Z
5,Sun Aug 25 2024,20:00,CEST/+0200,FK Bokelj,0-3,0-0,FK Sutjeska,2024-08-25T18:00Z
5,Sun Aug 25 2024,20:00,CEST/+0200,FK Jezero,1-0,1-0,Jedinstvo Bijelo Polje,2024-08-25T18:00Z
6,Sat Aug 31 2024,20:45,CEST/+0200,FK Sutjeska,1-1,1-0,FK Mornar,2024-08-31T18:45Z
6,Sat Aug 31 2024,16:45,CEST/+0200,FK Arsenal,1-1,0-0,FK Bokelj,2024-08-31T14:45Z
6,Sat Aug 31 2024,19:00,CEST/+0200,OFK Petrovac,3-1,2-0,Jedinstvo Bijelo Polje,2024-08-31T17:00Z
6,Sat Aug 31 2024,20:00,CEST/+0200,FK Budućnost Podgorica,1-1,0-1,FK Otrant Ulcinj,2024-08-31T18:00Z
6,Sat Aug 31 2024,20:00,CEST/+0200,FK Dečić Tuzi,1-0,1-0,FK Jezero,2024-08-31T18:00Z
7,Sat Sep 14 2024,19:00,CEST/+0200,FK Otrant Ulcinj,1-3,1-2,FK Sutjeska,2024-09-14T17:00Z
7,Sat Sep 14 2024,19:00,CEST/+0200,FK Mornar,4-0,1-0,FK Arsenal,2024-09-14T17:00Z
7,Sat Sep 14 2024,18:00,CEST/+0200,FK Bokelj,0-1,0-1,OFK Petrovac,2024-09-14T16:00Z
7,Sat Sep 14 2024,18:00,CEST/+0200,Jedinstvo Bijelo Polje,1-1,0-1,FK Dečić Tuzi,2024-09-14T16:00Z
7,Sun Sep 15 2024,20:00,CEST/+0200,FK Jezero,0-2,0-1,FK Budućnost Podgorica,2024-09-15T18:00Z
2,Wed Sep 18 2024,18:00,CEST/+0200,FK Dečić Tuzi,1-3,1-2,FK Arsenal,2024-09-18T16:00Z
2,Wed Sep 18 2024,18:00,CEST/+0200,FK Jezero,2-2,0-1,FK Mornar,2024-09-18T16:00Z
8,Sun Sep 22 2024,17:00,CEST/+0200,FK Sutjeska,2-1,1-0,FK Jezero,2024-09-22T15:00Z
8,Sun Sep 22 2024,18:00,CEST/+0200,FK Bokelj,2-0,1-0,FK Mornar,2024-09-22T16:00Z
8,Sun Sep 22 2024,18:00,CEST/+0200,FK Budućnost Podgorica,4-0,1-0,Jedinstvo Bijelo Polje,2024-09-22T16:00Z
8,Sun Sep 22 2024,20:00,CEST/+0200,OFK Petrovac,0-1,0-0,FK Dečić Tuzi,2024-09-22T18:00Z
8,Sun Sep 22 2024,15:30,CEST/+0200,FK Arsenal,0-0,0-0,FK Otrant Ulcinj,2024-09-22T13:30Z
9,Sat Sep 28 2024,19:00,CEST/+0200,FK Dečić Tuzi,,,FK Budućnost Podgorica,2024-09-28T17:00Z
9,Sat Sep 28 2024,19:00,CEST/+0200,Jedinstvo Bijelo Polje,,,FK Sutjeska,2024-09-28T17:00Z
9,Sat Sep 28 2024,19:00,CEST/+0200,FK Jezero,,,FK Arsenal,2024-09-28T17:00Z
9,Sat Sep 28 2024,19:00,CEST/+0200,FK Mornar,,,OFK Petrovac,2024-09-28T17:00Z
9,Sat Sep 28 2024,19:00,CEST/+0200,FK Otrant Ulcinj,,,FK Bokelj,2024-09-28T17:00Z
10,Wed Oct 2 2024,,,FK Dečić Tuzi,,,FK Sutjeska,
10,Wed Oct 2 2024,,,Jedinstvo Bijelo Polje,,,FK Arsenal,
