Stage,Round,Date,Time,Team 1,FT,Team 2
Grunddurchgang,1,Fri Aug 2 2024,20:30,Grazer AK,,RB Salzburg
Grunddurchgang,1,Sat Aug 3 2024,17:00,TSV Hartberg,,LASK
Grunddurchgang,1,Sat Aug 3 2024,19:30,Wolfsberger AC,,SK Austria Klagenfurt
Grunddurchgang,1,Sat Aug 3 2024,17:00,SCR Altach,,WSG Tirol
Grunddurchgang,1,Sun Aug 4 2024,17:00,FC Blau Weiß Linz,,Austria Wien
Grunddurchgang,1,Sun Aug 4 2024,17:00,Rapid Wien,,Sturm Graz
Grunddurchgang,2,Sat Aug 10 2024,17:00,LASK,,SCR Altach
Grunddurchgang,2,Sat Aug 10 2024,17:00,WSG Tirol,,Grazer AK
Grunddurchgang,2,Sat Aug 10 2024,19:30,RB Salzburg,,FC Blau Weiß Linz
Grunddurchgang,2,Sun Aug 11 2024,17:00,Sturm Graz,,TSV Hartberg
Grunddurchgang,2,Sun Aug 11 2024,17:00,SK Austria Klagenfurt,,Rapid Wien
Grunddurchgang,2,Sun Aug 11 2024,17:00,Austria Wien,,Wolfsberger AC
Grunddurchgang,3,Sat Aug 17 2024,17:00,SK Austria Klagenfurt,,Sturm Graz
Grunddurchgang,3,Sat Aug 17 2024,19:30,LASK,,RB Salzburg
Grunddurchgang,3,Sat Aug 17 2024,17:00,Grazer AK,,FC Blau Weiß Linz
Grunddurchgang,3,Sun Aug 18 2024,17:00,Rapid Wien,,WSG Tirol
Grunddurchgang,3,Sun Aug 18 2024,17:00,SCR Altach,,Wolfsberger AC
Grunddurchgang,3,Sun Aug 18 2024,17:00,TSV Hartberg,,Austria Wien
Grunddurchgang,4,Sat Aug 24 2024,17:00,WSG Tirol,,SK Austria Klagenfurt
Grunddurchgang,4,Sat Aug 24 2024,19:30,Sturm Graz,,SCR Altach
Grunddurchgang,4,Sat Aug 24 2024,17:00,RB Salzburg,,TSV Hartberg
Grunddurchgang,4,Sun Aug 25 2024,17:00,Austria Wien,,LASK
Grunddurchgang,4,Sun Aug 25 2024,17:00,FC Blau Weiß Linz,,Rapid Wien
Grunddurchgang,4,Sun Aug 25 2024,17:00,Wolfsberger AC,,Grazer AK
Grunddurchgang,5,Sat Aug 31 2024,17:00,SK Austria Klagenfurt,,FC Blau Weiß Linz
Grunddurchgang,5,Sat Aug 31 2024,17:00,TSV Hartberg,,Grazer AK
Grunddurchgang,5,Sat Aug 31 2024,19:30,Sturm Graz,,WSG Tirol
Grunddurchgang,5,Sun Sep 1 2024,17:00,Rapid Wien,,RB Salzburg
Grunddurchgang,5,Sun Sep 1 2024,17:00,SCR Altach,,Austria Wien
Grunddurchgang,5,Sun Sep 1 2024,17:00,LASK,,Wolfsberger AC
Grunddurchgang,6,Sat Sep 14 2024,,RB Salzburg,,SK Austria Klagenfurt
Grunddurchgang,6,Sat Sep 14 2024,,Wolfsberger AC,,Rapid Wien
Grunddurchgang,6,Sat Sep 14 2024,,Austria Wien,,Sturm Graz
Grunddurchgang,6,Sat Sep 14 2024,,FC Blau Weiß Linz,,LASK
Grunddurchgang,6,Sat Sep 14 2024,,Grazer AK,,SCR Altach
Grunddurchgang,6,Sat Sep 14 2024,,TSV Hartberg,,WSG Tirol
