Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 30 2024,21:15,CEST/+0200,AC Libertas,0-4,0-1,SS Cosmos,2024-08-30T19:15Z
1,Fri Aug 30 2024,21:15,CEST/+0200,FC Fiorentino,0-0,0-0,AC Juvenes/Dogana,2024-08-30T19:15Z
1,Fri Aug 30 2024,21:15,CEST/+0200,FC Domagnano,2-1,1-0,San Marino Academy,2024-08-30T19:15Z
1,Fri Aug 30 2024,21:15,CEST/+0200,SS Folgore/Falciano,1-2,0-1,SP Tre Fiori,2024-08-30T19:15Z
1,Sat Aug 31 2024,15:00,CEST/+0200,SP Cailungo,0-1,0-1,SC Faetano,2024-08-31T13:00Z
1,Sat Aug 31 2024,15:00,CEST/+0200,SS Murata,3-0,1-0,SS Pennarossa,2024-08-31T13:00Z
1,Sun Sep 1 2024,15:00,CEST/+0200,SS Virtus,1-1,1-0,SS San Giovanni,2024-09-01T13:00Z
1,Sun Sep 1 2024,15:00,CEST/+0200,SP Tre Penne,1-1,1-1,SP La Fiorita,2024-09-01T13:00Z
2,Fri Sep 13 2024,21:10,CEST/+0200,SS Cosmos,0-1,0-0,SS Murata,2024-09-13T19:10Z
2,Fri Sep 13 2024,21:15,CEST/+0200,SC Faetano,0-4,0-3,SP Tre Penne,2024-09-13T19:15Z
2,Fri Sep 13 2024,21:15,CEST/+0200,SP La Fiorita,4-2,1-2,SP Cailungo,2024-09-13T19:15Z
2,Sat Sep 14 2024,15:00,CEST/+0200,SP Tre Fiori,4-0,3-0,San Marino Academy,2024-09-14T13:00Z
2,Sat Sep 14 2024,15:00,CEST/+0200,SS Pennarossa,0-3,0-1,SS Folgore/Falciano,2024-09-14T13:00Z
2,Sat Sep 14 2024,15:00,CEST/+0200,FC Domagnano,1-2,0-1,SS Virtus,2024-09-14T13:00Z
2,Sun Sep 15 2024,15:00,CEST/+0200,SS San Giovanni,0-1,0-0,FC Fiorentino,2024-09-15T13:00Z
2,Sun Sep 15 2024,15:00,CEST/+0200,AC Juvenes/Dogana,1-1,0-1,AC Libertas,2024-09-15T13:00Z
3,Fri Sep 20 2024,21:15,CEST/+0200,SS Virtus,1-0,1-0,AC Juvenes/Dogana,2024-09-20T19:15Z
3,Fri Sep 20 2024,21:15,CEST/+0200,AC Libertas,2-1,0-0,SP Tre Fiori,2024-09-20T19:15Z
3,Sat Sep 21 2024,15:00,CEST/+0200,SS Folgore/Falciano,2-1,2-1,SS San Giovanni,2024-09-21T13:00Z
3,Sat Sep 21 2024,18:00,CEST/+0200,SS Murata,3-3,2-1,FC Domagnano,2024-09-21T16:00Z
3,Sat Sep 21 2024,15:00,CEST/+0200,San Marino Academy,1-2,1-1,FC Fiorentino,2024-09-21T13:00Z
3,Sun Sep 22 2024,15:00,CEST/+0200,SP Tre Penne,0-0,0-0,SS Pennarossa,2024-09-22T13:00Z
3,Sun Sep 22 2024,17:30,CEST/+0200,SP Cailungo,0-5,0-1,SS Cosmos,2024-09-22T15:30Z
3,Sun Sep 22 2024,15:00,CEST/+0200,SP La Fiorita,7-1,3-1,SC Faetano,2024-09-22T13:00Z
4,Fri Sep 27 2024,21:15,CEST/+0200,San Marino Academy,,,AC Libertas,2024-09-27T19:15Z
4,Sat Sep 28 2024,15:00,CEST/+0200,SP Tre Fiori,,,SP La Fiorita,2024-09-28T13:00Z
4,Sat Sep 28 2024,15:00,CEST/+0200,SS Cosmos,,,SS Pennarossa,2024-09-28T13:00Z
4,Sat Sep 28 2024,15:00,CEST/+0200,AC Juvenes/Dogana,,,SS Murata,2024-09-28T13:00Z
4,Sat Sep 28 2024,15:00,CEST/+0200,FC Fiorentino,,,SS Virtus,2024-09-28T13:00Z
4,Sun Sep 29 2024,15:00,CEST/+0200,SS Folgore/Falciano,,,SP Cailungo,2024-09-29T13:00Z
4,Sun Sep 29 2024,15:00,CEST/+0200,FC Domagnano,,,SP Tre Penne,2024-09-29T13:00Z
4,Sun Sep 29 2024,15:00,CEST/+0200,SS San Giovanni,,,SC Faetano,2024-09-29T13:00Z
