Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Sat Aug 10 2024,17:00,CEST/+0200,KF Llapi,1-1,0-0,KF Gjilani,,2024-08-10T15:00Z
1,Sat Aug 10 2024,17:00,CEST/+0200,KF Ferizaj,2-1,1-0,KF Feronikeli,,2024-08-10T15:00Z
1,Sun Aug 11 2024,19:00,CEST/+0200,FC Prishtina,0-0,0-0,FC Suhareka,,2024-08-11T17:00Z
1,Sun Aug 11 2024,17:00,CEST/+0200,KF Ballkani,2-0,1-0,KF Dukagjini,,2024-08-11T15:00Z
2,Sat Aug 17 2024,17:00,CEST/+0200,FC Suhareka,3-1,0-0,KF Dukagjini,,2024-08-17T15:00Z
2,Sun Aug 18 2024,17:00,CEST/+0200,KF Malisheva,1-1,1-0,KF Ferizaj,,2024-08-18T15:00Z
2,Sun Aug 18 2024,17:00,CEST/+0200,KF Feronikeli,0-2,0-0,KF Llapi,,2024-08-18T15:00Z
2,Mon Aug 19 2024,,,FC Prishtina,,,Drita Gjilan,postponed,
2,Mon Aug 19 2024,17:00,CEST/+0200,KF Gjilani,1-1,,KF Ballkani,,2024-08-19T15:00Z
3,Sat Aug 24 2024,16:00,CEST/+0200,KF Llapi,0-1,0-0,KF Malisheva,,2024-08-24T14:00Z
3,Sat Aug 24 2024,16:00,CEST/+0200,KF Ferizaj,1-3,,FC Prishtina,,2024-08-24T14:00Z
3,Sun Aug 25 2024,,,Drita Gjilan,,,FC Suhareka,postponed,
3,Sun Aug 25 2024,16:00,CEST/+0200,KF Dukagjini,2-1,1-1,KF Gjilani,,2024-08-25T14:00Z
3,Sun Aug 25 2024,16:00,CEST/+0200,KF Ballkani,3-1,0-0,KF Feronikeli,,2024-08-25T14:00Z
4,Sat Aug 31 2024,19:00,CEST/+0200,FC Prishtina,3-2,1-1,KF Llapi,,2024-08-31T17:00Z
4,Sat Aug 31 2024,16:00,CEST/+0200,KF Feronikeli,0-2,0-1,KF Dukagjini,,2024-08-31T14:00Z
4,Sun Sep 1 2024,16:00,CEST/+0200,KF Malisheva,3-2,1-1,KF Ballkani,,2024-09-01T14:00Z
4,Sun Sep 1 2024,16:00,CEST/+0200,FC Suhareka,3-2,1-2,KF Gjilani,,2024-09-01T14:00Z
4,Mon Sep 2 2024,16:00,CEST/+0200,Drita Gjilan,3-1,0-0,KF Ferizaj,,2024-09-02T14:00Z
5,Sat Sep 14 2024,15:00,CEST/+0200,KF Ferizaj,0-1,0-1,FC Suhareka,,2024-09-14T13:00Z
5,Sat Sep 14 2024,15:00,CEST/+0200,KF Ballkani,1-0,,FC Prishtina,,2024-09-14T13:00Z
5,Sun Sep 15 2024,15:00,CEST/+0200,KF Dukagjini,1-3,1-1,KF Malisheva,,2024-09-15T13:00Z
5,Sun Sep 15 2024,15:00,CEST/+0200,KF Llapi,1-0,0-0,Drita Gjilan,,2024-09-15T13:00Z
5,Mon Sep 16 2024,15:00,CEST/+0200,KF Gjilani,2-0,2-0,KF Feronikeli,,2024-09-16T13:00Z
1,Wed Sep 18 2024,15:00,CEST/+0200,Drita Gjilan,2-1,1-0,KF Malisheva,,2024-09-18T13:00Z
6,Fri Sep 20 2024,15:00,CEST/+0200,FC Prishtina,3-0,,KF Dukagjini,,2024-09-20T13:00Z
6,Sat Sep 21 2024,15:00,CEST/+0200,FC Suhareka,2-0,1-0,KF Feronikeli,,2024-09-21T13:00Z
6,Sat Sep 21 2024,15:00,CEST/+0200,KF Ferizaj,0-1,0-0,KF Llapi,,2024-09-21T13:00Z
6,Sun Sep 22 2024,15:00,CEST/+0200,Drita Gjilan,1-0,0-0,KF Ballkani,,2024-09-22T13:00Z
6,Sun Sep 22 2024,15:00,CEST/+0200,KF Malisheva,2-1,,KF Gjilani,,2024-09-22T13:00Z
7,Fri Sep 27 2024,15:00,CEST/+0200,KF Llapi,,,FC Suhareka,,2024-09-27T13:00Z
7,Sat Sep 28 2024,15:00,CEST/+0200,KF Dukagjini,,,Drita Gjilan,,2024-09-28T13:00Z
7,Sat Sep 28 2024,15:00,CEST/+0200,KF Ballkani,,,KF Ferizaj,,2024-09-28T13:00Z
7,Sun Sep 29 2024,15:00,CEST/+0200,KF Feronikeli,,,KF Malisheva,,2024-09-29T13:00Z
7,Sun Sep 29 2024,00:00,CEST/+0200,KF Gjilani,,,FC Prishtina,,2024-09-28T22:00Z
8,Fri Oct 4 2024,15:00,CEST/+0200,KF Ferizaj,,,KF Dukagjini,,2024-10-04T13:00Z
8,Sat Oct 5 2024,15:00,CEST/+0200,Drita Gjilan,,,KF Gjilani,,2024-10-05T13:00Z
8,Sat Oct 5 2024,15:00,CEST/+0200,FC Prishtina,,,KF Feronikeli,,2024-10-05T13:00Z
8,Sun Oct 6 2024,15:00,CEST/+0200,FC Suhareka,,,KF Malisheva,,2024-10-06T13:00Z
8,Sun Oct 6 2024,15:00,CEST/+0200,KF Llapi,,,KF Ballkani,,2024-10-06T13:00Z
