Round,Date,Time,Team 1,FT,HT,Team 2
1,Tue Jun 16 2020,18:00,Rosenborg BK,0-0,0-0,Kristiansund BK
1,Tue Jun 16 2020,18:00,Viking FK,2-4,2-1,FK Bodø/Glimt
1,Tue Jun 16 2020,18:00,Odds BK,1-2,0-0,Sandefjord Fotball
1,Tue Jun 16 2020,20:30,Sarpsborg 08,0-1,0-1,Vålerenga IF
1,Tue Jun 16 2020,18:00,Aalesunds FK,1-4,1-2,Molde FK
1,Tue Jun 16 2020,18:00,Stabæk IF,0-0,0-0,Mjøndalen IF
1,Wed Jun 17 2020,18:00,IK Start,2-2,0-1,Strømsgodset IF
1,Wed Jun 17 2020,20:30,FK Haugesund,1-2,0-0,SK Brann
2,Sat Jun 20 2020,18:00,Mjøndalen IF,1-0,1-0,Sarpsborg 08
2,Sat Jun 20 2020,20:30,Molde FK,1-0,0-0,Rosenborg BK
2,Sun Jun 21 2020,18:00,Vålerenga IF,2-2,1-2,Stabæk IF
2,Sun Jun 21 2020,18:00,Kristiansund BK,7-2,3-2,Aalesunds FK
2,Sun Jun 21 2020,18:00,FK Bodø/Glimt,6-1,3-0,FK Haugesund
2,Sun Jun 21 2020,18:00,Strømsgodset IF,1-0,1-0,Odds BK
2,Sun Jun 21 2020,18:00,Sandefjord Fotball,2-2,1-2,IK Start
2,Sun Jun 21 2020,20:30,SK Brann,3-0,0-0,Viking FK
3,Wed Jun 24 2020,18:00,Aalesunds FK,2-2,1-0,SK Brann
3,Wed Jun 24 2020,18:00,Viking FK,1-1,1-1,Mjøndalen IF
3,Wed Jun 24 2020,18:00,FK Haugesund,2-2,0-1,Kristiansund BK
3,Wed Jun 24 2020,20:30,Odds BK,4-1,1-1,Vålerenga IF
3,Wed Jun 24 2020,18:00,IK Start,2-3,1-2,Molde FK
3,Wed Jun 24 2020,18:00,Stabæk IF,2-0,1-0,Sandefjord Fotball
3,Thu Jun 25 2020,18:00,Sarpsborg 08,2-3,0-2,Strømsgodset IF
3,Thu Jun 25 2020,20:30,Rosenborg BK,2-3,0-1,FK Bodø/Glimt
4,Sat Jun 27 2020,18:00,IK Start,0-5,0-2,Odds BK
4,Sat Jun 27 2020,20:30,Vålerenga IF,2-1,1-0,Viking FK
4,Sun Jun 28 2020,18:00,Mjøndalen IF,1-2,0-0,Kristiansund BK
4,Sun Jun 28 2020,18:00,Molde FK,4-1,1-0,Stabæk IF
4,Sun Jun 28 2020,18:00,Sandefjord Fotball,0-1,0-1,FK Haugesund
4,Sun Jun 28 2020,18:00,Strømsgodset IF,1-1,0-1,Aalesunds FK
4,Sun Jun 28 2020,20:30,SK Brann,1-2,1-1,Rosenborg BK
4,Sun Jun 28 2020,18:00,FK Bodø/Glimt,2-1,1-0,Sarpsborg 08
5,Wed Jul 1 2020,18:00,Odds BK,0-4,0-2,FK Bodø/Glimt
5,Wed Jul 1 2020,18:00,Viking FK,2-0,0-0,Sandefjord Fotball
5,Wed Jul 1 2020,18:00,FK Haugesund,1-0,0-0,IK Start
5,Wed Jul 1 2020,20:30,Rosenborg BK,1-1,1-0,Vålerenga IF
5,Wed Jul 1 2020,18:00,Stabæk IF,2-0,2-0,Strømsgodset IF
5,Wed Jul 1 2020,18:00,Aalesunds FK,1-3,0-2,Mjøndalen IF
5,Thu Jul 2 2020,18:00,Kristiansund BK,2-2,0-0,Molde FK
5,Thu Jul 2 2020,20:30,Sarpsborg 08,0-1,0-1,SK Brann
6,Sat Jul 4 2020,18:00,IK Start,1-1,0-0,Viking FK
6,Sat Jul 4 2020,20:30,Vålerenga IF,2-2,0-1,Aalesunds FK
6,Sun Jul 5 2020,18:00,FK Bodø/Glimt,5-0,4-0,SK Brann
6,Sun Jul 5 2020,18:00,Molde FK,2-1,2-0,Mjøndalen IF
6,Sun Jul 5 2020,18:00,Strømsgodset IF,2-2,0-2,Kristiansund BK
6,Sun Jul 5 2020,18:00,Sandefjord Fotball,0-3,0-2,Sarpsborg 08
6,Sun Jul 5 2020,20:30,Stabæk IF,0-3,0-0,Rosenborg BK
6,Sun Jul 5 2020,18:00,Odds BK,0-0,0-0,FK Haugesund
7,Sat Jul 11 2020,18:00,FK Haugesund,0-3,0-2,Molde FK
7,Sat Jul 11 2020,20:30,Rosenborg BK,3-0,0-0,Strømsgodset IF
7,Sun Jul 12 2020,18:00,Kristiansund BK,1-2,1-1,Stabæk IF
7,Sun Jul 12 2020,18:00,Viking FK,1-2,0-1,Odds BK
7,Sun Jul 12 2020,18:00,Sarpsborg 08,1-0,1-0,IK Start
7,Sun Jul 12 2020,18:00,Aalesunds FK,1-6,1-3,FK Bodø/Glimt
7,Sun Jul 12 2020,20:30,SK Brann,3-1,3-1,Sandefjord Fotball
7,Sun Jul 12 2020,18:00,Mjøndalen IF,0-1,0-1,Vålerenga IF
