Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Taça Guanabara,1,Sat Jan 18 2020,16:30,-0300,Resende FC RJ,0-0,0-0,Boavista RJ,,2020-01-18T19:30Z
Taça Guanabara,1,Sat Jan 18 2020,16:00,-0300,Macaé Esporte RJ,0-0,0-0,Flamengo RJ,,2020-01-18T19:00Z
Taça Guanabara,1,Sat Jan 18 2020,16:00,-0300,Madureira RJ,1-0,0-0,Portuguesa RJ,,2020-01-18T19:00Z
Taça Guanabara,1,Sat Jan 18 2020,18:00,-0300,Volta Redonda RJ,1-0,0-0,Botafogo RJ,,2020-01-18T21:00Z
Taça Guanabara,1,Sun Jan 19 2020,16:00,-0300,Vasco da Gama RJ,0-0,0-0,Bangu RJ,,2020-01-19T19:00Z
Taça Guanabara,1,Sun Jan 19 2020,19:00,-0300,Cabofriense RJ,0-1,0-0,Fluminense RJ,,2020-01-19T22:00Z
Taça Guanabara,2,Tue Jan 21 2020,16:00,-0300,Madureira RJ,2-0,1-0,Botafogo RJ,,2020-01-21T19:00Z
Taça Guanabara,2,Wed Jan 22 2020,16:00,-0300,Macaé Esporte RJ,0-3,0-1,Boavista RJ,,2020-01-22T19:00Z
Taça Guanabara,2,Wed Jan 22 2020,16:00,-0300,Volta Redonda RJ,4-0,1-0,Cabofriense RJ,,2020-01-22T19:00Z
Taça Guanabara,2,Wed Jan 22 2020,21:00,-0300,Vasco da Gama RJ,0-1,0-1,Flamengo RJ,,2020-01-23T00:00Z
Taça Guanabara,2,Thu Jan 23 2020,16:00,-0300,Resende FC RJ,1-1,1-0,Bangu RJ,,2020-01-23T19:00Z
Taça Guanabara,2,Thu Jan 23 2020,20:00,-0300,Fluminense RJ,2-0,0-0,Portuguesa RJ,,2020-01-23T23:00Z
Taça Guanabara,3,Sat Jan 25 2020,19:00,-0300,Boavista RJ,0-1,0-0,Vasco da Gama RJ,,2020-01-25T22:00Z
Taça Guanabara,3,Sat Jan 25 2020,16:00,-0300,Cabofriense RJ,0-1,0-0,Madureira RJ,,2020-01-25T19:00Z
Taça Guanabara,3,Sat Jan 25 2020,18:00,-0300,Flamengo RJ,3-2,0-1,Volta Redonda RJ,,2020-01-25T21:00Z
Taça Guanabara,3,Sun Jan 26 2020,19:00,-0300,Botafogo RJ,3-1,1-0,Macaé Esporte RJ,,2020-01-26T22:00Z
Taça Guanabara,3,Sun Jan 26 2020,16:00,-0300,Bangu RJ,1-5,1-2,Fluminense RJ,,2020-01-26T19:00Z
