Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,Comments,UTC
Qualifikation,Sun Sep 6 2020,16:00,-0300,Baré RR,3-0,1-0,Ypiranga AP,,,,2020-09-06T19:00Z
Qualifikation,Sun Sep 6 2020,16:00,-0300,Ji-Paraná RO,2-1,0-0,Nacional AM,,,,2020-09-06T19:00Z
Qualifikation,Sun Sep 6 2020,16:00,-0300,Tocantinópolis TO,1-0,1-0,Brasiliense DF,,,,2020-09-06T19:00Z
Qualifikation,Sun Sep 6 2020,15:00,-0300,Real Noroeste ES,3-1,1-1,Aquidauanense MS,,,,2020-09-06T18:00Z
Qualifikation,Sun Sep 13 2020,16:00,-0300,Nacional AM,1-2,0-0,Ji-Paraná RO,,,,2020-09-13T19:00Z
Qualifikation,Sun Sep 13 2020,16:00,-0300,Aquidauanense MS,1-3,1-1,Real Noroeste ES,,,,2020-09-13T19:00Z
Qualifikation,Sun Sep 13 2020,17:00,-0300,Ypiranga AP,0-1,0-0,Baré RR,,,,2020-09-13T20:00Z
Qualifikation,Sun Sep 13 2020,15:00,-0300,Brasiliense DF,4-0,2-0,Tocantinópolis TO,,,,2020-09-13T18:00Z
Gruppe A,Sat Sep 19 2020,19:00,-0300,Rio Branco AC,2-1,1-0,Independente PA,,,,2020-09-19T22:00Z
Gruppe E,Sat Sep 19 2020,17:00,-0300,União Rondonópolis MT,0-0,0-0,Águia Negra MS,,,,2020-09-19T20:00Z
Gruppe E,Sat Sep 19 2020,17:00,-0300,Aparecidense GO,1-2,0-2,Operário MT,,,,2020-09-19T20:00Z
Gruppe E,Sat Sep 19 2020,18:00,-0300,Goianésia GO,2-0,1-0,Vitória ES,,,,2020-09-19T21:00Z
Gruppe D,Sat Sep 19 2020,15:00,-0300,Jacyobá AL,2-2,0-0,Central PE,,,,2020-09-19T18:00Z
Gruppe F,Sat Sep 19 2020,16:00,-0300,Tupynambás MG,2-1,0-0,Bahia de Feira BA,,,,2020-09-19T19:00Z
Gruppe F,Sat Sep 19 2020,20:30,-0300,Atlético de Alagoinhas BA,0-1,0-1,Gama DF,,,,2020-09-19T23:30Z
Gruppe C,Sat Sep 19 2020,16:00,-0300,América RN,0-0,0-0,Campinense PB,,,,2020-09-19T19:00Z
Gruppe G,Sat Sep 19 2020,15:00,-0300,Portuguesa RJ,3-0,0-0,Toledo Esporte Clube,,,,2020-09-19T18:00Z
