Round,Date,Time,Team 1,FT,HT,Team 2,Comments
1,Sun Aug 9 2020,00:00,Fortaleza,0-2,0-2,Athletico Paranaense,
1,Sun Aug 9 2020,00:30,Coritiba FC,0-1,0-0,Internacional,
1,Sun Aug 9 2020,02:00,Sport - PE,3-2,3-1,Ceará - CE,
1,Sun Aug 9 2020,21:00,Flamengo RJ,0-1,0-1,Atlético Mineiro,
1,Sun Aug 9 2020,21:00,Santos FC,1-1,0-0,Red Bull Bragantino,
1,Mon Aug 10 2020,,Palmeiras,,,Vasco da Gama,postponed
1,Mon Aug 10 2020,00:00,Grêmio Porto Alegre,1-0,1-0,Fluminense RJ,
2,Thu Aug 13 2020,00:15,Red Bull Bragantino,1-1,1-0,Botafogo - RJ,
2,Thu Aug 13 2020,00:15,Atlético Mineiro,3-2,0-2,Corinthians SP,
2,Thu Aug 13 2020,00:15,Athletico Paranaense,2-1,1-1,Goiás,
2,Thu Aug 13 2020,01:30,Bahia - BA,1-0,1-0,Coritiba FC,
2,Thu Aug 13 2020,01:30,Atlético Goianiense,3-0,2-0,Flamengo RJ,
2,Thu Aug 13 2020,02:30,Fluminense RJ,1-1,1-1,Palmeiras,
2,Thu Aug 13 2020,02:30,Ceará - CE,1-1,1-0,Grêmio Porto Alegre,
2,Fri Aug 14 2020,00:15,São Paulo FC,1-0,1-0,Fortaleza,
2,Fri Aug 14 2020,00:30,Internacional,2-0,0-0,Santos FC,
2,Fri Aug 14 2020,01:00,Vasco da Gama,2-0,2-0,Sport - PE,
3,Sun Aug 16 2020,00:00,Grêmio Porto Alegre,0-0,0-0,Corinthians SP,
3,Sun Aug 16 2020,00:30,Coritiba FC,0-1,0-1,Flamengo RJ,
3,Sun Aug 16 2020,02:30,Palmeiras,1-1,1-1,Goiás,
3,Sun Aug 16 2020,16:00,Atlético Mineiro,2-0,0-0,Ceará - CE,
3,Sun Aug 16 2020,21:00,Vasco da Gama,2-1,0-0,São Paulo FC,
3,Sun Aug 16 2020,21:00,Bahia - BA,2-1,1-0,Red Bull Bragantino,
3,Sun Aug 16 2020,23:00,Fluminense RJ,2-1,1-1,Internacional,
3,Mon Aug 17 2020,00:00,Atlético Goianiense,1-1,1-0,Sport - PE,
3,Mon Aug 17 2020,00:30,Fortaleza,0-0,0-0,Botafogo - RJ,
3,Mon Aug 17 2020,00:45,Santos FC,3-1,2-0,Athletico Paranaense,
4,Thu Aug 20 2020,00:15,Flamengo RJ,1-1,0-1,Grêmio Porto Alegre,
4,Thu Aug 20 2020,00:15,Red Bull Bragantino,2-1,1-1,Fluminense RJ,
4,Thu Aug 20 2020,00:30,Athletico Paranaense,0-1,0-0,Palmeiras,
4,Thu Aug 20 2020,01:30,Internacional,3-0,0-0,Atlético Goianiense,
4,Thu Aug 20 2020,01:30,Goiás,1-3,0-1,Fortaleza,
4,Thu Aug 20 2020,02:30,Botafogo - RJ,2-1,1-0,Atlético Mineiro,
4,Thu Aug 20 2020,02:30,Corinthians SP,3-1,1-1,Coritiba FC,
4,Fri Aug 21 2020,00:15,Sport - PE,0-1,0-0,Santos FC,
4,Fri Aug 21 2020,01:00,São Paulo FC,1-1,0-1,Bahia - BA,
4,Fri Aug 21 2020,01:00,Ceará - CE,0-3,0-0,Vasco da Gama,
5,Sat Aug 22 2020,21:00,Athletico Paranaense,0-1,0-1,Fluminense RJ,
5,Sun Aug 23 2020,00:00,Internacional,1-0,1-0,Atlético Mineiro,
5,Sun Aug 23 2020,02:00,Goiás,2-0,1-0,Atlético Goianiense,
5,Sun Aug 23 2020,16:00,Flamengo RJ,1-1,0-0,Botafogo - RJ,
5,Sun Aug 23 2020,21:00,Vasco da Gama,0-0,0-0,Grêmio Porto Alegre,
5,Sun Aug 23 2020,21:00,Palmeiras,2-1,1-0,Santos FC,
5,Sun Aug 23 2020,21:00,Red Bull Bragantino,1-2,1-1,Coritiba FC,
5,Mon Aug 24 2020,00:00,Sport - PE,0-1,0-1,São Paulo FC,
5,Mon Aug 24 2020,01:00,Ceará - CE,2-0,1-0,Bahia - BA,
5,Thu Aug 27 2020,02:30,Corinthians SP,1-1,0-0,Fortaleza,
11,Thu Aug 27 2020,00:00,São Paulo FC,1-0,0-0,Athletico Paranaense,
6,Sat Aug 29 2020,22:00,Botafogo - RJ,0-2,0-2,Internacional,
6,Sun Aug 30 2020,00:00,Fluminense RJ,2-1,1-0,Vasco da Gama,
6,Sun Aug 30 2020,00:00,Bahia - BA,1-1,0-0,Palmeiras,
6,Sun Aug 30 2020,02:00,Fortaleza,3-0,1-0,Red Bull Bragantino,
6,Sun Aug 30 2020,16:00,São Paulo FC,2-1,1-1,Corinthians SP,
6,Sun Aug 30 2020,21:00,Santos FC,0-1,0-1,Flamengo RJ,
6,Sun Aug 30 2020,21:00,Coritiba FC,1-0,0-0,Sport - PE,
6,Sun Aug 30 2020,23:00,Atlético Goianiense,0-2,0-0,Ceará - CE,
7,Thu Sep 3 2020,00:00,Ceará - CE,1-0,1-0,Fortaleza,
7,Thu Sep 3 2020,00:15,Fluminense RJ,1-1,1-0,Atlético Goianiense,
7,Thu Sep 3 2020,00:15,Goiás,1-2,0-1,Corinthians SP,
7,Thu Sep 3 2020,01:30,Botafogo - RJ,0-0,0-0,Coritiba FC,
7,Thu Sep 3 2020,01:30,Bahia - BA,3-5,2-3,Flamengo RJ,
7,Thu Sep 3 2020,01:30,Athletico Paranaense,1-1,1-1,Red Bull Bragantino,
7,Thu Sep 3 2020,02:30,Palmeiras,1-1,0-0,Internacional,
7,Thu Sep 3 2020,02:30,Santos FC,2-2,1-1,Vasco da Gama,
7,Fri Sep 4 2020,00:00,Grêmio Porto Alegre,1-2,0-1,Sport - PE,
7,Fri Sep 4 2020,01:00,Atlético Mineiro,3-0,2-0,São Paulo FC,
8,Sat Sep 5 2020,22:00,Flamengo RJ,2-1,1-1,Fortaleza,
8,Sun Sep 6 2020,00:00,Corinthians SP,2-2,1-1,Botafogo - RJ,
8,Sun Sep 6 2020,02:00,Ceará - CE,0-1,0-1,Santos FC,
8,Sun Sep 6 2020,16:00,Red Bull Bragantino,1-2,0-0,Palmeiras,
8,Sun Sep 6 2020,21:00,São Paulo FC,3-1,0-1,Fluminense RJ,
8,Sun Sep 6 2020,21:00,Internacional,2-2,1-1,Bahia - BA,
8,Sun Sep 6 2020,23:00,Vasco da Gama,1-0,1-0,Athletico Paranaense,
8,Mon Sep 7 2020,00:00,Atlético Goianiense,1-1,1-1,Grêmio Porto Alegre,
8,Mon Sep 7 2020,01:30,Sport - PE,2-1,0-0,Goiás,
8,Mon Sep 7 2020,01:30,Coritiba FC,0-1,0-1,Atlético Mineiro,
9,Wed Sep 9 2020,22:30,Athletico Paranaense,1-1,0-0,Botafogo - RJ,
9,Wed Sep 9 2020,23:00,Fortaleza,1-0,0-0,Sport - PE,
9,Wed Sep 9 2020,23:00,Goiás,3-3,1-2,Coritiba FC,
9,Thu Sep 10 2020,00:15,São Paulo FC,1-1,0-0,Red Bull Bragantino,
9,Thu Sep 10 2020,02:30,Fluminense RJ,1-2,0-2,Flamengo RJ,
9,Thu Sep 10 2020,02:30,Santos FC,3-1,2-1,Atlético Mineiro,
9,Fri Sep 11 2020,00:15,Corinthians SP,0-2,0-1,Palmeiras,
9,Fri Sep 11 2020,00:15,Internacional,2-0,1-0,Ceará - CE,
9,Fri Sep 11 2020,00:15,Bahia - BA,0-2,0-1,Grêmio Porto Alegre,
9,Fri Sep 11 2020,02:00,Vasco da Gama,1-2,0-0,Atlético Goianiense,
10,Sat Sep 12 2020,21:30,Athletico Paranaense,1-0,1-0,Coritiba FC,
10,Sun Sep 13 2020,00:00,Santos FC,2-2,1-2,São Paulo FC,
10,Sun Sep 13 2020,21:00,Fluminense RJ,2-1,1-0,Corinthians SP,
10,Sun Sep 13 2020,21:00,Grêmio Porto Alegre,1-1,0-1,Fortaleza,
10,Sun Sep 13 2020,23:00,Atlético Mineiro,2-1,1-0,Red Bull Bragantino,
10,Sun Sep 13 2020,23:00,Bahia - BA,0-1,0-1,Atlético Goianiense,
10,Sun Sep 13 2020,23:00,Ceará - CE,2-0,0-0,Flamengo RJ,
10,Sun Sep 13 2020,23:00,Goiás,1-0,1-0,Internacional,
10,Mon Sep 14 2020,00:45,Palmeiras,2-2,2-1,Sport - PE,
10,Mon Sep 14 2020,01:30,Botafogo - RJ,2-3,0-1,Vasco da Gama,
11,Thu Sep 17 2020,02:30,Corinthians SP,3-2,2-1,Bahia - BA,
