Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Feb 14 2020,20:45,Dundalk FC,1-0,0-0,Derry City
1,Fri Feb 14 2020,20:45,St Patrick's Athletic,0-1,0-0,Waterford FC
1,Fri Feb 14 2020,21:00,Finn Harps,1-0,0-0,Sligo Rovers
1,Fri Feb 14 2020,20:45,Cork City,0-1,0-0,Shelbourne FC
1,Sat Feb 15 2020,15:00,Bohemian FC,0-1,0-0,Shamrock Rovers
2,Fri Feb 21 2020,20:45,Derry City,1-1,0-1,Finn Harps
2,Fri Feb 21 2020,20:45,Shelbourne FC,1-2,0-2,Dundalk FC
2,Fri Feb 21 2020,20:45,Sligo Rovers,0-2,0-2,St Patrick's Athletic
2,Fri Feb 21 2020,20:45,Waterford FC,0-2,0-2,Bohemian FC
2,Fri Feb 21 2020,21:00,Shamrock Rovers,6-0,2-0,Cork City
3,Mon Feb 24 2020,20:45,Bohemian FC,2-0,1-0,Sligo Rovers
3,Mon Feb 24 2020,20:45,Dundalk FC,3-0,1-0,Cork City
3,Mon Feb 24 2020,20:00,Waterford FC,0-2,0-2,Shamrock Rovers
4,Fri Feb 28 2020,20:45,Shelbourne FC,1-0,1-0,St Patrick's Athletic
4,Fri Feb 28 2020,20:45,Shamrock Rovers,3-2,1-1,Dundalk FC
4,Fri Feb 28 2020,20:45,Cork City,1-0,0-0,Finn Harps
4,Fri Feb 28 2020,20:45,Derry City,2-0,0-0,Bohemian FC
5,Fri Mar 6 2020,21:00,Bohemian FC,2-0,0-0,Shelbourne FC
5,Fri Mar 6 2020,21:00,Finn Harps,0-4,0-2,Dundalk FC
5,Fri Mar 6 2020,20:45,Waterford FC,2-1,1-1,Derry City
5,Fri Mar 6 2020,20:45,St Patrick's Athletic,1-0,0-0,Cork City
5,Sat Mar 7 2020,21:00,Sligo Rovers,2-3,1-1,Shamrock Rovers
6,Fri Jul 31 2020,18:45,Derry City,0-2,0-1,Sligo Rovers
6,Fri Jul 31 2020,20:45,Dundalk FC,1-1,1-1,St Patrick's Athletic
6,Sat Aug 1 2020,18:00,Shamrock Rovers,3-1,3-1,Finn Harps
6,Sat Aug 1 2020,15:00,Shelbourne FC,0-1,0-1,Waterford FC
6,Sun Aug 2 2020,18:00,Cork City,0-1,0-1,Bohemian FC
3,Mon Aug 3 2020,20:45,St Patrick's Athletic,0-2,0-0,Derry City
3,Tue Aug 4 2020,18:45,Finn Harps,0-1,0-1,Shelbourne FC
7,Fri Aug 7 2020,18:45,Bohemian FC,2-1,2-1,Dundalk FC
7,Fri Aug 7 2020,20:45,St Patrick's Athletic,2-0,2-0,Finn Harps
7,Sat Aug 8 2020,18:00,Sligo Rovers,2-1,1-0,Shelbourne FC
7,Sat Aug 8 2020,15:00,Waterford FC,0-0,0-0,Cork City
7,Sun Aug 9 2020,18:00,Derry City,1-2,1-0,Shamrock Rovers
8,Fri Aug 14 2020,18:45,Dundalk FC,2-2,0-1,Waterford FC
8,Fri Aug 14 2020,20:45,Cork City,3-0,1-0,Sligo Rovers
8,Sat Aug 15 2020,15:00,Finn Harps,0-1,0-1,Bohemian FC
8,Sat Aug 15 2020,18:00,Shelbourne FC,1-1,0-1,Derry City
8,Sun Aug 16 2020,18:00,St Patrick's Athletic,0-0,0-0,Shamrock Rovers
4,Tue Aug 18 2020,18:45,Sligo Rovers,2-1,0-1,Waterford FC
9,Fri Aug 21 2020,20:45,Shamrock Rovers,0-0,0-0,Shelbourne FC
9,Fri Aug 21 2020,18:45,Derry City,3-1,0-1,Cork City
9,Sat Aug 22 2020,18:00,Sligo Rovers,3-1,1-0,Dundalk FC
9,Sat Aug 22 2020,15:00,Bohemian FC,2-0,2-0,St Patrick's Athletic
9,Sun Aug 23 2020,15:00,Waterford FC,2-3,1-0,Finn Harps
10,Fri Sep 4 2020,20:45,Waterford FC,3-0,2-0,St Patrick's Athletic
10,Sat Sep 5 2020,18:00,Shelbourne FC,1-1,1-0,Cork City
10,Sat Sep 5 2020,15:00,Shamrock Rovers,1-0,1-0,Bohemian FC
10,Mon Sep 7 2020,20:45,Sligo Rovers,3-1,1-0,Finn Harps
11,Fri Sep 11 2020,21:00,Dundalk FC,3-2,2-2,Shelbourne FC
11,Fri Sep 11 2020,18:45,Bohemian FC,0-2,0-2,Waterford FC
11,Sat Sep 12 2020,15:00,Cork City,0-3,0-2,Shamrock Rovers
11,Sat Sep 12 2020,18:00,St Patrick's Athletic,0-0,0-0,Sligo Rovers
11,Sun Sep 13 2020,18:00,Finn Harps,0-0,0-0,Derry City
12,Fri Sep 18 2020,20:45,Sligo Rovers,0-1,0-0,Bohemian FC
12,Fri Sep 18 2020,18:45,Derry City,0-0,0-0,St Patrick's Athletic
12,Sat Sep 19 2020,20:30,Shelbourne FC,1-1,1-0,Finn Harps
12,Mon Sep 21 2020,20:00,Shamrock Rovers,6-1,3-0,Waterford FC
13,Fri Sep 25 2020,20:45,Bohemian FC,2-1,0-1,Derry City
13,Sat Sep 26 2020,20:30,St Patrick's Athletic,2-0,1-0,Shelbourne FC
13,Sat Sep 26 2020,18:00,Waterford FC,1-0,1-0,Sligo Rovers
13,Sun Sep 27 2020,18:00,Finn Harps,1-1,0-0,Cork City
13,Sun Sep 27 2020,20:30,Dundalk FC,0-4,0-3,Shamrock Rovers
15,Tue Sep 29 2020,20:45,Sligo Rovers,1-0,0-0,Derry City
14,Fri Oct 2 2020,18:45,Derry City,2-0,1-0,Waterford FC
14,Fri Oct 2 2020,20:45,Shamrock Rovers,4-0,2-0,Sligo Rovers
14,Sat Oct 3 2020,20:30,Shelbourne FC,1-3,0-1,Bohemian FC
14,Sat Oct 3 2020,18:00,Cork City,1-2,1-2,St Patrick's Athletic
14,Sun Oct 4 2020,18:00,Dundalk FC,0-0,0-0,Finn Harps
15,Fri Oct 9 2020,18:45,Bohemian FC,3-0,2-0,Cork City
15,Sat Oct 10 2020,18:00,Waterford FC,0-1,0-0,Shelbourne FC
12,Tue Oct 13 2020,20:45,Cork City,0-2,0-0,Dundalk FC
16,Fri Oct 16 2020,18:45,Dundalk FC,0-0,0-0,Bohemian FC
16,Sat Oct 17 2020,18:00,Cork City,0-0,0-0,Waterford FC
16,Sun Oct 18 2020,18:00,Shelbourne FC,1-0,1-0,Sligo Rovers
10,Mon Oct 19 2020,18:45,Derry City,1-2,1-2,Dundalk FC
17,Fri Oct 23 2020,20:45,Derry City,2-0,1-0,Shelbourne FC
17,Sat Oct 24 2020,18:00,Sligo Rovers,2-1,1-0,Cork City
17,Sat Oct 24 2020,20:30,Bohemian FC,0-2,0-1,Finn Harps
17,Sun Oct 25 2020,15:00,Waterford FC,1-0,0-0,Dundalk FC
16,Wed Oct 28 2020,20:45,Finn Harps,3-2,2-1,St Patrick's Athletic
15,Sun Nov 1 2020,18:45,St Patrick's Athletic,1-1,0-1,Dundalk FC
15,Sun Nov 1 2020,20:45,Finn Harps,0-2,0-1,Shamrock Rovers
17,Wed Nov 4 2020,20:45,Shamrock Rovers,0-0,0-0,St Patrick's Athletic
16,Sat Nov 7 2020,16:00,Shamrock Rovers,2-0,0-0,Derry City
18,Mon Nov 9 2020,20:30,Dundalk FC,0-2,0-1,Sligo Rovers
18,Mon Nov 9 2020,20:30,St Patrick's Athletic,1-2,1-1,Bohemian FC
18,Mon Nov 9 2020,20:30,Shelbourne FC,0-2,0-1,Shamrock Rovers
18,Mon Nov 9 2020,20:30,Finn Harps,1-0,1-0,Waterford FC
18,Mon Nov 9 2020,20:30,Cork City,1-1,0-0,Derry City
