Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Wed Jan 22 2020,19:15,-0300,Inter de Limeira SP,0-4,0-2,Guarani SP,,2020-01-22T22:15Z
,1,Wed Jan 22 2020,19:15,-0300,Ituano SP,0-4,0-0,Palmeiras,,2020-01-22T22:15Z
,1,Wed Jan 22 2020,21:30,-0300,São Paulo FC,2-0,2-0,Água Santa SP,,2020-01-23T00:30Z
,1,Wed Jan 22 2020,17:00,-0300,Grêmio Novorizontino SP,2-0,1-0,Oeste SP,,2020-01-22T20:00Z
,1,Thu Jan 23 2020,16:30,-0300,Ferroviária SP,1-1,0-1,Mirassol SP,,2020-01-23T19:30Z
,1,Thu Jan 23 2020,19:00,-0300,Ponte Preta,2-3,1-1,Santo André SP,,2020-01-23T22:00Z
,1,Thu Jan 23 2020,19:15,-0300,Santos FC,0-0,0-0,Red Bull Bragantino,,2020-01-23T22:15Z
,1,Thu Jan 23 2020,21:30,-0300,Corinthians SP,4-1,1-0,Botafogo SP,,2020-01-24T00:30Z
,2,Sat Jan 25 2020,17:00,-0300,Oeste SP,1-0,1-0,Ituano SP,,2020-01-25T20:00Z
,2,Sat Jan 25 2020,15:00,-0300,Água Santa SP,0-2,0-1,Grêmio Novorizontino SP,,2020-01-25T18:00Z
,2,Sun Jan 26 2020,16:00,-0300,Botafogo SP,0-1,0-0,Ponte Preta,,2020-01-26T19:00Z
,2,Sun Jan 26 2020,16:00,-0300,Palmeiras,0-0,0-0,São Paulo FC,,2020-01-26T19:00Z
,2,Sun Jan 26 2020,19:00,-0300,Mirassol SP,1-1,0-1,Corinthians SP,,2020-01-26T22:00Z
,2,Sun Jan 26 2020,19:00,-0300,Santo André SP,2-1,0-0,Ferroviária SP,,2020-01-26T22:00Z
,2,Mon Jan 27 2020,20:00,-0300,Guarani SP,1-2,0-1,Santos FC,,2020-01-27T23:00Z
,2,Mon Jan 27 2020,20:00,-0300,Red Bull Bragantino,0-1,0-0,Inter de Limeira SP,,2020-01-27T23:00Z
,3,Wed Jan 29 2020,16:30,-0300,Santo André SP,1-0,1-0,Água Santa SP,,2020-01-29T19:30Z
,3,Wed Jan 29 2020,19:15,-0300,Ituano SP,2-2,1-1,Botafogo SP,,2020-01-29T22:15Z
,3,Wed Jan 29 2020,19:15,-0300,Palmeiras,4-0,1-0,Oeste SP,,2020-01-29T22:15Z
,3,Wed Jan 29 2020,21:30,-0300,Ferroviária SP,1-2,1-1,São Paulo FC,,2020-01-30T00:30Z
,3,Thu Jan 30 2020,19:15,-0300,Santos FC,2-0,2-0,Inter de Limeira SP,,2020-01-30T22:15Z
,3,Thu Jan 30 2020,21:30,-0300,Mirassol SP,1-1,0-0,Guarani SP,,2020-01-31T00:30Z
,3,Thu Jan 30 2020,21:30,-0300,Ponte Preta,2-1,2-0,Corinthians SP,,2020-01-31T00:30Z
,3,Thu Jan 30 2020,19:15,-0300,Grêmio Novorizontino SP,0-0,0-0,Red Bull Bragantino,,2020-01-30T22:15Z
,4,Sat Feb 1 2020,16:30,-0300,Oeste SP,1-5,1-2,Ferroviária SP,,2020-02-01T19:30Z
,4,Sun Feb 2 2020,11:00,-0300,Corinthians SP,2-0,1-0,Santos FC,,2020-02-02T14:00Z
,4,Sun Feb 2 2020,11:00,-0300,Água Santa SP,1-1,1-1,Ituano SP,,2020-02-02T14:00Z
,4,Sun Feb 2 2020,16:00,-0300,Red Bull Bragantino,2-1,1-0,Palmeiras,,2020-02-02T19:00Z
,4,Sun Feb 2 2020,19:00,-0300,Guarani SP,2-1,1-1,Santo André SP,,2020-02-02T22:00Z
,4,Mon Feb 3 2020,20:00,-0300,Botafogo SP,0-6,0-3,Mirassol SP,,2020-02-03T23:00Z
,4,Mon Feb 3 2020,20:00,-0300,São Paulo FC,1-1,0-0,Grêmio Novorizontino SP,,2020-02-03T23:00Z
,4,Mon Feb 3 2020,17:00,-0300,Inter de Limeira SP,2-1,0-1,Ponte Preta,,2020-02-03T20:00Z
,5,Fri Feb 7 2020,21:30,-0300,Mirassol SP,2-0,1-0,Red Bull Bragantino,,2020-02-08T00:30Z
,5,Fri Feb 7 2020,19:15,-0300,Oeste SP,1-1,1-1,Guarani SP,,2020-02-07T22:15Z
,5,Sat Feb 8 2020,15:00,-0300,Água Santa SP,1-0,0-0,Ferroviária SP,,2020-02-08T18:00Z
,5,Sat Feb 8 2020,19:30,-0300,Ponte Preta,0-1,0-1,Palmeiras,,2020-02-08T22:30Z
,5,Sun Feb 9 2020,18:00,-0300,Santo André SP,2-1,2-0,São Paulo FC,,2020-02-09T21:00Z
,5,Sun Feb 9 2020,19:00,-0300,Grêmio Novorizontino SP,0-0,0-0,Ituano SP,,2020-02-09T22:00Z
,5,Sun Feb 9 2020,16:00,-0300,Corinthians SP,0-1,0-1,Inter de Limeira SP,,2020-02-09T19:00Z
,5,Mon Feb 10 2020,20:00,-0300,Santos FC,2-0,1-0,Botafogo SP,,2020-02-10T23:00Z
,6,Fri Feb 14 2020,19:15,-0300,Inter de Limeira SP,0-1,0-1,Santo André SP,,2020-02-14T22:15Z
,6,Fri Feb 14 2020,21:30,-0300,Botafogo SP,1-1,0-1,Água Santa SP,,2020-02-15T00:30Z
,6,Sat Feb 15 2020,19:00,-0300,Red Bull Bragantino,3-0,2-0,Oeste SP,,2020-02-15T22:00Z
,6,Sat Feb 15 2020,19:00,-0300,São Paulo FC,0-0,0-0,Corinthians SP,,2020-02-15T22:00Z
,6,Sat Feb 15 2020,16:00,-0300,Guarani SP,1-1,1-1,Grêmio Novorizontino SP,,2020-02-15T19:00Z
,6,Sun Feb 16 2020,16:00,-0300,Palmeiras,3-1,0-0,Mirassol SP,,2020-02-16T19:00Z
,6,Sun Feb 16 2020,19:00,-0300,Ferroviária SP,0-0,0-0,Santos FC,,2020-02-16T22:00Z
,6,Mon Feb 17 2020,20:00,-0300,Ituano SP,1-0,1-0,Ponte Preta,,2020-02-17T23:00Z
,7,Thu Feb 20 2020,21:30,-0300,Palmeiras,1-0,1-0,Guarani SP,,2020-02-21T00:30Z
,7,Fri Feb 21 2020,19:15,-0300,Grêmio Novorizontino SP,1-1,1-1,Mirassol SP,,2020-02-21T22:15Z
,7,Fri Feb 21 2020,16:00,-0300,Botafogo SP,2-1,0-1,Inter de Limeira SP,,2020-02-21T19:00Z
,7,Sat Feb 22 2020,15:00,-0300,Água Santa SP,2-1,1-1,Corinthians SP,,2020-02-22T18:00Z
,7,Sat Feb 22 2020,16:30,-0300,Ituano SP,2-0,2-0,Santos FC,,2020-02-22T19:30Z
,7,Sat Feb 22 2020,16:30,-0300,Oeste SP,0-4,0-1,São Paulo FC,,2020-02-22T19:30Z
,7,Sat Feb 22 2020,19:00,-0300,Ponte Preta,1-1,0-1,Ferroviária SP,,2020-02-22T22:00Z
,7,Sun Feb 23 2020,16:00,-0300,Santo André SP,1-0,1-0,Red Bull Bragantino,,2020-02-23T19:00Z
,8,Wed Feb 26 2020,21:30,-0300,Corinthians SP,1-1,0-1,Santo André SP,,2020-02-27T00:30Z
,8,Fri Feb 28 2020,21:30,-0300,Red Bull Bragantino,2-1,2-1,Ituano SP,,2020-02-29T00:30Z
,8,Fri Feb 28 2020,19:15,-0300,Guarani SP,0-0,0-0,Água Santa SP,,2020-02-28T22:15Z
,8,Sat Feb 29 2020,16:00,-0300,Santos FC,0-0,0-0,Palmeiras,,2020-02-29T19:00Z
,8,Sun Mar 1 2020,11:00,-0300,Inter de Limeira SP,0-1,0-0,Grêmio Novorizontino SP,,2020-03-01T14:00Z
,8,Sun Mar 1 2020,16:00,-0300,São Paulo FC,2-1,2-0,Ponte Preta,,2020-03-01T19:00Z
,8,Sun Mar 1 2020,19:00,-0300,Ferroviária SP,1-0,0-0,Botafogo SP,,2020-03-01T22:00Z
,8,Mon Mar 2 2020,20:00,-0300,Mirassol SP,1-0,1-0,Oeste SP,,2020-03-02T23:00Z
,9,Fri Mar 6 2020,21:30,-0300,Ituano SP,0-2,0-1,Guarani SP,,2020-03-07T00:30Z
,9,Sat Mar 7 2020,15:00,-0300,Santo André SP,0-1,0-0,Oeste SP,,2020-03-07T18:00Z
,9,Sat Mar 7 2020,17:00,-0300,Palmeiras,1-1,0-0,Ferroviária SP,,2020-03-07T20:00Z
,9,Sat Mar 7 2020,19:00,-0300,Grêmio Novorizontino SP,1-1,1-1,Corinthians SP,,2020-03-07T22:00Z
,9,Sat Mar 7 2020,19:30,-0300,Santos FC,3-1,3-1,Mirassol SP,,2020-03-07T22:30Z
,9,Sun Mar 8 2020,16:00,-0300,Botafogo SP,1-0,0-0,São Paulo FC,,2020-03-08T19:00Z
,9,Sun Mar 8 2020,11:00,-0300,Água Santa SP,1-1,0-1,Inter de Limeira SP,,2020-03-08T14:00Z
,9,Mon Mar 9 2020,20:00,-0300,Ponte Preta,1-2,0-0,Red Bull Bragantino,,2020-03-09T23:00Z
,10,Fri Mar 13 2020,21:30,-0300,Red Bull Bragantino,4-0,2-0,Água Santa SP,,2020-03-14T00:30Z
,10,Fri Mar 13 2020,19:15,-0300,Oeste SP,3-0,0-0,Botafogo SP,,2020-03-13T22:15Z
,10,Sat Mar 14 2020,16:30,-0300,Ferroviária SP,0-0,0-0,Grêmio Novorizontino SP,,2020-03-14T19:30Z
,10,Sat Mar 14 2020,16:30,-0300,Inter de Limeira SP,0-0,0-0,Palmeiras,,2020-03-14T19:30Z
,10,Sat Mar 14 2020,19:00,-0300,São Paulo FC,2-1,0-1,Santos FC,,2020-03-14T22:00Z
,10,Sun Mar 15 2020,16:00,-0300,Corinthians SP,1-1,1-1,Ituano SP,,2020-03-15T19:00Z
,10,Sun Mar 15 2020,11:00,-0300,Mirassol SP,1-0,1-0,Santo André SP,,2020-03-15T14:00Z
,10,Mon Mar 16 2020,20:00,-0300,Guarani SP,3-2,0-2,Ponte Preta,,2020-03-16T23:00Z
,11,Wed Jul 22 2020,19:15,-0300,Ponte Preta,2-0,1-0,Grêmio Novorizontino SP,,2020-07-22T22:15Z
,11,Wed Jul 22 2020,19:15,-0300,Santos FC,1-1,1-1,Santo André SP,,2020-07-22T22:15Z
,11,Wed Jul 22 2020,21:30,-0300,Corinthians SP,1-0,1-0,Palmeiras,,2020-07-23T00:30Z
,11,Wed Jul 22 2020,16:30,-0300,Ituano SP,0-0,0-0,Ferroviária SP,,2020-07-22T19:30Z
,11,Thu Jul 23 2020,17:30,-0300,Inter de Limeira SP,2-1,1-0,Oeste SP,,2020-07-23T20:30Z
,11,Thu Jul 23 2020,20:00,-0300,Botafogo SP,2-0,0-0,Guarani SP,,2020-07-23T23:00Z
,11,Thu Jul 23 2020,20:00,-0300,São Paulo FC,2-3,2-2,Red Bull Bragantino,,2020-07-23T23:00Z
,11,Thu Jul 23 2020,15:00,-0300,Água Santa SP,0-0,0-0,Mirassol SP,,2020-07-23T18:00Z
,12,Sun Jul 26 2020,16:00,-0300,Red Bull Bragantino,2-0,1-0,Botafogo SP,,2020-07-26T19:00Z
,12,Sun Jul 26 2020,16:00,-0300,Ferroviária SP,2-0,1-0,Inter de Limeira SP,,2020-07-26T19:00Z
,12,Sun Jul 26 2020,16:00,-0300,Guarani SP,1-3,1-1,São Paulo FC,,2020-07-26T19:00Z
,12,Sun Jul 26 2020,16:00,-0300,Mirassol SP,0-1,0-0,Ponte Preta,,2020-07-26T19:00Z
,12,Sun Jul 26 2020,16:00,-0300,Grêmio Novorizontino SP,3-2,0-1,Santos FC,,2020-07-26T19:00Z
,12,Sun Jul 26 2020,16:00,-0300,Oeste SP,0-2,0-1,Corinthians SP,,2020-07-26T19:00Z
,12,Sun Jul 26 2020,16:00,-0300,Palmeiras,2-1,0-0,Água Santa SP,,2020-07-26T19:00Z
,12,Sun Jul 26 2020,16:00,-0300,Santo André SP,1-3,1-3,Ituano SP,,2020-07-26T19:00Z
Playoffs,Quarterfinals,Wed Jul 29 2020,21:30,-0300,Palmeiras,2-0,0-0,Santo André SP,,2020-07-30T00:30Z
Playoffs,Quarterfinals,Wed Jul 29 2020,19:00,-0300,São Paulo FC,2-3,2-2,Mirassol SP,,2020-07-29T22:00Z
Playoffs,Quarterfinals,Thu Jul 30 2020,21:30,-0300,Santos FC,1-3,1-0,Ponte Preta,,2020-07-31T00:30Z
Playoffs,Quarterfinals,Thu Jul 30 2020,19:00,-0300,Red Bull Bragantino,0-2,0-1,Corinthians SP,,2020-07-30T22:00Z
Playoffs,Semifinals,Sun Aug 2 2020,19:00,-0300,Palmeiras,1-0,1-0,Ponte Preta,,2020-08-02T22:00Z
Playoffs,Semifinals,Sun Aug 2 2020,16:00,-0300,Corinthians SP,1-0,0-0,Mirassol SP,,2020-08-02T19:00Z
Playoffs,Final,Wed Aug 5 2020,21:30,-0300,Corinthians SP,0-0,0-0,Palmeiras,,2020-08-06T00:30Z
Playoffs,Final,Sat Aug 8 2020,16:30,-0300,Palmeiras,1-1,0-0,Corinthians SP,4-3,2020-08-08T19:30Z
