Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
Gruppe A,1,Sat Aug 8 2020,17:00,-0300,Paysandu PA,0-0,0-0,Santa Cruz PE,2020-08-08T20:00Z
Gruppe A,1,Sat Aug 8 2020,19:00,-0300,Manaus AM,1-1,0-0,Vila Nova GO,2020-08-08T22:00Z
Gruppe B,1,Sat Aug 8 2020,16:00,-0300,Ituano SP,3-0,1-0,Tombense MG,2020-08-08T19:00Z
Gruppe B,1,Sat Aug 8 2020,17:00,-0300,Brusque SC,2-1,1-1,Ypiranga RS,2020-08-08T20:00Z
Gruppe B,1,Sat Aug 8 2020,15:00,-0300,São José RS,1-0,1-0,São Bento SP,2020-08-08T18:00Z
Gruppe A,1,Sun Aug 9 2020,18:00,-0300,Jacuipense BA,1-2,1-0,Remo PA,2020-08-09T21:00Z
Gruppe A,1,Sun Aug 9 2020,20:00,-0300,Ferroviário CE,2-0,0-0,Botafogo PB,2020-08-09T23:00Z
Gruppe B,1,Mon Aug 10 2020,18:00,-0300,Boa Esporte MG,2-2,1-1,Volta Redonda RJ,2020-08-10T21:00Z
Gruppe B,1,Mon Aug 10 2020,20:00,-0300,Londrina PR,0-0,0-0,Criciúma SC,2020-08-10T23:00Z
Gruppe B,2,Thu Aug 13 2020,20:00,-0300,São Bento SP,0-1,0-1,Brusque SC,2020-08-13T23:00Z
Gruppe A,2,Sat Aug 15 2020,17:00,-0300,Vila Nova GO,2-0,1-0,Paysandu PA,2020-08-15T20:00Z
Gruppe B,2,Sat Aug 15 2020,16:00,-0300,Tombense MG,4-0,1-0,São José RS,2020-08-15T19:00Z
Gruppe B,2,Sat Aug 15 2020,19:00,-0300,Criciúma SC,3-1,2-1,Boa Esporte MG,2020-08-15T22:00Z
Gruppe A,2,Sun Aug 16 2020,18:00,-0300,Remo PA,2-1,0-0,Ferroviário CE,2020-08-16T21:00Z
Gruppe B,2,Sun Aug 16 2020,16:00,-0300,Ypiranga RS,2-1,2-0,Londrina PR,2020-08-16T19:00Z
Gruppe B,2,Mon Aug 17 2020,15:30,-0300,Volta Redonda RJ,3-1,0-0,Ituano SP,2020-08-17T18:30Z
Gruppe A,2,Mon Aug 17 2020,20:00,-0300,Botafogo PB,0-0,0-0,Manaus AM,2020-08-17T23:00Z
Gruppe A,2,Tue Aug 18 2020,20:00,-0300,Santa Cruz PE,3-2,1-1,Treze PB,2020-08-18T23:00Z
Gruppe B,3,Thu Aug 20 2020,20:00,-0300,São José RS,1-0,0-0,Brusque SC,2020-08-20T23:00Z
Gruppe A,3,Sat Aug 22 2020,15:00,-0300,Jacuipense BA,1-0,0-0,Manaus AM,2020-08-22T18:00Z
Gruppe A,3,Sat Aug 22 2020,19:00,-0300,Paysandu PA,1-0,0-0,Treze PB,2020-08-22T22:00Z
Gruppe A,3,Sat Aug 22 2020,17:00,-0300,Ferroviário CE,4-0,1-0,Vila Nova GO,2020-08-22T20:00Z
Gruppe B,3,Sat Aug 22 2020,15:30,-0300,Volta Redonda RJ,2-0,1-0,Tombense MG,2020-08-22T18:30Z
Gruppe B,3,Sun Aug 23 2020,16:00,-0300,Ituano SP,1-1,0-0,Londrina PR,2020-08-23T19:00Z
Gruppe A,3,Sun Aug 23 2020,18:00,-0300,Botafogo PB,1-2,1-1,Santa Cruz PE,2020-08-23T21:00Z
Gruppe B,3,Sun Aug 23 2020,16:00,-0300,Boa Esporte MG,1-1,1-0,Ypiranga RS,2020-08-23T19:00Z
Gruppe A,3,Mon Aug 24 2020,20:00,-0300,Imperatriz MA,0-0,0-0,Remo PA,2020-08-24T23:00Z
Gruppe B,3,Mon Aug 24 2020,20:00,-0300,Criciúma SC,3-1,1-1,São Bento SP,2020-08-24T23:00Z
Gruppe A,4,Fri Aug 28 2020,20:00,-0300,Jacuipense BA,1-1,0-1,Botafogo PB,2020-08-28T23:00Z
