Round,Date,Time,Team 1,FT,HT,Team 2
1,Sun Jun 14 2020,12:00,IK Sirius,0-2,0-1,Djurgårdens IF
1,Sun Jun 14 2020,14:30,IFK Göteborg,0-1,0-1,IF Elfsborg
1,Sun Jun 14 2020,14:30,IFK Norrköping,2-1,1-1,Kalmar FF
1,Sun Jun 14 2020,17:30,Örebro SK,0-2,0-0,AIK Solna
1,Sun Jun 14 2020,17:30,Hammarby IF,2-0,1-0,Östersunds FK
1,Mon Jun 15 2020,19:00,Helsingborgs IF,0-3,0-1,Varbergs BoIS
1,Mon Jun 15 2020,19:00,Falkenbergs FF,1-1,1-1,BK Häcken
1,Mon Jun 15 2020,19:00,Malmö FF,2-0,0-0,Mjällby AIF
2,Wed Jun 17 2020,19:00,IF Elfsborg,2-2,1-0,Hammarby IF
2,Wed Jun 17 2020,19:00,AIK Solna,1-4,0-4,IFK Norrköping
2,Wed Jun 17 2020,19:00,Djurgårdens IF,1-2,1-1,Örebro SK
2,Thu Jun 18 2020,19:00,Mjällby AIF,0-1,0-1,Falkenbergs FF
2,Thu Jun 18 2020,19:00,Östersunds FK,0-2,0-0,IK Sirius
2,Thu Jun 18 2020,19:00,Kalmar FF,4-0,2-0,Helsingborgs IF
2,Thu Jun 18 2020,19:00,Varbergs BoIS,1-2,1-1,IFK Göteborg
2,Thu Jun 18 2020,19:00,BK Häcken,1-1,0-1,Malmö FF
3,Sun Jun 21 2020,14:30,Falkenbergs FF,0-2,0-0,Kalmar FF
3,Sun Jun 21 2020,14:30,Malmö FF,2-2,1-1,Varbergs BoIS
3,Sun Jun 21 2020,14:30,IFK Norrköping,3-0,2-0,Djurgårdens IF
3,Sun Jun 21 2020,17:30,Hammarby IF,0-2,0-0,AIK Solna
3,Sun Jun 21 2020,17:30,Örebro SK,0-0,0-0,Östersunds FK
3,Mon Jun 22 2020,19:00,Helsingborgs IF,0-0,0-0,IF Elfsborg
3,Mon Jun 22 2020,19:00,IK Sirius,2-2,1-2,BK Häcken
3,Mon Jun 22 2020,19:00,IFK Göteborg,2-2,0-1,Mjällby AIF
4,Sat Jun 27 2020,15:00,Östersunds FK,2-4,1-1,IFK Norrköping
4,Sun Jun 28 2020,14:30,IK Sirius,2-2,1-1,IFK Göteborg
4,Sun Jun 28 2020,14:30,Djurgårdens IF,5-0,4-0,Kalmar FF
4,Sun Jun 28 2020,14:30,Mjällby AIF,2-1,0-1,Hammarby IF
4,Sun Jun 28 2020,17:30,IF Elfsborg,1-1,0-1,Örebro SK
4,Sun Jun 28 2020,17:30,AIK Solna,2-2,1-0,Malmö FF
4,Mon Jun 29 2020,19:00,BK Häcken,1-0,0-0,Helsingborgs IF
4,Mon Jun 29 2020,19:00,Varbergs BoIS,3-1,2-0,Falkenbergs FF
5,Wed Jul 1 2020,19:00,IFK Norrköping,1-1,0-1,IF Elfsborg
5,Wed Jul 1 2020,19:00,Kalmar FF,1-2,1-0,Östersunds FK
5,Wed Jul 1 2020,19:00,Malmö FF,1-0,1-0,Djurgårdens IF
5,Thu Jul 2 2020,19:00,Hammarby IF,1-0,1-0,Varbergs BoIS
5,Thu Jul 2 2020,19:00,IFK Göteborg,1-0,0-0,AIK Solna
5,Thu Jul 2 2020,19:00,Falkenbergs FF,1-2,1-0,IK Sirius
5,Thu Jul 2 2020,19:00,Örebro SK,0-0,0-0,BK Häcken
5,Thu Jul 2 2020,19:00,Helsingborgs IF,0-1,0-0,Mjällby AIF
6,Sun Jul 5 2020,14:30,IF Elfsborg,1-0,1-0,Malmö FF
6,Sun Jul 5 2020,14:30,AIK Solna,1-1,0-0,Falkenbergs FF
6,Sun Jul 5 2020,17:30,IK Sirius,2-1,0-1,Örebro SK
6,Sun Jul 5 2020,17:30,BK Häcken,3-0,1-0,Hammarby IF
6,Mon Jul 6 2020,19:00,IFK Norrköping,3-1,1-0,IFK Göteborg
6,Mon Jul 6 2020,19:00,Djurgårdens IF,2-2,2-1,Helsingborgs IF
6,Mon Jul 6 2020,19:00,Östersunds FK,0-1,0-0,Mjällby AIF
6,Mon Jul 6 2020,19:00,Varbergs BoIS,1-0,0-0,Kalmar FF
7,Sat Jul 11 2020,15:00,Falkenbergs FF,0-1,0-0,Östersunds FK
7,Sat Jul 11 2020,15:00,Hammarby IF,0-0,0-0,IK Sirius
7,Sun Jul 12 2020,14:30,Helsingborgs IF,2-0,0-0,AIK Solna
7,Sun Jul 12 2020,14:30,Örebro SK,1-0,0-0,Varbergs BoIS
7,Sun Jul 12 2020,17:30,IFK Göteborg,1-2,0-2,Djurgårdens IF
7,Sun Jul 12 2020,17:30,Mjällby AIF,3-1,1-0,BK Häcken
7,Mon Jul 13 2020,19:00,Kalmar FF,1-2,1-0,IF Elfsborg
7,Mon Jul 13 2020,19:00,Malmö FF,1-1,1-0,IFK Norrköping
8,Wed Jul 15 2020,19:00,IFK Göteborg,1-1,1-0,Helsingborgs IF
8,Wed Jul 15 2020,19:00,AIK Solna,1-0,0-0,IK Sirius
8,Wed Jul 15 2020,19:00,Djurgårdens IF,1-0,0-0,Falkenbergs FF
8,Thu Jul 16 2020,19:00,BK Häcken,6-0,2-0,IF Elfsborg
8,Thu Jul 16 2020,19:00,IFK Norrköping,2-0,0-0,Örebro SK
8,Thu Jul 16 2020,19:00,Kalmar FF,1-2,1-1,Hammarby IF
8,Thu Jul 16 2020,19:00,Östersunds FK,1-2,0-1,Malmö FF
8,Thu Jul 16 2020,19:00,Varbergs BoIS,1-0,0-0,Mjällby AIF
