Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Regular Season,1,Wed Jul 1 2020,17:30,Haka Valkeakoski,1-1,1-0,FC Honka
Regular Season,1,Wed Jul 1 2020,17:30,FC Lahti,0-4,0-2,HJK Helsinki
Regular Season,1,Wed Jul 1 2020,17:30,Helsingfors IFK,0-3,0-3,Kuopion PS
Regular Season,1,Wed Jul 1 2020,17:30,SJK Seinäjoki,1-0,1-0,TPS Turku
Regular Season,1,Wed Jul 1 2020,17:30,Ilves Tampere,4-3,0-1,IFK Mariehamn
Regular Season,1,Thu Jul 2 2020,17:00,Inter Turku,3-1,1-0,Rovaniemi PS
Regular Season,2,Tue Jul 7 2020,17:30,TPS Turku,0-1,0-0,Ilves Tampere
Regular Season,2,Tue Jul 7 2020,17:30,Kuopion PS,1-0,0-0,Inter Turku
Regular Season,2,Wed Jul 8 2020,17:30,FC Lahti,0-0,0-0,SJK Seinäjoki
Regular Season,2,Wed Jul 8 2020,17:30,HJK Helsinki,3-1,1-0,Haka Valkeakoski
Regular Season,2,Wed Jul 8 2020,17:30,Rovaniemi PS,0-1,0-0,Helsingfors IFK
Regular Season,2,Wed Jul 8 2020,17:30,IFK Mariehamn,0-0,0-0,FC Honka
Regular Season,11,Sat Jul 11 2020,16:00,Inter Turku,5-1,3-0,Ilves Tampere
Regular Season,11,Sun Jul 12 2020,17:30,FC Honka,1-1,0-1,Kuopion PS
Regular Season,3,Fri Jul 17 2020,17:30,Rovaniemi PS,2-2,2-1,Haka Valkeakoski
Regular Season,3,Fri Jul 17 2020,17:30,SJK Seinäjoki,1-2,0-1,IFK Mariehamn
Regular Season,3,Fri Jul 17 2020,17:30,Ilves Tampere,0-0,0-0,Kuopion PS
Regular Season,3,Fri Jul 17 2020,17:30,Inter Turku,1-0,0-0,HJK Helsinki
Regular Season,3,Sat Jul 18 2020,12:00,FC Honka,3-1,0-0,TPS Turku
Regular Season,3,Sat Jul 18 2020,16:00,Helsingfors IFK,0-3,0-2,FC Lahti
Regular Season,4,Tue Jul 21 2020,17:30,Rovaniemi PS,1-1,0-0,Ilves Tampere
Regular Season,4,Wed Jul 22 2020,17:30,IFK Mariehamn,2-2,1-1,Haka Valkeakoski
Regular Season,4,Wed Jul 22 2020,17:30,Kuopion PS,3-0,2-0,FC Lahti
Regular Season,4,Wed Jul 22 2020,17:30,TPS Turku,0-2,0-1,HJK Helsinki
Regular Season,4,Wed Jul 22 2020,17:30,Helsingfors IFK,2-1,1-0,SJK Seinäjoki
Regular Season,4,Wed Jul 22 2020,17:30,FC Honka,1-1,0-0,Inter Turku
Regular Season,5,Sat Jul 25 2020,16:00,TPS Turku,1-3,0-1,FC Lahti
Regular Season,5,Sat Jul 25 2020,17:30,HJK Helsinki,2-0,1-0,Ilves Tampere
Regular Season,5,Sun Jul 26 2020,17:30,Haka Valkeakoski,0-2,0-1,Inter Turku
Regular Season,5,Sun Jul 26 2020,17:30,Kuopion PS,2-1,2-0,SJK Seinäjoki
Regular Season,5,Sun Jul 26 2020,16:00,FC Honka,1-0,1-0,Rovaniemi PS
Regular Season,5,Sun Jul 26 2020,17:30,IFK Mariehamn,0-3,0-1,Helsingfors IFK
Regular Season,6,Sat Aug 1 2020,16:00,HJK Helsinki,2-2,0-1,Kuopion PS
Regular Season,6,Sat Aug 1 2020,16:00,Rovaniemi PS,2-3,1-1,TPS Turku
Regular Season,6,Sat Aug 1 2020,16:00,Inter Turku,2-1,1-0,IFK Mariehamn
Regular Season,6,Sat Aug 1 2020,16:00,Ilves Tampere,2-2,2-1,Helsingfors IFK
Regular Season,6,Sat Aug 1 2020,16:00,SJK Seinäjoki,1-1,0-0,Haka Valkeakoski
Regular Season,6,Mon Aug 3 2020,17:30,FC Lahti,0-0,0-0,FC Honka
Regular Season,7,Wed Aug 5 2020,17:30,Ilves Tampere,1-0,0-0,Rovaniemi PS
Regular Season,7,Wed Aug 5 2020,17:30,SJK Seinäjoki,1-1,0-0,Kuopion PS
Regular Season,7,Wed Aug 5 2020,17:30,Haka Valkeakoski,0-2,0-0,Helsingfors IFK
Regular Season,7,Wed Aug 5 2020,17:30,IFK Mariehamn,2-0,1-0,Inter Turku
Regular Season,7,Thu Aug 6 2020,17:30,HJK Helsinki,1-1,1-0,FC Lahti
Regular Season,7,Thu Aug 6 2020,17:30,TPS Turku,0-2,0-0,FC Honka
Regular Season,8,Sun Aug 9 2020,17:30,Kuopion PS,,,HJK Helsinki
Regular Season,8,Sun Aug 9 2020,17:30,FC Lahti,,,Ilves Tampere
Regular Season,8,Sun Aug 9 2020,17:30,Inter Turku,,,Haka Valkeakoski
Regular Season,8,Sun Aug 9 2020,16:00,Rovaniemi PS,,,IFK Mariehamn
Regular Season,8,Mon Aug 10 2020,17:30,Helsingfors IFK,,,TPS Turku
Regular Season,8,Mon Aug 10 2020,17:30,FC Honka,,,SJK Seinäjoki
Regular Season,9,Fri Aug 14 2020,17:30,Inter Turku,,,Helsingfors IFK
Regular Season,9,Fri Aug 14 2020,17:30,FC Lahti,,,Rovaniemi PS
Regular Season,9,Fri Aug 14 2020,17:30,Haka Valkeakoski,,,Kuopion PS
Regular Season,9,Sat Aug 15 2020,16:00,HJK Helsinki,,,FC Honka
Regular Season,9,Sat Aug 15 2020,16:00,Ilves Tampere,,,SJK Seinäjoki
Regular Season,9,Sun Aug 16 2020,17:30,IFK Mariehamn,,,TPS Turku
Regular Season,18,Tue Aug 18 2020,17:30,Rovaniemi PS,,,Inter Turku
Regular Season,18,Tue Aug 18 2020,17:30,Haka Valkeakoski,,,HJK Helsinki
Regular Season,10,Fri Aug 21 2020,17:30,SJK Seinäjoki,,,FC Honka
Regular Season,10,Sat Aug 22 2020,14:00,TPS Turku,,,Inter Turku
Regular Season,10,Sat Aug 22 2020,16:00,Kuopion PS,,,IFK Mariehamn
Regular Season,10,Sat Aug 22 2020,16:00,Rovaniemi PS,,,HJK Helsinki
Regular Season,10,Sat Aug 22 2020,16:00,Ilves Tampere,,,FC Lahti
Regular Season,10,Sun Aug 23 2020,17:30,Helsingfors IFK,,,Haka Valkeakoski
Regular Season,11,Wed Aug 26 2020,17:30,HJK Helsinki,,,SJK Seinäjoki
Regular Season,11,Wed Aug 26 2020,17:30,TPS Turku,,,Helsingfors IFK
Regular Season,11,Wed Aug 26 2020,17:30,IFK Mariehamn,,,Rovaniemi PS
Regular Season,11,Wed Aug 26 2020,17:30,Haka Valkeakoski,,,FC Lahti
Regular Season,12,Sat Aug 29 2020,17:30,Kuopion PS,,,TPS Turku
Regular Season,12,Sat Aug 29 2020,16:00,SJK Seinäjoki,,,Rovaniemi PS
Regular Season,12,Sun Aug 30 2020,17:30,HJK Helsinki,,,IFK Mariehamn
Regular Season,12,Mon Aug 31 2020,17:30,FC Lahti,,,Inter Turku
Regular Season,12,Tue Sep 1 2020,17:30,Haka Valkeakoski,,,Ilves Tampere
Regular Season,12,Tue Sep 1 2020,17:30,FC Honka,,,Helsingfors IFK
Regular Season,13,Wed Sep 9 2020,17:30,Kuopion PS,,,Rovaniemi PS
Regular Season,13,Wed Sep 9 2020,17:30,SJK Seinäjoki,,,Inter Turku
Regular Season,13,Wed Sep 9 2020,17:30,TPS Turku,,,Haka Valkeakoski
Regular Season,13,Wed Sep 9 2020,17:30,FC Honka,,,Ilves Tampere
Regular Season,13,Wed Sep 9 2020,17:30,IFK Mariehamn,,,FC Lahti
Regular Season,13,Thu Sep 10 2020,17:30,Helsingfors IFK,,,HJK Helsinki
Regular Season,14,Sat Sep 12 2020,16:00,Haka Valkeakoski,,,SJK Seinäjoki
Regular Season,14,Sat Sep 12 2020,16:00,Rovaniemi PS,,,FC Honka
Regular Season,14,Sun Sep 13 2020,17:30,Ilves Tampere,,,HJK Helsinki
Regular Season,14,Mon Sep 14 2020,17:30,FC Lahti,,,Kuopion PS
Regular Season,14,Mon Sep 14 2020,17:30,Helsingfors IFK,,,Inter Turku
Regular Season,14,Mon Sep 14 2020,17:00,TPS Turku,,,IFK Mariehamn
Regular Season,15,Thu Sep 17 2020,17:30,FC Lahti,,,TPS Turku
Regular Season,15,Sat Sep 19 2020,16:00,Rovaniemi PS,,,Kuopion PS
Regular Season,15,Sat Sep 19 2020,16:00,Ilves Tampere,,,Haka Valkeakoski
Regular Season,15,Sat Sep 19 2020,16:00,Inter Turku,,,SJK Seinäjoki
Regular Season,15,Sat Sep 19 2020,16:00,Helsingfors IFK,,,IFK Mariehamn
Regular Season,15,Sun Sep 20 2020,12:00,FC Honka,,,HJK Helsinki
Regular Season,16,Wed Sep 23 2020,17:30,Kuopion PS,,,Helsingfors IFK
