Round,Date,Time,Team 1,FT,HT,Team 2
1,Tue Jun 16 2020,19:00,Akropolis IF,0-0,0-0,Dalkurd FF
1,Tue Jun 16 2020,19:00,AFC Eskilstuna,0-1,0-1,Västerås SK
1,Tue Jun 16 2020,19:00,GIF Sundsvall,3-1,2-1,Umeå FC
1,Tue Jun 16 2020,19:00,Halmstads BK,0-1,0-0,Trelleborgs FF
1,Tue Jun 16 2020,19:00,GAIS Göteborg,1-0,1-0,Jönköpings Södra IF
1,Wed Jun 17 2020,19:00,Ljungskile SK,2-3,0-1,Örgryte IS
1,Wed Jun 17 2020,19:00,Degerfors IF,4-1,3-1,IK Brage
1,Wed Jun 17 2020,19:00,Östers IF,2-1,0-0,Norrby IF
2,Sun Jun 21 2020,14:30,Norrby IF,3-0,0-0,GAIS Göteborg
2,Sun Jun 21 2020,14:30,Umeå FC,1-1,0-0,Akropolis IF
2,Sun Jun 21 2020,17:30,Västerås SK,2-2,1-2,Degerfors IF
2,Mon Jun 22 2020,19:00,IK Brage,1-2,0-1,GIF Sundsvall
2,Tue Jun 23 2020,19:00,Trelleborgs FF,0-1,0-1,Östers IF
2,Tue Jun 23 2020,19:00,Jönköpings Södra IF,2-1,0-1,Ljungskile SK
2,Tue Jun 23 2020,19:00,Dalkurd FF,5-0,2-0,AFC Eskilstuna
2,Tue Jun 23 2020,19:00,Örgryte IS,0-3,0-2,Halmstads BK
3,Sat Jun 27 2020,13:00,AFC Eskilstuna,1-3,1-0,Umeå FC
3,Sat Jun 27 2020,15:00,Akropolis IF,2-0,2-0,Örgryte IS
3,Sat Jun 27 2020,17:30,GIF Sundsvall,1-1,1-1,Dalkurd FF
3,Sat Jun 27 2020,17:30,Halmstads BK,3-0,0-0,Jönköpings Södra IF
3,Sat Jun 27 2020,17:30,Östers IF,0-0,0-0,Västerås SK
3,Sun Jun 28 2020,14:30,GAIS Göteborg,0-1,0-1,IK Brage
3,Sun Jun 28 2020,14:30,Degerfors IF,0-1,0-1,Norrby IF
3,Sun Jun 28 2020,17:30,Ljungskile SK,2-0,1-0,Trelleborgs FF
4,Fri Jul 3 2020,19:00,Trelleborgs FF,1-1,1-0,GIF Sundsvall
4,Fri Jul 3 2020,19:00,Jönköpings Södra IF,3-1,1-1,Akropolis IF
4,Sat Jul 4 2020,15:00,Dalkurd FF,1-2,0-1,Degerfors IF
4,Sat Jul 4 2020,15:00,Umeå FC,0-0,0-0,Östers IF
4,Sat Jul 4 2020,17:30,Norrby IF,2-2,0-0,Ljungskile SK
4,Sat Jul 4 2020,17:30,Örgryte IS,2-1,2-1,AFC Eskilstuna
4,Sat Jul 4 2020,17:30,IK Brage,0-0,0-0,Halmstads BK
4,Sun Jul 5 2020,14:30,Västerås SK,2-2,2-1,GAIS Göteborg
5,Tue Jul 7 2020,19:00,Akropolis IF,2-2,0-1,Trelleborgs FF
5,Tue Jul 7 2020,19:00,AFC Eskilstuna,3-2,1-2,Jönköpings Södra IF
5,Tue Jul 7 2020,19:00,Degerfors IF,1-0,1-0,Umeå FC
5,Wed Jul 8 2020,19:00,Ljungskile SK,1-3,1-2,IK Brage
5,Wed Jul 8 2020,19:00,GIF Sundsvall,3-1,2-1,Västerås SK
5,Wed Jul 8 2020,19:00,Halmstads BK,3-0,1-0,Norrby IF
5,Wed Jul 8 2020,19:00,GAIS Göteborg,2-1,2-0,Dalkurd FF
5,Wed Jul 8 2020,19:00,Östers IF,2-0,1-0,Örgryte IS
6,Sat Jul 11 2020,17:30,Jönköpings Södra IF,0-1,0-1,Degerfors IF
6,Sat Jul 11 2020,17:30,Örgryte IS,0-2,0-0,GIF Sundsvall
6,Sun Jul 12 2020,14:30,Umeå FC,0-1,0-0,Halmstads BK
6,Sun Jul 12 2020,17:30,AFC Eskilstuna,1-2,1-0,IK Brage
6,Sun Jul 12 2020,17:30,Västerås SK,2-1,1-0,Ljungskile SK
6,Mon Jul 13 2020,19:00,Trelleborgs FF,2-0,1-0,GAIS Göteborg
6,Mon Jul 13 2020,19:00,Dalkurd FF,1-1,1-1,Östers IF
6,Mon Jul 13 2020,19:00,Norrby IF,1-1,0-0,Akropolis IF
7,Sat Jul 18 2020,13:00,Ljungskile SK,2-2,0-0,Dalkurd FF
7,Sat Jul 18 2020,15:00,GIF Sundsvall,0-0,0-0,Norrby IF
7,Sat Jul 18 2020,17:30,Degerfors IF,1-0,0-0,Trelleborgs FF
7,Sat Jul 18 2020,17:30,GAIS Göteborg,1-1,1-1,Umeå FC
7,Sat Jul 18 2020,17:30,Östers IF,1-3,1-1,Jönköpings Södra IF
7,Sun Jul 19 2020,14:30,IK Brage,3-2,3-1,Örgryte IS
7,Sun Jul 19 2020,17:30,Halmstads BK,2-1,1-1,AFC Eskilstuna
7,Mon Jul 20 2020,19:00,Akropolis IF,2-0,2-0,Västerås SK
8,Fri Jul 24 2020,19:00,AFC Eskilstuna,2-0,0-0,GAIS Göteborg
8,Fri Jul 24 2020,19:00,Örgryte IS,1-1,0-0,Degerfors IF
8,Sat Jul 25 2020,13:00,Umeå FC,3-1,0-0,Ljungskile SK
8,Sat Jul 25 2020,15:00,Östers IF,1-1,1-0,GIF Sundsvall
8,Sat Jul 25 2020,15:00,Västerås SK,1-2,1-2,Norrby IF
8,Sat Jul 25 2020,17:30,Halmstads BK,2-3,0-2,Akropolis IF
8,Sat Jul 25 2020,17:30,Jönköpings Södra IF,2-0,1-0,IK Brage
8,Sat Jul 25 2020,17:30,Trelleborgs FF,4-1,4-1,Dalkurd FF
9,Wed Jul 29 2020,19:00,Dalkurd FF,0-0,0-0,Örgryte IS
9,Wed Jul 29 2020,19:00,Degerfors IF,3-1,3-1,Östers IF
9,Wed Jul 29 2020,19:00,GAIS Göteborg,1-1,1-1,Ljungskile SK
9,Wed Jul 29 2020,19:00,Jönköpings Södra IF,3-3,2-1,GIF Sundsvall
9,Wed Jul 29 2020,19:00,Norrby IF,0-0,0-0,AFC Eskilstuna
9,Wed Jul 29 2020,19:00,Västerås SK,2-3,1-1,Halmstads BK
9,Thu Jul 30 2020,19:00,IK Brage,1-1,0-1,Akropolis IF
9,Thu Jul 30 2020,19:00,Trelleborgs FF,1-1,0-0,Umeå FC
10,Sat Aug 1 2020,17:30,AFC Eskilstuna,1-1,1-1,Östers IF
10,Sat Aug 1 2020,17:30,Ljungskile SK,0-0,0-0,Halmstads BK
10,Sat Aug 1 2020,17:30,GIF Sundsvall,1-4,0-2,Degerfors IF
10,Sun Aug 2 2020,14:30,Norrby IF,1-2,0-0,Jönköpings Södra IF
10,Sun Aug 2 2020,17:30,Akropolis IF,2-2,1-1,GAIS Göteborg
10,Mon Aug 3 2020,18:00,Umeå FC,1-2,0-2,Dalkurd FF
10,Mon Aug 3 2020,19:00,IK Brage,3-0,3-0,Trelleborgs FF
10,Mon Aug 3 2020,19:00,Örgryte IS,2-1,0-0,Västerås SK
11,Fri Aug 7 2020,19:00,Östers IF,,,Akropolis IF
11,Fri Aug 7 2020,19:00,GIF Sundsvall,,,Ljungskile SK
11,Fri Aug 7 2020,19:00,Västerås SK,,,IK Brage
11,Sat Aug 8 2020,13:00,Degerfors IF,,,AFC Eskilstuna
11,Sat Aug 8 2020,17:30,Dalkurd FF,,,Norrby IF
11,Sat Aug 8 2020,17:30,Halmstads BK,,,GAIS Göteborg
11,Sat Aug 8 2020,17:30,Jönköpings Södra IF,,,Umeå FC
11,Sun Aug 9 2020,14:30,Örgryte IS,,,Trelleborgs FF
12,Tue Aug 11 2020,19:00,Akropolis IF,,,GIF Sundsvall
12,Tue Aug 11 2020,19:00,Halmstads BK,,,Östers IF
12,Wed Aug 12 2020,19:00,GAIS Göteborg,,,Degerfors IF
12,Wed Aug 12 2020,19:00,IK Brage,,,Norrby IF
12,Wed Aug 12 2020,19:00,Jönköpings Södra IF,,,Dalkurd FF
12,Wed Aug 12 2020,19:00,Ljungskile SK,,,AFC Eskilstuna
12,Wed Aug 12 2020,19:00,Trelleborgs FF,,,Västerås SK
12,Thu Aug 13 2020,19:00,Umeå FC,,,Örgryte IS
13,Sat Aug 15 2020,17:30,Dalkurd FF,,,Halmstads BK
13,Sat Aug 15 2020,17:30,Östers IF,,,IK Brage
13,Sat Aug 15 2020,17:30,GIF Sundsvall,,,GAIS Göteborg
13,Sun Aug 16 2020,14:30,Degerfors IF,,,Ljungskile SK
13,Sun Aug 16 2020,14:30,Västerås SK,,,Umeå FC
13,Sun Aug 16 2020,17:30,Norrby IF,,,Trelleborgs FF
13,Mon Aug 17 2020,19:00,AFC Eskilstuna,,,Akropolis IF
13,Tue Aug 18 2020,19:00,Örgryte IS,,,Jönköpings Södra IF
14,Sat Aug 22 2020,13:00,Umeå FC,,,Norrby IF
14,Sat Aug 22 2020,17:30,GAIS Göteborg,,,Örgryte IS
14,Sat Aug 22 2020,17:30,Halmstads BK,,,GIF Sundsvall
14,Sat Aug 22 2020,17:30,Ljungskile SK,,,Östers IF
14,Sun Aug 23 2020,14:30,Jönköpings Södra IF,,,Västerås SK
14,Sun Aug 23 2020,17:30,Trelleborgs FF,,,AFC Eskilstuna
14,Mon Aug 24 2020,19:00,Akropolis IF,,,Degerfors IF
14,Mon Aug 24 2020,19:00,IK Brage,,,Dalkurd FF
15,Sat Aug 29 2020,13:00,Dalkurd FF,,,Västerås SK
15,Sat Aug 29 2020,15:00,Degerfors IF,,,Halmstads BK
15,Sat Aug 29 2020,17:30,AFC Eskilstuna,,,GIF Sundsvall
15,Sat Aug 29 2020,17:30,Östers IF,,,GAIS Göteborg
15,Sat Aug 29 2020,17:30,Trelleborgs FF,,,Jönköpings Södra IF
15,Sun Aug 30 2020,14:30,IK Brage,,,Umeå FC
15,Sun Aug 30 2020,16:00,Akropolis IF,,,Ljungskile SK
15,Mon Aug 31 2020,19:00,Norrby IF,,,Örgryte IS
16,Fri Sep 4 2020,19:00,GAIS Göteborg,,,Trelleborgs FF
16,Sat Sep 5 2020,15:00,Ljungskile SK,,,Akropolis IF
16,Sat Sep 5 2020,17:30,Jönköpings Södra IF,,,AFC Eskilstuna
16,Sat Sep 5 2020,17:30,Örgryte IS,,,Norrby IF
16,Sat Sep 5 2020,17:30,GIF Sundsvall,,,Östers IF
16,Sun Sep 6 2020,14:30,Umeå FC,,,IK Brage
16,Sun Sep 6 2020,17:30,Västerås SK,,,Dalkurd FF
16,Mon Sep 7 2020,19:00,Halmstads BK,,,Degerfors IF
17,Sun Sep 13 2020,16:00,AFC Eskilstuna,,,Halmstads BK
17,Sun Sep 13 2020,16:00,Akropolis IF,,,Östers IF
17,Sun Sep 13 2020,16:00,Dalkurd FF,,,Umeå FC
17,Sun Sep 13 2020,16:00,Degerfors IF,,,Jönköpings Södra IF
17,Sun Sep 13 2020,16:00,GAIS Göteborg,,,GIF Sundsvall
17,Sun Sep 13 2020,16:00,Norrby IF,,,Västerås SK
17,Sun Sep 13 2020,16:00,Örgryte IS,,,Ljungskile SK
17,Sun Sep 13 2020,16:00,Trelleborgs FF,,,IK Brage
18,Thu Sep 17 2020,16:00,Degerfors IF,,,Dalkurd FF
18,Thu Sep 17 2020,16:00,Halmstads BK,,,Umeå FC
18,Thu Sep 17 2020,16:00,IK Brage,,,GAIS Göteborg
18,Thu Sep 17 2020,16:00,Jönköpings Södra IF,,,Örgryte IS
18,Thu Sep 17 2020,16:00,Ljungskile SK,,,Norrby IF
18,Thu Sep 17 2020,16:00,Östers IF,,,Trelleborgs FF
18,Thu Sep 17 2020,16:00,GIF Sundsvall,,,Akropolis IF
18,Thu Sep 17 2020,16:00,Västerås SK,,,AFC Eskilstuna
19,Sun Sep 20 2020,16:00,AFC Eskilstuna,,,Ljungskile SK
19,Sun Sep 20 2020,16:00,Akropolis IF,,,Halmstads BK
19,Sun Sep 20 2020,16:00,Dalkurd FF,,,IK Brage
19,Sun Sep 20 2020,16:00,GAIS Göteborg,,,Västerås SK
19,Sun Sep 20 2020,16:00,Jönköpings Södra IF,,,Östers IF
19,Sun Sep 20 2020,16:00,Norrby IF,,,GIF Sundsvall
