Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
,1,Tue Jan 21 2020,21:30,-0300,Uberlândia MG,0-1,0-1,Atlético Mineiro,,,2020-01-22T00:30Z
,1,Tue Jan 21 2020,20:00,-0300,Coimbra MG,1-1,0-0,U.R.T. MG,,,2020-01-21T23:00Z
,1,Wed Jan 22 2020,20:30,-0300,América MG,2-2,1-1,Caldense MG,,,2020-01-22T23:30Z
,1,Wed Jan 22 2020,21:00,-0300,Atlético Patrocinense MG,2-0,1-0,Villa Nova MG,,,2020-01-23T00:00Z
,1,Wed Jan 22 2020,21:30,-0300,Cruzeiro,2-0,1-0,Boa Esporte MG,,,2020-01-23T00:30Z
,1,Wed Jan 22 2020,20:00,-0300,Tupynambás MG,0-1,0-0,Tombense MG,,,2020-01-22T23:00Z
,2,Sat Jan 25 2020,19:00,-0300,Caldense MG,2-0,1-0,Uberlândia MG,,,2020-01-25T22:00Z
,2,Sun Jan 26 2020,10:00,-0300,Boa Esporte MG,0-0,0-0,Coimbra MG,,,2020-01-26T13:00Z
,2,Sun Jan 26 2020,16:00,-0300,Atlético Mineiro,5-0,2-0,Tupynambás MG,,,2020-01-26T19:00Z
,2,Sun Jan 26 2020,16:00,-0300,U.R.T. MG,1-0,0-0,Atlético Patrocinense MG,,,2020-01-26T19:00Z
,3,Tue Jan 28 2020,20:00,-0300,Cruzeiro,1-0,0-0,Villa Nova MG,,,2020-01-28T23:00Z
,3,Wed Jan 29 2020,21:30,-0300,Coimbra MG,0-0,0-0,Atlético Mineiro,,,2020-01-30T00:30Z
,3,Wed Jan 29 2020,19:00,-0300,Tombense MG,0-0,0-0,Boa Esporte MG,,,2020-01-29T22:00Z
,3,Wed Jan 29 2020,20:00,-0300,Tupynambás MG,0-1,0-0,América MG,,,2020-01-29T23:00Z
,3,Wed Jan 29 2020,20:00,-0300,U.R.T. MG,1-0,0-0,Caldense MG,,,2020-01-29T23:00Z
