Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,Gruppe D,Fri Oct 30 2020,21:15,-0300,Talleres de Córdoba,3-1,0-0,Newell's Old Boys,,2020-10-31T00:15Z
,Gruppe F,Fri Oct 30 2020,19:00,-0300,Gimnasia de La Plata,3-0,1-0,Patronato de Paraná,,2020-10-30T22:00Z
,Gruppe D,Sat Oct 31 2020,21:15,-0300,Lanús,1-2,1-1,Boca Juniors,,2020-11-01T00:15Z
,Gruppe E,Sat Oct 31 2020,18:45,-0300,Argentinos Juniors,0-0,0-0,San Lorenzo,,2020-10-31T21:45Z
,Gruppe E,Sat Oct 31 2020,14:00,-0300,Aldosivi,0-0,0-0,Estudiantes,,2020-10-31T17:00Z
,Gruppe F,Sat Oct 31 2020,16:15,-0300,Vélez Sarsfield,1-1,0-1,Huracán,,2020-10-31T19:15Z
,Gruppe A,Sun Nov 1 2020,16:15,-0300,Racing Club,1-4,0-2,Atlético Tucumán,,2020-11-01T19:15Z
,Gruppe B,Sun Nov 1 2020,18:45,-0300,Central Córdoba SdE,0-1,0-1,Independiente,,2020-11-01T21:45Z
,Gruppe B,Sun Nov 1 2020,11:00,-0300,Defensa y Justicia,0-3,0-1,Colón de Santa Fe,,2020-11-01T14:00Z
,Gruppe A,Sun Nov 1 2020,14:00,-0300,Unión de Santa Fe,0-0,0-0,Arsenal de Sarandí,,2020-11-01T17:00Z
,Gruppe C,Mon Nov 2 2020,21:15,-0300,Rosario Central,2-1,1-0,Godoy Cruz,,2020-11-03T00:15Z
,Gruppe C,Tue Nov 3 2020,21:00,-0300,River Plate,1-3,1-2,Banfield,,2020-11-04T00:00Z
,Gruppe F,Fri Nov 6 2020,19:00,-0300,Patronato de Paraná,1-2,0-1,Huracán,,2020-11-06T22:00Z
,Gruppe E,Fri Nov 6 2020,21:15,-0300,Argentinos Juniors,0-1,0-0,Aldosivi,,2020-11-07T00:15Z
,Gruppe E,Sat Nov 7 2020,18:30,-0300,San Lorenzo,2-0,1-0,Estudiantes,,2020-11-07T21:30Z
,Gruppe C,Sat Nov 7 2020,16:00,-0300,Banfield,1-0,0-0,Godoy Cruz,,2020-11-07T19:00Z
,Gruppe C,Sat Nov 7 2020,21:15,-0300,River Plate,2-1,1-0,Rosario Central,,2020-11-08T00:15Z
,Gruppe D,Sun Nov 8 2020,21:15,-0300,Newell's Old Boys,0-2,0-1,Boca Juniors,,2020-11-09T00:15Z
,Gruppe A,Sun Nov 8 2020,11:00,-0300,Arsenal de Sarandí,1-2,0-1,Atlético Tucumán,,2020-11-08T14:00Z
,Gruppe F,Sun Nov 8 2020,16:15,-0300,Gimnasia de La Plata,2-2,0-1,Vélez Sarsfield,,2020-11-08T19:15Z
,Gruppe A,Sun Nov 8 2020,18:45,-0300,Unión de Santa Fe,2-0,1-0,Racing Club,,2020-11-08T21:45Z
,Gruppe B,Mon Nov 9 2020,17:00,-0300,Independiente,1-1,0-1,Colón de Santa Fe,,2020-11-09T20:00Z
,Gruppe B,Mon Nov 9 2020,21:30,-0300,Central Córdoba SdE,2-2,2-2,Defensa y Justicia,,2020-11-10T00:30Z
,Gruppe D,Mon Nov 9 2020,19:15,-0300,Talleres de Córdoba,1-1,0-1,Lanús,,2020-11-09T22:15Z
,Gruppe A,Fri Nov 13 2020,21:15,-0300,Atlético Tucumán,3-1,0-0,Unión de Santa Fe,,2020-11-14T00:15Z
,Gruppe C,Fri Nov 13 2020,19:00,-0300,Rosario Central,2-4,1-2,Banfield,,2020-11-13T22:00Z
,Gruppe D,Sat Nov 14 2020,16:15,-0300,Lanús,2-4,0-1,Newell's Old Boys,,2020-11-14T19:15Z
,Gruppe E,Sat Nov 14 2020,14:00,-0300,Aldosivi,1-4,0-3,San Lorenzo,,2020-11-14T17:00Z
,Gruppe A,Sat Nov 14 2020,18:45,-0300,Racing Club,0-2,0-2,Arsenal de Sarandí,,2020-11-14T21:45Z
,Gruppe C,Sat Nov 14 2020,21:15,-0300,Godoy Cruz,0-1,0-0,River Plate,,2020-11-15T00:15Z
,Gruppe B,Sun Nov 15 2020,18:45,-0300,Defensa y Justicia,0-0,0-0,Independiente,,2020-11-15T21:45Z
,Gruppe D,Sun Nov 15 2020,21:15,-0300,Boca Juniors,0-1,0-0,Talleres de Córdoba,,2020-11-16T00:15Z
,Gruppe E,Sun Nov 15 2020,16:15,-0300,Estudiantes,0-1,0-0,Argentinos Juniors,,2020-11-15T19:15Z
,Gruppe F,Sun Nov 15 2020,14:00,-0300,Huracán,3-2,1-1,Gimnasia de La Plata,,2020-11-15T17:00Z
,Gruppe F,Mon Nov 16 2020,19:00,-0300,Vélez Sarsfield,1-0,0-0,Patronato de Paraná,,2020-11-16T22:00Z
,Gruppe B,Mon Nov 16 2020,21:15,-0300,Colón de Santa Fe,2-0,1-0,Central Córdoba SdE,,2020-11-17T00:15Z
,Gruppe A,Thu Nov 19 2020,21:15,-0300,Atlético Tucumán,2-0,1-0,Racing Club,,2020-11-20T00:15Z
,Gruppe A,Fri Nov 20 2020,17:10,-0300,Arsenal de Sarandí,2-3,1-1,Unión de Santa Fe,,2020-11-20T20:10Z
,Gruppe C,Fri Nov 20 2020,21:30,-0300,Banfield,0-2,0-0,River Plate,,2020-11-21T00:30Z
,Gruppe D,Fri Nov 20 2020,19:20,-0300,Boca Juniors,1-2,0-2,Lanús,,2020-11-20T22:20Z
,Gruppe B,Sat Nov 21 2020,17:10,-0300,Colón de Santa Fe,2-0,1-0,Defensa y Justicia,,2020-11-21T20:10Z
,Gruppe B,Sat Nov 21 2020,21:30,-0300,Independiente,0-0,0-0,Central Córdoba SdE,,2020-11-22T00:30Z
,Gruppe F,Sat Nov 21 2020,19:20,-0300,Huracán,1-2,1-2,Vélez Sarsfield,,2020-11-21T22:20Z
,Gruppe E,Sun Nov 22 2020,17:10,-0300,Estudiantes,0-1,0-1,Aldosivi,,2020-11-22T20:10Z
,Gruppe E,Sun Nov 22 2020,21:30,-0300,San Lorenzo,2-0,1-0,Argentinos Juniors,,2020-11-23T00:30Z
,Gruppe F,Sun Nov 22 2020,19:20,-0300,Patronato de Paraná,0-0,0-0,Gimnasia de La Plata,,2020-11-22T22:20Z
,Gruppe D,Mon Nov 23 2020,21:15,-0300,Newell's Old Boys,1-1,1-0,Talleres de Córdoba,,2020-11-24T00:15Z
,Gruppe C,Mon Nov 23 2020,19:00,-0300,Godoy Cruz,0-1,0-1,Rosario Central,,2020-11-23T22:00Z
,Gruppe C,Sat Nov 28 2020,21:30,-0300,Rosario Central,0-2,0-1,River Plate,,2020-11-29T00:30Z
,Gruppe C,Sat Nov 28 2020,21:30,-0300,Godoy Cruz,0-0,0-0,Banfield,,2020-11-29T00:30Z
,Gruppe F,Sat Nov 28 2020,19:20,-0300,Vélez Sarsfield,0-1,0-1,Gimnasia de La Plata,,2020-11-28T22:20Z
,Gruppe B,Sat Nov 28 2020,19:20,-0300,Colón de Santa Fe,1-2,0-0,Independiente,,2020-11-28T22:20Z
,Gruppe A,Sat Nov 28 2020,17:10,-0300,Racing Club,1-0,1-0,Unión de Santa Fe,,2020-11-28T20:10Z
