Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Round 1,Wed Feb 5 2020,15:30,-0300,Coruripe AL,0-0,0-0,Juventude RS,,2020-02-05T18:30Z
Round 1,Wed Feb 5 2020,15:30,-0300,Independente PA,2-3,1-1,CR Brasil AL,,2020-02-05T18:30Z
Round 1,Wed Feb 5 2020,15:30,-0300,Barbalha CE,0-3,0-1,Operário Ferroviário PR,,2020-02-05T18:30Z
Round 1,Wed Feb 5 2020,16:30,-0300,Santo André SP,4-1,2-0,Criciúma SC,,2020-02-05T19:30Z
Round 1,Wed Feb 5 2020,20:30,-0300,São Luiz RS,0-0,0-0,América RN,,2020-02-05T23:30Z
Round 1,Wed Feb 5 2020,20:30,-0300,XV de Piracicaba SP,1-0,0-0,Londrina PR,,2020-02-05T23:30Z
Round 1,Wed Feb 5 2020,20:30,-0300,Bahia de Feira BA,3-1,1-0,Luverdense MT,,2020-02-05T23:30Z
Round 1,Wed Feb 5 2020,20:30,-0300,Vilhenense RO,1-1,0-1,Boa Esporte MG,,2020-02-05T23:30Z
Round 1,Wed Feb 5 2020,20:30,-0300,Santos AP,1-1,0-1,América MG,,2020-02-05T23:30Z
Round 1,Wed Feb 5 2020,21:30,-0300,River PI,1-0,0-0,Bahia BA,,2020-02-06T00:30Z
Round 1,Wed Feb 5 2020,21:30,-0300,S.E.R. Caxias RS,1-1,1-1,Botafogo RJ,,2020-02-06T00:30Z
Round 1,Wed Feb 5 2020,21:30,-0300,Palmas TO,0-2,0-1,Paraná Clube,,2020-02-06T00:30Z
Round 1,Wed Feb 5 2020,21:30,-0300,Operário MT,0-0,0-0,Santa Cruz PE,,2020-02-06T00:30Z
Round 1,Wed Feb 5 2020,21:30,-0300,Aquidauanense MS,0-1,0-0,ABC RN,,2020-02-06T00:30Z
Round 1,Wed Feb 5 2020,22:30,-0300,Fast Clube AM,0-2,0-0,Goiás GO,,2020-02-06T01:30Z
Round 1,Thu Feb 6 2020,19:15,-0300,Brasiliense DF,1-1,0-1,Paysandu PA,,2020-02-06T22:15Z
Round 1,Thu Feb 6 2020,20:30,-0300,Vitória ES,2-1,1-1,CSA AL,,2020-02-06T23:30Z
Round 1,Thu Feb 6 2020,21:30,-0300,União Rondonópolis MT,0-1,0-0,Atlético Goianiense,,2020-02-07T00:30Z
Round 1,Thu Feb 6 2020,16:30,-0300,Grêmio Novorizontino SP,1-2,1-0,Figueirense SC,,2020-02-06T19:30Z
Round 1,Tue Feb 11 2020,21:30,-0300,Imperatriz MA,0-0,0-0,Vitória BA,,2020-02-12T00:30Z
Round 1,Wed Feb 12 2020,15:30,-0300,Bragantino PA,1-2,0-1,Ceará CE,,2020-02-12T18:30Z
Round 1,Wed Feb 12 2020,16:00,-0300,Freipaulistano SE,1-2,1-1,Remo PA,,2020-02-12T19:00Z
Round 1,Wed Feb 12 2020,16:00,-0300,Caucaia CE,1-2,0-0,São José RS,,2020-02-12T19:00Z
Round 1,Wed Feb 12 2020,16:00,-0300,Bangu RJ,1-1,1-0,Oeste SP,,2020-02-12T19:00Z
Round 1,Wed Feb 12 2020,19:15,-0300,Brusque SC,2-1,1-1,Sport Recife PE,,2020-02-12T22:15Z
Round 1,Wed Feb 12 2020,20:30,-0300,Gama DF,3-3,2-2,Brasil de Pelotas RS,,2020-02-12T23:30Z
Round 1,Wed Feb 12 2020,20:30,-0300,Atlético de Alagoinhas BA,0-0,0-0,Botafogo PB,,2020-02-12T23:30Z
Round 1,Wed Feb 12 2020,21:30,-0300,Toledo Esporte Clube,0-2,0-0,Náutico PE,,2020-02-13T00:30Z
Round 1,Wed Feb 12 2020,21:30,-0300,Campinense PB,0-0,0-0,Atlético Mineiro,,2020-02-13T00:30Z
Round 1,Wed Feb 12 2020,21:30,-0300,Galvez AC,0-1,0-0,Vila Nova GO,,2020-02-13T00:30Z
Round 1,Wed Feb 12 2020,21:30,-0300,Altos PI,1-1,1-1,Vasco da Gama RJ,,2020-02-13T00:30Z
Round 1,Wed Feb 12 2020,21:30,-0300,Águia Negra MS,2-1,1-0,Sampaio Corrêa MA,,2020-02-13T00:30Z
Round 1,Wed Feb 12 2020,22:30,-0300,Manaus AM,1-0,1-0,Coritiba PR,,2020-02-13T01:30Z
Round 1,Thu Feb 13 2020,19:15,-0300,Novo Hamburgo RS,1-2,0-1,Ponte Preta,,2020-02-13T22:15Z
Round 1,Thu Feb 13 2020,20:30,-0300,Afogados da Ingazeira PE,3-0,2-0,Atlético Acreano AC,,2020-02-13T23:30Z
Round 1,Thu Feb 13 2020,21:30,-0300,São Raimundo RR,2-2,1-1,Cruzeiro,,2020-02-14T00:30Z
Round 1,Thu Feb 13 2020,16:30,-0300,Ferroviária SP,2-0,0-0,Avaí SC,,2020-02-13T19:30Z
Round 2,Tue Feb 18 2020,21:30,-0300,Vitória ES,0-1,0-0,Figueirense SC,,2020-02-19T00:30Z
Round 2,Wed Feb 19 2020,21:30,-0300,Náutico PE,1-1,1-0,Botafogo RJ,3-4,2020-02-20T00:30Z
Round 1,Wed Feb 19 2020,19:15,-0300,Boavista RJ,0-2,0-1,Chapecoense,,2020-02-19T22:15Z
Round 1,Wed Feb 19 2020,15:30,-0300,Lagarto SE,1-0,0-0,Volta Redonda RJ,,2020-02-19T18:30Z
Round 2,Wed Feb 19 2020,19:10,-0300,Paysandu PA,1-1,1-1,CR Brasil AL,3-5,2020-02-19T22:10Z
Round 2,Wed Feb 19 2020,21:30,-0300,Oeste SP,1-1,1-1,Ceará CE,2-4,2020-02-20T00:30Z
Round 2,Thu Feb 20 2020,21:30,-0300,Brusque SC,5-1,1-0,Remo PA,,2020-02-21T00:30Z
Round 1,Wed Feb 26 2020,21:30,-0300,Moto Club MA,2-4,2-1,Fluminense RJ,,2020-02-27T00:30Z
Round 2,Wed Feb 26 2020,16:30,-0300,XV de Piracicaba SP,1-1,0-0,Juventude RS,7-8,2020-02-26T19:30Z
Round 2,Wed Feb 26 2020,19:15,-0300,Paraná Clube,3-2,0-0,Bahia de Feira BA,,2020-02-26T22:15Z
Round 2,Wed Feb 26 2020,20:30,-0300,River PI,1-1,0-1,América RN,3-4,2020-02-26T23:30Z
Round 2,Wed Feb 26 2020,20:30,-0300,Ferroviária SP,6-2,4-1,Águia Negra MS,,2020-02-26T23:30Z
Round 2,Wed Feb 26 2020,21:30,-0300,Afogados da Ingazeira PE,2-2,0-0,Atlético Mineiro,7-6,2020-02-27T00:30Z
Round 2,Thu Feb 27 2020,21:30,-0300,Ponte Preta,0-0,0-0,Vila Nova GO,5-3,2020-02-28T00:30Z
Round 2,Thu Feb 27 2020,19:15,-0300,São José RS,0-0,0-0,Chapecoense,5-4,2020-02-27T22:15Z
Round 2,Wed Mar 4 2020,19:15,-0300,Santo André SP,0-2,0-0,Goiás GO,,2020-03-04T22:15Z
Round 2,Wed Mar 4 2020,19:15,-0300,Fluminense RJ,2-0,0-0,Botafogo PB,,2020-03-04T22:15Z
Round 2,Wed Mar 4 2020,20:30,-0300,Brasil de Pelotas RS,1-0,1-0,Manaus AM,,2020-03-04T23:30Z
Round 2,Wed Mar 4 2020,21:30,-0300,Atlético Goianiense,1-1,1-1,Santa Cruz PE,4-3,2020-03-05T00:30Z
Round 2,Wed Mar 4 2020,21:30,-0300,Boa Esporte MG,1-1,0-1,Cruzeiro,4-5,2020-03-05T00:30Z
Round 2,Thu Mar 5 2020,20:00,-0300,Operário Ferroviário PR,0-2,0-0,América MG,,2020-03-05T23:00Z
Round 2,Thu Mar 5 2020,21:30,-0300,Vasco da Gama RJ,1-0,0-0,ABC RN,,2020-03-06T00:30Z
Round 2,Thu Mar 5 2020,19:15,-0300,Vitória BA,3-1,2-1,Lagarto SE,,2020-03-05T22:15Z
Round 3,Tue Mar 10 2020,19:15,-0300,Botafogo RJ,1-0,1-0,Paraná Clube,,2020-03-10T22:15Z
Round 3,Wed Mar 11 2020,19:15,-0300,Figueirense SC,1-0,0-0,Fluminense RJ,,2020-03-11T22:15Z
Round 3,Wed Mar 11 2020,19:15,-0300,Ferroviária SP,0-0,0-0,América MG,,2020-03-11T22:15Z
Round 3,Wed Mar 11 2020,21:30,-0300,Cruzeiro,0-2,0-1,CR Brasil AL,,2020-03-12T00:30Z
Round 3,Wed Mar 11 2020,21:30,-0300,Atlético Goianiense,2-0,2-0,São José RS,,2020-03-12T00:30Z
Round 3,Wed Mar 11 2020,19:15,-0300,Juventude RS,1-1,0-1,América RN,,2020-03-11T22:15Z
Round 3,Thu Mar 12 2020,19:15,-0300,Ceará CE,1-0,1-0,Vitória BA,,2020-03-12T22:15Z
Round 3,Thu Mar 12 2020,19:15,-0300,Ponte Preta,3-0,1-0,Afogados da Ingazeira PE,,2020-03-12T22:15Z
Round 3,Thu Mar 12 2020,21:30,-0300,Brasil de Pelotas RS,0-1,0-1,Brusque SC,,2020-03-13T00:30Z
Round 3,Thu Mar 12 2020,21:30,-0300,Vasco da Gama RJ,0-1,0-1,Goiás GO,,2020-03-13T00:30Z
Round 3,Tue Aug 25 2020,19:00,-0300,América MG,1-0,0-0,Ferroviária SP,,2020-08-25T22:00Z
Round 3,Tue Aug 25 2020,21:30,-0300,Fluminense RJ,3-0,1-0,Figueirense SC,,2020-08-26T00:30Z
Round 3,Tue Aug 25 2020,16:00,-0300,Afogados da Ingazeira PE,0-2,0-1,Ponte Preta,,2020-08-25T19:00Z
Round 3,Wed Aug 26 2020,16:00,-0300,América RN,1-1,0-1,Juventude RS,3-5,2020-08-26T19:00Z
Round 3,Wed Aug 26 2020,16:00,-0300,CR Brasil AL,1-1,0-1,Cruzeiro,,2020-08-26T19:00Z
Round 3,Wed Aug 26 2020,19:00,-0300,Paraná Clube,1-2,0-0,Botafogo RJ,,2020-08-26T22:00Z
Round 3,Wed Aug 26 2020,21:30,-0300,Vitória BA,3-4,2-1,Ceará CE,,2020-08-27T00:30Z
Round 3,Wed Aug 26 2020,21:30,-0300,Goiás GO,1-2,1-1,Vasco da Gama RJ,1-2,2020-08-27T00:30Z
Round 3,Thu Aug 27 2020,21:30,-0300,São José RS,1-0,1-0,Atlético Goianiense,,2020-08-28T00:30Z
Round 3,Thu Aug 27 2020,19:00,-0300,Brusque SC,1-0,1-0,Brasil de Pelotas RS,,2020-08-27T22:00Z
Round 4,Wed Sep 16 2020,21:30,-0300,Fluminense RJ,1-0,0-0,Atlético Goianiense,,2020-09-17T00:30Z
Round 4,Wed Sep 16 2020,21:30,-0300,Brusque SC,0-2,0-1,Ceará CE,,2020-09-17T00:30Z
Round 4,Wed Sep 16 2020,19:00,-0300,Ponte Preta,2-2,1-1,América MG,,2020-09-16T22:00Z
Round 4,Thu Sep 17 2020,16:00,-0300,Juventude RS,2-0,1-0,CR Brasil AL,,2020-09-17T19:00Z
Round 4,Thu Sep 17 2020,19:00,-0300,Botafogo RJ,1-0,0-0,Vasco da Gama RJ,,2020-09-17T22:00Z
Round 4,Tue Sep 22 2020,21:30,-0300,América MG,3-1,2-0,Ponte Preta,,2020-09-23T00:30Z
Round 4,Tue Sep 22 2020,19:00,-0300,CR Brasil AL,1-0,1-0,Juventude RS,,2020-09-22T22:00Z
Round 4,Wed Sep 23 2020,21:30,-0300,Ceará CE,5-1,1-1,Brusque SC,,2020-09-24T00:30Z
Round 4,Wed Sep 23 2020,21:30,-0300,Vasco da Gama RJ,0-0,0-0,Botafogo RJ,,2020-09-24T00:30Z
Round 4,Thu Sep 24 2020,20:00,-0300,Atlético Goianiense,3-1,1-1,Fluminense RJ,,2020-09-24T23:00Z
Round of 16,Wed Oct 14 2020,19:15,-0300,Fortaleza CE,3-3,2-2,São Paulo FC,,2020-10-14T22:15Z
Round of 16,Sun Oct 25 2020,20:30,-0300,São Paulo FC,2-2,1-0,Fortaleza CE,10-9,2020-10-25T23:30Z
Round of 16,Tue Oct 27 2020,21:30,-0300,Botafogo RJ,0-1,0-0,Cuiabá MT,,2020-10-28T00:30Z
Round of 16,Wed Oct 28 2020,21:30,-0300,Athletico Paranaense,0-1,0-1,Flamengo RJ,,2020-10-29T00:30Z
Round of 16,Wed Oct 28 2020,21:30,-0300,Corinthians SP,0-1,0-0,América MG,,2020-10-29T00:30Z
Round of 16,Wed Oct 28 2020,19:00,-0300,Atlético Goianiense,1-2,0-1,Internacional,,2020-10-28T22:00Z
Round of 16,Wed Oct 28 2020,16:00,-0300,Santos FC,0-0,0-0,Ceará CE,,2020-10-28T19:00Z
Round of 16,Thu Oct 29 2020,21:30,-0300,Grêmio Porto Alegre,1-0,1-0,Juventude RS,,2020-10-30T00:30Z
Round of 16,Thu Oct 29 2020,19:00,-0300,Red Bull Bragantino,1-3,0-3,Palmeiras,,2020-10-29T22:00Z
Round of 16,Tue Nov 3 2020,21:30,-0300,Internacional,2-1,0-0,Atlético Goianiense,,2020-11-04T00:30Z
Round of 16,Tue Nov 3 2020,19:00,-0300,Cuiabá MT,0-0,0-0,Botafogo RJ,,2020-11-03T22:00Z
Round of 16,Wed Nov 4 2020,21:30,-0300,Flamengo RJ,3-2,2-1,Athletico Paranaense,,2020-11-05T00:30Z
Round of 16,Wed Nov 4 2020,21:30,-0300,América MG,1-1,0-0,Corinthians SP,,2020-11-05T00:30Z
Round of 16,Wed Nov 4 2020,19:00,-0300,Ceará CE,1-0,0-0,Santos FC,,2020-11-04T22:00Z
Round of 16,Thu Nov 5 2020,19:00,-0300,Palmeiras,1-0,1-0,Red Bull Bragantino,,2020-11-05T22:00Z
Round of 16,Thu Nov 5 2020,21:30,-0300,Juventude RS,0-1,0-0,Grêmio Porto Alegre,,2020-11-06T00:30Z
