Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Fri Aug 17 2018,20:45,SV Wehen Wiesbaden,1-1,1-0,FC St. Pauli,3-2,
1. Runde,Fri Aug 17 2018,20:45,1. FC Magdeburg,0-1,0-1,SV Darmstadt 98,,
1. Runde,Fri Aug 17 2018,20:45,1. FC Schweinfurt 05,0-2,0-1,FC Schalke 04,,
1. Runde,Sat Aug 18 2018,15:30,SV Linx,1-2,1-1,1. FC Nürnberg,,
1. Runde,Sat Aug 18 2018,15:30,SV Rödinghausen,2-2,2-2,Dynamo Dresden,3-2,
1. Runde,Sat Aug 18 2018,15:30,SV 07 Elversberg,0-1,0-0,VfL Wolfsburg,,
1. Runde,Sat Aug 18 2018,15:30,TuS Dassendorf,0-1,0-1,MSV Duisburg,,
1. Runde,Sat Aug 18 2018,15:30,Wormatia Worms,1-6,1-5,Werder Bremen,,
1. Runde,Sat Aug 18 2018,15:30,SV Drochtersen/Assel,0-1,0-0,Bayern München,,
1. Runde,Sat Aug 18 2018,15:30,1. FC Kaiserslautern,1-6,1-3,1899 Hoffenheim,,
1. Runde,Sat Aug 18 2018,15:30,1. CfR Pforzheim,0-1,0-1,Bayer Leverkusen,,
1. Runde,Sat Aug 18 2018,15:30,SSV Ulm 1846,2-1,0-0,Eintracht Frankfurt,,
1. Runde,Sat Aug 18 2018,18:30,TuS Erndtebrück,3-5,1-2,Hamburger SV,,
1. Runde,Sat Aug 18 2018,18:30,Rot-Weiß Oberhausen,0-6,0-2,SV Sandhausen,,
1. Runde,Sat Aug 18 2018,18:30,Erzgebirge Aue,1-3,0-1,1. FSV Mainz 05,,
1. Runde,Sat Aug 18 2018,20:45,Hansa Rostock,2-0,1-0,VfB Stuttgart,,
1. Runde,Sun Aug 19 2018,15:30,1. FC Lok Stendal,0-5,0-1,Arminia Bielefeld,,
1. Runde,Sun Aug 19 2018,15:30,TSV Steinbach Haiger,1-2,0-1,FC Augsburg,,
1. Runde,Sun Aug 19 2018,15:30,Rot-Weiß Koblenz,0-5,0-4,Fortuna Düsseldorf,,
1. Runde,Sun Aug 19 2018,15:30,Weiche Flensburg 08,1-0,1-0,VfL Bochum,,
1. Runde,Sun Aug 19 2018,15:30,BSG Chemie Leipzig,2-1,0-1,Jahn Regensburg,,
1. Runde,Sun Aug 19 2018,15:30,BFC Dynamo,1-9,1-4,1. FC Köln,,
1. Runde,Sun Aug 19 2018,15:30,SSV Jeddeloh,2-5,0-3,1. FC Heidenheim 1846,,
1. Runde,Sun Aug 19 2018,15:30,Viktoria Köln,1-3,1-0,RB Leipzig,,
1. Runde,Sun Aug 19 2018,15:30,Karlsruher SC,0-6,0-3,Hannover 96,,
1. Runde,Sun Aug 19 2018,18:30,TSV 1860 München,1-3,1-0,Holstein Kiel,,
1. Runde,Sun Aug 19 2018,18:30,FC Carl Zeiss Jena,2-4,2-3,1. FC Union Berlin,,
1. Runde,Sun Aug 19 2018,18:30,BSC Hastedt,1-11,0-6,Bor. Mönchengladbach,,
1. Runde,Mon Aug 20 2018,18:30,SC Paderborn 07,2-1,2-0,FC Ingolstadt 04,,
1. Runde,Mon Aug 20 2018,18:30,Energie Cottbus,1-1,0-0,SC Freiburg,2-2,3-5
1. Runde,Mon Aug 20 2018,18:30,Eintracht Braunschweig,1-2,0-1,Hertha BSC,,
1. Runde,Mon Aug 20 2018,20:45,SpVgg Greuther Fürth,1-1,0-0,Borussia Dortmund,1-2,
2. Runde,Tue Oct 30 2018,18:30,BSG Chemie Leipzig,0-3,0-2,SC Paderborn 07,,
2. Runde,Tue Oct 30 2018,18:30,SSV Ulm 1846,1-5,1-4,Fortuna Düsseldorf,,
2. Runde,Tue Oct 30 2018,18:30,Hannover 96,0-2,0-1,VfL Wolfsburg,,
2. Runde,Tue Oct 30 2018,18:45,SV Darmstadt 98,0-2,0-0,Hertha BSC,,
2. Runde,Tue Oct 30 2018,20:45,SV Wehen Wiesbaden,0-3,0-1,Hamburger SV,,
2. Runde,Tue Oct 30 2018,20:45,SV Rödinghausen,1-2,0-2,Bayern München,,
2. Runde,Tue Oct 30 2018,20:45,1. FC Heidenheim 1846,3-0,2-0,SV Sandhausen,,
2. Runde,Tue Oct 30 2018,20:45,FC Augsburg,2-2,1-2,1. FSV Mainz 05,3-2,
2. Runde,Wed Oct 31 2018,18:30,Hansa Rostock,1-1,1-0,1. FC Nürnberg,2-2,2-4
2. Runde,Wed Oct 31 2018,18:30,Weiche Flensburg 08,1-5,1-3,Werder Bremen,,
2. Runde,Wed Oct 31 2018,18:30,1. FC Köln,1-1,1-0,FC Schalke 04,1-1,5-6
2. Runde,Wed Oct 31 2018,18:30,Borussia Dortmund,2-2,1-0,1. FC Union Berlin,3-2,
2. Runde,Wed Oct 31 2018,20:45,Holstein Kiel,2-1,1-1,SC Freiburg,,
2. Runde,Wed Oct 31 2018,20:45,Arminia Bielefeld,0-3,0-3,MSV Duisburg,,
2. Runde,Wed Oct 31 2018,20:45,RB Leipzig,2-0,0-0,1899 Hoffenheim,,
2. Runde,Wed Oct 31 2018,20:45,Bor. Mönchengladbach,0-5,0-2,Bayer Leverkusen,,
Achtelfinale,Tue Feb 5 2019,18:30,Hamburger SV,1-0,0-0,1. FC Nürnberg,,
Achtelfinale,Tue Feb 5 2019,18:30,1. FC Heidenheim 1846,2-1,0-1,Bayer Leverkusen,,
Achtelfinale,Tue Feb 5 2019,20:45,MSV Duisburg,1-3,0-0,SC Paderborn 07,,
Achtelfinale,Tue Feb 5 2019,20:45,Borussia Dortmund,1-1,1-1,Werder Bremen,3-3,2-4
Achtelfinale,Wed Feb 6 2019,18:30,Holstein Kiel,0-1,0-0,FC Augsburg,,
Achtelfinale,Wed Feb 6 2019,18:30,RB Leipzig,1-0,1-0,VfL Wolfsburg,,
Achtelfinale,Wed Feb 6 2019,20:45,FC Schalke 04,4-1,1-0,Fortuna Düsseldorf,,
Achtelfinale,Wed Feb 6 2019,20:45,Hertha BSC,2-2,1-1,Bayern München,2-3,
Viertelfinale,Tue Apr 2 2019,18:30,SC Paderborn 07,0-2,0-0,Hamburger SV,,
Viertelfinale,Tue Apr 2 2019,20:45,FC Augsburg,1-1,0-0,RB Leipzig,1-2,
Viertelfinale,Wed Apr 3 2019,18:30,Bayern München,5-4,1-2,1. FC Heidenheim 1846,,
Viertelfinale,Wed Apr 3 2019,20:45,FC Schalke 04,0-2,0-0,Werder Bremen,,
Halbfinale,Tue Apr 23 2019,20:45,Hamburger SV,1-3,1-1,RB Leipzig,,
Halbfinale,Wed Apr 24 2019,20:45,Werder Bremen,2-3,0-1,Bayern München,,
Finale,Sat May 25 2019,20:00,RB Leipzig,0-3,0-1,Bayern München,,
