Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 27 2018,20:00,AC Ajaccio,0-1,0-1,ESTAC Troyes
1,Fri Jul 27 2018,20:00,GFC Ajaccio,1-1,0-1,Paris FC
1,Fri Jul 27 2018,20:00,Clermont Foot,0-0,0-0,LB Châteauroux
1,Fri Jul 27 2018,20:00,Grenoble Foot 38,1-0,0-0,FC Sochaux
1,Fri Jul 27 2018,20:00,AS Nancy,0-2,0-1,AS Béziers
1,Fri Jul 27 2018,20:00,US Orléans,0-2,0-1,RC Lens
1,Fri Jul 27 2018,20:00,Red Star FC,1-2,0-0,Chamois Niortais
1,Fri Jul 27 2018,20:00,Valenciennes FC,3-1,3-1,AJ Auxerre
1,Sat Jul 28 2018,15:00,FC Lorient,0-0,0-0,Le Havre AC
1,Mon Jul 30 2018,20:45,Stade Brest,0-1,0-1,FC Metz
2,Fri Aug 3 2018,20:00,FC Metz,5-1,2-0,US Orléans
2,Fri Aug 3 2018,20:00,AS Béziers,0-1,0-1,AC Ajaccio
2,Fri Aug 3 2018,20:00,Le Havre AC,1-1,0-0,Grenoble Foot 38
2,Fri Aug 3 2018,20:00,AJ Auxerre,2-3,1-2,GFC Ajaccio
2,Fri Aug 3 2018,20:00,ESTAC Troyes,1-2,1-2,Stade Brest
2,Fri Aug 3 2018,20:00,Paris FC,2-0,0-0,AS Nancy
2,Fri Aug 3 2018,20:00,FC Sochaux,0-1,0-1,Valenciennes FC
2,Fri Aug 3 2018,20:00,Chamois Niortais,4-2,1-1,Clermont Foot
2,Sat Aug 4 2018,17:00,RC Lens,1-0,1-0,Red Star FC
2,Mon Aug 6 2018,20:45,LB Châteauroux,1-2,0-0,FC Lorient
3,Fri Aug 10 2018,20:00,Grenoble Foot 38,1-0,1-0,Chamois Niortais
3,Fri Aug 10 2018,20:00,GFC Ajaccio,1-3,1-1,FC Lorient
3,Fri Aug 10 2018,20:00,Stade Brest,1-1,0-1,Paris FC
3,Fri Aug 10 2018,20:00,AC Ajaccio,2-3,0-1,FC Sochaux
3,Fri Aug 10 2018,20:00,Valenciennes FC,1-1,1-0,LB Châteauroux
3,Fri Aug 10 2018,20:00,US Orléans,0-3,0-2,AJ Auxerre
3,Fri Aug 10 2018,20:00,Red Star FC,0-1,0-1,Le Havre AC
3,Fri Aug 10 2018,20:00,ESTAC Troyes,0-1,0-1,AS Béziers
3,Fri Aug 10 2018,20:00,AS Nancy,0-3,0-2,RC Lens
3,Sat Aug 11 2018,15:00,Clermont Foot,2-3,1-0,FC Metz
4,Fri Aug 17 2018,20:00,Le Havre AC,0-0,0-0,Clermont Foot
4,Fri Aug 17 2018,20:00,AJ Auxerre,1-0,1-0,AS Nancy
4,Fri Aug 17 2018,20:00,LB Châteauroux,1-1,0-0,Red Star FC
4,Fri Aug 17 2018,20:00,GFC Ajaccio,2-0,1-0,Grenoble Foot 38
4,Fri Aug 17 2018,20:00,FC Lorient,3-1,2-1,Valenciennes FC
4,Fri Aug 17 2018,20:00,Chamois Niortais,1-1,1-0,US Orléans
4,Fri Aug 17 2018,20:00,Paris FC,1-0,0-0,AS Béziers
4,Fri Aug 17 2018,20:00,FC Sochaux,2-0,1-0,Stade Brest
4,Sat Aug 18 2018,15:00,RC Lens,2-0,0-0,ESTAC Troyes
4,Mon Aug 20 2018,20:45,FC Metz,3-1,1-0,AC Ajaccio
5,Fri Aug 24 2018,20:00,Grenoble Foot 38,0-0,0-0,LB Châteauroux
5,Fri Aug 24 2018,20:00,Stade Brest,1-0,0-0,Le Havre AC
5,Fri Aug 24 2018,20:00,Clermont Foot,1-0,0-0,FC Sochaux
5,Fri Aug 24 2018,20:00,AC Ajaccio,0-0,0-0,FC Lorient
5,Fri Aug 24 2018,20:00,AS Nancy,0-1,0-0,Chamois Niortais
5,Fri Aug 24 2018,20:00,US Orléans,4-0,2-0,Paris FC
