Round,Date,Time,Team 1,FT,HT,Team 2,Comments
1,Fri Aug 24 2018,21:00,Brescia Calcio,1-1,1-0,AC Perugia Calcio,
1,Sat Aug 25 2018,18:00,US Cremonese,1-1,1-0,Pescara Calcio,
1,Sat Aug 25 2018,18:00,US Salernitana 1919,0-0,0-0,US Palermo,
1,Sat Aug 25 2018,18:00,Venezia FC,1-0,1-0,Spezia Calcio,
1,Sun Aug 26 2018,18:00,Hellas Verona,1-1,1-1,Calcio Padova,
1,Sun Aug 26 2018,21:00,Ascoli Calcio,1-1,0-1,Cosenza Calcio,
1,Sun Aug 26 2018,21:00,Foggia Calcio,4-2,1-0,Carpi FC,
1,Sun Aug 26 2018,21:00,AS Cittadella,3-0,1-0,FC Crotone,
1,Mon Aug 27 2018,21:00,Benevento Calcio,3-3,0-1,US Lecce,
2,Fri Aug 31 2018,21:00,US Palermo,2-2,1-0,US Cremonese,
2,Sat Sep 1 2018,18:00,Carpi FC,0-1,0-0,AS Cittadella,
2,Sat Sep 1 2018,18:00,Spezia Calcio,3-2,2-2,Brescia Calcio,
2,Sat Sep 1 2018,18:00,Calcio Padova,1-0,1-0,Venezia FC,
2,Sat Sep 1 2018,18:00,Cosenza Calcio,0-3 (*),,Hellas Verona,awd.
2,Sun Sep 2 2018,18:00,Pescara Calcio,2-1,0-0,AS Livorno,
2,Sun Sep 2 2018,21:00,FC Crotone,4-1,1-0,Foggia Calcio,
2,Sun Sep 2 2018,21:00,US Lecce,2-2,1-0,US Salernitana 1919,
2,Sun Sep 2 2018,21:00,AC Perugia Calcio,2-0,1-0,Ascoli Calcio,
3,Fri Sep 14 2018,21:00,Venezia FC,2-3,0-2,Benevento Calcio,
3,Sat Sep 15 2018,15:00,Ascoli Calcio,1-0,0-0,US Lecce,
3,Sat Sep 15 2018,15:00,Brescia Calcio,1-1,0-0,Pescara Calcio,
3,Sat Sep 15 2018,15:00,AS Cittadella,2-0,0-0,Cosenza Calcio,
3,Sat Sep 15 2018,18:00,US Cremonese,2-0,2-0,Spezia Calcio,
3,Sun Sep 16 2018,15:00,US Salernitana 1919,3-0,1-0,Calcio Padova,
3,Sun Sep 16 2018,15:00,Hellas Verona,4-1,2-0,Carpi FC,
3,Sun Sep 16 2018,21:00,Foggia Calcio,1-2,1-0,US Palermo,
3,Mon Sep 17 2018,21:00,AS Livorno,0-1,0-0,FC Crotone,
4,Fri Sep 21 2018,21:00,Benevento Calcio,4-0,1-0,US Salernitana 1919,
4,Sat Sep 22 2018,15:00,Carpi FC,1-1,1-1,Brescia Calcio,
4,Sat Sep 22 2018,15:00,FC Crotone,1-2,0-1,Hellas Verona,
4,Sat Sep 22 2018,15:00,US Lecce,2-1,0-0,Venezia FC,
4,Sat Sep 22 2018,15:00,US Palermo,4-1,2-0,AC Perugia Calcio,
4,Sat Sep 22 2018,15:00,Pescara Calcio,1-0,0-0,Foggia Calcio,
4,Sat Sep 22 2018,18:00,Cosenza Calcio,1-1,1-0,AS Livorno,
4,Sat Sep 22 2018,15:00,Spezia Calcio,1-0,0-0,AS Cittadella,
4,Sun Sep 23 2018,21:00,Calcio Padova,1-1,1-0,US Cremonese,
5,Tue Sep 25 2018,21:00,Brescia Calcio,2-1,2-0,US Palermo,
5,Tue Sep 25 2018,21:00,AS Cittadella,0-1,0-1,Benevento Calcio,
5,Tue Sep 25 2018,21:00,AS Livorno,0-3,0-1,US Lecce,
5,Tue Sep 25 2018,21:00,Hellas Verona,2-1,1-1,Spezia Calcio,
5,Tue Sep 25 2018,21:00,Pescara Calcio,2-1,1-0,FC Crotone,
5,Tue Sep 25 2018,21:00,US Salernitana 1919,1-1,0-1,Ascoli Calcio,
5,Tue Sep 25 2018,21:00,AC Perugia Calcio,0-1,0-0,Carpi FC,
5,Wed Sep 26 2018,21:00,Foggia Calcio,2-1,0-1,Calcio Padova,
5,Wed Sep 26 2018,19:00,US Cremonese,2-0,1-0,Cosenza Calcio,
6,Fri Sep 28 2018,21:00,FC Crotone,2-2,0-1,Brescia Calcio,
6,Sat Sep 29 2018,15:00,US Lecce,1-1,1-0,AS Cittadella,
6,Sat Sep 29 2018,15:00,US Salernitana 1919,1-0,0-0,Hellas Verona,
6,Sat Sep 29 2018,18:00,Venezia FC,1-1,0-1,AS Livorno,
6,Sat Sep 29 2018,15:00,Spezia Calcio,2-1,0-1,Carpi FC,
6,Sun Sep 30 2018,15:00,Ascoli Calcio,0-0,0-0,US Cremonese,
6,Sun Sep 30 2018,15:00,Cosenza Calcio,1-1,1-0,AC Perugia Calcio,
6,Sun Sep 30 2018,21:00,Benevento Calcio,1-3,1-1,Foggia Calcio,
6,Tue Oct 2 2018,17:30,Calcio Padova,2-2,0-1,Pescara Calcio,
7,Fri Oct 5 2018,21:00,Hellas Verona,0-2,0-1,US Lecce,
7,Sat Oct 6 2018,18:00,AC Perugia Calcio,1-0,0-0,Venezia FC,
7,Sat Oct 6 2018,15:00,Carpi FC,1-1,0-0,Cosenza Calcio,
7,Sat Oct 6 2018,15:00,Foggia Calcio,3-2,2-2,Ascoli Calcio,
7,Sat Oct 6 2018,15:00,Pescara Calcio,2-1,1-0,Benevento Calcio,
7,Sat Oct 6 2018,15:00,US Cremonese,0-0,0-0,US Salernitana 1919,
7,Sun Oct 7 2018,15:00,Brescia Calcio,4-1,0-1,Calcio Padova,
