Round,Date,Time,Team 1,FT,HT,Team 2,Comments
7,Sun Oct 7 2018,15:00,AS Livorno,1-3,1-3,Spezia Calcio,
7,Sun Oct 7 2018,21:00,US Palermo,1-0,0-0,FC Crotone,
8,Fri Oct 19 2018,21:00,Spezia Calcio,1-3,1-2,Pescara Calcio,
8,Sat Oct 20 2018,15:00,Ascoli Calcio,1-0,0-0,Carpi FC,
8,Sat Oct 20 2018,18:00,FC Crotone,2-1,1-0,Calcio Padova,
8,Sat Oct 20 2018,15:00,Cosenza Calcio,2-0,1-0,Foggia Calcio,
8,Sat Oct 20 2018,15:00,AS Cittadella,2-2,2-0,Brescia Calcio,
8,Sun Oct 21 2018,15:00,US Salernitana 1919,2-1,0-0,AC Perugia Calcio,
8,Sun Oct 21 2018,15:00,Venezia FC,1-1,0-1,Hellas Verona,
8,Sun Oct 21 2018,21:00,US Lecce,1-2,1-1,US Palermo,
8,Mon Oct 22 2018,21:00,Benevento Calcio,1-0,0-0,AS Livorno,
9,Fri Oct 26 2018,21:00,US Palermo,1-1,0-0,Venezia FC,
9,Sat Oct 27 2018,15:00,Benevento Calcio,2-1,2-0,US Cremonese,
9,Sat Oct 27 2018,15:00,Brescia Calcio,1-0,0-0,Cosenza Calcio,
9,Sat Oct 27 2018,15:00,Foggia Calcio,2-2,1-0,US Lecce,
9,Sat Oct 27 2018,15:00,AS Livorno,1-0,1-0,Ascoli Calcio,
9,Sat Oct 27 2018,18:00,Hellas Verona,2-1,1-1,AC Perugia Calcio,
9,Sat Oct 27 2018,15:00,Pescara Calcio,0-1,0-0,AS Cittadella,
9,Sat Oct 27 2018,15:00,Calcio Padova,0-0,0-0,Spezia Calcio,
9,Sun Oct 28 2018,21:00,FC Crotone,1-1,0-0,US Salernitana 1919,
10,Tue Oct 30 2018,21:00,AS Cittadella,1-1,1-1,Foggia Calcio,
10,Tue Oct 30 2018,21:00,Carpi FC,0-3,0-1,US Palermo,
10,Tue Oct 30 2018,21:00,Ascoli Calcio,1-0,0-0,Hellas Verona,
10,Tue Oct 30 2018,21:00,Cosenza Calcio,1-1,1-0,Pescara Calcio,
10,Tue Oct 30 2018,21:00,AC Perugia Calcio,3-2,1-1,Calcio Padova,
10,Tue Oct 30 2018,21:00,US Cremonese,0-1,0-0,Venezia FC,
10,Wed Oct 31 2018,19:00,US Salernitana 1919,3-1,1-0,AS Livorno,
10,Wed Oct 31 2018,21:00,US Lecce,1-0,1-0,FC Crotone,
11,Fri Nov 2 2018,21:00,Hellas Verona,1-1,1-1,US Cremonese,
11,Sat Nov 3 2018,18:00,Benevento Calcio,1-2,1-1,Ascoli Calcio,
11,Sat Nov 3 2018,15:00,US Palermo,2-1,0-0,Cosenza Calcio,
11,Sat Nov 3 2018,15:00,Calcio Padova,0-0,0-0,AS Cittadella,
11,Sat Nov 3 2018,15:00,Foggia Calcio,2-2,1-1,Brescia Calcio,
11,Sun Nov 4 2018,15:00,Venezia FC,1-0,1-0,US Salernitana 1919,
11,Sun Nov 4 2018,15:00,FC Crotone,1-1,1-0,Carpi FC,
11,Sun Nov 4 2018,21:00,AS Livorno,2-3,2-1,AC Perugia Calcio,
11,Mon Nov 5 2018,21:00,Pescara Calcio,4-2,2-1,US Lecce,
12,Fri Nov 9 2018,21:00,AC Perugia Calcio,2-1,1-0,FC Crotone,
12,Sat Nov 10 2018,15:00,Ascoli Calcio,2-3,1-1,Calcio Padova,
12,Sat Nov 10 2018,15:00,US Cremonese,1-0,1-0,AS Livorno,
12,Sat Nov 10 2018,15:00,US Salernitana 1919,1-0,1-0,Spezia Calcio,
12,Sat Nov 10 2018,18:00,Cosenza Calcio,2-3,0-2,US Lecce,
12,Sat Nov 10 2018,15:00,Carpi FC,2-2,0-0,Benevento Calcio,
12,Sun Nov 11 2018,15:00,AS Cittadella,3-2,1-2,Venezia FC,
12,Sun Nov 11 2018,15:00,Brescia Calcio,4-2,2-0,Hellas Verona,
12,Sun Nov 11 2018,21:00,US Palermo,3-0,1-0,Pescara Calcio,
10,Sun Nov 18 2018,15:00,Spezia Calcio,3-1,2-1,Benevento Calcio,
13,Fri Nov 23 2018,21:00,Hellas Verona,1-1,1-0,US Palermo,
13,Sat Nov 24 2018,15:00,AS Livorno,0-0,0-0,AS Cittadella,
13,Sat Nov 24 2018,15:00,Calcio Padova,0-1,0-1,Carpi FC,
13,Sat Nov 24 2018,15:00,Venezia FC,2-1,2-0,Brescia Calcio,
13,Sat Nov 24 2018,18:00,Benevento Calcio,2-1,1-1,AC Perugia Calcio,
13,Sun Nov 25 2018,15:00,Pescara Calcio,1-1,0-0,Ascoli Calcio,
13,Sun Nov 25 2018,15:00,Spezia Calcio,0-0,0-0,Foggia Calcio,
13,Sun Nov 25 2018,21:00,US Lecce,2-0,0-0,US Cremonese,
13,Mon Nov 26 2018,21:00,FC Crotone,0-1,0-0,Cosenza Calcio,
14,Fri Nov 30 2018,21:00,US Palermo,0-0,0-0,Benevento Calcio,
14,Sat Dec 1 2018,15:00,AS Cittadella,3-1,1-0,US Salernitana 1919,
14,Sat Dec 1 2018,18:00,Ascoli Calcio,3-1,1-0,Spezia Calcio,
14,Sat Dec 1 2018,15:00,US Cremonese,1-0,0-0,FC Crotone,
14,Sat Dec 1 2018,15:00,Cosenza Calcio,2-1,0-1,Calcio Padova,
14,Sun Dec 2 2018,15:00,Brescia Calcio,2-0,1-0,AS Livorno,
14,Sun Dec 2 2018,15:00,Carpi FC,0-1,0-1,US Lecce,
14,Sun Dec 2 2018,21:00,AC Perugia Calcio,2-1,1-0,Pescara Calcio,
14,Mon Dec 3 2018,21:00,Foggia Calcio,1-1,1-1,Venezia FC,
15,Fri Dec 7 2018,21:00,Pescara Calcio,2-0,0-0,Carpi FC,
15,Sat Dec 8 2018,12:30,Calcio Padova,1-3,1-1,US Palermo,
15,Sat Dec 8 2018,15:00,US Lecce,0-0,0-0,AC Perugia Calcio,
15,Sat Dec 8 2018,15:00,Venezia FC,1-0,0-0,Ascoli Calcio,
15,Sat Dec 8 2018,15:00,Spezia Calcio,4-0,1-0,Cosenza Calcio,
15,Sun Dec 9 2018,15:00,US Cremonese,0-0,0-0,AS Cittadella,
15,Sun Dec 9 2018,15:00,AS Livorno,3-1,1-1,Foggia Calcio,
15,Sun Dec 9 2018,21:00,Benevento Calcio,0-1,0-0,Hellas Verona,
15,Mon Dec 10 2018,21:00,US Salernitana 1919,1-3,0-3,Brescia Calcio,
16,Fri Dec 14 2018,21:00,Foggia Calcio,3-1,3-1,US Cremonese,
16,Sat Dec 15 2018,15:00,AC Perugia Calcio,1-1,1-0,Spezia Calcio,
16,Sat Dec 15 2018,15:00,US Palermo,1-1,1-1,AS Livorno,
16,Sat Dec 15 2018,15:00,Ascoli Calcio,1-1,1-1,AS Cittadella,
16,Sun Dec 16 2018,15:00,Carpi FC,3-2,1-0,US Salernitana 1919,
16,Sun Dec 16 2018,15:00,FC Crotone,1-1,0-1,Venezia FC,
16,Sun Dec 16 2018,21:00,Brescia Calcio,2-1,0-1,US Lecce,
16,Sun Dec 16 2018,17:00,Cosenza Calcio,0-0,0-0,Benevento Calcio,
16,Mon Dec 17 2018,21:00,Hellas Verona,3-1,2-0,Pescara Calcio,
17,Fri Dec 21 2018,21:00,Ascoli Calcio,1-1,0-0,Brescia Calcio,
17,Sat Dec 22 2018,15:00,US Cremonese,1-2,0-1,Carpi FC,
17,Sat Dec 22 2018,15:00,AS Livorno,0-0,0-0,Hellas Verona,
17,Sun Dec 23 2018,12:30,US Salernitana 1919,1-0,0-0,Foggia Calcio,
17,Sun Dec 23 2018,15:00,AS Cittadella,2-2,1-1,AC Perugia Calcio,
17,Sun Dec 23 2018,15:00,US Lecce,3-2,2-0,Calcio Padova,
17,Sun Dec 23 2018,15:00,Venezia FC,0-1,0-0,Cosenza Calcio,
17,Sun Dec 23 2018,21:00,Benevento Calcio,3-0,1-0,FC Crotone,
17,Sun Dec 23 2018,17:30,Spezia Calcio,1-1,1-1,US Palermo,
18,Wed Dec 26 2018,15:00,Brescia Calcio,3-2,2-0,US Cremonese,
18,Wed Dec 26 2018,15:00,Carpi FC,1-4,1-1,AS Livorno,
18,Thu Dec 27 2018,21:00,FC Crotone,0-3,0-1,Spezia Calcio,
18,Thu Dec 27 2018,21:00,Cosenza Calcio,0-0,0-0,US Salernitana 1919,
18,Thu Dec 27 2018,19:00,Pescara Calcio,1-0,0-0,Venezia FC,
18,Thu Dec 27 2018,21:00,Calcio Padova,0-1,0-0,Benevento Calcio,
18,Thu Dec 27 2018,21:00,US Palermo,3-0,1-0,Ascoli Calcio,
18,Thu Dec 27 2018,21:00,AC Perugia Calcio,3-0,2-0,Foggia Calcio,
18,Thu Dec 27 2018,21:00,Hellas Verona,4-0,2-0,AS Cittadella,
19,Sun Dec 30 2018,12:30,Foggia Calcio,2-2,1-2,Hellas Verona,
19,Sun Dec 30 2018,15:00,Ascoli Calcio,3-2,0-2,FC Crotone,
19,Sun Dec 30 2018,15:00,AS Cittadella,0-1,0-0,US Palermo,
19,Sun Dec 30 2018,15:00,US Cremonese,4-0,3-0,AC Perugia Calcio,
19,Sun Dec 30 2018,15:00,US Salernitana 1919,2-4,2-1,Pescara Calcio,
19,Sun Dec 30 2018,15:00,Venezia FC,1-1,0-1,Carpi FC,
19,Sun Dec 30 2018,16:00,Benevento Calcio,1-1,0-0,Brescia Calcio,
19,Sun Dec 30 2018,18:00,AS Livorno,1-1,0-1,Calcio Padova,
19,Sun Dec 30 2018,21:00,Spezia Calcio,1-1,1-0,US Lecce,
20,Fri Jan 18 2019,21:00,US Palermo,1-2,1-1,US Salernitana 1919,
20,Sat Jan 19 2019,15:00,Carpi FC,0-2,0-1,Foggia Calcio,
20,Sat Jan 19 2019,15:00,FC Crotone,0-0,0-0,AS Cittadella,
20,Sat Jan 19 2019,15:00,US Lecce,1-1,0-0,Benevento Calcio,
20,Sat Jan 19 2019,18:00,AC Perugia Calcio,0-2,0-1,Brescia Calcio,
20,Sun Jan 20 2019,15:00,Cosenza Calcio,0-0,0-0,Ascoli Calcio,
20,Sun Jan 20 2019,15:00,Calcio Padova,3-0,1-0,Hellas Verona,
20,Sun Jan 20 2019,21:00,Pescara Calcio,0-0,0-0,US Cremonese,
20,Mon Jan 21 2019,21:00,Spezia Calcio,1-1,0-0,Venezia FC,
21,Fri Jan 25 2019,21:00,Foggia Calcio,0-2,0-2,FC Crotone,
21,Sat Jan 26 2019,15:00,Ascoli Calcio,0-3,0-0,AC Perugia Calcio,
21,Sat Jan 26 2019,18:00,US Salernitana 1919,1-2,0-2,US Lecce,
21,Sat Jan 26 2019,15:00,US Cremonese,2-0,1-0,US Palermo,
21,Sat Jan 26 2019,15:00,AS Cittadella,3-1,0-0,Carpi FC,
21,Sun Jan 27 2019,15:00,AS Livorno,0-0,0-0,Pescara Calcio,
21,Sun Jan 27 2019,15:00,Venezia FC,2-1,1-0,Calcio Padova,
21,Sun Jan 27 2019,18:00,Brescia Calcio,4-4,2-2,Spezia Calcio,
21,Mon Jan 28 2019,21:00,Hellas Verona,2-2,1-0,Cosenza Calcio,
22,Sat Feb 2 2019,15:00,Carpi FC,1-1,1-0,Hellas Verona,
22,Sat Feb 2 2019,15:00,Cosenza Calcio,2-0,0-0,AS Cittadella,
22,Sat Feb 2 2019,15:00,Calcio Padova,0-0,0-0,US Salernitana 1919,
22,Sat Feb 2 2019,18:00,Spezia Calcio,2-0,1-0,US Cremonese,
22,Sun Feb 3 2019,15:00,Benevento Calcio,3-0,0-0,Venezia FC,
22,Sun Feb 3 2019,15:00,FC Crotone,1-1,1-1,AS Livorno,
22,Sun Feb 3 2019,21:00,Pescara Calcio,1-5,0-3,Brescia Calcio,
22,Mon Feb 4 2019,21:00,US Palermo,0-0,0-0,Foggia Calcio,
23,Fri Feb 8 2019,21:00,US Salernitana 1919,0-1,0-0,Benevento Calcio,
23,Sat Feb 9 2019,15:00,AC Perugia Calcio,1-2,0-1,US Palermo,
23,Sat Feb 9 2019,15:00,AS Cittadella,0-1,0-0,Spezia Calcio,
23,Sat Feb 9 2019,15:00,US Cremonese,0-0,0-0,Calcio Padova,
23,Sat Feb 9 2019,18:00,Brescia Calcio,3-1,2-1,Carpi FC,
23,Sun Feb 10 2019,21:00,Hellas Verona,1-1,0-0,FC Crotone,
23,Sun Feb 10 2019,15:00,AS Livorno,2-0,0-0,Cosenza Calcio,
23,Sun Feb 10 2019,15:00,Foggia Calcio,1-1,1-0,Pescara Calcio,
23,Mon Feb 11 2019,21:00,Venezia FC,1-1,0-0,US Lecce,
24,Fri Feb 15 2019,21:00,US Palermo,1-1,0-0,Brescia Calcio,
24,Sat Feb 16 2019,15:00,Benevento Calcio,1-0,1-0,AS Cittadella,
24,Sat Feb 16 2019,15:00,Carpi FC,0-1,0-0,AC Perugia Calcio,
24,Sat Feb 16 2019,18:00,Ascoli Calcio,2-4,1-3,US Salernitana 1919,
24,Sat Feb 16 2019,15:00,Calcio Padova,1-1,0-1,Foggia Calcio,
24,Sun Feb 17 2019,15:00,US Lecce,3-2,0-2,AS Livorno,
24,Sun Feb 17 2019,15:00,Cosenza Calcio,2-0,0-0,US Cremonese,
24,Sun Feb 17 2019,21:00,Spezia Calcio,1-2,1-1,Hellas Verona,
24,Mon Feb 18 2019,21:00,FC Crotone,0-2,0-2,Pescara Calcio,
25,Fri Feb 22 2019,21:00,Hellas Verona,1-0,0-0,US Salernitana 1919,
25,Sat Feb 23 2019,15:00,Carpi FC,3-2,1-0,Spezia Calcio,
25,Sat Feb 23 2019,15:00,Brescia Calcio,2-0,0-0,FC Crotone,
25,Sat Feb 23 2019,15:00,Pescara Calcio,2-0,2-0,Calcio Padova,
25,Sat Feb 23 2019,15:00,AS Cittadella,4-1,2-1,US Lecce,
25,Sat Feb 23 2019,15:00,US Cremonese,0-1,0-0,Ascoli Calcio,
25,Sat Feb 23 2019,15:00,AC Perugia Calcio,0-1,0-1,Cosenza Calcio,
25,Sat Feb 23 2019,18:00,Foggia Calcio,1-1,0-0,Benevento Calcio,
25,Sun Feb 24 2019,21:00,AS Livorno,1-0,0-0,Venezia FC,
26,Tue Feb 26 2019,21:00,US Salernitana 1919,2-0,0-0,US Cremonese,
26,Tue Feb 26 2019,18:00,Benevento Calcio,2-1,1-0,Pescara Calcio,
26,Tue Feb 26 2019,21:00,Ascoli Calcio,2-2,2-1,Foggia Calcio,
26,Tue Feb 26 2019,21:00,Cosenza Calcio,1-0,1-0,Carpi FC,
26,Tue Feb 26 2019,21:00,FC Crotone,3-0,1-0,US Palermo,
26,Tue Feb 26 2019,21:00,US Lecce,2-1,1-0,Hellas Verona,
26,Tue Feb 26 2019,21:00,Calcio Padova,1-1,0-0,Brescia Calcio,
26,Wed Feb 27 2019,21:00,Spezia Calcio,3-0,1-0,AS Livorno,
26,Wed Feb 27 2019,19:00,Venezia FC,2-3,1-3,AC Perugia Calcio,
27,Fri Mar 1 2019,21:00,Foggia Calcio,1-0,1-0,Cosenza Calcio,
27,Sat Mar 2 2019,15:00,Brescia Calcio,0-1,0-1,AS Cittadella,
27,Sat Mar 2 2019,18:00,US Palermo,2-1,1-0,US Lecce,
27,Sat Mar 2 2019,15:00,Carpi FC,1-1,0-1,Ascoli Calcio,
27,Sat Mar 2 2019,15:00,Calcio Padova,0-0,0-0,FC Crotone,
27,Sun Mar 3 2019,15:00,Pescara Calcio,2-0,1-0,Spezia Calcio,
27,Sun Mar 3 2019,15:00,AC Perugia Calcio,3-1,2-1,US Salernitana 1919,
27,Sun Mar 3 2019,21:00,Hellas Verona,1-0,1-0,Venezia FC,
27,Mon Mar 4 2019,21:00,AS Livorno,2-0,2-0,Benevento Calcio,
28,Fri Mar 8 2019,21:00,AC Perugia Calcio,1-2,0-0,Hellas Verona,
28,Sat Mar 9 2019,15:00,US Lecce,1-0,0-0,Foggia Calcio,
28,Sat Mar 9 2019,15:00,AS Cittadella,4-1,3-1,Pescara Calcio,
28,Sat Mar 9 2019,15:00,Cosenza Calcio,2-3,2-0,Brescia Calcio,
28,Sat Mar 9 2019,18:00,Spezia Calcio,0-2,0-1,Calcio Padova,
28,Sun Mar 10 2019,21:00,US Salernitana 1919,0-2,0-1,FC Crotone,
28,Sun Mar 10 2019,15:00,Ascoli Calcio,1-1,1-1,AS Livorno,
28,Sun Mar 10 2019,15:00,US Cremonese,1-0,0-0,Benevento Calcio,
28,Mon Mar 11 2019,21:00,Venezia FC,1-1,1-0,US Palermo,
29,Fri Mar 15 2019,21:00,Pescara Calcio,1-1,0-0,Cosenza Calcio,
29,Sat Mar 16 2019,15:00,Calcio Padova,0-1,0-1,AC Perugia Calcio,
29,Sat Mar 16 2019,15:00,Benevento Calcio,2-3,1-1,Spezia Calcio,
29,Sat Mar 16 2019,15:00,Foggia Calcio,1-1,0-0,AS Cittadella,
29,Sat Mar 16 2019,15:00,AS Livorno,1-0,1-0,US Salernitana 1919,
29,Sat Mar 16 2019,18:00,Hellas Verona,1-1,1-1,Ascoli Calcio,
29,Sun Mar 17 2019,15:00,Venezia FC,1-1,1-1,US Cremonese,
29,Sun Mar 17 2019,15:00,US Palermo,4-1,2-0,Carpi FC,
29,Sun Mar 17 2019,21:00,FC Crotone,2-2,1-2,US Lecce,
22,Sat Mar 23 2019,18:00,US Lecce,7-0,5-0,Ascoli Calcio,
30,Fri Mar 29 2019,21:00,US Cremonese,1-1,1-1,Hellas Verona,
30,Sat Mar 30 2019,15:00,Ascoli Calcio,2-2,2-0,Benevento Calcio,
30,Sat Mar 30 2019,15:00,Carpi FC,1-2,0-1,FC Crotone,
30,Sat Mar 30 2019,15:00,AS Cittadella,1-1,0-0,Calcio Padova,
30,Sat Mar 30 2019,15:00,Cosenza Calcio,1-1,1-1,US Palermo,
30,Sat Mar 30 2019,18:00,Brescia Calcio,2-1,1-1,Foggia Calcio,
30,Sat Mar 30 2019,15:00,US Salernitana 1919,1-1,0-1,Venezia FC,
30,Sat Mar 30 2019,15:00,AC Perugia Calcio,3-1,1-0,AS Livorno,
30,Sun Mar 31 2019,21:00,US Lecce,2-0,2-0,Pescara Calcio,
31,Tue Apr 2 2019,21:00,AS Livorno,1-3,0-1,US Cremonese,
31,Tue Apr 2 2019,21:00,FC Crotone,2-0,1-0,AC Perugia Calcio,
31,Tue Apr 2 2019,21:00,Hellas Verona,2-2,1-2,Brescia Calcio,
31,Tue Apr 2 2019,21:00,Calcio Padova,1-2,1-1,Ascoli Calcio,
31,Tue Apr 2 2019,21:00,Spezia Calcio,2-1,0-1,US Salernitana 1919,
31,Tue Apr 2 2019,21:00,Venezia FC,1-1,0-0,AS Cittadella,
31,Tue Apr 2 2019,21:00,Benevento Calcio,3-1,2-1,Carpi FC,
31,Wed Apr 3 2019,19:00,US Lecce,3-1,1-1,Cosenza Calcio,
31,Wed Apr 3 2019,21:00,Pescara Calcio,3-2,1-2,US Palermo,
32,Fri Apr 5 2019,21:00,Brescia Calcio,2-0,1-0,Venezia FC,
32,Sat Apr 6 2019,15:00,Carpi FC,2-1,1-1,Calcio Padova,
32,Sat Apr 6 2019,18:00,AC Perugia Calcio,2-4,2-3,Benevento Calcio,
32,Sat Apr 6 2019,15:00,Foggia Calcio,1-0,0-0,Spezia Calcio,
32,Sat Apr 6 2019,15:00,AS Cittadella,4-0,1-0,AS Livorno,
32,Sun Apr 7 2019,15:00,Ascoli Calcio,2-1,1-1,Pescara Calcio,
32,Sun Apr 7 2019,15:00,US Cremonese,2-0,0-0,US Lecce,
32,Sun Apr 7 2019,21:00,Cosenza Calcio,1-0,1-0,FC Crotone,
32,Mon Apr 8 2019,21:00,US Palermo,1-0,0-0,Hellas Verona,
33,Fri Apr 12 2019,21:00,Pescara Calcio,1-1,1-0,AC Perugia Calcio,
33,Sat Apr 13 2019,18:00,Venezia FC,1-0,1-0,Foggia Calcio,
33,Sat Apr 13 2019,15:00,US Lecce,4-1,0-0,Carpi FC,
33,Sat Apr 13 2019,15:00,US Salernitana 1919,4-2,1-2,AS Cittadella,
33,Sat Apr 13 2019,15:00,FC Crotone,0-0,0-0,US Cremonese,
33,Sun Apr 14 2019,15:00,Calcio Padova,0-0,0-0,Cosenza Calcio,
33,Sun Apr 14 2019,21:00,Benevento Calcio,1-2,0-1,US Palermo,
33,Sun Apr 14 2019,15:00,Spezia Calcio,3-2,0-2,Ascoli Calcio,
33,Mon Apr 15 2019,21:00,AS Livorno,0-1,0-0,Brescia Calcio,
34,Mon Apr 22 2019,21:00,Carpi FC,0-0,0-0,Pescara Calcio,
34,Mon Apr 22 2019,18:00,Brescia Calcio,3-0,2-0,US Salernitana 1919,
34,Mon Apr 22 2019,21:00,AC Perugia Calcio,1-2,1-1,US Lecce,
34,Mon Apr 22 2019,15:00,Hellas Verona,0-3,0-1,Benevento Calcio,
34,Mon Apr 22 2019,21:00,AS Cittadella,1-3,0-2,US Cremonese,
34,Mon Apr 22 2019,21:00,Cosenza Calcio,1-0,0-0,Spezia Calcio,
34,Mon Apr 22 2019,21:00,Foggia Calcio,2-2,2-0,AS Livorno,
34,Mon Apr 22 2019,21:00,US Palermo,1-1,1-1,Calcio Padova,
34,Mon Apr 22 2019,21:00,Ascoli Calcio,1-0,1-0,Venezia FC,
35,Fri Apr 26 2019,21:00,Benevento Calcio,4-2,2-2,Cosenza Calcio,
35,Sat Apr 27 2019,15:00,AS Livorno,2-2,0-1,US Palermo,
35,Sat Apr 27 2019,15:00,Pescara Calcio,1-1,1-0,Hellas Verona,
35,Sat Apr 27 2019,15:00,US Salernitana 1919,2-5,2-2,Carpi FC,
35,Sat Apr 27 2019,18:00,Spezia Calcio,1-1,1-0,AC Perugia Calcio,
35,Sat Apr 27 2019,15:00,Venezia FC,1-4,1-1,FC Crotone,
35,Sun Apr 28 2019,15:00,AS Cittadella,2-2,0-2,Ascoli Calcio,
35,Sun Apr 28 2019,15:00,US Cremonese,1-0,0-0,Foggia Calcio,
35,Sun Apr 28 2019,21:00,US Lecce,1-0,0-0,Brescia Calcio,
36,Wed May 1 2019,12:30,US Palermo,2-2,2-2,Spezia Calcio,
36,Wed May 1 2019,15:00,Carpi FC,1-2,0-0,US Cremonese,
36,Wed May 1 2019,18:00,Brescia Calcio,1-0,1-0,Ascoli Calcio,
36,Wed May 1 2019,15:00,FC Crotone,1-0,0-0,Benevento Calcio,
36,Wed May 1 2019,15:00,Foggia Calcio,3-1,2-0,US Salernitana 1919,
